valid_time,time,latitude,t2m
2000-01,2000-01-01,31.312,285.7167
2000-01,2000-01-01,31.312,285.681
2000-02,2000-02-01,31.312,286.77704
2000-02,2000-02-01,31.312,286.7052
2000-03,2000-03-01,31.312,293.71588
2000-03,2000-03-01,31.312,293.7254
2000-04,2000-04-01,31.312,302.8876
2000-04,2000-04-01,31.312,302.79712
2000-05,2000-05-01,31.312,308.36646
2000-05,2000-05-01,31.312,308.185
2000-06,2000-06-01,31.312,307.44025
2000-06,2000-06-01,31.312,307.33173
2000-07,2000-07-01,31.312,305.18777
2000-07,2000-07-01,31.312,305.0304
2000-08,2000-08-01,31.312,305.59344
2000-08,2000-08-01,31.312,305.32983
2000-09,2000-09-01,31.312,304.40335
2000-09,2000-09-01,31.312,304.19565
2000-10,2000-10-01,31.312,300.1161
2000-10,2000-10-01,31.312,300.0212
2000-11,2000-11-01,31.312,292.60382
2000-11,2000-11-01,31.312,292.58255
2000-12,2000-12-01,31.312,287.56973
2000-12,2000-12-01,31.312,287.40817
2001-01,2001-01-01,31.312,285.20905
2001-01,2001-01-01,31.312,285.12216
2001-02,2001-02-01,31.312,289.82684
2001-02,2001-02-01,31.312,289.81357
2001-03,2001-03-01,31.312,295.08063
2001-03,2001-03-01,31.312,295.06146
2001-04,2001-04-01,31.312,301.0101
2001-04,2001-04-01,31.312,300.88467
2001-05,2001-05-01,31.312,307.12442
2001-05,2001-05-01,31.312,306.90796
2001-06,2001-06-01,31.312,305.84943
2001-06,2001-06-01,31.312,305.52078
2001-07,2001-07-01,31.312,305.42245
2001-07,2001-07-01,31.312,304.87582
2001-08,2001-08-01,31.312,307.30814
2001-08,2001-08-01,31.312,306.78516
2001-09,2001-09-01,31.312,304.1237
2001-09,2001-09-01,31.312,303.88202
2001-10,2001-10-01,31.312,300.29492
2001-10,2001-10-01,31.312,300.20517
2001-11,2001-11-01,31.312,293.24765
2001-11,2001-11-01,31.312,293.05087
2001-12,2001-12-01,31.312,288.7775
2001-12,2001-12-01,31.312,288.47473
2002-01,2002-01-01,31.312,286.66922
2002-01,2002-01-01,31.312,286.54596
2002-02,2002-02-01,31.312,288.7986
2002-02,2002-02-01,31.312,288.8014
2002-03,2002-03-01,31.312,296.16183
2002-03,2002-03-01,31.312,296.10193
2002-04,2002-04-01,31.312,302.712
2002-04,2002-04-01,31.312,302.55685
2002-05,2002-05-01,31.312,308.03375
2002-05,2002-05-01,31.312,307.83615
2002-06,2002-06-01,31.312,307.58307
2002-06,2002-06-01,31.312,307.21338
2002-07,2002-07-01,31.312,308.03354
2002-07,2002-07-01,31.312,307.73813
2002-08,2002-08-01,31.312,307.18817
2002-08,2002-08-01,31.312,306.8932
2002-09,2002-09-01,31.312,302.41727
2002-09,2002-09-01,31.312,302.41522
2002-10,2002-10-01,31.312,299.76117
2002-10,2002-10-01,31.312,299.62216
2002-11,2002-11-01,31.312,293.53055
2002-11,2002-11-01,31.312,293.33383
2002-12,2002-12-01,31.312,288.48898
2002-12,2002-12-01,31.312,288.35638
2003-01,2003-01-01,31.312,284.77155
2003-01,2003-01-01,31.312,284.6432
2003-02,2003-02-01,31.312,289.16763
2003-02,2003-02-01,31.312,289.1285
2003-03,2003-03-01,31.312,293.68616
2003-03,2003-03-01,31.312,293.6291
2003-04,2003-04-01,31.312,301.96384
2003-04,2003-04-01,31.312,301.90588
2003-05,2003-05-01,31.312,305.67108
2003-05,2003-05-01,31.312,305.54895
2003-06,2003-06-01,31.312,308.74625
2003-06,2003-06-01,31.312,308.56656
2003-07,2003-07-01,31.312,305.7211
2003-07,2003-07-01,31.312,305.5197
2003-08,2003-08-01,31.312,305.67993
2003-08,2003-08-01,31.312,305.26578
2003-09,2003-09-01,31.312,305.01828
2003-09,2003-09-01,31.312,304.75494
2003-10,2003-10-01,31.312,299.95776
2003-10,2003-10-01,31.312,299.6849
2003-11,2003-11-01,31.312,291.76877
2003-11,2003-11-01,31.312,291.60968
2003-12,2003-12-01,31.312,288.0761
2003-12,2003-12-01,31.312,287.99933
2004-01,2004-01-01,31.312,286.28473
2004-01,2004-01-01,31.312,286.17313
2004-02,2004-02-01,31.312,290.58774
2004-02,2004-02-01,31.312,290.5176
2004-03,2004-03-01,31.312,298.0102
2004-03,2004-03-01,31.312,298.0915
2004-04,2004-04-01,31.312,302.7635
2004-04,2004-04-01,31.312,302.78995
2004-05,2004-05-01,31.312,306.62726
2004-05,2004-05-01,31.312,306.15936
2004-06,2004-06-01,31.312,306.83377
2004-06,2004-06-01,31.312,306.62573
2004-07,2004-07-01,31.312,307.12827
2004-07,2004-07-01,31.312,306.88495
2004-08,2004-08-01,31.312,305.014
2004-08,2004-08-01,31.312,304.8437
2004-09,2004-09-01,31.312,304.53867
2004-09,2004-09-01,31.312,304.43893
2004-10,2004-10-01,31.312,297.7131
2004-10,2004-10-01,31.312,297.6125
2004-11,2004-11-01,31.312,293.50424
2004-11,2004-11-01,31.312,293.36252
2004-12,2004-12-01,31.312,287.98544
2004-12,2004-12-01,31.312,287.83823
2005-01,2005-01-01,31.312,285.0718
2005-01,2005-01-01,31.312,285.01596
2005-02,2005-02-01,31.312,287.2235
2005-02,2005-02-01,31.312,287.2532
2005-03,2005-03-01,31.312,293.9973
2005-03,2005-03-01,31.312,293.93408
2005-04,2005-04-01,31.312,299.95786
2005-04,2005-04-01,31.312,299.86514
2005-05,2005-05-01,31.312,303.35895
2005-05,2005-05-01,31.312,303.41797
2005-06,2005-06-01,31.312,308.539
2005-06,2005-06-01,31.312,308.28226
2005-07,2005-07-01,31.312,304.99988
2005-07,2005-07-01,31.312,304.82462
2005-08,2005-08-01,31.312,306.66162
2005-08,2005-08-01,31.312,306.3428
2005-09,2005-09-01,31.312,303.76453
2005-09,2005-09-01,31.312,303.47507
2005-10,2005-10-01,31.312,299.4744
2005-10,2005-10-01,31.312,299.22662
2005-11,2005-11-01,31.312,292.64633
2005-11,2005-11-01,31.312,292.4666
2005-12,2005-12-01,31.312,286.05566
2005-12,2005-12-01,31.312,285.84143
2006-01,2006-01-01,31.312,285.99683
2006-01,2006-01-01,31.312,285.8776
2006-02,2006-02-01,31.312,292.58237
2006-02,2006-02-01,31.312,292.54132
2006-03,2006-03-01,31.312,293.92682
2006-03,2006-03-01,31.312,293.81207
2006-04,2006-04-01,31.312,301.9376
2006-04,2006-04-01,31.312,301.78107
2006-05,2006-05-01,31.312,307.93195
2006-05,2006-05-01,31.312,307.69116
2006-06,2006-06-01,31.312,306.0345
2006-06,2006-06-01,31.312,306.08295
2006-07,2006-07-01,31.312,306.1611
2006-07,2006-07-01,31.312,306.103
2006-08,2006-08-01,31.312,304.9548
2006-08,2006-08-01,31.312,304.70822
2006-09,2006-09-01,31.312,303.68402
2006-09,2006-09-01,31.312,303.29654
2006-10,2006-10-01,31.312,299.92084
2006-10,2006-10-01,31.312,299.4503
2006-11,2006-11-01,31.312,292.77142
2006-11,2006-11-01,31.312,292.63388
2006-12,2006-12-01,31.312,286.85385
2006-12,2006-12-01,31.312,286.71786
2007-01,2007-01-01,31.312,285.7376
2007-01,2007-01-01,31.312,285.53882
2007-02,2007-02-01,31.312,288.62723
2007-02,2007-02-01,31.312,288.57834
2007-03,2007-03-01,31.312,293.55524
2007-03,2007-03-01,31.312,293.39877
2007-04,2007-04-01,31.312,303.68948
2007-04,2007-04-01,31.312,303.40292
2007-05,2007-05-01,31.312,306.14624
2007-05,2007-05-01,31.312,306.0128
2007-06,2007-06-01,31.312,306.81754
2007-06,2007-06-01,31.312,306.6442
2007-07,2007-07-01,31.312,305.37042
2007-07,2007-07-01,31.312,305.23236
2007-08,2007-08-01,31.312,305.98605
2007-08,2007-08-01,31.312,305.6894
2007-09,2007-09-01,31.312,303.5905
2007-09,2007-09-01,31.312,303.28964
2007-10,2007-10-01,31.312,298.3865
2007-10,2007-10-01,31.312,298.28442
2007-11,2007-11-01,31.312,292.97202
2007-11,2007-11-01,31.312,292.8085
2007-12,2007-12-01,31.312,286.49896
2007-12,2007-12-01,31.312,286.35855
2008-01,2008-01-01,31.312,284.0634
2008-01,2008-01-01,31.312,284.03998
2008-02,2008-02-01,31.312,287.8872
2008-02,2008-02-01,31.312,287.85703
2008-03,2008-03-01,31.312,297.3125
2008-03,2008-03-01,31.312,297.4293
2008-04,2008-04-01,31.312,299.76837
2008-04,2008-04-01,31.312,299.79263
2008-05,2008-05-01,31.312,304.98312
2008-05,2008-05-01,31.312,304.92084
2008-06,2008-06-01,31.312,306.02832
2008-06,2008-06-01,31.312,305.87613
2008-07,2008-07-01,31.312,306.91248
2008-07,2008-07-01,31.312,306.58
2008-08,2008-08-01,31.312,304.5205
2008-08,2008-08-01,31.312,304.19748
2008-09,2008-09-01,31.312,303.11893
2008-09,2008-09-01,31.312,302.85825
2008-10,2008-10-01,31.312,300.48776
2008-10,2008-10-01,31.312,300.25726
2008-11,2008-11-01,31.312,293.00122
2008-11,2008-11-01,31.312,292.91
2008-12,2008-12-01,31.312,288.29095
2008-12,2008-12-01,31.312,288.2496
2009-01,2009-01-01,31.312,286.78964
2009-01,2009-01-01,31.312,286.77896
2009-02,2009-02-01,31.312,290.08612
2009-02,2009-02-01,31.312,289.9997
2009-03,2009-03-01,31.312,295.1623
2009-03,2009-03-01,31.312,295.1517
2009-04,2009-04-01,31.312,300.56842
2009-04,2009-04-01,31.312,300.6164
2009-05,2009-05-01,31.312,306.28186
2009-05,2009-05-01,31.312,306.05704
2009-06,2009-06-01,31.312,307.21262
2009-06,2009-06-01,31.312,307.05963
2009-07,2009-07-01,31.312,306.43103
2009-07,2009-07-01,31.312,306.1682
2009-08,2009-08-01,31.312,305.94183
2009-08,2009-08-01,31.312,305.74066
2009-09,2009-09-01,31.312,303.66406
2009-09,2009-09-01,31.312,303.61597
2009-10,2009-10-01,31.312,298.76114
2009-10,2009-10-01,31.312,298.67023
2009-11,2009-11-01,31.312,291.4056
2009-11,2009-11-01,31.312,291.3247
2009-12,2009-12-01,31.312,287.46036
2009-12,2009-12-01,31.312,287.28436
2010-01,2010-01-01,31.312,284.86023
2010-01,2010-01-01,31.312,284.7933
2010-02,2010-02-01,31.312,289.87592
2010-02,2010-02-01,31.312,289.89438
2010-03,2010-03-01,31.312,297.69653
2010-03,2010-03-01,31.312,297.78036
2010-04,2010-04-01,31.312,304.0712
2010-04,2010-04-01,31.312,304.01044
2010-05,2010-05-01,31.312,306.6882
2010-05,2010-05-01,31.312,306.55502
2010-06,2010-06-01,31.312,306.58243
2010-06,2010-06-01,31.312,306.4375
2010-07,2010-07-01,31.312,305.74265
2010-07,2010-07-01,31.312,305.53137
2010-08,2010-08-01,31.312,303.7858
2010-08,2010-08-01,31.312,303.68903
2010-09,2010-09-01,31.312,303.05313
2010-09,2010-09-01,31.312,302.76053
2010-10,2010-10-01,31.312,300.6244
2010-10,2010-10-01,31.312,300.3438
