valid_time,time,latitude,t2m
2000-01,2000-01-01,-16.592,296.4974
2000-01,2000-01-01,-16.592,296.24832
2000-01,2000-01-01,-16.842,296.77448
2000-01,2000-01-01,-16.842,296.58032
2000-02,2000-02-01,-16.592,296.46216
2000-02,2000-02-01,-16.592,296.1872
2000-02,2000-02-01,-16.842,296.72992
2000-02,2000-02-01,-16.842,296.5064
2000-03,2000-03-01,-16.592,296.39133
2000-03,2000-03-01,-16.592,296.11194
2000-03,2000-03-01,-16.842,296.61722
2000-03,2000-03-01,-16.842,296.38428
2000-04,2000-04-01,-16.592,296.62537
2000-04,2000-04-01,-16.592,296.34955
2000-04,2000-04-01,-16.842,296.90012
2000-04,2000-04-01,-16.842,296.67847
2000-05,2000-05-01,-16.592,295.73703
2000-05,2000-05-01,-16.592,295.4137
2000-05,2000-05-01,-16.842,295.94336
2000-05,2000-05-01,-16.842,295.6676
2000-06,2000-06-01,-16.592,294.8472
2000-06,2000-06-01,-16.592,294.53287
2000-06,2000-06-01,-16.842,294.94614
2000-06,2000-06-01,-16.842,294.64963
2000-07,2000-07-01,-16.592,293.9487
2000-07,2000-07-01,-16.592,293.76672
2000-07,2000-07-01,-16.842,293.90448
2000-07,2000-07-01,-16.842,293.7541
2000-08,2000-08-01,-16.592,297.28995
2000-08,2000-08-01,-16.592,297.01434
2000-08,2000-08-01,-16.842,297.2839
2000-08,2000-08-01,-16.842,297.0698
2000-09,2000-09-01,-16.592,297.09747
2000-09,2000-09-01,-16.592,296.8115
2000-09,2000-09-01,-16.842,297.02826
2000-09,2000-09-01,-16.842,296.80817
2000-10,2000-10-01,-16.592,299.1317
2000-10,2000-10-01,-16.592,298.8355
2000-10,2000-10-01,-16.842,299.34482
2000-10,2000-10-01,-16.842,299.13797
2000-11,2000-11-01,-16.592,296.3348
2000-11,2000-11-01,-16.592,296.00467
2000-11,2000-11-01,-16.842,296.591
2000-11,2000-11-01,-16.842,296.3152
2000-12,2000-12-01,-16.592,296.56567
