valid_time,time,latitude,t2m
2000-01,2000-01-01,20.726,290.29297
2000-01,2000-01-01,20.726,290.2707
2000-01,2000-01-01,20.476,289.63922
2000-01,2000-01-01,20.476,290.3073
2000-02,2000-02-01,20.726,291.84448
2000-02,2000-02-01,20.726,291.73718
2000-02,2000-02-01,20.476,291.21198
2000-02,2000-02-01,20.476,291.71573
2000-03,2000-03-01,20.726,293.6158
2000-03,2000-03-01,20.726,293.56683
2000-03,2000-03-01,20.476,292.98975
2000-03,2000-03-01,20.476,293.60464
2000-04,2000-04-01,20.726,296.46494
2000-04,2000-04-01,20.726,296.4343
2000-04,2000-04-01,20.476,296.05048
2000-04,2000-04-01,20.476,296.45135
2000-05,2000-05-01,20.726,297.27582
2000-05,2000-05-01,20.726,297.0171
2000-05,2000-05-01,20.476,296.71725
2000-05,2000-05-01,20.476,296.81174
2000-06,2000-06-01,20.726,295.21155
2000-06,2000-06-01,20.726,294.88394
2000-06,2000-06-01,20.476,294.63452
2000-06,2000-06-01,20.476,294.63266
2000-07,2000-07-01,20.726,294.82538
2000-07,2000-07-01,20.726,294.39645
2000-07,2000-07-01,20.476,294.1766
2000-07,2000-07-01,20.476,294.25897
2000-08,2000-08-01,20.726,294.58026
2000-08,2000-08-01,20.726,294.1011
2000-08,2000-08-01,20.476,294.17767
2000-08,2000-08-01,20.476,294.06818
2000-09,2000-09-01,20.726,294.8045
2000-09,2000-09-01,20.726,294.3186
2000-09,2000-09-01,20.476,294.27167
2000-09,2000-09-01,20.476,294.16034
2000-10,2000-10-01,20.726,294.2772
2000-10,2000-10-01,20.726,293.95093
2000-10,2000-10-01,20.476,293.90747
2000-10,2000-10-01,20.476,293.91522
2000-11,2000-11-01,20.726,292.2943
2000-11,2000-11-01,20.726,292.25214
2000-11,2000-11-01,20.476,291.80487
2000-11,2000-11-01,20.476,292.3047
2000-12,2000-12-01,20.726,290.31473
2000-12,2000-12-01,20.726,290.17502
2000-12,2000-12-01,20.476,289.73053
2000-12,2000-12-01,20.476,290.31024
2001-01,2001-01-01,20.726,290.3906
2001-01,2001-01-01,20.726,290.382
2001-01,2001-01-01,20.476,289.8454
2001-01,2001-01-01,20.476,290.4682
2001-02,2001-02-01,20.726,292.35736
2001-02,2001-02-01,20.726,292.31635
2001-02,2001-02-01,20.476,291.7736
2001-02,2001-02-01,20.476,292.33456
2001-03,2001-03-01,20.726,292.5179
2001-03,2001-03-01,20.726,292.4234
2001-03,2001-03-01,20.476,291.9438
2001-03,2001-03-01,20.476,292.5316
2001-04,2001-04-01,20.726,296.92444
2001-04,2001-04-01,20.726,296.9664
2001-04,2001-04-01,20.476,296.55463
2001-04,2001-04-01,20.476,296.93524
2001-05,2001-05-01,20.726,297.76276
2001-05,2001-05-01,20.726,297.39862
2001-05,2001-05-01,20.476,297.23425
2001-05,2001-05-01,20.476,297.30356
2001-06,2001-06-01,20.726,295.6142
2001-06,2001-06-01,20.726,295.21393
2001-06,2001-06-01,20.476,294.91034
2001-06,2001-06-01,20.476,294.9881
2001-07,2001-07-01,20.726,294.45813
