valid_time,time,latitude,t2m
2000-01,2000-01-01,23.196,287.86688
2000-01,2000-01-01,23.196,288.27194
2000-01,2000-01-01,23.196,288.31268
2000-01,2000-01-01,23.196,288.26544
2000-01,2000-01-01,23.196,288.36996
2000-01,2000-01-01,23.196,288.1518
2000-01,2000-01-01,23.196,287.8152
2000-01,2000-01-01,22.946,288.2646
2000-01,2000-01-01,22.946,288.5471
2000-01,2000-01-01,22.946,288.66614
2000-01,2000-01-01,22.946,288.78
2000-01,2000-01-01,22.946,288.81946
2000-01,2000-01-01,22.946,288.87784
2000-01,2000-01-01,22.946,288.34848
2000-01,2000-01-01,22.696,288.56287
2000-01,2000-01-01,22.696,288.72482
2000-01,2000-01-01,22.696,288.94296
2000-01,2000-01-01,22.696,289.07712
2000-01,2000-01-01,22.696,288.76733
2000-01,2000-01-01,22.696,289.03934
2000-01,2000-01-01,22.696,288.61514
2000-01,2000-01-01,22.446,288.83313
2000-01,2000-01-01,22.446,288.8744
2000-01,2000-01-01,22.446,289.14594
2000-01,2000-01-01,22.446,289.27496
2000-01,2000-01-01,22.446,288.83316
2000-01,2000-01-01,22.446,289.22372
2000-01,2000-01-01,22.446,288.96637
2000-02,2000-02-01,23.196,287.20667
2000-02,2000-02-01,23.196,287.55984
2000-02,2000-02-01,23.196,287.49002
2000-02,2000-02-01,23.196,287.32608
2000-02,2000-02-01,23.196,287.38174
2000-02,2000-02-01,23.196,287.0764
2000-02,2000-02-01,23.196,286.56445
2000-02,2000-02-01,22.946,287.5257
2000-02,2000-02-01,22.946,287.7583
2000-02,2000-02-01,22.946,287.77054
2000-02,2000-02-01,22.946,287.768
2000-02,2000-02-01,22.946,287.77393
2000-02,2000-02-01,22.946,287.61282
2000-02,2000-02-01,22.946,286.99744
2000-02,2000-02-01,22.696,287.71072
2000-02,2000-02-01,22.696,287.8352
2000-02,2000-02-01,22.696,287.98355
2000-02,2000-02-01,22.696,288.04462
2000-02,2000-02-01,22.696,287.85394
2000-02,2000-02-01,22.696,287.8684
2000-02,2000-02-01,22.696,287.40945
2000-02,2000-02-01,22.446,287.86224
2000-02,2000-02-01,22.446,287.89597
2000-02,2000-02-01,22.446,288.18872
2000-02,2000-02-01,22.446,288.28598
2000-02,2000-02-01,22.446,288.0778
2000-02,2000-02-01,22.446,288.33118
2000-02,2000-02-01,22.446,288.0865
2000-03,2000-03-01,23.196,292.29895
2000-03,2000-03-01,23.196,292.7402
2000-03,2000-03-01,23.196,292.81943
2000-03,2000-03-01,23.196,292.78882
2000-03,2000-03-01,23.196,292.94287
2000-03,2000-03-01,23.196,292.7232
2000-03,2000-03-01,23.196,292.39697
2000-03,2000-03-01,22.946,292.65573
2000-03,2000-03-01,22.946,293.05035
2000-03,2000-03-01,22.946,293.19543
2000-03,2000-03-01,22.946,293.2109
2000-03,2000-03-01,22.946,293.18594
2000-03,2000-03-01,22.946,293.2333
2000-03,2000-03-01,22.946,292.63962
2000-03,2000-03-01,22.696,292.8563
2000-03,2000-03-01,22.696,293.152
2000-03,2000-03-01,22.696,293.43622
2000-03,2000-03-01,22.696,293.32687
2000-03,2000-03-01,22.696,292.77383
2000-03,2000-03-01,22.696,293.14676
2000-03,2000-03-01,22.696,292.6416
2000-03,2000-03-01,22.446,292.96185
2000-03,2000-03-01,22.446,293.1224
2000-03,2000-03-01,22.446,293.3806
2000-03,2000-03-01,22.446,293.26212
2000-03,2000-03-01,22.446,292.57712
2000-03,2000-03-01,22.446,293.09167
2000-03,2000-03-01,22.446,292.68326
2000-04,2000-04-01,23.196,296.21838
2000-04,2000-04-01,23.196,296.56738
2000-04,2000-04-01,23.196,296.50693
2000-04,2000-04-01,23.196,296.29776
2000-04,2000-04-01,23.196,296.2846
2000-04,2000-04-01,23.196,295.98886
2000-04,2000-04-01,23.196,295.66446
2000-04,2000-04-01,22.946,296.63547
2000-04,2000-04-01,22.946,296.97443
2000-04,2000-04-01,22.946,296.99023
2000-04,2000-04-01,22.946,296.83185
2000-04,2000-04-01,22.946,296.61972
2000-04,2000-04-01,22.946,296.47455
2000-04,2000-04-01,22.946,296.0234
2000-04,2000-04-01,22.696,296.87878
2000-04,2000-04-01,22.696,297.15085
2000-04,2000-04-01,22.696,297.343
2000-04,2000-04-01,22.696,297.157
2000-04,2000-04-01,22.696,296.40872
2000-04,2000-04-01,22.696,296.61963
2000-04,2000-04-01,22.696,296.31006
2000-04,2000-04-01,22.446,297.06293
2000-04,2000-04-01,22.446,297.23605
2000-04,2000-04-01,22.446,297.41885
2000-04,2000-04-01,22.446,297.2264
2000-04,2000-04-01,22.446,296.36118
2000-04,2000-04-01,22.446,296.74524
2000-04,2000-04-01,22.446,296.52042
2000-05,2000-05-01,23.196,299.60693
2000-05,2000-05-01,23.196,299.95215
2000-05,2000-05-01,23.196,299.8496
2000-05,2000-05-01,23.196,299.60046
2000-05,2000-05-01,23.196,299.55292
2000-05,2000-05-01,23.196,299.20972
2000-05,2000-05-01,23.196,298.99268
2000-05,2000-05-01,22.946,299.65857
2000-05,2000-05-01,22.946,300.0638
2000-05,2000-05-01,22.946,300.04465
2000-05,2000-05-01,22.946,299.90036
2000-05,2000-05-01,22.946,299.66287
2000-05,2000-05-01,22.946,299.4352
2000-05,2000-05-01,22.946,299.0784
2000-05,2000-05-01,22.696,299.55405
2000-05,2000-05-01,22.696,299.8911
2000-05,2000-05-01,22.696,300.0723
2000-05,2000-05-01,22.696,299.96082
2000-05,2000-05-01,22.696,299.08316
2000-05,2000-05-01,22.696,299.4028
2000-05,2000-05-01,22.696,299.22476
2000-05,2000-05-01,22.446,299.43094
2000-05,2000-05-01,22.446,299.63998
2000-05,2000-05-01,22.446,299.92218
2000-05,2000-05-01,22.446,299.81006
2000-05,2000-05-01,22.446,298.77084
2000-05,2000-05-01,22.446,299.42007
2000-05,2000-05-01,22.446,299.24847
2000-06,2000-06-01,23.196,301.94467
2000-06,2000-06-01,23.196,302.23795
2000-06,2000-06-01,23.196,302.0617
2000-06,2000-06-01,23.196,301.74377
2000-06,2000-06-01,23.196,301.6415
2000-06,2000-06-01,23.196,301.2302
2000-06,2000-06-01,23.196,300.98395
2000-06,2000-06-01,22.946,301.95187
2000-06,2000-06-01,22.946,302.3419
2000-06,2000-06-01,22.946,302.26215
2000-06,2000-06-01,22.946,302.07712
2000-06,2000-06-01,22.946,301.79218
2000-06,2000-06-01,22.946,301.49478
2000-06,2000-06-01,22.946,301.18268
2000-06,2000-06-01,22.696,301.76187
2000-06,2000-06-01,22.696,302.08624
2000-06,2000-06-01,22.696,302.2358
2000-06,2000-06-01,22.696,302.1302
2000-06,2000-06-01,22.696,301.17264
2000-06,2000-06-01,22.696,301.53238
2000-06,2000-06-01,22.696,301.45728
2000-06,2000-06-01,22.446,301.52133
2000-06,2000-06-01,22.446,301.71796
2000-06,2000-06-01,22.446,302.02255
2000-06,2000-06-01,22.446,301.9304
2000-06,2000-06-01,22.446,300.82086
2000-06,2000-06-01,22.446,301.60544
2000-06,2000-06-01,22.446,301.54587
2000-07,2000-07-01,23.196,302.31824
2000-07,2000-07-01,23.196,302.62848
2000-07,2000-07-01,23.196,302.48672
2000-07,2000-07-01,23.196,302.21783
2000-07,2000-07-01,23.196,302.15326
2000-07,2000-07-01,23.196,301.78668
2000-07,2000-07-01,23.196,301.59558
2000-07,2000-07-01,22.946,302.26132
2000-07,2000-07-01,22.946,302.66165
2000-07,2000-07-01,22.946,302.61966
2000-07,2000-07-01,22.946,302.49408
2000-07,2000-07-01,22.946,302.2507
2000-07,2000-07-01,22.946,301.93924
2000-07,2000-07-01,22.946,301.65967
2000-07,2000-07-01,22.696,302.04852
2000-07,2000-07-01,22.696,302.37607
2000-07,2000-07-01,22.696,302.55814
2000-07,2000-07-01,22.696,302.4909
2000-07,2000-07-01,22.696,301.59723
2000-07,2000-07-01,22.696,301.84872
2000-07,2000-07-01,22.696,301.7926
2000-07,2000-07-01,22.446,301.81464
2000-07,2000-07-01,22.446,302.0111
2000-07,2000-07-01,22.446,302.31247
2000-07,2000-07-01,22.446,302.23703
2000-07,2000-07-01,22.446,301.18484
2000-07,2000-07-01,22.446,301.8121
2000-07,2000-07-01,22.446,301.79425
2000-08,2000-08-01,23.196,302.32047
2000-08,2000-08-01,23.196,302.56226
2000-08,2000-08-01,23.196,302.3341
2000-08,2000-08-01,23.196,301.98016
2000-08,2000-08-01,23.196,301.8217
2000-08,2000-08-01,23.196,301.34738
2000-08,2000-08-01,23.196,301.09088
2000-08,2000-08-01,22.946,302.32816
2000-08,2000-08-01,22.946,302.7029
2000-08,2000-08-01,22.946,302.56903
2000-08,2000-08-01,22.946,302.3356
2000-08,2000-08-01,22.946,302.01993
2000-08,2000-08-01,22.946,301.5653
2000-08,2000-08-01,22.946,301.25717
2000-08,2000-08-01,22.696,302.13678
2000-08,2000-08-01,22.696,302.44473
2000-08,2000-08-01,22.696,302.53745
2000-08,2000-08-01,22.696,302.39767
2000-08,2000-08-01,22.696,301.56854
2000-08,2000-08-01,22.696,301.5597
2000-08,2000-08-01,22.696,301.48386
2000-08,2000-08-01,22.446,301.9064
2000-08,2000-08-01,22.446,302.08832
2000-08,2000-08-01,22.446,302.3153
2000-08,2000-08-01,22.446,302.19315
2000-08,2000-08-01,22.446,301.26672
2000-08,2000-08-01,22.446,301.58014
2000-08,2000-08-01,22.446,301.58856
2000-09,2000-09-01,23.196,300.2042
2000-09,2000-09-01,23.196,300.54108
2000-09,2000-09-01,23.196,300.4595
2000-09,2000-09-01,23.196,300.30396
2000-09,2000-09-01,23.196,300.3617
2000-09,2000-09-01,23.196,300.08008
2000-09,2000-09-01,23.196,300.10657
2000-09,2000-09-01,22.946,300.23602
2000-09,2000-09-01,22.946,300.75638
2000-09,2000-09-01,22.946,300.75836
2000-09,2000-09-01,22.946,300.70108
2000-09,2000-09-01,22.946,300.59778
2000-09,2000-09-01,22.946,300.3667
2000-09,2000-09-01,22.946,300.14362
2000-09,2000-09-01,22.696,300.0838
2000-09,2000-09-01,22.696,300.51572
2000-09,2000-09-01,22.696,300.73956
2000-09,2000-09-01,22.696,300.7842
2000-09,2000-09-01,22.696,300.16357
2000-09,2000-09-01,22.696,300.31158
2000-09,2000-09-01,22.696,300.25494
2000-09,2000-09-01,22.446,299.9149
2000-09,2000-09-01,22.446,300.18646
2000-09,2000-09-01,22.446,300.57767
2000-09,2000-09-01,22.446,300.63742
2000-09,2000-09-01,22.446,299.88416
2000-09,2000-09-01,22.446,300.37595
2000-09,2000-09-01,22.446,300.38055
2000-10,2000-10-01,23.196,297.70663
2000-10,2000-10-01,23.196,298.18622
2000-10,2000-10-01,23.196,298.2784
2000-10,2000-10-01,23.196,298.29663
2000-10,2000-10-01,23.196,298.48438
2000-10,2000-10-01,23.196,298.22916
2000-10,2000-10-01,23.196,298.17178
2000-10,2000-10-01,22.946,297.78674
2000-10,2000-10-01,22.946,298.41235
2000-10,2000-10-01,22.946,298.5784
2000-10,2000-10-01,22.946,298.66513
2000-10,2000-10-01,22.946,298.71008
2000-10,2000-10-01,22.946,298.63443
2000-10,2000-10-01,22.946,298.29514
2000-10,2000-10-01,22.696,297.74
2000-10,2000-10-01,22.696,298.26328
2000-10,2000-10-01,22.696,298.63068
2000-10,2000-10-01,22.696,298.79318
2000-10,2000-10-01,22.696,298.41956
2000-10,2000-10-01,22.696,298.55692
2000-10,2000-10-01,22.696,298.37708
2000-10,2000-10-01,22.446,297.7296
2000-10,2000-10-01,22.446,298.10965
2000-10,2000-10-01,22.446,298.582
2000-10,2000-10-01,22.446,298.75174
2000-10,2000-10-01,22.446,298.27692
2000-10,2000-10-01,22.446,298.62604
2000-10,2000-10-01,22.446,298.60403
2000-11,2000-11-01,23.196,291.91882
2000-11,2000-11-01,23.196,292.41928
2000-11,2000-11-01,23.196,292.52817
2000-11,2000-11-01,23.196,292.5801
2000-11,2000-11-01,23.196,292.77158
2000-11,2000-11-01,23.196,292.56982
2000-11,2000-11-01,23.196,292.2657
2000-11,2000-11-01,22.946,292.08792
2000-11,2000-11-01,22.946,292.66113
2000-11,2000-11-01,22.946,292.82495
2000-11,2000-11-01,22.946,292.96393
2000-11,2000-11-01,22.946,293.15384
2000-11,2000-11-01,22.946,293.09308
2000-11,2000-11-01,22.946,292.53992
2000-11,2000-11-01,22.696,292.10013
2000-11,2000-11-01,22.696,292.54776
2000-11,2000-11-01,22.696,292.8494
