valid_time,time,latitude,t2m
2000-01,2000-01-01,11.013,300.5126
2000-01,2000-01-01,11.013,300.44107
2000-01,2000-01-01,10.763,300.83746
2000-01,2000-01-01,10.763,301.3869
2000-01,2000-01-01,10.513,300.37598
2000-01,2000-01-01,10.513,300.80945
2000-02,2000-02-01,11.013,300.5632
2000-02,2000-02-01,11.013,300.95825
2000-02,2000-02-01,10.763,300.72757
2000-02,2000-02-01,10.763,301.5086
2000-02,2000-02-01,10.513,300.07706
2000-02,2000-02-01,10.513,300.60352
2000-03,2000-03-01,11.013,301.4891
2000-03,2000-03-01,11.013,302.08813
2000-03,2000-03-01,10.763,301.62158
2000-03,2000-03-01,10.763,302.6362
2000-03,2000-03-01,10.513,300.8701
2000-03,2000-03-01,10.513,301.63937
2000-04,2000-04-01,11.013,301.2546
2000-04,2000-04-01,11.013,301.10397
2000-04,2000-04-01,10.763,301.28387
2000-04,2000-04-01,10.763,301.35
2000-04,2000-04-01,10.513,301.28918
2000-04,2000-04-01,10.513,301.24384
2000-05,2000-05-01,11.013,300.881
2000-05,2000-05-01,11.013,300.9365
2000-05,2000-05-01,10.763,300.91962
2000-05,2000-05-01,10.763,301.13638
2000-05,2000-05-01,10.513,300.85724
2000-05,2000-05-01,10.513,300.93503
2000-06,2000-06-01,11.013,298.8065
2000-06,2000-06-01,11.013,298.58948
2000-06,2000-06-01,10.763,298.93347
2000-06,2000-06-01,10.763,298.80554
2000-06,2000-06-01,10.513,299.08075
2000-06,2000-06-01,10.513,298.89572
2000-07,2000-07-01,11.013,298.7943
2000-07,2000-07-01,11.013,298.72906
2000-07,2000-07-01,10.763,298.99017
2000-07,2000-07-01,10.763,298.98627
2000-07,2000-07-01,10.513,299.0483
2000-07,2000-07-01,10.513,298.9712
2000-08,2000-08-01,11.013,298.41486
2000-08,2000-08-01,11.013,298.33398
2000-08,2000-08-01,10.763,298.54465
2000-08,2000-08-01,10.763,298.50946
2000-08,2000-08-01,10.513,298.57935
2000-08,2000-08-01,10.513,298.46475
2000-09,2000-09-01,11.013,299.18033
2000-09,2000-09-01,11.013,299.2292
2000-09,2000-09-01,10.763,299.2633
2000-09,2000-09-01,10.763,299.34595
2000-09,2000-09-01,10.513,299.22092
2000-09,2000-09-01,10.513,299.2165
2000-10,2000-10-01,11.013,299.41498
2000-10,2000-10-01,11.013,299.05603
2000-10,2000-10-01,10.763,299.51202
2000-10,2000-10-01,10.763,299.25122
2000-10,2000-10-01,10.513,299.6567
2000-10,2000-10-01,10.513,299.36713
2000-11,2000-11-01,11.013,300.25842
2000-11,2000-11-01,11.013,299.66705
2000-11,2000-11-01,10.763,300.53867
2000-11,2000-11-01,10.763,300.2958
2000-11,2000-11-01,10.513,300.73044
2000-11,2000-11-01,10.513,300.48935
2000-12,2000-12-01,11.013,299.56674
2000-12,2000-12-01,11.013,298.8851
2000-12,2000-12-01,10.763,300.004
2000-12,2000-12-01,10.763,300.0027
2000-12,2000-12-01,10.513,299.95026
2000-12,2000-12-01,10.513,299.87772
2001-01,2001-01-01,11.013,300.8413
2001-01,2001-01-01,11.013,301.26523
2001-01,2001-01-01,10.763,301.04208
2001-01,2001-01-01,10.763,301.8684
2001-01,2001-01-01,10.513,300.40176
2001-01,2001-01-01,10.513,301.00623
2001-02,2001-02-01,11.013,300.98264
2001-02,2001-02-01,11.013,301.43045
2001-02,2001-02-01,10.763,301.11148
2001-02,2001-02-01,10.763,301.897
2001-02,2001-02-01,10.513,300.3839
2001-02,2001-02-01,10.513,300.87384
2001-03,2001-03-01,11.013,301.86517
2001-03,2001-03-01,11.013,302.4206
2001-03,2001-03-01,10.763,301.98175
2001-03,2001-03-01,10.763,302.79385
2001-03,2001-03-01,10.513,301.29227
2001-03,2001-03-01,10.513,301.85324
2001-04,2001-04-01,11.013,301.11374
2001-04,2001-04-01,11.013,301.0779
2001-04,2001-04-01,10.763,301.0504
2001-04,2001-04-01,10.763,301.22214
2001-04,2001-04-01,10.513,300.92303
2001-04,2001-04-01,10.513,300.94092
2001-05,2001-05-01,11.013,300.93878
2001-05,2001-05-01,11.013,300.64618
2001-05,2001-05-01,10.763,301.03143
2001-05,2001-05-01,10.763,300.9108
2001-05,2001-05-01,10.513,301.18036
2001-05,2001-05-01,10.513,300.9781
2001-06,2001-06-01,11.013,299.07593
2001-06,2001-06-01,11.013,298.76434
2001-06,2001-06-01,10.763,299.20914
2001-06,2001-06-01,10.763,298.98145
2001-06,2001-06-01,10.513,299.41016
2001-06,2001-06-01,10.513,299.12976
2001-07,2001-07-01,11.013,298.6466
2001-07,2001-07-01,11.013,298.5026
2001-07,2001-07-01,10.763,298.7764
2001-07,2001-07-01,10.763,298.6784
2001-07,2001-07-01,10.513,298.93857
2001-07,2001-07-01,10.513,298.7662
2001-08,2001-08-01,11.013,298.52692
2001-08,2001-08-01,11.013,298.6759
2001-08,2001-08-01,10.763,298.65588
2001-08,2001-08-01,10.763,298.82874
2001-08,2001-08-01,10.513,298.6167
2001-08,2001-08-01,10.513,298.70334
2001-09,2001-09-01,11.013,299.1923
2001-09,2001-09-01,11.013,299.30634
2001-09,2001-09-01,10.763,299.31772
2001-09,2001-09-01,10.763,299.46756
2001-09,2001-09-01,10.513,299.23276
2001-09,2001-09-01,10.513,299.23923
2001-10,2001-10-01,11.013,299.4961
2001-10,2001-10-01,11.013,299.3301
2001-10,2001-10-01,10.763,299.57043
2001-10,2001-10-01,10.763,299.45605
2001-10,2001-10-01,10.513,299.6336
2001-10,2001-10-01,10.513,299.4603
2001-11,2001-11-01,11.013,299.89584
2001-11,2001-11-01,11.013,299.4865
2001-11,2001-11-01,10.763,299.95703
2001-11,2001-11-01,10.763,299.70416
2001-11,2001-11-01,10.513,300.11642
2001-11,2001-11-01,10.513,299.84827
2001-12,2001-12-01,11.013,300.17236
2001-12,2001-12-01,11.013,299.60498
2001-12,2001-12-01,10.763,300.3452
2001-12,2001-12-01,10.763,300.17358
2001-12,2001-12-01,10.513,300.37585
2001-12,2001-12-01,10.513,300.20764
2002-01,2002-01-01,11.013,300.46686
2002-01,2002-01-01,11.013,300.69867
2002-01,2002-01-01,10.763,300.64288
2002-01,2002-01-01,10.763,301.10587
2002-01,2002-01-01,10.513,300.15292
2002-01,2002-01-01,10.513,300.4475
2002-02,2002-02-01,11.013,301.1587
2002-02,2002-02-01,11.013,301.71207
2002-02,2002-02-01,10.763,301.3074
2002-02,2002-02-01,10.763,302.07144
2002-02,2002-02-01,10.513,300.69128
2002-02,2002-02-01,10.513,301.26254
2002-03,2002-03-01,11.013,301.8335
2002-03,2002-03-01,11.013,302.401
2002-03,2002-03-01,10.763,301.8947
2002-03,2002-03-01,10.763,302.7473
2002-03,2002-03-01,10.513,301.26062
2002-03,2002-03-01,10.513,301.9073
2002-04,2002-04-01,11.013,301.63855
2002-04,2002-04-01,11.013,301.75717
2002-04,2002-04-01,10.763,301.5567
2002-04,2002-04-01,10.763,301.85452
2002-04,2002-04-01,10.513,301.38742
2002-04,2002-04-01,10.513,301.53238
2002-05,2002-05-01,11.013,300.81454
2002-05,2002-05-01,11.013,300.81323
2002-05,2002-05-01,10.763,300.8006
2002-05,2002-05-01,10.763,300.88394
2002-05,2002-05-01,10.513,300.76984
2002-05,2002-05-01,10.513,300.72562
2002-06,2002-06-01,11.013,299.5632
2002-06,2002-06-01,11.013,299.3819
2002-06,2002-06-01,10.763,299.68158
2002-06,2002-06-01,10.763,299.5478
2002-06,2002-06-01,10.513,299.78204
2002-06,2002-06-01,10.513,299.5639
2002-07,2002-07-01,11.013,298.95963
2002-07,2002-07-01,11.013,299.00485
2002-07,2002-07-01,10.763,299.09262
2002-07,2002-07-01,10.763,299.13867
2002-07,2002-07-01,10.513,299.16135
2002-07,2002-07-01,10.513,299.1017
2002-08,2002-08-01,11.013,298.63403
2002-08,2002-08-01,11.013,298.63397
2002-08,2002-08-01,10.763,298.79346
2002-08,2002-08-01,10.763,298.85492
2002-08,2002-08-01,10.513,298.75366
2002-08,2002-08-01,10.513,298.7487
2002-09,2002-09-01,11.013,299.45294
2002-09,2002-09-01,11.013,299.52435
2002-09,2002-09-01,10.763,299.65115
2002-09,2002-09-01,10.763,299.82086
2002-09,2002-09-01,10.513,299.51123
2002-09,2002-09-01,10.513,299.57205
2002-10,2002-10-01,11.013,299.5374
2002-10,2002-10-01,11.013,299.2609
2002-10,2002-10-01,10.763,299.5843
2002-10,2002-10-01,10.763,299.40305
2002-10,2002-10-01,10.513,299.6655
2002-10,2002-10-01,10.513,299.43915
2002-11,2002-11-01,11.013,300.04785
2002-11,2002-11-01,11.013,299.67932
2002-11,2002-11-01,10.763,300.14145
2002-11,2002-11-01,10.763,299.96887
2002-11,2002-11-01,10.513,300.22028
2002-11,2002-11-01,10.513,300.01233
2002-12,2002-12-01,11.013,300.13904
2002-12,2002-12-01,11.013,299.06876
2002-12,2002-12-01,10.763,300.56436
2002-12,2002-12-01,10.763,300.16257
2002-12,2002-12-01,10.513,300.65363
2002-12,2002-12-01,10.513,300.31223
2003-01,2003-01-01,11.013,300.83026
2003-01,2003-01-01,11.013,300.70667
2003-01,2003-01-01,10.763,301.21707
2003-01,2003-01-01,10.763,301.58008
2003-01,2003-01-01,10.513,300.74866
2003-01,2003-01-01,10.513,301.0208
2003-02,2003-02-01,11.013,301.47604
2003-02,2003-02-01,11.013,301.92035
2003-02,2003-02-01,10.763,301.6061
2003-02,2003-02-01,10.763,302.41345
2003-02,2003-02-01,10.513,300.88934
2003-02,2003-02-01,10.513,301.45688
2003-03,2003-03-01,11.013,301.84448
2003-03,2003-03-01,11.013,302.14343
2003-03,2003-03-01,10.763,301.83594
2003-03,2003-03-01,10.763,302.34573
2003-03,2003-03-01,10.513,301.42502
2003-03,2003-03-01,10.513,301.66797
2003-04,2003-04-01,11.013,301.6831
2003-04,2003-04-01,11.013,301.63226
2003-04,2003-04-01,10.763,301.61188
2003-04,2003-04-01,10.763,301.69397
2003-04,2003-04-01,10.513,301.6
2003-04,2003-04-01,10.513,301.54764
2003-05,2003-05-01,11.013,301.55127
2003-05,2003-05-01,11.013,301.22552
2003-05,2003-05-01,10.763,301.706
2003-05,2003-05-01,10.763,301.54126
2003-05,2003-05-01,10.513,301.83298
2003-05,2003-05-01,10.513,301.56415
2003-06,2003-06-01,11.013,299.8512
2003-06,2003-06-01,11.013,299.56787
2003-06,2003-06-01,10.763,299.96057
2003-06,2003-06-01,10.763,299.77942
2003-06,2003-06-01,10.513,300.10916
2003-06,2003-06-01,10.513,299.849
2003-07,2003-07-01,11.013,299.00684
2003-07,2003-07-01,11.013,298.84494
2003-07,2003-07-01,10.763,299.14084
2003-07,2003-07-01,10.763,299.0026
2003-07,2003-07-01,10.513,299.19757
2003-07,2003-07-01,10.513,298.98685
2003-08,2003-08-01,11.013,298.94397
2003-08,2003-08-01,11.013,299.0105
2003-08,2003-08-01,10.763,299.06
2003-08,2003-08-01,10.763,299.13632
2003-08,2003-08-01,10.513,299.03433
2003-08,2003-08-01,10.513,299.01456
2003-09,2003-09-01,11.013,299.1937
2003-09,2003-09-01,11.013,299.17584
2003-09,2003-09-01,10.763,299.37878
2003-09,2003-09-01,10.763,299.42584
2003-09,2003-09-01,10.513,299.3515
2003-09,2003-09-01,10.513,299.31152
2003-10,2003-10-01,11.013,299.60492
2003-10,2003-10-01,11.013,299.28653
2003-10,2003-10-01,10.763,299.69165
2003-10,2003-10-01,10.763,299.4737
2003-10,2003-10-01,10.513,299.79297
2003-10,2003-10-01,10.513,299.51953
2003-11,2003-11-01,11.013,300.38422
2003-11,2003-11-01,11.013,299.89926
2003-11,2003-11-01,10.763,300.49445
2003-11,2003-11-01,10.763,300.28925
2003-11,2003-11-01,10.513,300.57428
2003-11,2003-11-01,10.513,300.34674
2003-12,2003-12-01,11.013,300.38492
2003-12,2003-12-01,11.013,300.05463
2003-12,2003-12-01,10.763,300.66382
2003-12,2003-12-01,10.763,300.9068
2003-12,2003-12-01,10.513,300.30637
2003-12,2003-12-01,10.513,300.4434
2004-01,2004-01-01,11.013,300.60135
2004-01,2004-01-01,11.013,300.86096
2004-01,2004-01-01,10.763,300.83078
2004-01,2004-01-01,10.763,301.45804
2004-01,2004-01-01,10.513,300.31735
2004-01,2004-01-01,10.513,300.78162
2004-02,2004-02-01,11.013,301.50598
2004-02,2004-02-01,11.013,302.0289
2004-02,2004-02-01,10.763,301.7418
2004-02,2004-02-01,10.763,302.6016
2004-02,2004-02-01,10.513,300.9811
2004-02,2004-02-01,10.513,301.66275
2004-03,2004-03-01,11.013,302.03613
2004-03,2004-03-01,11.013,302.67612
2004-03,2004-03-01,10.763,302.1983
2004-03,2004-03-01,10.763,303.1315
2004-03,2004-03-01,10.513,301.53223
2004-03,2004-03-01,10.513,302.25772
2004-04,2004-04-01,11.013,301.8149
2004-04,2004-04-01,11.013,301.88715
2004-04,2004-04-01,10.763,301.81006
2004-04,2004-04-01,10.763,302.09064
2004-04,2004-04-01,10.513,301.65103
2004-04,2004-04-01,10.513,301.85944
2004-05,2004-05-01,11.013,299.89902
2004-05,2004-05-01,11.013,299.62457
2004-05,2004-05-01,10.763,300.00916
2004-05,2004-05-01,10.763,299.83405
2004-05,2004-05-01,10.513,300.1305
2004-05,2004-05-01,10.513,299.90845
2004-06,2004-06-01,11.013,299.28534
2004-06,2004-06-01,11.013,299.17712
2004-06,2004-06-01,10.763,299.44644
2004-06,2004-06-01,10.763,299.39114
2004-06,2004-06-01,10.513,299.49646
2004-06,2004-06-01,10.513,299.34778
2004-07,2004-07-01,11.013,298.57422
2004-07,2004-07-01,11.013,298.65536
2004-07,2004-07-01,10.763,298.69073
2004-07,2004-07-01,10.763,298.80014
2004-07,2004-07-01,10.513,298.64844
2004-07,2004-07-01,10.513,298.66467
2004-08,2004-08-01,11.013,298.69586
2004-08,2004-08-01,11.013,298.82666
2004-08,2004-08-01,10.763,298.84216
2004-08,2004-08-01,10.763,299.04156
2004-08,2004-08-01,10.513,298.73837
2004-08,2004-08-01,10.513,298.85593
2004-09,2004-09-01,11.013,299.1531
2004-09,2004-09-01,11.013,299.23724
2004-09,2004-09-01,10.763,299.2345
2004-09,2004-09-01,10.763,299.37894
2004-09,2004-09-01,10.513,299.08307
2004-09,2004-09-01,10.513,299.16425
2004-10,2004-10-01,11.013,299.92316
2004-10,2004-10-01,11.013,299.65033
2004-10,2004-10-01,10.763,300.0504
2004-10,2004-10-01,10.763,299.98962
2004-10,2004-10-01,10.513,300.0749
2004-10,2004-10-01,10.513,299.99725
2004-11,2004-11-01,11.013,300.42773
2004-11,2004-11-01,11.013,299.94183
2004-11,2004-11-01,10.763,300.5918
2004-11,2004-11-01,10.763,300.42896
2004-11,2004-11-01,10.513,300.741
2004-11,2004-11-01,10.513,300.55023
2004-12,2004-12-01,11.013,300.73132
2004-12,2004-12-01,11.013,300.52545
2004-12,2004-12-01,10.763,301.12164
2004-12,2004-12-01,10.763,301.62238
2004-12,2004-12-01,10.513,300.5822
2004-12,2004-12-01,10.513,300.94824
2005-01,2005-01-01,11.013,300.665
2005-01,2005-01-01,11.013,300.94727
2005-01,2005-01-01,10.763,300.89944
2005-01,2005-01-01,10.763,301.52274
2005-01,2005-01-01,10.513,300.37573
2005-01,2005-01-01,10.513,300.80136
2005-02,2005-02-01,11.013,301.41098
2005-02,2005-02-01,11.013,301.9704
2005-02,2005-02-01,10.763,301.70404
2005-02,2005-02-01,10.763,302.70648
2005-02,2005-02-01,10.513,300.97104
2005-02,2005-02-01,10.513,301.79974
2005-03,2005-03-01,11.013,302.29825
2005-03,2005-03-01,11.013,303.21274
2005-03,2005-03-01,10.763,302.39163
2005-03,2005-03-01,10.763,303.45703
2005-03,2005-03-01,10.513,301.47852
2005-03,2005-03-01,10.513,302.2962
2005-04,2005-04-01,11.013,301.4357
2005-04,2005-04-01,11.013,301.4379
2005-04,2005-04-01,10.763,301.52594
2005-04,2005-04-01,10.763,301.7725
2005-04,2005-04-01,10.513,301.3781
2005-04,2005-04-01,10.513,301.5229
2005-05,2005-05-01,11.013,301.88113
2005-05,2005-05-01,11.013,301.88727
2005-05,2005-05-01,10.763,301.91803
2005-05,2005-05-01,10.763,302.11542
2005-05,2005-05-01,10.513,301.79236
2005-05,2005-05-01,10.513,301.84402
2005-06,2005-06-01,11.013,299.8238
2005-06,2005-06-01,11.013,299.75772
2005-06,2005-06-01,10.763,299.9464
2005-06,2005-06-01,10.763,299.94574
2005-06,2005-06-01,10.513,299.90894
2005-06,2005-06-01,10.513,299.83173
2005-07,2005-07-01,11.013,299.04022
2005-07,2005-07-01,11.013,299.0087
2005-07,2005-07-01,10.763,299.17453
2005-07,2005-07-01,10.763,299.21945
2005-07,2005-07-01,10.513,299.1004
2005-07,2005-07-01,10.513,299.08157
2005-08,2005-08-01,11.013,299.2622
2005-08,2005-08-01,11.013,299.39557
2005-08,2005-08-01,10.763,299.399
2005-08,2005-08-01,10.763,299.58893
2005-08,2005-08-01,10.513,299.2764
2005-08,2005-08-01,10.513,299.3808
2005-09,2005-09-01,11.013,299.07257
2005-09,2005-09-01,11.013,299.05234
2005-09,2005-09-01,10.763,299.24084
2005-09,2005-09-01,10.763,299.29614
2005-09,2005-09-01,10.513,299.1745
2005-09,2005-09-01,10.513,299.15628
2005-10,2005-10-01,11.013,299.59445
2005-10,2005-10-01,11.013,299.56573
2005-10,2005-10-01,10.763,299.71365
2005-10,2005-10-01,10.763,299.74954
2005-10,2005-10-01,10.513,299.63254
2005-10,2005-10-01,10.513,299.61768
2005-11,2005-11-01,11.013,299.55258
2005-11,2005-11-01,11.013,299.2248
2005-11,2005-11-01,10.763,299.64355
2005-11,2005-11-01,10.763,299.4156
2005-11,2005-11-01,10.513,299.75018
2005-11,2005-11-01,10.513,299.4935
2005-12,2005-12-01,11.013,299.68842
2005-12,2005-12-01,11.013,299.3631
2005-12,2005-12-01,10.763,299.9137
2005-12,2005-12-01,10.763,299.83057
2005-12,2005-12-01,10.513,299.86282
2005-12,2005-12-01,10.513,299.73883
2006-01,2006-01-01,11.013,300.63675
2006-01,2006-01-01,11.013,300.62628
2006-01,2006-01-01,10.763,300.95227
2006-01,2006-01-01,10.763,301.5741
2006-01,2006-01-01,10.513,300.33743
2006-01,2006-01-01,10.513,300.7951
2006-02,2006-02-01,11.013,301.1586
2006-02,2006-02-01,11.013,301.3239
2006-02,2006-02-01,10.763,301.50162
2006-02,2006-02-01,10.763,302.26416
2006-02,2006-02-01,10.513,300.84393
2006-02,2006-02-01,10.513,301.45605
2006-03,2006-03-01,11.013,301.5769
2006-03,2006-03-01,11.013,302.21652
2006-03,2006-03-01,10.763,301.6062
2006-03,2006-03-01,10.763,302.44513
2006-03,2006-03-01,10.513,300.95197
2006-03,2006-03-01,10.513,301.58813
2006-04,2006-04-01,11.013,301.57462
2006-04,2006-04-01,11.013,301.75244
2006-04,2006-04-01,10.763,301.6885
2006-04,2006-04-01,10.763,302.0044
2006-04,2006-04-01,10.513,301.4801
2006-04,2006-04-01,10.513,301.62115
2006-05,2006-05-01,11.013,300.84177
2006-05,2006-05-01,11.013,300.7337
2006-05,2006-05-01,10.763,300.92896
2006-05,2006-05-01,10.763,300.97745
2006-05,2006-05-01,10.513,300.91238
2006-05,2006-05-01,10.513,300.8439
2006-06,2006-06-01,11.013,299.75363
2006-06,2006-06-01,11.013,299.68622
2006-06,2006-06-01,10.763,299.92328
2006-06,2006-06-01,10.763,299.9433
2006-06,2006-06-01,10.513,299.89725
2006-06,2006-06-01,10.513,299.8415
2006-07,2006-07-01,11.013,299.3143
2006-07,2006-07-01,11.013,299.34583
2006-07,2006-07-01,10.763,299.47552
2006-07,2006-07-01,10.763,299.59204
2006-07,2006-07-01,10.513,299.37625
2006-07,2006-07-01,10.513,299.41992
2006-08,2006-08-01,11.013,299.10345
2006-08,2006-08-01,11.013,299.1484
2006-08,2006-08-01,10.763,299.2474
2006-08,2006-08-01,10.763,299.4081
2006-08,2006-08-01,10.513,299.12564
2006-08,2006-08-01,10.513,299.22366
2006-09,2006-09-01,11.013,299.27753
2006-09,2006-09-01,11.013,299.2815
2006-09,2006-09-01,10.763,299.36798
2006-09,2006-09-01,10.763,299.45532
2006-09,2006-09-01,10.513,299.26306
2006-09,2006-09-01,10.513,299.2686
2006-10,2006-10-01,11.013,299.50833
2006-10,2006-10-01,11.013,299.3553
2006-10,2006-10-01,10.763,299.6045
2006-10,2006-10-01,10.763,299.60242
2006-10,2006-10-01,10.513,299.57574
2006-10,2006-10-01,10.513,299.5294
2006-11,2006-11-01,11.013,300.0017
2006-11,2006-11-01,11.013,299.81598
2006-11,2006-11-01,10.763,300.09726
2006-11,2006-11-01,10.763,300.09772
2006-11,2006-11-01,10.513,300.0832
2006-11,2006-11-01,10.513,300.04657
2006-12,2006-12-01,11.013,300.5149
2006-12,2006-12-01,11.013,300.0844
2006-12,2006-12-01,10.763,300.9876
2006-12,2006-12-01,10.763,301.2772
2006-12,2006-12-01,10.513,300.82898
2006-12,2006-12-01,10.513,301.17096
2007-01,2007-01-01,11.013,300.61374
