valid_time,time,latitude,t2m
2000-01,2000-01-01,21.091,291.44693
2000-01,2000-01-01,21.091,291.36307
2000-01,2000-01-01,20.841,291.04266
2000-01,2000-01-01,20.841,291.5142
2000-02,2000-02-01,21.091,289.4991
2000-02,2000-02-01,21.091,289.3984
2000-02,2000-02-01,20.841,289.16785
2000-02,2000-02-01,20.841,289.6161
2000-03,2000-03-01,21.091,293.4906
2000-03,2000-03-01,21.091,293.44836
2000-03,2000-03-01,20.841,293.11926
2000-03,2000-03-01,20.841,293.4863
2000-04,2000-04-01,21.091,298.5741
2000-04,2000-04-01,21.091,298.55414
2000-04,2000-04-01,20.841,298.16055
2000-04,2000-04-01,20.841,298.56332
2000-05,2000-05-01,21.091,300.48395
2000-05,2000-05-01,21.091,300.46527
2000-05,2000-05-01,20.841,299.9721
2000-05,2000-05-01,20.841,300.531
2000-06,2000-06-01,21.091,301.9015
2000-06,2000-06-01,21.091,301.97168
2000-06,2000-06-01,20.841,301.38696
2000-06,2000-06-01,20.841,302.08224
2000-07,2000-07-01,21.091,302.5373
2000-07,2000-07-01,21.091,302.61102
2000-07,2000-07-01,20.841,302.01593
2000-07,2000-07-01,20.841,302.71753
2000-08,2000-08-01,21.091,302.2406
2000-08,2000-08-01,21.091,302.28662
2000-08,2000-08-01,20.841,301.71753
2000-08,2000-08-01,20.841,302.37024
2000-09,2000-09-01,21.091,300.11563
2000-09,2000-09-01,21.091,300.0901
2000-09,2000-09-01,20.841,299.49164
2000-09,2000-09-01,20.841,300.05194
2000-10,2000-10-01,21.091,298.3825
2000-10,2000-10-01,21.091,298.30972
2000-10,2000-10-01,20.841,297.79947
2000-10,2000-10-01,20.841,298.3197
2000-11,2000-11-01,21.091,294.2823
2000-11,2000-11-01,21.091,294.169
2000-11,2000-11-01,20.841,293.72217
2000-11,2000-11-01,20.841,294.21814
2000-12,2000-12-01,21.091,292.9801
2000-12,2000-12-01,21.091,292.98938
2000-12,2000-12-01,20.841,292.43268
2000-12,2000-12-01,20.841,293.03558
2001-01,2001-01-01,21.091,291.63525
2001-01,2001-01-01,21.091,291.5419
2001-01,2001-01-01,20.841,291.13586
2001-01,2001-01-01,20.841,291.6435
2001-02,2001-02-01,21.091,290.66934
2001-02,2001-02-01,21.091,290.5231
2001-02,2001-02-01,20.841,290.21542
2001-02,2001-02-01,20.841,290.6558
2001-03,2001-03-01,21.091,294.80994
2001-03,2001-03-01,21.091,294.6916
2001-03,2001-03-01,20.841,294.36362
2001-03,2001-03-01,20.841,294.6846
2001-04,2001-04-01,21.091,298.03424
2001-04,2001-04-01,21.091,297.88412
2001-04,2001-04-01,20.841,297.6913
2001-04,2001-04-01,20.841,298.03964
2001-05,2001-05-01,21.091,300.3051
2001-05,2001-05-01,21.091,300.22726
2001-05,2001-05-01,20.841,299.77805
2001-05,2001-05-01,20.841,300.25607
2001-06,2001-06-01,21.091,302.1078
2001-06,2001-06-01,21.091,302.11053
2001-06,2001-06-01,20.841,301.66034
2001-06,2001-06-01,20.841,302.2488
2001-07,2001-07-01,21.091,302.32233
2001-07,2001-07-01,21.091,302.37048
2001-07,2001-07-01,20.841,301.88058
2001-07,2001-07-01,20.841,302.5151
2001-08,2001-08-01,21.091,301.83154
2001-08,2001-08-01,21.091,301.8076
2001-08,2001-08-01,20.841,301.20917
2001-08,2001-08-01,20.841,301.7547
2001-09,2001-09-01,21.091,301.2936
2001-09,2001-09-01,21.091,301.1645
2001-09,2001-09-01,20.841,300.59753
2001-09,2001-09-01,20.841,301.07947
2001-10,2001-10-01,21.091,299.2125
2001-10,2001-10-01,21.091,299.18512
2001-10,2001-10-01,20.841,298.56808
2001-10,2001-10-01,20.841,299.12192
2001-11,2001-11-01,21.091,293.80664
2001-11,2001-11-01,21.091,293.68744
2001-11,2001-11-01,20.841,293.18253
2001-11,2001-11-01,20.841,293.7091
2001-12,2001-12-01,21.091,290.68353
2001-12,2001-12-01,21.091,290.41644
2001-12,2001-12-01,20.841,290.2013
2001-12,2001-12-01,20.841,290.50406
2002-01,2002-01-01,21.091,290.29263
2002-01,2002-01-01,21.091,290.1926
2002-01,2002-01-01,20.841,289.84985
2002-01,2002-01-01,20.841,290.3098
2002-02,2002-02-01,21.091,292.70648
2002-02,2002-02-01,21.091,292.60812
2002-02,2002-02-01,20.841,292.24155
2002-02,2002-02-01,20.841,292.61923
2002-03,2002-03-01,21.091,295.66913
2002-03,2002-03-01,21.091,295.55927
2002-03,2002-03-01,20.841,295.18304
2002-03,2002-03-01,20.841,295.59717
2002-04,2002-04-01,21.091,299.32288
2002-04,2002-04-01,21.091,299.21152
2002-04,2002-04-01,20.841,298.87567
2002-04,2002-04-01,20.841,299.2069
2002-05,2002-05-01,21.091,300.9532
2002-05,2002-05-01,21.091,300.82178
2002-05,2002-05-01,20.841,300.44806
2002-05,2002-05-01,20.841,300.8998
2002-06,2002-06-01,21.091,302.65723
2002-06,2002-06-01,21.091,302.71426
2002-06,2002-06-01,20.841,302.2842
2002-06,2002-06-01,20.841,302.93384
2002-07,2002-07-01,21.091,302.67792
2002-07,2002-07-01,21.091,302.6547
2002-07,2002-07-01,20.841,302.1446
2002-07,2002-07-01,20.841,302.7062
2002-08,2002-08-01,21.091,301.4837
2002-08,2002-08-01,21.091,301.48212
2002-08,2002-08-01,20.841,300.94183
2002-08,2002-08-01,20.841,301.53058
2002-09,2002-09-01,21.091,300.74344
2002-09,2002-09-01,21.091,300.6443
2002-09,2002-09-01,20.841,300.0603
2002-09,2002-09-01,20.841,300.57367
2002-10,2002-10-01,21.091,298.2524
2002-10,2002-10-01,21.091,298.10995
2002-10,2002-10-01,20.841,297.71338
2002-10,2002-10-01,20.841,298.17072
2002-11,2002-11-01,21.091,293.9958
2002-11,2002-11-01,21.091,293.92572
2002-11,2002-11-01,20.841,293.481
2002-11,2002-11-01,20.841,294.0104
2002-12,2002-12-01,21.091,291.62622
2002-12,2002-12-01,21.091,291.59213
2002-12,2002-12-01,20.841,291.2467
2002-12,2002-12-01,20.841,291.79224
2003-01,2003-01-01,21.091,289.84467
2003-01,2003-01-01,21.091,289.68158
2003-01,2003-01-01,20.841,289.3535
2003-01,2003-01-01,20.841,289.7736
2003-02,2003-02-01,21.091,294.22717
2003-02,2003-02-01,21.091,294.1034
2003-02,2003-02-01,20.841,293.8344
2003-02,2003-02-01,20.841,294.25476
2003-03,2003-03-01,21.091,295.04092
2003-03,2003-03-01,21.091,294.9373
2003-03,2003-03-01,20.841,294.58484
2003-03,2003-03-01,20.841,295.02774
2003-04,2003-04-01,21.091,299.6293
2003-04,2003-04-01,21.091,299.50568
2003-04,2003-04-01,20.841,299.19272
2003-04,2003-04-01,20.841,299.63846
2003-05,2003-05-01,21.091,301.87872
2003-05,2003-05-01,21.091,301.83612
2003-05,2003-05-01,20.841,301.4134
2003-05,2003-05-01,20.841,302.05267
2003-06,2003-06-01,21.091,302.9237
2003-06,2003-06-01,21.091,302.95325
2003-06,2003-06-01,20.841,302.45596
2003-06,2003-06-01,20.841,303.19128
2003-07,2003-07-01,21.091,303.03607
2003-07,2003-07-01,21.091,303.18335
2003-07,2003-07-01,20.841,302.51508
2003-07,2003-07-01,20.841,303.3495
2003-08,2003-08-01,21.091,302.0169
2003-08,2003-08-01,21.091,302.01874
2003-08,2003-08-01,20.841,301.49683
2003-08,2003-08-01,20.841,302.05908
2003-09,2003-09-01,21.091,300.7187
2003-09,2003-09-01,21.091,300.72833
2003-09,2003-09-01,20.841,300.0972
2003-09,2003-09-01,20.841,300.6717
2003-10,2003-10-01,21.091,299.2619
2003-10,2003-10-01,21.091,299.27222
2003-10,2003-10-01,20.841,298.6988
2003-10,2003-10-01,20.841,299.3393
2003-11,2003-11-01,21.091,296.27692
2003-11,2003-11-01,21.091,296.34247
2003-11,2003-11-01,20.841,295.80267
2003-11,2003-11-01,20.841,296.42963
2003-12,2003-12-01,21.091,291.14575
2003-12,2003-12-01,21.091,291.06458
2003-12,2003-12-01,20.841,290.62
2003-12,2003-12-01,20.841,291.1979
2004-01,2004-01-01,21.091,290.21027
2004-01,2004-01-01,21.091,290.21533
2004-01,2004-01-01,20.841,289.86993
