valid_time,time,latitude,t2m
2000-01,2000-01-01,45.821,250.98854
2000-01,2000-01-01,45.821,250.86572
2000-01,2000-01-01,45.571,251.03156
2000-01,2000-01-01,45.571,250.88042
2000-02,2000-02-01,45.821,257.83652
2000-02,2000-02-01,45.821,257.84415
2000-02,2000-02-01,45.571,257.8285
2000-02,2000-02-01,45.571,257.68488
2000-03,2000-03-01,45.821,271.19955
2000-03,2000-03-01,45.821,271.1521
2000-03,2000-03-01,45.571,271.27374
2000-03,2000-03-01,45.571,271.14502
2000-04,2000-04-01,45.821,279.96677
2000-04,2000-04-01,45.821,279.90338
2000-04,2000-04-01,45.571,279.99677
2000-04,2000-04-01,45.571,279.88583
2000-05,2000-05-01,45.821,289.4458
2000-05,2000-05-01,45.821,289.2547
2000-05,2000-05-01,45.571,289.45352
2000-05,2000-05-01,45.571,289.27725
2000-06,2000-06-01,45.821,296.5097
2000-06,2000-06-01,45.821,296.29446
2000-06,2000-06-01,45.571,296.2929
2000-06,2000-06-01,45.571,296.0989
2000-07,2000-07-01,45.821,297.93793
2000-07,2000-07-01,45.821,297.8495
2000-07,2000-07-01,45.571,297.8538
2000-07,2000-07-01,45.571,297.60834
2000-08,2000-08-01,45.821,296.23068
2000-08,2000-08-01,45.821,296.19992
2000-08,2000-08-01,45.571,296.2469
2000-08,2000-08-01,45.571,296.1293
2000-09,2000-09-01,45.821,289.89764
2000-09,2000-09-01,45.821,289.81165
2000-09,2000-09-01,45.571,289.92816
2000-09,2000-09-01,45.571,289.716
2000-10,2000-10-01,45.821,278.59174
2000-10,2000-10-01,45.821,278.5384
2000-10,2000-10-01,45.571,278.69147
2000-10,2000-10-01,45.571,278.51657
2000-11,2000-11-01,45.821,264.99164
2000-11,2000-11-01,45.821,265.04742
2000-11,2000-11-01,45.571,265.18756
2000-11,2000-11-01,45.571,265.11685
2000-12,2000-12-01,45.821,252.08502
2000-12,2000-12-01,45.821,252.11726
2000-12,2000-12-01,45.571,252.42087
2000-12,2000-12-01,45.571,252.4576
2001-01,2001-01-01,45.821,248.53366
2001-01,2001-01-01,45.821,248.48001
2001-01,2001-01-01,45.571,248.59537
2001-01,2001-01-01,45.571,248.4034
2001-02,2001-02-01,45.821,255.17657
2001-02,2001-02-01,45.821,255.19122
2001-02,2001-02-01,45.571,255.43576
2001-02,2001-02-01,45.571,255.22653
2001-03,2001-03-01,45.821,268.18185
2001-03,2001-03-01,45.821,268.10303
2001-03,2001-03-01,45.571,268.19858
2001-03,2001-03-01,45.571,268.017
2001-04,2001-04-01,45.821,281.61502
2001-04,2001-04-01,45.821,281.5753
2001-04,2001-04-01,45.571,281.79343
2001-04,2001-04-01,45.571,281.7098
2001-05,2001-05-01,45.821,289.70004
2001-05,2001-05-01,45.821,289.60938
2001-05,2001-05-01,45.571,289.82104
2001-05,2001-05-01,45.571,289.66965
2001-06,2001-06-01,45.821,295.8958
2001-06,2001-06-01,45.821,295.76343
2001-06,2001-06-01,45.571,295.82635
2001-06,2001-06-01,45.571,295.6328
2001-07,2001-07-01,45.821,297.639
2001-07,2001-07-01,45.821,297.44003
2001-07,2001-07-01,45.571,297.58057
2001-07,2001-07-01,45.571,297.3251
2001-08,2001-08-01,45.821,294.89523
2001-08,2001-08-01,45.821,294.77347
2001-08,2001-08-01,45.571,294.8901
2001-08,2001-08-01,45.571,294.63376
2001-09,2001-09-01,45.821,288.61108
2001-09,2001-09-01,45.821,288.4626
2001-09,2001-09-01,45.571,288.70245
2001-09,2001-09-01,45.571,288.45178
2001-10,2001-10-01,45.821,281.38925
2001-10,2001-10-01,45.821,281.38434
2001-10,2001-10-01,45.571,281.55222
2001-10,2001-10-01,45.571,281.38037
2001-11,2001-11-01,45.821,269.72293
2001-11,2001-11-01,45.821,269.71948
2001-11,2001-11-01,45.571,269.90744
2001-11,2001-11-01,45.571,269.747
2001-12,2001-12-01,45.821,258.26788
2001-12,2001-12-01,45.821,258.23746
2001-12,2001-12-01,45.571,258.56744
2001-12,2001-12-01,45.571,258.4302
2002-01,2002-01-01,45.821,257.81262
2002-01,2002-01-01,45.821,257.64404
2002-01,2002-01-01,45.571,258.36786
2002-01,2002-01-01,45.571,258.0236
2002-02,2002-02-01,45.821,263.86377
2002-02,2002-02-01,45.821,263.57037
2002-02,2002-02-01,45.571,264.55
2002-02,2002-02-01,45.571,263.921
2002-03,2002-03-01,45.821,274.27454
2002-03,2002-03-01,45.821,274.17096
2002-03,2002-03-01,45.571,274.36414
2002-03,2002-03-01,45.571,274.20407
2002-04,2002-04-01,45.821,281.65137
2002-04,2002-04-01,45.821,281.54242
2002-04,2002-04-01,45.571,281.78137
2002-04,2002-04-01,45.571,281.59854
2002-05,2002-05-01,45.821,290.60706
2002-05,2002-05-01,45.821,290.45056
2002-05,2002-05-01,45.571,290.63266
2002-05,2002-05-01,45.571,290.32928
2002-06,2002-06-01,45.821,293.1903
2002-06,2002-06-01,45.821,293.0502
2002-06,2002-06-01,45.571,293.20847
2002-06,2002-06-01,45.571,292.95197
2002-07,2002-07-01,45.821,296.38968
2002-07,2002-07-01,45.821,296.32318
2002-07,2002-07-01,45.571,296.32468
2002-07,2002-07-01,45.571,296.1813
2002-08,2002-08-01,45.821,293.30588
2002-08,2002-08-01,45.821,293.2239
2002-08,2002-08-01,45.571,293.35687
2002-08,2002-08-01,45.571,293.2251
2002-09,2002-09-01,45.821,289.32733
2002-09,2002-09-01,45.821,289.22644
2002-09,2002-09-01,45.571,289.43588
2002-09,2002-09-01,45.571,289.17136
2002-10,2002-10-01,45.821,276.56415
2002-10,2002-10-01,45.821,276.57135
2002-10,2002-10-01,45.571,276.7194
2002-10,2002-10-01,45.571,276.60687
2002-11,2002-11-01,45.821,263.50946
2002-11,2002-11-01,45.821,263.4931
2002-11,2002-11-01,45.571,263.8216
2002-11,2002-11-01,45.571,263.66022
2002-12,2002-12-01,45.821,257.89133
2002-12,2002-12-01,45.821,257.85977
2002-12,2002-12-01,45.571,258.23148
2002-12,2002-12-01,45.571,258.12814
2003-01,2003-01-01,45.821,257.31372
2003-01,2003-01-01,45.821,257.15845
2003-01,2003-01-01,45.571,257.5599
2003-01,2003-01-01,45.571,257.34937
2003-02,2003-02-01,45.821,264.19183
2003-02,2003-02-01,45.821,264.0263
2003-02,2003-02-01,45.571,264.48004
2003-02,2003-02-01,45.571,264.10397
2003-03,2003-03-01,45.821,273.21777
2003-03,2003-03-01,45.821,273.21417
2003-03,2003-03-01,45.571,273.3
2003-03,2003-03-01,45.571,273.22156
2003-04,2003-04-01,45.821,282.79602
2003-04,2003-04-01,45.821,282.72107
2003-04,2003-04-01,45.571,282.91486
2003-04,2003-04-01,45.571,282.73547
2003-05,2003-05-01,45.821,289.47333
2003-05,2003-05-01,45.821,289.33768
2003-05,2003-05-01,45.571,289.57117
2003-05,2003-05-01,45.571,289.31158
2003-06,2003-06-01,45.821,294.51077
2003-06,2003-06-01,45.821,294.4109
2003-06,2003-06-01,45.571,294.4594
2003-06,2003-06-01,45.571,294.2777
2003-07,2003-07-01,45.821,295.53287
2003-07,2003-07-01,45.821,295.4384
2003-07,2003-07-01,45.571,295.52698
2003-07,2003-07-01,45.571,295.348
2003-08,2003-08-01,45.821,294.0288
2003-08,2003-08-01,45.821,293.94778
2003-08,2003-08-01,45.571,294.0331
2003-08,2003-08-01,45.571,293.85696
2003-09,2003-09-01,45.821,288.9662
2003-09,2003-09-01,45.821,288.93307
2003-09,2003-09-01,45.571,289.03882
2003-09,2003-09-01,45.571,288.90652
2003-10,2003-10-01,45.821,280.16858
2003-10,2003-10-01,45.821,280.17108
2003-10,2003-10-01,45.571,280.2962
2003-10,2003-10-01,45.571,280.15097
2003-11,2003-11-01,45.821,266.94925
2003-11,2003-11-01,45.821,266.9875
2003-11,2003-11-01,45.571,267.24692
2003-11,2003-11-01,45.571,267.10025
2003-12,2003-12-01,45.821,258.44623
2003-12,2003-12-01,45.821,258.1489
2003-12,2003-12-01,45.571,258.66315
2003-12,2003-12-01,45.571,258.20322
2004-01,2004-01-01,45.821,255.20099
2004-01,2004-01-01,45.821,254.71672
2004-01,2004-01-01,45.571,255.53127
2004-01,2004-01-01,45.571,255.01651
2004-02,2004-02-01,45.821,261.52667
2004-02,2004-02-01,45.821,261.25592
2004-02,2004-02-01,45.571,261.9259
2004-02,2004-02-01,45.571,261.4839
2004-03,2004-03-01,45.821,271.0508
2004-03,2004-03-01,45.821,270.91092
2004-03,2004-03-01,45.571,271.26364
2004-03,2004-03-01,45.571,271.0669
2004-04,2004-04-01,45.821,280.56647
2004-04,2004-04-01,45.821,280.49475
2004-04,2004-04-01,45.571,280.88306
2004-04,2004-04-01,45.571,280.74774
2004-05,2004-05-01,45.821,288.66156
2004-05,2004-05-01,45.821,288.5674
2004-05,2004-05-01,45.571,288.7694
2004-05,2004-05-01,45.571,288.59003
2004-06,2004-06-01,45.821,296.76562
2004-06,2004-06-01,45.821,296.56754
2004-06,2004-06-01,45.571,296.70483
2004-06,2004-06-01,45.571,296.44046
2004-07,2004-07-01,45.821,295.9335
2004-07,2004-07-01,45.821,295.8108
2004-07,2004-07-01,45.571,295.807
2004-07,2004-07-01,45.571,295.6728
2004-08,2004-08-01,45.821,294.6919
2004-08,2004-08-01,45.821,294.47583
2004-08,2004-08-01,45.571,294.61
2004-08,2004-08-01,45.571,294.3252
2004-09,2004-09-01,45.821,289.7025
2004-09,2004-09-01,45.821,289.66623
2004-09,2004-09-01,45.571,289.8777
2004-09,2004-09-01,45.571,289.70563
2004-10,2004-10-01,45.821,281.47836
2004-10,2004-10-01,45.821,281.48175
2004-10,2004-10-01,45.571,281.73862
2004-10,2004-10-01,45.571,281.58994
2004-11,2004-11-01,45.821,270.74658
2004-11,2004-11-01,45.821,270.7899
2004-11,2004-11-01,45.571,270.89917
2004-11,2004-11-01,45.571,270.8243
2004-12,2004-12-01,45.821,258.02072
2004-12,2004-12-01,45.821,258.17935
2004-12,2004-12-01,45.571,258.41135
2004-12,2004-12-01,45.571,258.4184
2005-01,2005-01-01,45.821,257.8933
2005-01,2005-01-01,45.821,258.02563
2005-01,2005-01-01,45.571,258.08875
2005-01,2005-01-01,45.571,258.1331
2005-02,2005-02-01,45.821,257.0025
2005-02,2005-02-01,45.821,257.1283
2005-02,2005-02-01,45.571,257.29587
2005-02,2005-02-01,45.571,257.3562
2005-03,2005-03-01,45.821,269.3839
2005-03,2005-03-01,45.821,269.38907
2005-03,2005-03-01,45.571,269.48218
2005-03,2005-03-01,45.571,269.42953
2005-04,2005-04-01,45.821,280.60565
2005-04,2005-04-01,45.821,280.57104
2005-04,2005-04-01,45.571,280.82083
2005-04,2005-04-01,45.571,280.69968
2005-05,2005-05-01,45.821,287.32867
2005-05,2005-05-01,45.821,287.15195
2005-05,2005-05-01,45.571,287.3769
2005-05,2005-05-01,45.571,287.141
