valid_time,time,latitude,t2m
2000-01,2000-01-01,22.964,295.27612
2000-01,2000-01-01,22.964,294.67175
2000-02,2000-02-01,22.964,295.85107
2000-02,2000-02-01,22.964,295.41565
2000-03,2000-03-01,22.964,297.64426
2000-03,2000-03-01,22.964,297.19208
2000-04,2000-04-01,22.964,297.96613
2000-04,2000-04-01,22.964,297.56735
2000-05,2000-05-01,22.964,299.96713
2000-05,2000-05-01,22.964,299.7864
2000-06,2000-06-01,22.964,300.09085
2000-06,2000-06-01,22.964,300.14764
2000-07,2000-07-01,22.964,301.20422
2000-07,2000-07-01,22.964,301.2635
2000-08,2000-08-01,22.964,300.64456
2000-08,2000-08-01,22.964,300.4677
2000-09,2000-09-01,22.964,300.38235
2000-09,2000-09-01,22.964,300.20795
2000-10,2000-10-01,22.964,298.58542
2000-10,2000-10-01,22.964,298.11435
2000-11,2000-11-01,22.964,297.0981
2000-11,2000-11-01,22.964,296.69995
2000-12,2000-12-01,22.964,295.7911
2000-12,2000-12-01,22.964,295.36948
2001-01,2001-01-01,22.964,292.8452
2001-01,2001-01-01,22.964,292.1104
2001-02,2001-02-01,22.964,296.98676
2001-02,2001-02-01,22.964,296.72192
2001-03,2001-03-01,22.964,296.8791
2001-03,2001-03-01,22.964,296.54208
2001-04,2001-04-01,22.964,298.18286
2001-04,2001-04-01,22.964,297.9781
2001-05,2001-05-01,22.964,298.40125
2001-05,2001-05-01,22.964,298.17142
2001-06,2001-06-01,22.964,301.1479
2001-06,2001-06-01,22.964,301.00266
2001-07,2001-07-01,22.964,300.8581
2001-07,2001-07-01,22.964,300.7196
2001-08,2001-08-01,22.964,301.55893
2001-08,2001-08-01,22.964,301.3404
2001-09,2001-09-01,22.964,299.94916
2001-09,2001-09-01,22.964,299.59576
2001-10,2001-10-01,22.964,299.47977
2001-10,2001-10-01,22.964,299.21497
2001-11,2001-11-01,22.964,296.54675
2001-11,2001-11-01,22.964,296.02118
2001-12,2001-12-01,22.964,296.86298
2001-12,2001-12-01,22.964,296.3825
2002-01,2002-01-01,22.964,295.6658
2002-01,2002-01-01,22.964,295.20398
2002-02,2002-02-01,22.964,295.95935
2002-02,2002-02-01,22.964,295.5555
2002-03,2002-03-01,22.964,297.54248
2002-03,2002-03-01,22.964,297.2617
2002-04,2002-04-01,22.964,298.99866
2002-04,2002-04-01,22.964,298.74533
2002-05,2002-05-01,22.964,299.74506
2002-05,2002-05-01,22.964,299.5827
2002-06,2002-06-01,22.964,300.14923
2002-06,2002-06-01,22.964,299.92664
2002-07,2002-07-01,22.964,300.9334
2002-07,2002-07-01,22.964,300.77292
2002-08,2002-08-01,22.964,300.93637
2002-08,2002-08-01,22.964,300.7509
2002-09,2002-09-01,22.964,300.19354
2002-09,2002-09-01,22.964,299.9433
2002-10,2002-10-01,22.964,299.5116
2002-10,2002-10-01,22.964,299.245
2002-11,2002-11-01,22.964,297.6747
2002-11,2002-11-01,22.964,297.29242
2002-12,2002-12-01,22.964,296.10922
2002-12,2002-12-01,22.964,295.76056
2003-01,2003-01-01,22.964,293.24194
2003-01,2003-01-01,22.964,292.641
2003-02,2003-02-01,22.964,296.5504
2003-02,2003-02-01,22.964,296.32874
2003-03,2003-03-01,22.964,298.85696
2003-03,2003-03-01,22.964,298.6637
2003-04,2003-04-01,22.964,297.68707
2003-04,2003-04-01,22.964,297.4637
2003-05,2003-05-01,22.964,300.43762
2003-05,2003-05-01,22.964,300.2933
2003-06,2003-06-01,22.964,300.75583
2003-06,2003-06-01,22.964,300.3628
2003-07,2003-07-01,22.964,301.4109
2003-07,2003-07-01,22.964,301.1159
2003-08,2003-08-01,22.964,301.0586
2003-08,2003-08-01,22.964,300.80786
2003-09,2003-09-01,22.964,301.05453
2003-09,2003-09-01,22.964,300.57724
2003-10,2003-10-01,22.964,300.56964
2003-10,2003-10-01,22.964,300.137
2003-11,2003-11-01,22.964,298.5155
2003-11,2003-11-01,22.964,298.00885
2003-12,2003-12-01,22.964,295.44324
2003-12,2003-12-01,22.964,294.86554
2004-01,2004-01-01,22.964,294.9729
2004-01,2004-01-01,22.964,294.43314
2004-02,2004-02-01,22.964,295.92477
2004-02,2004-02-01,22.964,295.7134
2004-03,2004-03-01,22.964,296.64175
2004-03,2004-03-01,22.964,296.35385
2004-04,2004-04-01,22.964,297.52966
2004-04,2004-04-01,22.964,297.39062
2004-05,2004-05-01,22.964,299.49146
2004-05,2004-05-01,22.964,299.38828
2004-06,2004-06-01,22.964,301.40295
2004-06,2004-06-01,22.964,301.15057
2004-07,2004-07-01,22.964,300.539
2004-07,2004-07-01,22.964,300.30585
2004-08,2004-08-01,22.964,301.02786
2004-08,2004-08-01,22.964,300.96292
2004-09,2004-09-01,22.964,300.46402
2004-09,2004-09-01,22.964,300.3792
2004-10,2004-10-01,22.964,299.4523
2004-10,2004-10-01,22.964,299.11264
2004-11,2004-11-01,22.964,297.74936
