valid_time,time,latitude,t2m
2000-01,2000-01-01,31.932,274.67792
2000-01,2000-01-01,31.932,274.93707
2000-01,2000-01-01,31.682,275.0037
2000-01,2000-01-01,31.682,275.3651
2000-02,2000-02-01,31.932,277.47067
2000-02,2000-02-01,31.932,277.51062
2000-02,2000-02-01,31.682,277.6781
2000-02,2000-02-01,31.682,277.74683
2000-03,2000-03-01,31.932,284.91003
2000-03,2000-03-01,31.932,284.8853
2000-03,2000-03-01,31.682,285.1076
2000-03,2000-03-01,31.682,285.0781
2000-04,2000-04-01,31.932,290.6901
2000-04,2000-04-01,31.932,290.70093
2000-04,2000-04-01,31.682,290.86118
2000-04,2000-04-01,31.682,290.90518
2000-05,2000-05-01,31.932,296.4121
2000-05,2000-05-01,31.932,296.44788
2000-05,2000-05-01,31.682,296.53668
2000-05,2000-05-01,31.682,296.59933
2000-06,2000-06-01,31.932,299.14194
2000-06,2000-06-01,31.932,299.16904
2000-06,2000-06-01,31.682,299.32574
2000-06,2000-06-01,31.682,299.36392
2000-07,2000-07-01,31.932,302.9337
2000-07,2000-07-01,31.932,302.90085
2000-07,2000-07-01,31.682,303.18042
2000-07,2000-07-01,31.682,303.10837
2000-08,2000-08-01,31.932,301.4146
2000-08,2000-08-01,31.932,301.40192
2000-08,2000-08-01,31.682,301.60944
2000-08,2000-08-01,31.682,301.57224
2000-09,2000-09-01,31.932,296.95953
2000-09,2000-09-01,31.932,297.0736
2000-09,2000-09-01,31.682,297.1881
2000-09,2000-09-01,31.682,297.3154
2000-10,2000-10-01,31.932,290.65503
2000-10,2000-10-01,31.932,290.83255
2000-10,2000-10-01,31.682,290.90326
2000-10,2000-10-01,31.682,291.1273
2000-11,2000-11-01,31.932,282.59674
2000-11,2000-11-01,31.932,282.8199
2000-11,2000-11-01,31.682,282.84064
2000-11,2000-11-01,31.682,283.12732
2000-12,2000-12-01,31.932,280.09213
2000-12,2000-12-01,31.932,280.28735
2000-12,2000-12-01,31.682,280.24194
2000-12,2000-12-01,31.682,280.5046
2001-01,2001-01-01,31.932,276.74847
2001-01,2001-01-01,31.932,276.95084
2001-01,2001-01-01,31.682,277.08527
2001-01,2001-01-01,31.682,277.34985
2001-02,2001-02-01,31.932,278.79962
2001-02,2001-02-01,31.932,278.94727
2001-02,2001-02-01,31.682,279.02884
2001-02,2001-02-01,31.682,279.22095
2001-03,2001-03-01,31.932,284.7855
2001-03,2001-03-01,31.932,284.7752
2001-03,2001-03-01,31.682,285.15195
2001-03,2001-03-01,31.682,285.13977
2001-04,2001-04-01,31.932,289.1638
2001-04,2001-04-01,31.932,289.19458
2001-04,2001-04-01,31.682,289.38922
2001-04,2001-04-01,31.682,289.4509
2001-05,2001-05-01,31.932,296.3824
2001-05,2001-05-01,31.932,296.4331
2001-05,2001-05-01,31.682,296.36182
2001-05,2001-05-01,31.682,296.46143
2001-06,2001-06-01,31.932,298.24652
2001-06,2001-06-01,31.932,298.1902
2001-06,2001-06-01,31.682,298.3523
2001-06,2001-06-01,31.682,298.28482
2001-07,2001-07-01,31.932,303.31543
2001-07,2001-07-01,31.932,303.451
2001-07,2001-07-01,31.682,303.47137
2001-07,2001-07-01,31.682,303.57437
2001-08,2001-08-01,31.932,299.7739
2001-08,2001-08-01,31.932,299.92328
2001-08,2001-08-01,31.682,299.81198
2001-08,2001-08-01,31.682,299.97232
2001-09,2001-09-01,31.932,297.512
2001-09,2001-09-01,31.932,297.6809
2001-09,2001-09-01,31.682,297.50934
2001-09,2001-09-01,31.682,297.6572
2001-10,2001-10-01,31.932,291.36713
2001-10,2001-10-01,31.932,291.5604
2001-10,2001-10-01,31.682,291.66
2001-10,2001-10-01,31.682,291.88202
2001-11,2001-11-01,31.932,284.289
2001-11,2001-11-01,31.932,284.57153
2001-11,2001-11-01,31.682,284.51114
2001-11,2001-11-01,31.682,284.9062
2001-12,2001-12-01,31.932,277.37085
2001-12,2001-12-01,31.932,277.63263
2001-12,2001-12-01,31.682,277.737
2001-12,2001-12-01,31.682,278.0678
2002-01,2002-01-01,31.932,278.63336
2002-01,2002-01-01,31.932,278.79443
2002-01,2002-01-01,31.682,278.9093
2002-01,2002-01-01,31.682,279.11365
2002-02,2002-02-01,31.932,281.55002
2002-02,2002-02-01,31.932,281.59863
2002-02,2002-02-01,31.682,281.80634
2002-02,2002-02-01,31.682,281.86328
2002-03,2002-03-01,31.932,285.823
2002-03,2002-03-01,31.932,285.927
2002-03,2002-03-01,31.682,286.03497
2002-03,2002-03-01,31.682,286.15726
2002-04,2002-04-01,31.932,290.02487
2002-04,2002-04-01,31.932,290.0756
2002-04,2002-04-01,31.682,290.33316
2002-04,2002-04-01,31.682,290.37488
2002-05,2002-05-01,31.932,292.91992
2002-05,2002-05-01,31.932,292.99277
2002-05,2002-05-01,31.682,293.08322
2002-05,2002-05-01,31.682,293.18536
2002-06,2002-06-01,31.932,299.99237
2002-06,2002-06-01,31.932,299.95026
2002-06,2002-06-01,31.682,300.24405
2002-06,2002-06-01,31.682,300.19556
2002-07,2002-07-01,31.932,301.78757
2002-07,2002-07-01,31.932,301.933
2002-07,2002-07-01,31.682,302.00296
2002-07,2002-07-01,31.682,302.16608
2002-08,2002-08-01,31.932,300.10663
2002-08,2002-08-01,31.932,300.2035
2002-08,2002-08-01,31.682,300.35458
2002-08,2002-08-01,31.682,300.44882
2002-09,2002-09-01,31.932,296.93677
2002-09,2002-09-01,31.932,297.11267
2002-09,2002-09-01,31.682,297.14938
2002-09,2002-09-01,31.682,297.33936
2002-10,2002-10-01,31.932,291.21503
2002-10,2002-10-01,31.932,291.43347
2002-10,2002-10-01,31.682,291.42728
2002-10,2002-10-01,31.682,291.7033
2002-11,2002-11-01,31.932,284.27893
2002-11,2002-11-01,31.932,284.4779
2002-11,2002-11-01,31.682,284.58026
