valid_time,time,latitude,t2m
2000-01,2000-01-01,60.139,270.55972
2000-01,2000-01-01,60.139,270.47595
2000-01,2000-01-01,60.139,270.4376
2000-02,2000-02-01,60.139,270.26147
2000-02,2000-02-01,60.139,270.22626
2000-02,2000-02-01,60.139,270.25195
2000-03,2000-03-01,60.139,271.21362
2000-03,2000-03-01,60.139,271.30463
2000-03,2000-03-01,60.139,271.40622
2000-04,2000-04-01,60.139,277.28906
2000-04,2000-04-01,60.139,277.45218
2000-04,2000-04-01,60.139,277.46048
2000-05,2000-05-01,60.139,281.27917
2000-05,2000-05-01,60.139,281.41583
2000-05,2000-05-01,60.139,281.3343
2000-06,2000-06-01,60.139,285.07202
2000-06,2000-06-01,60.139,285.23114
2000-06,2000-06-01,60.139,285.1711
2000-07,2000-07-01,60.139,289.15228
2000-07,2000-07-01,60.139,289.30463
2000-07,2000-07-01,60.139,289.40442
2000-08,2000-08-01,60.139,288.5731
2000-08,2000-08-01,60.139,288.65094
2000-08,2000-08-01,60.139,288.73407
2000-09,2000-09-01,60.139,284.16614
2000-09,2000-09-01,60.139,284.19867
2000-09,2000-09-01,60.139,284.29126
2000-10,2000-10-01,60.139,282.564
2000-10,2000-10-01,60.139,282.52008
2000-10,2000-10-01,60.139,282.52365
2000-11,2000-11-01,60.139,278.22296
2000-11,2000-11-01,60.139,278.14435
2000-11,2000-11-01,60.139,278.10678
2000-12,2000-12-01,60.139,274.49368
2000-12,2000-12-01,60.139,274.4254
2000-12,2000-12-01,60.139,274.3647
2001-01,2001-01-01,60.139,271.9599
2001-01,2001-01-01,60.139,271.88318
2001-01,2001-01-01,60.139,271.86276
2001-02,2001-02-01,60.139,265.87323
2001-02,2001-02-01,60.139,265.95438
2001-02,2001-02-01,60.139,266.10513
2001-03,2001-03-01,60.139,268.69016
2001-03,2001-03-01,60.139,268.60538
2001-03,2001-03-01,60.139,268.59506
2001-04,2001-04-01,60.139,276.72382
2001-04,2001-04-01,60.139,276.86273
2001-04,2001-04-01,60.139,276.87622
2001-05,2001-05-01,60.139,280.90262
2001-05,2001-05-01,60.139,281.00204
2001-05,2001-05-01,60.139,280.9286
2001-06,2001-06-01,60.139,285.02295
2001-06,2001-06-01,60.139,285.16888
2001-06,2001-06-01,60.139,285.1088
2001-07,2001-07-01,60.139,292.17862
2001-07,2001-07-01,60.139,292.31717
2001-07,2001-07-01,60.139,292.3433
2001-08,2001-08-01,60.139,289.50754
2001-08,2001-08-01,60.139,289.55087
2001-08,2001-08-01,60.139,289.54193
2001-09,2001-09-01,60.139,285.84302
2001-09,2001-09-01,60.139,285.83987
2001-09,2001-09-01,60.139,285.86945
2001-10,2001-10-01,60.139,282.019
2001-10,2001-10-01,60.139,281.96515
2001-10,2001-10-01,60.139,281.93933
2001-11,2001-11-01,60.139,274.33023
2001-11,2001-11-01,60.139,274.2875
2001-11,2001-11-01,60.139,274.30853
2001-12,2001-12-01,60.139,267.28452
2001-12,2001-12-01,60.139,267.09045
2001-12,2001-12-01,60.139,267.09988
2002-01,2002-01-01,60.139,269.46683
2002-01,2002-01-01,60.139,269.46826
2002-01,2002-01-01,60.139,269.43225
2002-02,2002-02-01,60.139,271.76053
2002-02,2002-02-01,60.139,271.9455
2002-02,2002-02-01,60.139,271.99936
2002-03,2002-03-01,60.139,272.47995
2002-03,2002-03-01,60.139,272.6395
2002-03,2002-03-01,60.139,272.6817
2002-04,2002-04-01,60.139,276.66156
2002-04,2002-04-01,60.139,276.83426
2002-04,2002-04-01,60.139,276.86594
2002-05,2002-05-01,60.139,281.9255
2002-05,2002-05-01,60.139,282.18704
2002-05,2002-05-01,60.139,282.14194
2002-06,2002-06-01,60.139,286.48172
2002-06,2002-06-01,60.139,286.6304
2002-06,2002-06-01,60.139,286.48148
2002-07,2002-07-01,60.139,291.39813
2002-07,2002-07-01,60.139,291.5111
2002-07,2002-07-01,60.139,291.515
2002-08,2002-08-01,60.139,292.15875
2002-08,2002-08-01,60.139,292.20367
2002-08,2002-08-01,60.139,292.1269
2002-09,2002-09-01,60.139,285.07092
2002-09,2002-09-01,60.139,285.0381
2002-09,2002-09-01,60.139,285.0111
2002-10,2002-10-01,60.139,275.23242
2002-10,2002-10-01,60.139,275.1472
2002-10,2002-10-01,60.139,275.19952
2002-11,2002-11-01,60.139,272.29886
2002-11,2002-11-01,60.139,272.2688
2002-11,2002-11-01,60.139,272.35083
2002-12,2002-12-01,60.139,265.84448
2002-12,2002-12-01,60.139,265.79138
2002-12,2002-12-01,60.139,265.7374
2003-01,2003-01-01,60.139,264.2962
2003-01,2003-01-01,60.139,264.28268
2003-01,2003-01-01,60.139,264.23297
2003-02,2003-02-01,60.139,267.06268
2003-02,2003-02-01,60.139,267.0769
2003-02,2003-02-01,60.139,267.065
2003-03,2003-03-01,60.139,271.0967
2003-03,2003-03-01,60.139,271.12247
2003-03,2003-03-01,60.139,271.07172
2003-04,2003-04-01,60.139,274.53806
2003-04,2003-04-01,60.139,274.6144
2003-04,2003-04-01,60.139,274.59186
2003-05,2003-05-01,60.139,280.84958
2003-05,2003-05-01,60.139,281.02786
2003-05,2003-05-01,60.139,281.00983
