valid_time,time,latitude,t2m
2000-01,2000-01-01,11.078,300.30524
2000-01,2000-01-01,11.078,300.2245
2000-01,2000-01-01,11.078,299.8391
2000-01,2000-01-01,10.828,300.01404
2000-01,2000-01-01,10.828,299.97937
2000-01,2000-01-01,10.828,299.76044
2000-01,2000-01-01,10.578,299.65616
2000-01,2000-01-01,10.578,299.68225
2000-01,2000-01-01,10.578,299.57785
2000-02,2000-02-01,11.078,301.0668
2000-02,2000-02-01,11.078,300.87692
2000-02,2000-02-01,11.078,300.35193
2000-02,2000-02-01,10.828,300.74817
2000-02,2000-02-01,10.828,300.5755
2000-02,2000-02-01,10.828,300.17447
2000-02,2000-02-01,10.578,300.24826
2000-02,2000-02-01,10.578,300.0585
2000-02,2000-02-01,10.578,299.7792
2000-03,2000-03-01,11.078,301.77472
2000-03,2000-03-01,11.078,301.58667
2000-03,2000-03-01,11.078,301.028
2000-03,2000-03-01,10.828,301.60144
2000-03,2000-03-01,10.828,301.49274
2000-03,2000-03-01,10.828,301.123
2000-03,2000-03-01,10.578,301.31247
2000-03,2000-03-01,10.578,301.17212
2000-03,2000-03-01,10.578,300.9361
2000-04,2000-04-01,11.078,302.01907
2000-04,2000-04-01,11.078,301.9317
2000-04,2000-04-01,11.078,301.5493
2000-04,2000-04-01,10.828,301.90387
2000-04,2000-04-01,10.828,301.8623
2000-04,2000-04-01,10.828,301.58008
2000-04,2000-04-01,10.578,301.67548
2000-04,2000-04-01,10.578,301.60126
2000-04,2000-04-01,10.578,301.44464
2000-05,2000-05-01,11.078,301.27478
2000-05,2000-05-01,11.078,301.12164
2000-05,2000-05-01,11.078,300.83844
2000-05,2000-05-01,10.828,301.378
2000-05,2000-05-01,10.828,301.26672
2000-05,2000-05-01,10.828,301.00052
2000-05,2000-05-01,10.578,301.27924
2000-05,2000-05-01,10.578,301.31555
2000-05,2000-05-01,10.578,301.15857
2000-06,2000-06-01,11.078,300.36688
2000-06,2000-06-01,11.078,300.26016
2000-06,2000-06-01,11.078,300.09204
2000-06,2000-06-01,10.828,300.47504
2000-06,2000-06-01,10.828,300.4069
2000-06,2000-06-01,10.828,300.17905
2000-06,2000-06-01,10.578,300.417
2000-06,2000-06-01,10.578,300.50107
2000-06,2000-06-01,10.578,300.34357
2000-07,2000-07-01,11.078,300.1938
2000-07,2000-07-01,11.078,300.0496
2000-07,2000-07-01,11.078,299.84265
2000-07,2000-07-01,10.828,300.35327
2000-07,2000-07-01,10.828,300.2478
2000-07,2000-07-01,10.828,300.0053
2000-07,2000-07-01,10.578,300.33356
2000-07,2000-07-01,10.578,300.3996
2000-07,2000-07-01,10.578,300.23267
2000-08,2000-08-01,11.078,300.1599
2000-08,2000-08-01,11.078,299.9912
2000-08,2000-08-01,11.078,299.7619
2000-08,2000-08-01,10.828,300.2464
2000-08,2000-08-01,10.828,300.11084
2000-08,2000-08-01,10.828,299.85034
2000-08,2000-08-01,10.578,300.14175
