valid_time,time,latitude,t2m
2000-01,2000-01-01,17.513,295.59467
2000-01,2000-01-01,17.513,295.959
2000-01,2000-01-01,17.263,295.94446
2000-01,2000-01-01,17.263,296.15887
2000-02,2000-02-01,17.513,297.636
2000-02,2000-02-01,17.513,297.72275
2000-02,2000-02-01,17.263,297.692
2000-02,2000-02-01,17.263,297.80438
2000-03,2000-03-01,17.513,301.04184
2000-03,2000-03-01,17.513,301.12558
2000-03,2000-03-01,17.263,301.0877
2000-03,2000-03-01,17.263,301.22763
2000-04,2000-04-01,17.513,304.74207
2000-04,2000-04-01,17.513,304.84628
2000-04,2000-04-01,17.263,304.63895
2000-04,2000-04-01,17.263,304.84155
2000-05,2000-05-01,17.513,303.51175
2000-05,2000-05-01,17.513,303.60434
2000-05,2000-05-01,17.263,303.21143
2000-05,2000-05-01,17.263,303.5046
2000-06,2000-06-01,17.513,299.75464
2000-06,2000-06-01,17.513,299.76984
2000-06,2000-06-01,17.263,299.46127
2000-06,2000-06-01,17.263,299.78146
2000-07,2000-07-01,17.513,298.80762
2000-07,2000-07-01,17.513,298.9132
2000-07,2000-07-01,17.263,298.52008
2000-07,2000-07-01,17.263,298.93158
2000-08,2000-08-01,17.513,298.13336
2000-08,2000-08-01,17.513,298.19794
2000-08,2000-08-01,17.263,297.83588
2000-08,2000-08-01,17.263,298.19055
2000-09,2000-09-01,17.513,299.18005
2000-09,2000-09-01,17.513,299.14175
2000-09,2000-09-01,17.263,298.86908
2000-09,2000-09-01,17.263,299.1289
2000-10,2000-10-01,17.513,299.18756
2000-10,2000-10-01,17.513,298.96442
2000-10,2000-10-01,17.263,298.80933
2000-10,2000-10-01,17.263,298.98453
2000-11,2000-11-01,17.513,296.83725
2000-11,2000-11-01,17.513,296.67148
2000-11,2000-11-01,17.263,296.73407
2000-11,2000-11-01,17.263,296.83136
2000-12,2000-12-01,17.513,293.97076
2000-12,2000-12-01,17.513,293.8201
2000-12,2000-12-01,17.263,294.0876
2000-12,2000-12-01,17.263,294.2342
2001-01,2001-01-01,17.513,295.71893
2001-01,2001-01-01,17.513,295.4234
2001-01,2001-01-01,17.263,295.71106
2001-01,2001-01-01,17.263,295.63635
2001-02,2001-02-01,17.513,299.25806
2001-02,2001-02-01,17.513,299.12512
2001-02,2001-02-01,17.263,299.2523
2001-02,2001-02-01,17.263,299.35748
2001-03,2001-03-01,17.513,301.71143
2001-03,2001-03-01,17.513,301.3558
2001-03,2001-03-01,17.263,301.53607
2001-03,2001-03-01,17.263,301.5754
2001-04,2001-04-01,17.513,303.67404
2001-04,2001-04-01,17.513,303.41986
2001-04,2001-04-01,17.263,303.45413
2001-04,2001-04-01,17.263,303.40405
2001-05,2001-05-01,17.513,306.17572
2001-05,2001-05-01,17.513,306.20477
2001-05,2001-05-01,17.263,305.8264
2001-05,2001-05-01,17.263,306.1137
2001-06,2001-06-01,17.513,300.7506
2001-06,2001-06-01,17.513,300.7435
2001-06,2001-06-01,17.263,300.45853
2001-06,2001-06-01,17.263,300.79926
2001-07,2001-07-01,17.513,300.03687
2001-07,2001-07-01,17.513,300.07208
2001-07,2001-07-01,17.263,299.79553
2001-07,2001-07-01,17.263,300.16983
2001-08,2001-08-01,17.513,298.1932
2001-08,2001-08-01,17.513,298.18582
2001-08,2001-08-01,17.263,297.97375
2001-08,2001-08-01,17.263,298.26807
2001-09,2001-09-01,17.513,298.87112
2001-09,2001-09-01,17.513,298.9313
2001-09,2001-09-01,17.263,298.66342
2001-09,2001-09-01,17.263,299.02515
2001-10,2001-10-01,17.513,298.00003
2001-10,2001-10-01,17.513,297.97037
2001-10,2001-10-01,17.263,297.90796
