valid_time,time,latitude,t2m
2000-01,2000-01-01,7.513,300.61923
2000-01,2000-01-01,7.513,300.46368
2000-01,2000-01-01,7.263,300.36194
2000-01,2000-01-01,7.263,300.2975
2000-02,2000-02-01,7.513,300.97336
2000-02,2000-02-01,7.513,300.80832
2000-02,2000-02-01,7.263,300.73306
2000-02,2000-02-01,7.263,300.68048
2000-03,2000-03-01,7.513,301.7746
2000-03,2000-03-01,7.513,301.51608
2000-03,2000-03-01,7.263,301.4838
2000-03,2000-03-01,7.263,301.34393
2000-04,2000-04-01,7.513,300.30374
2000-04,2000-04-01,7.513,299.98956
2000-04,2000-04-01,7.263,300.0121
2000-04,2000-04-01,7.263,299.84735
2000-05,2000-05-01,7.513,299.8225
2000-05,2000-05-01,7.513,299.6328
2000-05,2000-05-01,7.263,299.55322
2000-05,2000-05-01,7.263,299.47388
2000-06,2000-06-01,7.513,298.1761
2000-06,2000-06-01,7.513,297.965
2000-06,2000-06-01,7.263,298.1412
2000-06,2000-06-01,7.263,297.964
2000-07,2000-07-01,7.513,297.45526
2000-07,2000-07-01,7.513,297.2495
2000-07,2000-07-01,7.263,297.4307
2000-07,2000-07-01,7.263,297.2962
2000-08,2000-08-01,7.513,296.81674
2000-08,2000-08-01,7.513,296.63187
2000-08,2000-08-01,7.263,296.80084
2000-08,2000-08-01,7.263,296.65222
2000-09,2000-09-01,7.513,297.5892
2000-09,2000-09-01,7.513,297.3666
2000-09,2000-09-01,7.263,297.5349
2000-09,2000-09-01,7.263,297.37308
2000-10,2000-10-01,7.513,298.3842
2000-10,2000-10-01,7.513,298.11368
2000-10,2000-10-01,7.263,298.26822
2000-10,2000-10-01,7.263,298.11084
2000-11,2000-11-01,7.513,300.09506
2000-11,2000-11-01,7.513,299.8071
2000-11,2000-11-01,7.263,299.8413
2000-11,2000-11-01,7.263,299.71033
2000-12,2000-12-01,7.513,299.97592
2000-12,2000-12-01,7.513,299.75903
2000-12,2000-12-01,7.263,299.85486
2000-12,2000-12-01,7.263,299.67804
2001-01,2001-01-01,7.513,300.60757
2001-01,2001-01-01,7.513,300.44232
2001-01,2001-01-01,7.263,300.38458
2001-01,2001-01-01,7.263,300.24725
2001-02,2001-02-01,7.513,301.71863
2001-02,2001-02-01,7.513,301.50598
2001-02,2001-02-01,7.263,301.35516
2001-02,2001-02-01,7.263,301.21304
2001-03,2001-03-01,7.513,301.20728
2001-03,2001-03-01,7.513,300.89423
2001-03,2001-03-01,7.263,300.81357
2001-03,2001-03-01,7.263,300.65906
2001-04,2001-04-01,7.513,299.9182
2001-04,2001-04-01,7.513,299.60852
2001-04,2001-04-01,7.263,299.6403
2001-04,2001-04-01,7.263,299.4273
2001-05,2001-05-01,7.513,299.338
2001-05,2001-05-01,7.513,299.0877
2001-05,2001-05-01,7.263,299.16226
2001-05,2001-05-01,7.263,299.0032
2001-06,2001-06-01,7.513,297.99643
2001-06,2001-06-01,7.513,297.81317
2001-06,2001-06-01,7.263,297.8966
2001-06,2001-06-01,7.263,297.7787
2001-07,2001-07-01,7.513,297.55786
2001-07,2001-07-01,7.513,297.33942
2001-07,2001-07-01,7.263,297.509
2001-07,2001-07-01,7.263,297.36377
2001-08,2001-08-01,7.513,296.90027
2001-08,2001-08-01,7.513,296.69522
2001-08,2001-08-01,7.263,296.8932
2001-08,2001-08-01,7.263,296.73236
2001-09,2001-09-01,7.513,297.5776
2001-09,2001-09-01,7.513,297.3713
2001-09,2001-09-01,7.263,297.51215
2001-09,2001-09-01,7.263,297.384
2001-10,2001-10-01,7.513,298.73676
2001-10,2001-10-01,7.513,298.48047
2001-10,2001-10-01,7.263,298.6067
2001-10,2001-10-01,7.263,298.48877
2001-11,2001-11-01,7.513,299.79257
2001-11,2001-11-01,7.513,299.56882
2001-11,2001-11-01,7.263,299.51068
2001-11,2001-11-01,7.263,299.44366
2001-12,2001-12-01,7.513,300.71335
2001-12,2001-12-01,7.513,300.5348
2001-12,2001-12-01,7.263,300.45474
2001-12,2001-12-01,7.263,300.35736
2002-01,2002-01-01,7.513,300.0739
2002-01,2002-01-01,7.513,300.02356
2002-01,2002-01-01,7.263,299.8201
2002-01,2002-01-01,7.263,299.73636
2002-02,2002-02-01,7.513,301.37183
2002-02,2002-02-01,7.513,301.0896
2002-02,2002-02-01,7.263,300.92444
2002-02,2002-02-01,7.263,300.72205
2002-03,2002-03-01,7.513,300.81195
2002-03,2002-03-01,7.513,300.48993
2002-03,2002-03-01,7.263,300.4306
2002-03,2002-03-01,7.263,300.23407
2002-04,2002-04-01,7.513,300.05164
2002-04,2002-04-01,7.513,299.72458
2002-04,2002-04-01,7.263,299.7807
2002-04,2002-04-01,7.263,299.5901
2002-05,2002-05-01,7.513,299.54428
2002-05,2002-05-01,7.513,299.2514
2002-05,2002-05-01,7.263,299.36002
2002-05,2002-05-01,7.263,299.18384
2002-06,2002-06-01,7.513,298.349
2002-06,2002-06-01,7.513,298.12146
2002-06,2002-06-01,7.263,298.26227
2002-06,2002-06-01,7.263,298.108
2002-07,2002-07-01,7.513,297.92242
2002-07,2002-07-01,7.513,297.69153
2002-07,2002-07-01,7.263,297.85712
2002-07,2002-07-01,7.263,297.71088
2002-08,2002-08-01,7.513,297.29242
2002-08,2002-08-01,7.513,297.0993
2002-08,2002-08-01,7.263,297.24933
2002-08,2002-08-01,7.263,297.11295
2002-09,2002-09-01,7.513,297.61414
2002-09,2002-09-01,7.513,297.3908
2002-09,2002-09-01,7.263,297.56403
2002-09,2002-09-01,7.263,297.41724
2002-10,2002-10-01,7.513,298.0053
2002-10,2002-10-01,7.513,297.74133
2002-10,2002-10-01,7.263,297.87354
2002-10,2002-10-01,7.263,297.755
2002-11,2002-11-01,7.513,299.5957
2002-11,2002-11-01,7.513,299.36865
2002-11,2002-11-01,7.263,299.3896
2002-11,2002-11-01,7.263,299.31732
2002-12,2002-12-01,7.513,299.79114
2002-12,2002-12-01,7.513,299.74466
2002-12,2002-12-01,7.263,299.64413
