valid_time,time,latitude,t2m
2000-01,2000-01-01,39.8,270.4258
2000-01,2000-01-01,39.8,270.45068
2000-01,2000-01-01,39.8,270.315
2000-01,2000-01-01,39.55,271.06335
2000-01,2000-01-01,39.55,270.98697
2000-01,2000-01-01,39.55,270.78595
2000-02,2000-02-01,39.8,276.05988
2000-02,2000-02-01,39.8,276.14325
2000-02,2000-02-01,39.8,276.1104
2000-02,2000-02-01,39.55,276.4699
2000-02,2000-02-01,39.55,276.47937
2000-02,2000-02-01,39.55,276.43842
2000-03,2000-03-01,39.8,280.8977
2000-03,2000-03-01,39.8,281.03247
2000-03,2000-03-01,39.8,281.03882
2000-03,2000-03-01,39.55,281.1702
2000-03,2000-03-01,39.55,281.23508
2000-03,2000-03-01,39.55,281.24158
2000-04,2000-04-01,39.8,283.9488
2000-04,2000-04-01,39.8,284.06204
2000-04,2000-04-01,39.8,284.09198
2000-04,2000-04-01,39.55,284.203
2000-04,2000-04-01,39.55,284.28998
2000-04,2000-04-01,39.55,284.34985
2000-05,2000-05-01,39.8,291.42474
2000-05,2000-05-01,39.8,291.57248
2000-05,2000-05-01,39.8,291.6113
2000-05,2000-05-01,39.55,291.65012
2000-05,2000-05-01,39.55,291.7961
2000-05,2000-05-01,39.55,291.8866
2000-06,2000-06-01,39.8,294.51767
2000-06,2000-06-01,39.8,294.64917
2000-06,2000-06-01,39.8,294.63446
2000-06,2000-06-01,39.55,294.6855
2000-06,2000-06-01,39.55,294.8185
2000-06,2000-06-01,39.55,294.88232
2000-07,2000-07-01,39.8,295.39316
2000-07,2000-07-01,39.8,295.4948
2000-07,2000-07-01,39.8,295.39914
2000-07,2000-07-01,39.55,295.56802
2000-07,2000-07-01,39.55,295.6313
2000-07,2000-07-01,39.55,295.56824
2000-08,2000-08-01,39.8,295.62555
2000-08,2000-08-01,39.8,295.57428
2000-08,2000-08-01,39.8,295.3745
2000-08,2000-08-01,39.55,295.7615
2000-08,2000-08-01,39.55,295.68567
2000-08,2000-08-01,39.55,295.54907
2000-09,2000-09-01,39.8,290.8254
2000-09,2000-09-01,39.8,290.8684
2000-09,2000-09-01,39.8,290.82452
2000-09,2000-09-01,39.55,290.92847
2000-09,2000-09-01,39.55,290.95453
2000-09,2000-09-01,39.55,290.96753
2000-10,2000-10-01,39.8,286.69852
2000-10,2000-10-01,39.8,286.73108
2000-10,2000-10-01,39.8,286.70425
2000-10,2000-10-01,39.55,286.8862
2000-10,2000-10-01,39.55,286.86472
2000-10,2000-10-01,39.55,286.88095
2000-11,2000-11-01,39.8,277.6186
2000-11,2000-11-01,39.8,277.77414
2000-11,2000-11-01,39.8,277.84662
2000-11,2000-11-01,39.55,277.85886
2000-11,2000-11-01,39.55,277.98517
2000-11,2000-11-01,39.55,278.08017
2000-12,2000-12-01,39.8,266.29007
2000-12,2000-12-01,39.8,266.4086
2000-12,2000-12-01,39.8,266.40393
2000-12,2000-12-01,39.55,266.80283
2000-12,2000-12-01,39.55,266.81818
2000-12,2000-12-01,39.55,266.75247
2001-01,2001-01-01,39.8,270.81665
2001-01,2001-01-01,39.8,271.0165
2001-01,2001-01-01,39.8,271.0293
2001-01,2001-01-01,39.55,271.2125
2001-01,2001-01-01,39.55,271.36035
2001-01,2001-01-01,39.55,271.33115
2001-02,2001-02-01,39.8,274.24048
2001-02,2001-02-01,39.8,274.3993
2001-02,2001-02-01,39.8,274.4541
2001-02,2001-02-01,39.55,274.71765
2001-02,2001-02-01,39.55,274.8459
2001-02,2001-02-01,39.55,274.88434
2001-03,2001-03-01,39.8,276.36365
2001-03,2001-03-01,39.8,276.46652
2001-03,2001-03-01,39.8,276.46533
2001-03,2001-03-01,39.55,276.74493
2001-03,2001-03-01,39.55,276.8219
2001-03,2001-03-01,39.55,276.8187
2001-04,2001-04-01,39.8,287.35394
2001-04,2001-04-01,39.8,287.4269
2001-04,2001-04-01,39.8,287.3744
2001-04,2001-04-01,39.55,287.67886
2001-04,2001-04-01,39.55,287.72687
2001-04,2001-04-01,39.55,287.68008
2001-05,2001-05-01,39.8,291.15598
2001-05,2001-05-01,39.8,291.2198
2001-05,2001-05-01,39.8,291.1895
2001-05,2001-05-01,39.55,291.42825
2001-05,2001-05-01,39.55,291.4823
2001-05,2001-05-01,39.55,291.4492
