valid_time,time,latitude,t2m
2000-01,2000-01-01,41.0,277.65546
2000-01,2000-01-01,41.0,277.72552
2000-01,2000-01-01,41.0,277.19183
2000-01,2000-01-01,41.0,277.30865
2000-01,2000-01-01,41.0,276.46808
2000-01,2000-01-01,40.75,278.25385
2000-01,2000-01-01,40.75,278.09418
2000-01,2000-01-01,40.75,277.54205
2000-01,2000-01-01,40.75,276.49878
2000-01,2000-01-01,40.75,275.3471
2000-02,2000-02-01,41.0,279.98828
2000-02,2000-02-01,41.0,279.96414
2000-02,2000-02-01,41.0,279.45923
2000-02,2000-02-01,41.0,279.4521
2000-02,2000-02-01,41.0,279.06406
2000-02,2000-02-01,40.75,280.1536
2000-02,2000-02-01,40.75,280.00345
2000-02,2000-02-01,40.75,279.5135
2000-02,2000-02-01,40.75,278.89807
2000-02,2000-02-01,40.75,278.22852
2000-03,2000-03-01,41.0,280.9679
2000-03,2000-03-01,41.0,280.9942
2000-03,2000-03-01,41.0,280.73236
2000-03,2000-03-01,41.0,280.80634
2000-03,2000-03-01,41.0,281.00937
2000-03,2000-03-01,40.75,280.86884
2000-03,2000-03-01,40.75,280.84134
2000-03,2000-03-01,40.75,280.61218
2000-03,2000-03-01,40.75,280.44278
2000-03,2000-03-01,40.75,280.31363
2000-04,2000-04-01,41.0,286.48453
2000-04,2000-04-01,41.0,286.33902
2000-04,2000-04-01,41.0,286.2782
2000-04,2000-04-01,41.0,286.30496
2000-04,2000-04-01,41.0,287.58466
2000-04,2000-04-01,40.75,285.80374
2000-04,2000-04-01,40.75,285.69998
2000-04,2000-04-01,40.75,285.7284
2000-04,2000-04-01,40.75,286.44998
2000-04,2000-04-01,40.75,287.39386
2000-05,2000-05-01,41.0,289.5985
2000-05,2000-05-01,41.0,289.3986
2000-05,2000-05-01,41.0,289.1899
2000-05,2000-05-01,41.0,289.27588
2000-05,2000-05-01,41.0,289.94598
2000-05,2000-05-01,40.75,289.09982
2000-05,2000-05-01,40.75,288.94397
2000-05,2000-05-01,40.75,288.81683
2000-05,2000-05-01,40.75,289.2329
2000-05,2000-05-01,40.75,289.5985
2000-06,2000-06-01,41.0,293.9438
2000-06,2000-06-01,41.0,293.74008
2000-06,2000-06-01,41.0,293.48093
2000-06,2000-06-01,41.0,293.52582
2000-06,2000-06-01,41.0,294.01495
2000-06,2000-06-01,40.75,293.3004
2000-06,2000-06-01,40.75,293.15622
2000-06,2000-06-01,40.75,292.96124
2000-06,2000-06-01,40.75,293.2004
2000-06,2000-06-01,40.75,293.41736
2000-07,2000-07-01,41.0,297.54285
2000-07,2000-07-01,41.0,297.337
2000-07,2000-07-01,41.0,297.1906
2000-07,2000-07-01,41.0,297.26532
2000-07,2000-07-01,41.0,298.04233
2000-07,2000-07-01,40.75,296.74194
2000-07,2000-07-01,40.75,296.66382
2000-07,2000-07-01,40.75,296.61093
2000-07,2000-07-01,40.75,297.19077
2000-07,2000-07-01,40.75,297.62146
2000-08,2000-08-01,41.0,297.53384
2000-08,2000-08-01,41.0,297.32678
2000-08,2000-08-01,41.0,296.89282
2000-08,2000-08-01,41.0,296.85315
2000-08,2000-08-01,41.0,297.30075
2000-08,2000-08-01,40.75,296.89462
2000-08,2000-08-01,40.75,296.6767
2000-08,2000-08-01,40.75,296.31628
2000-08,2000-08-01,40.75,296.4318
2000-08,2000-08-01,40.75,296.52765
2000-09,2000-09-01,41.0,294.39233
2000-09,2000-09-01,41.0,294.38968
2000-09,2000-09-01,41.0,294.0928
2000-09,2000-09-01,41.0,294.13937
2000-09,2000-09-01,41.0,294.11136
2000-09,2000-09-01,40.75,294.21716
2000-09,2000-09-01,40.75,294.18777
2000-09,2000-09-01,40.75,293.92758
2000-09,2000-09-01,40.75,293.72903
2000-09,2000-09-01,40.75,293.38235
2000-10,2000-10-01,41.0,289.34082
2000-10,2000-10-01,41.0,289.3716
2000-10,2000-10-01,41.0,289.01068
2000-10,2000-10-01,41.0,289.12283
2000-10,2000-10-01,41.0,288.85062
2000-10,2000-10-01,40.75,289.53183
2000-10,2000-10-01,40.75,289.45016
2000-10,2000-10-01,40.75,289.11975
2000-10,2000-10-01,40.75,288.8299
2000-10,2000-10-01,40.75,288.3429
2000-11,2000-11-01,41.0,286.8188
2000-11,2000-11-01,41.0,286.92917
2000-11,2000-11-01,41.0,286.6872
2000-11,2000-11-01,41.0,286.92816
2000-11,2000-11-01,41.0,286.33014
2000-11,2000-11-01,40.75,287.3291
2000-11,2000-11-01,40.75,287.3525
2000-11,2000-11-01,40.75,287.12564
2000-11,2000-11-01,40.75,286.67914
2000-11,2000-11-01,40.75,285.836
2000-12,2000-12-01,41.0,283.19733
2000-12,2000-12-01,41.0,283.20148
2000-12,2000-12-01,41.0,282.56067
2000-12,2000-12-01,41.0,282.51575
2000-12,2000-12-01,41.0,281.73688
2000-12,2000-12-01,40.75,283.58752
2000-12,2000-12-01,40.75,283.38507
2000-12,2000-12-01,40.75,282.74146
2000-12,2000-12-01,40.75,281.78546
2000-12,2000-12-01,40.75,280.74304
2001-01,2001-01-01,41.0,281.90454
2001-01,2001-01-01,41.0,281.9198
2001-01,2001-01-01,41.0,281.39764
2001-01,2001-01-01,41.0,281.38647
2001-01,2001-01-01,41.0,280.94397
2001-01,2001-01-01,40.75,282.17004
2001-01,2001-01-01,40.75,282.02374
2001-01,2001-01-01,40.75,281.5202
2001-01,2001-01-01,40.75,280.87378
2001-01,2001-01-01,40.75,280.1283
2001-02,2001-02-01,41.0,281.37875
2001-02,2001-02-01,41.0,281.34503
2001-02,2001-02-01,41.0,280.94687
2001-02,2001-02-01,41.0,281.01218
2001-02,2001-02-01,41.0,280.8867
2001-02,2001-02-01,40.75,281.49796
2001-02,2001-02-01,40.75,281.36356
2001-02,2001-02-01,40.75,280.98816
2001-02,2001-02-01,40.75,280.52652
2001-02,2001-02-01,40.75,280.07916
2001-03,2001-03-01,41.0,285.14474
2001-03,2001-03-01,41.0,285.13824
2001-03,2001-03-01,41.0,284.93457
2001-03,2001-03-01,41.0,285.0943
2001-03,2001-03-01,41.0,286.36176
2001-03,2001-03-01,40.75,284.77817
