valid_time,time,latitude,t2m
2000-01,2000-01-01,-6.228,298.5205
2000-01,2000-01-01,-6.228,298.9237
2000-01,2000-01-01,-6.228,299.0774
2000-01,2000-01-01,-6.228,298.98474
2000-01,2000-01-01,-6.228,299.01294
2000-01,2000-01-01,-6.228,299.1604
2000-01,2000-01-01,-6.478,297.74866
2000-01,2000-01-01,-6.478,297.45703
2000-01,2000-01-01,-6.478,297.53308
2000-01,2000-01-01,-6.478,297.51257
2000-01,2000-01-01,-6.478,297.8186
2000-01,2000-01-01,-6.478,298.34595
2000-01,2000-01-01,-6.728,298.20312
2000-01,2000-01-01,-6.728,296.97046
2000-01,2000-01-01,-6.728,296.20117
2000-01,2000-01-01,-6.728,296.1775
2000-01,2000-01-01,-6.728,296.47314
2000-01,2000-01-01,-6.728,296.72815
2000-01,2000-01-01,-6.978,298.9165
2000-01,2000-01-01,-6.978,297.7622
2000-01,2000-01-01,-6.978,296.4016
2000-01,2000-01-01,-6.978,295.9198
2000-01,2000-01-01,-6.978,295.43225
2000-01,2000-01-01,-6.978,294.5094
2000-02,2000-02-01,-6.228,298.78674
2000-02,2000-02-01,-6.228,299.1444
2000-02,2000-02-01,-6.228,299.26782
2000-02,2000-02-01,-6.228,299.1455
2000-02,2000-02-01,-6.228,299.13733
2000-02,2000-02-01,-6.228,299.25134
2000-02,2000-02-01,-6.478,298.00403
2000-02,2000-02-01,-6.478,297.70776
2000-02,2000-02-01,-6.478,297.7522
2000-02,2000-02-01,-6.478,297.70227
2000-02,2000-02-01,-6.478,297.96484
2000-02,2000-02-01,-6.478,298.45752
2000-02,2000-02-01,-6.728,298.41418
2000-02,2000-02-01,-6.728,297.19397
2000-02,2000-02-01,-6.728,296.42285
2000-02,2000-02-01,-6.728,296.4049
2000-02,2000-02-01,-6.728,296.70227
2000-02,2000-02-01,-6.728,296.93494
2000-02,2000-02-01,-6.978,299.08813
2000-02,2000-02-01,-6.978,297.906
2000-02,2000-02-01,-6.978,296.61475
2000-02,2000-02-01,-6.978,296.21533
2000-02,2000-02-01,-6.978,295.7328
2000-02,2000-02-01,-6.978,294.7788
2000-03,2000-03-01,-6.228,298.85767
2000-03,2000-03-01,-6.228,299.37976
2000-03,2000-03-01,-6.228,299.56604
2000-03,2000-03-01,-6.228,299.4524
2000-03,2000-03-01,-6.228,299.4784
2000-03,2000-03-01,-6.228,299.6289
2000-03,2000-03-01,-6.478,297.97815
2000-03,2000-03-01,-6.478,297.79956
2000-03,2000-03-01,-6.478,297.9796
2000-03,2000-03-01,-6.478,298.0006
2000-03,2000-03-01,-6.478,298.3004
2000-03,2000-03-01,-6.478,298.83643
2000-03,2000-03-01,-6.728,298.21436
2000-03,2000-03-01,-6.728,297.09253
2000-03,2000-03-01,-6.728,296.44788
2000-03,2000-03-01,-6.728,296.5459
2000-03,2000-03-01,-6.728,296.93018
2000-03,2000-03-01,-6.728,297.24133
2000-03,2000-03-01,-6.978,298.75488
2000-03,2000-03-01,-6.978,297.64233
2000-03,2000-03-01,-6.978,296.43628
2000-03,2000-03-01,-6.978,296.1057
2000-03,2000-03-01,-6.978,295.73535
2000-03,2000-03-01,-6.978,294.89233
2000-04,2000-04-01,-6.228,299.24402
2000-04,2000-04-01,-6.228,299.72742
2000-04,2000-04-01,-6.228,299.86194
2000-04,2000-04-01,-6.228,299.7318
2000-04,2000-04-01,-6.228,299.7461
2000-04,2000-04-01,-6.228,299.93835
2000-04,2000-04-01,-6.478,298.40662
2000-04,2000-04-01,-6.478,298.2339
2000-04,2000-04-01,-6.478,298.32825
2000-04,2000-04-01,-6.478,298.27515
2000-04,2000-04-01,-6.478,298.54968
2000-04,2000-04-01,-6.478,299.1206
2000-04,2000-04-01,-6.728,298.70935
2000-04,2000-04-01,-6.728,297.6277
2000-04,2000-04-01,-6.728,296.93176
2000-04,2000-04-01,-6.728,296.9131
2000-04,2000-04-01,-6.728,297.2256
2000-04,2000-04-01,-6.728,297.52417
2000-04,2000-04-01,-6.978,299.31726
2000-04,2000-04-01,-6.978,298.24622
2000-04,2000-04-01,-6.978,296.9702
2000-04,2000-04-01,-6.978,296.4945
2000-04,2000-04-01,-6.978,296.0609
2000-04,2000-04-01,-6.978,295.2218
2000-05,2000-05-01,-6.228,299.54114
2000-05,2000-05-01,-6.228,299.91125
2000-05,2000-05-01,-6.228,300.02075
2000-05,2000-05-01,-6.228,299.9563
2000-05,2000-05-01,-6.228,300.08716
2000-05,2000-05-01,-6.228,300.34912
2000-05,2000-05-01,-6.478,298.78357
2000-05,2000-05-01,-6.478,298.52905
2000-05,2000-05-01,-6.478,298.57544
2000-05,2000-05-01,-6.478,298.5548
2000-05,2000-05-01,-6.478,298.89343
2000-05,2000-05-01,-6.478,299.4801
2000-05,2000-05-01,-6.728,299.18604
2000-05,2000-05-01,-6.728,298.11194
2000-05,2000-05-01,-6.728,297.39246
2000-05,2000-05-01,-6.728,297.31433
2000-05,2000-05-01,-6.728,297.57654
2000-05,2000-05-01,-6.728,297.8755
2000-05,2000-05-01,-6.978,299.8518
2000-05,2000-05-01,-6.978,298.8214
2000-05,2000-05-01,-6.978,297.50806
2000-05,2000-05-01,-6.978,296.95227
2000-05,2000-05-01,-6.978,296.474
2000-05,2000-05-01,-6.978,295.66882
2000-06,2000-06-01,-6.228,298.8059
2000-06,2000-06-01,-6.228,299.1255
2000-06,2000-06-01,-6.228,299.32654
2000-06,2000-06-01,-6.228,299.34912
2000-06,2000-06-01,-6.228,299.4607
2000-06,2000-06-01,-6.228,299.67224
2000-06,2000-06-01,-6.478,298.1239
2000-06,2000-06-01,-6.478,297.79626
2000-06,2000-06-01,-6.478,297.83203
2000-06,2000-06-01,-6.478,297.8141
2000-06,2000-06-01,-6.478,298.1609
2000-06,2000-06-01,-6.478,298.71973
2000-06,2000-06-01,-6.728,298.80957
2000-06,2000-06-01,-6.728,297.56958
2000-06,2000-06-01,-6.728,296.75806
2000-06,2000-06-01,-6.728,296.64905
2000-06,2000-06-01,-6.728,296.89075
2000-06,2000-06-01,-6.728,297.17285
2000-06,2000-06-01,-6.978,299.71448
2000-06,2000-06-01,-6.978,298.52856
2000-06,2000-06-01,-6.978,297.04565
2000-06,2000-06-01,-6.978,296.39746
2000-06,2000-06-01,-6.978,295.87817
2000-06,2000-06-01,-6.978,295.03186
2000-07,2000-07-01,-6.228,298.83862
2000-07,2000-07-01,-6.228,299.2334
2000-07,2000-07-01,-6.228,299.453
2000-07,2000-07-01,-6.228,299.51514
