valid_time,time,latitude,t2m
2000-01,2000-01-01,21.598,296.57584
2000-01,2000-01-01,21.598,296.25916
2000-01,2000-01-01,21.348,296.7918
2000-01,2000-01-01,21.348,296.57455
2000-02,2000-02-01,21.598,296.32672
2000-02,2000-02-01,21.598,296.40945
2000-02,2000-02-01,21.348,296.38965
2000-02,2000-02-01,21.348,296.65942
2000-03,2000-03-01,21.598,297.33832
2000-03,2000-03-01,21.598,298.04947
2000-03,2000-03-01,21.348,297.28757
2000-03,2000-03-01,21.348,298.12082
2000-04,2000-04-01,21.598,300.6176
2000-04,2000-04-01,21.598,302.11594
2000-04,2000-04-01,21.348,300.2821
2000-04,2000-04-01,21.348,301.9056
2000-05,2000-05-01,21.598,302.13458
2000-05,2000-05-01,21.598,303.7594
2000-05,2000-05-01,21.348,301.682
2000-05,2000-05-01,21.348,303.5534
2000-06,2000-06-01,21.598,303.05493
2000-06,2000-06-01,21.598,304.68683
2000-06,2000-06-01,21.348,302.5476
2000-06,2000-06-01,21.348,304.41296
2000-07,2000-07-01,21.598,304.8545
2000-07,2000-07-01,21.598,306.46613
2000-07,2000-07-01,21.348,304.2901
2000-07,2000-07-01,21.348,306.1042
2000-08,2000-08-01,21.598,304.49295
2000-08,2000-08-01,21.598,305.5169
2000-08,2000-08-01,21.348,304.1002
2000-08,2000-08-01,21.348,305.36237
2000-09,2000-09-01,21.598,303.6057
2000-09,2000-09-01,21.598,304.71426
2000-09,2000-09-01,21.348,303.3173
2000-09,2000-09-01,21.348,304.5157
2000-10,2000-10-01,21.598,302.06546
2000-10,2000-10-01,21.598,302.49448
2000-10,2000-10-01,21.348,301.95993
2000-10,2000-10-01,21.348,302.5652
2000-11,2000-11-01,21.598,299.39526
2000-11,2000-11-01,21.598,299.13193
2000-11,2000-11-01,21.348,299.4808
2000-11,2000-11-01,21.348,299.2984
2000-12,2000-12-01,21.598,297.77203
2000-12,2000-12-01,21.598,297.4576
2000-12,2000-12-01,21.348,297.95422
2000-12,2000-12-01,21.348,297.60013
2001-01,2001-01-01,21.598,296.1615
2001-01,2001-01-01,21.598,295.91403
2001-01,2001-01-01,21.348,296.4609
2001-01,2001-01-01,21.348,296.15546
2001-02,2001-02-01,21.598,296.5068
2001-02,2001-02-01,21.598,296.53906
2001-02,2001-02-01,21.348,296.59933
2001-02,2001-02-01,21.348,296.73767
2001-03,2001-03-01,21.598,299.4286
2001-03,2001-03-01,21.598,300.30573
2001-03,2001-03-01,21.348,299.135
2001-03,2001-03-01,21.348,300.2034
2001-04,2001-04-01,21.598,300.62616
