valid_time,time,latitude,t2m
2000-01,2000-01-01,23.631,287.21252
2000-01,2000-01-01,23.631,287.75287
2000-01,2000-01-01,23.631,287.9732
2000-01,2000-01-01,23.631,288.10056
2000-01,2000-01-01,23.381,287.85464
2000-01,2000-01-01,23.381,288.34753
2000-01,2000-01-01,23.381,288.47552
2000-01,2000-01-01,23.381,288.2965
2000-01,2000-01-01,23.131,288.2037
2000-01,2000-01-01,23.131,288.4911
2000-01,2000-01-01,23.131,288.4947
2000-01,2000-01-01,23.131,288.31418
2000-02,2000-02-01,23.631,286.22034
2000-02,2000-02-01,23.631,286.88028
2000-02,2000-02-01,23.631,287.24893
2000-02,2000-02-01,23.631,287.33722
2000-02,2000-02-01,23.381,286.86462
2000-02,2000-02-01,23.381,287.41324
2000-02,2000-02-01,23.381,287.54822
2000-02,2000-02-01,23.381,287.08856
2000-02,2000-02-01,23.131,287.23288
2000-02,2000-02-01,23.131,287.45975
2000-02,2000-02-01,23.131,287.24716
2000-02,2000-02-01,23.131,286.6665
2000-03,2000-03-01,23.631,291.27377
2000-03,2000-03-01,23.631,291.5266
2000-03,2000-03-01,23.631,291.4494
2000-03,2000-03-01,23.631,291.21756
2000-03,2000-03-01,23.381,291.52628
2000-03,2000-03-01,23.381,291.7252
2000-03,2000-03-01,23.381,291.4867
2000-03,2000-03-01,23.381,290.8206
2000-03,2000-03-01,23.131,291.47253
2000-03,2000-03-01,23.131,291.44766
2000-03,2000-03-01,23.131,291.09406
2000-03,2000-03-01,23.131,290.4367
2000-04,2000-04-01,23.631,294.05713
2000-04,2000-04-01,23.631,294.28326
2000-04,2000-04-01,23.631,294.36484
2000-04,2000-04-01,23.631,294.34552
2000-04,2000-04-01,23.381,294.42297
2000-04,2000-04-01,23.381,294.76532
2000-04,2000-04-01,23.381,294.81848
2000-04,2000-04-01,23.381,294.4732
2000-04,2000-04-01,23.131,294.67535
2000-04,2000-04-01,23.131,294.88904
2000-04,2000-04-01,23.131,294.7526
2000-04,2000-04-01,23.131,294.36813
