valid_time,time,latitude,t2m
2000-01,2000-01-01,36.754,270.48242
2000-01,2000-01-01,36.754,270.2513
2000-01,2000-01-01,36.754,269.8869
2000-01,2000-01-01,36.504,270.17267
2000-01,2000-01-01,36.504,269.6606
2000-01,2000-01-01,36.504,269.1896
2000-02,2000-02-01,36.754,274.53415
2000-02,2000-02-01,36.754,274.17
2000-02,2000-02-01,36.754,273.6258
2000-02,2000-02-01,36.504,274.26083
2000-02,2000-02-01,36.504,273.63705
2000-02,2000-02-01,36.504,273.0461
2000-03,2000-03-01,36.754,283.9557
2000-03,2000-03-01,36.754,283.659
2000-03,2000-03-01,36.754,283.0343
2000-03,2000-03-01,36.504,283.35626
2000-03,2000-03-01,36.504,282.65234
2000-03,2000-03-01,36.504,281.90216
2000-04,2000-04-01,36.754,289.3586
2000-04,2000-04-01,36.754,289.10587
2000-04,2000-04-01,36.754,288.54007
2000-04,2000-04-01,36.504,288.78473
2000-04,2000-04-01,36.504,288.14886
2000-04,2000-04-01,36.504,287.44177
2000-05,2000-05-01,36.754,294.31125
2000-05,2000-05-01,36.754,293.99844
2000-05,2000-05-01,36.754,293.46747
2000-05,2000-05-01,36.504,293.77396
2000-05,2000-05-01,36.504,293.10367
2000-05,2000-05-01,36.504,292.45105
2000-06,2000-06-01,36.754,300.67084
2000-06,2000-06-01,36.754,300.2259
2000-06,2000-06-01,36.754,299.55896
2000-06,2000-06-01,36.504,299.94202
2000-06,2000-06-01,36.504,299.09753
2000-06,2000-06-01,36.504,298.33276
2000-07,2000-07-01,36.754,302.57397
2000-07,2000-07-01,36.754,302.42453
2000-07,2000-07-01,36.754,302.01477
2000-07,2000-07-01,36.504,301.78445
2000-07,2000-07-01,36.504,301.26068
2000-07,2000-07-01,36.504,300.7269
2000-08,2000-08-01,36.754,300.66617
2000-08,2000-08-01,36.754,300.32373
2000-08,2000-08-01,36.754,299.80942
2000-08,2000-08-01,36.504,299.91293
2000-08,2000-08-01,36.504,299.26816
2000-08,2000-08-01,36.504,298.69766
2000-09,2000-09-01,36.754,295.98642
2000-09,2000-09-01,36.754,295.65466
2000-09,2000-09-01,36.754,295.16254
2000-09,2000-09-01,36.504,295.6186
2000-09,2000-09-01,36.504,294.9781
2000-09,2000-09-01,36.504,294.34464
2000-10,2000-10-01,36.754,287.87457
2000-10,2000-10-01,36.754,287.70718
2000-10,2000-10-01,36.754,287.32663
2000-10,2000-10-01,36.504,287.46362
2000-10,2000-10-01,36.504,286.95624
2000-10,2000-10-01,36.504,286.47238
2000-11,2000-11-01,36.754,279.61148
2000-11,2000-11-01,36.754,279.35095
2000-11,2000-11-01,36.754,278.83902
2000-11,2000-11-01,36.504,279.17633
2000-11,2000-11-01,36.504,278.57104
2000-11,2000-11-01,36.504,277.9754
2000-12,2000-12-01,36.754,276.53867
2000-12,2000-12-01,36.754,276.33078
2000-12,2000-12-01,36.754,275.8256
2000-12,2000-12-01,36.504,276.20206
2000-12,2000-12-01,36.504,275.62344
2000-12,2000-12-01,36.504,275.04694
2001-01,2001-01-01,36.754,271.54535
2001-01,2001-01-01,36.754,271.4167
2001-01,2001-01-01,36.754,271.0852
2001-01,2001-01-01,36.504,271.3269
2001-01,2001-01-01,36.504,270.94333
2001-01,2001-01-01,36.504,270.5272
2001-02,2001-02-01,36.754,275.08923
2001-02,2001-02-01,36.754,274.9062
2001-02,2001-02-01,36.754,274.48547
2001-02,2001-02-01,36.504,274.82828
2001-02,2001-02-01,36.504,274.36713
2001-02,2001-02-01,36.504,273.8628
2001-03,2001-03-01,36.754,282.68176
2001-03,2001-03-01,36.754,282.31738
2001-03,2001-03-01,36.754,281.6944
2001-03,2001-03-01,36.504,282.09637
2001-03,2001-03-01,36.504,281.33752
2001-03,2001-03-01,36.504,280.62555
2001-04,2001-04-01,36.754,288.58765
2001-04,2001-04-01,36.754,288.33765
2001-04,2001-04-01,36.754,287.804
2001-04,2001-04-01,36.504,288.0125
2001-04,2001-04-01,36.504,287.39218
2001-04,2001-04-01,36.504,286.75348
2001-05,2001-05-01,36.754,296.8142
2001-05,2001-05-01,36.754,296.66098
2001-05,2001-05-01,36.754,296.16565
2001-05,2001-05-01,36.504,296.09824
2001-05,2001-05-01,36.504,295.5667
2001-05,2001-05-01,36.504,294.95853
2001-06,2001-06-01,36.754,300.12152
2001-06,2001-06-01,36.754,299.8432
2001-06,2001-06-01,36.754,299.28894
2001-06,2001-06-01,36.504,299.34198
2001-06,2001-06-01,36.504,298.6595
2001-06,2001-06-01,36.504,298.00018
2001-07,2001-07-01,36.754,300.35822
2001-07,2001-07-01,36.754,300.1996
2001-07,2001-07-01,36.754,299.8178
2001-07,2001-07-01,36.504,299.75964
2001-07,2001-07-01,36.504,299.29422
2001-07,2001-07-01,36.504,298.84103
2001-08,2001-08-01,36.754,299.32797
2001-08,2001-08-01,36.754,299.139
2001-08,2001-08-01,36.754,298.7106
2001-08,2001-08-01,36.504,298.88483
2001-08,2001-08-01,36.504,298.38333
2001-08,2001-08-01,36.504,297.88232
2001-09,2001-09-01,36.754,294.81967
2001-09,2001-09-01,36.754,294.59293
2001-09,2001-09-01,36.754,294.12665
2001-09,2001-09-01,36.504,294.2978
2001-09,2001-09-01,36.504,293.70642
2001-09,2001-09-01,36.504,293.14108
2001-10,2001-10-01,36.754,289.397
2001-10,2001-10-01,36.754,289.1425
2001-10,2001-10-01,36.754,288.70856
2001-10,2001-10-01,36.504,288.8729
2001-10,2001-10-01,36.504,288.28967
2001-10,2001-10-01,36.504,287.7611
2001-11,2001-11-01,36.754,281.24014
2001-11,2001-11-01,36.754,281.0754
2001-11,2001-11-01,36.754,280.54654
2001-11,2001-11-01,36.504,280.89163
2001-11,2001-11-01,36.504,280.4053
2001-11,2001-11-01,36.504,279.77652
2001-12,2001-12-01,36.754,272.78302
2001-12,2001-12-01,36.754,272.63602
2001-12,2001-12-01,36.754,272.28473
2001-12,2001-12-01,36.504,272.63678
2001-12,2001-12-01,36.504,272.2566
