valid_time,time,latitude,t2m
2000-01,2000-01-01,-26.177,291.59064
2000-01,2000-01-01,-26.177,291.4688
2000-01,2000-01-01,-26.177,291.37244
2000-01,2000-01-01,-26.427,291.58563
2000-01,2000-01-01,-26.427,291.4357
2000-01,2000-01-01,-26.427,291.26953
2000-02,2000-02-01,-26.177,292.14972
2000-02,2000-02-01,-26.177,292.0481
2000-02,2000-02-01,-26.177,291.97217
2000-02,2000-02-01,-26.427,292.27112
2000-02,2000-02-01,-26.427,292.13968
2000-02,2000-02-01,-26.427,291.99127
2000-03,2000-03-01,-26.177,291.79083
2000-03,2000-03-01,-26.177,291.6469
2000-03,2000-03-01,-26.177,291.56036
2000-03,2000-03-01,-26.427,291.8948
2000-03,2000-03-01,-26.427,291.72556
2000-03,2000-03-01,-26.427,291.57764
2000-04,2000-04-01,-26.177,287.65027
2000-04,2000-04-01,-26.177,287.53943
2000-04,2000-04-01,-26.177,287.44876
2000-04,2000-04-01,-26.427,287.62527
2000-04,2000-04-01,-26.427,287.51114
2000-04,2000-04-01,-26.427,287.4074
2000-05,2000-05-01,-26.177,283.71753
2000-05,2000-05-01,-26.177,283.6303
2000-05,2000-05-01,-26.177,283.58844
2000-05,2000-05-01,-26.427,283.72043
2000-05,2000-05-01,-26.427,283.62897
2000-05,2000-05-01,-26.427,283.6108
2000-06,2000-06-01,-26.177,283.05804
2000-06,2000-06-01,-26.177,283.03845
2000-06,2000-06-01,-26.177,282.97476
2000-06,2000-06-01,-26.427,282.9698
2000-06,2000-06-01,-26.427,282.94092
2000-06,2000-06-01,-26.427,282.90314
2000-07,2000-07-01,-26.177,281.4584
2000-07,2000-07-01,-26.177,281.43805
2000-07,2000-07-01,-26.177,281.40097
2000-07,2000-07-01,-26.427,281.3237
2000-07,2000-07-01,-26.427,281.30878
2000-07,2000-07-01,-26.427,281.23657
2000-08,2000-08-01,-26.177,285.78635
2000-08,2000-08-01,-26.177,285.63916
2000-08,2000-08-01,-26.177,285.65775
2000-08,2000-08-01,-26.427,285.88934
2000-08,2000-08-01,-26.427,285.73608
2000-08,2000-08-01,-26.427,285.60187
2000-09,2000-09-01,-26.177,288.32416
2000-09,2000-09-01,-26.177,288.2318
2000-09,2000-09-01,-26.177,288.31897
2000-09,2000-09-01,-26.427,288.4133
2000-09,2000-09-01,-26.427,288.2953
2000-09,2000-09-01,-26.427,288.2003
2000-10,2000-10-01,-26.177,291.30673
2000-10,2000-10-01,-26.177,291.16364
2000-10,2000-10-01,-26.177,291.08685
2000-10,2000-10-01,-26.427,291.38306
2000-10,2000-10-01,-26.427,291.22968
2000-10,2000-10-01,-26.427,291.10687
2000-11,2000-11-01,-26.177,290.64597
2000-11,2000-11-01,-26.177,290.5148
2000-11,2000-11-01,-26.177,290.41846
2000-11,2000-11-01,-26.427,290.73996
2000-11,2000-11-01,-26.427,290.58722
2000-11,2000-11-01,-26.427,290.4121
2000-12,2000-12-01,-26.177,292.604
2000-12,2000-12-01,-26.177,292.47955
2000-12,2000-12-01,-26.177,292.3944
2000-12,2000-12-01,-26.427,292.7964
2000-12,2000-12-01,-26.427,292.63892
2000-12,2000-12-01,-26.427,292.4396
2001-01,2001-01-01,-26.177,293.6777
2001-01,2001-01-01,-26.177,293.5064
2001-01,2001-01-01,-26.177,293.3973
2001-01,2001-01-01,-26.427,293.85965
2001-01,2001-01-01,-26.427,293.68774
2001-01,2001-01-01,-26.427,293.53516
2001-02,2001-02-01,-26.177,292.26752
2001-02,2001-02-01,-26.177,292.1657
2001-02,2001-02-01,-26.177,292.09875
2001-02,2001-02-01,-26.427,292.49298
2001-02,2001-02-01,-26.427,292.35773
2001-02,2001-02-01,-26.427,292.21466
2001-03,2001-03-01,-26.177,291.8176
2001-03,2001-03-01,-26.177,291.71997
2001-03,2001-03-01,-26.177,291.69012
2001-03,2001-03-01,-26.427,292.177
2001-03,2001-03-01,-26.427,292.1067
2001-03,2001-03-01,-26.427,292.0401
2001-04,2001-04-01,-26.177,289.0834
2001-04,2001-04-01,-26.177,289.05673
2001-04,2001-04-01,-26.177,289.09436
2001-04,2001-04-01,-26.427,289.2018
2001-04,2001-04-01,-26.427,289.16367
2001-04,2001-04-01,-26.427,289.21027
2001-05,2001-05-01,-26.177,285.6112
2001-05,2001-05-01,-26.177,285.49808
2001-05,2001-05-01,-26.177,285.4428
2001-05,2001-05-01,-26.427,285.66983
2001-05,2001-05-01,-26.427,285.53568
2001-05,2001-05-01,-26.427,285.4661
2001-06,2001-06-01,-26.177,283.2597
2001-06,2001-06-01,-26.177,283.17383
2001-06,2001-06-01,-26.177,283.23083
2001-06,2001-06-01,-26.427,283.2584
2001-06,2001-06-01,-26.427,283.16986
2001-06,2001-06-01,-26.427,283.2012
2001-07,2001-07-01,-26.177,281.7045
2001-07,2001-07-01,-26.177,281.7179
2001-07,2001-07-01,-26.177,281.747
2001-07,2001-07-01,-26.427,281.6289
2001-07,2001-07-01,-26.427,281.6008
2001-07,2001-07-01,-26.427,281.57654
2001-08,2001-08-01,-26.177,286.433
2001-08,2001-08-01,-26.177,286.48502
2001-08,2001-08-01,-26.177,286.62186
2001-08,2001-08-01,-26.427,286.39114
2001-08,2001-08-01,-26.427,286.40244
2001-08,2001-08-01,-26.427,286.41702
2001-09,2001-09-01,-26.177,288.249
2001-09,2001-09-01,-26.177,288.2472
2001-09,2001-09-01,-26.177,288.366
2001-09,2001-09-01,-26.427,288.30563
2001-09,2001-09-01,-26.427,288.22937
2001-09,2001-09-01,-26.427,288.1818
2001-10,2001-10-01,-26.177,291.1565
2001-10,2001-10-01,-26.177,291.03137
2001-10,2001-10-01,-26.177,291.1358
2001-10,2001-10-01,-26.427,291.5057
2001-10,2001-10-01,-26.427,291.30624
2001-10,2001-10-01,-26.427,291.11337
2001-11,2001-11-01,-26.177,291.20593
2001-11,2001-11-01,-26.177,291.11993
2001-11,2001-11-01,-26.177,291.09885
2001-11,2001-11-01,-26.427,291.42374
2001-11,2001-11-01,-26.427,291.29132
2001-11,2001-11-01,-26.427,291.15704
2001-12,2001-12-01,-26.177,292.29572
2001-12,2001-12-01,-26.177,292.24237
2001-12,2001-12-01,-26.177,292.2619
2001-12,2001-12-01,-26.427,292.5161
2001-12,2001-12-01,-26.427,292.40088
2001-12,2001-12-01,-26.427,292.26
2002-01,2002-01-01,-26.177,293.56143
2002-01,2002-01-01,-26.177,293.46735
2002-01,2002-01-01,-26.177,293.47186
2002-01,2002-01-01,-26.427,293.64056
2002-01,2002-01-01,-26.427,293.4393
2002-01,2002-01-01,-26.427,293.28516
2002-02,2002-02-01,-26.177,292.54022
2002-02,2002-02-01,-26.177,292.3562
2002-02,2002-02-01,-26.177,292.24628
2002-02,2002-02-01,-26.427,292.54114
2002-02,2002-02-01,-26.427,292.31973
2002-02,2002-02-01,-26.427,292.10773
2002-03,2002-03-01,-26.177,292.17786
2002-03,2002-03-01,-26.177,292.03183
2002-03,2002-03-01,-26.177,291.93616
2002-03,2002-03-01,-26.427,292.1062
2002-03,2002-03-01,-26.427,291.91452
2002-03,2002-03-01,-26.427,291.7066
2002-04,2002-04-01,-26.177,290.32635
2002-04,2002-04-01,-26.177,290.20724
2002-04,2002-04-01,-26.177,290.1901
2002-04,2002-04-01,-26.427,290.2732
2002-04,2002-04-01,-26.427,290.10205
2002-04,2002-04-01,-26.427,290.00586
2002-05,2002-05-01,-26.177,285.65848
2002-05,2002-05-01,-26.177,285.62515
2002-05,2002-05-01,-26.177,285.68762
2002-05,2002-05-01,-26.427,285.71646
2002-05,2002-05-01,-26.427,285.61725
2002-05,2002-05-01,-26.427,285.57355
2002-06,2002-06-01,-26.177,282.07532
2002-06,2002-06-01,-26.177,282.10117
2002-06,2002-06-01,-26.177,282.15588
2002-06,2002-06-01,-26.427,281.97955
2002-06,2002-06-01,-26.427,281.96866
2002-06,2002-06-01,-26.427,281.92163
2002-07,2002-07-01,-26.177,282.25278
2002-07,2002-07-01,-26.177,282.25272
2002-07,2002-07-01,-26.177,282.28143
2002-07,2002-07-01,-26.427,282.0439
2002-07,2002-07-01,-26.427,282.03568
