valid_time,time,latitude,t2m
2000-01,2000-01-01,12.066,295.5435
2000-01,2000-01-01,12.066,296.02017
2000-01,2000-01-01,11.816,295.24878
2000-01,2000-01-01,11.816,295.53757
2000-02,2000-02-01,12.066,294.11426
2000-02,2000-02-01,12.066,294.58356
2000-02,2000-02-01,11.816,293.91064
2000-02,2000-02-01,11.816,294.15485
2000-03,2000-03-01,12.066,299.1628
2000-03,2000-03-01,12.066,299.6922
2000-03,2000-03-01,11.816,298.7464
2000-03,2000-03-01,11.816,299.04208
2000-04,2000-04-01,12.066,303.93228
2000-04,2000-04-01,12.066,304.3871
2000-04,2000-04-01,11.816,303.75854
2000-04,2000-04-01,11.816,303.9925
2000-05,2000-05-01,12.066,304.34003
2000-05,2000-05-01,12.066,304.81058
2000-05,2000-05-01,11.816,303.9978
2000-05,2000-05-01,11.816,304.311
2000-06,2000-06-01,12.066,301.75937
2000-06,2000-06-01,12.066,302.18497
2000-06,2000-06-01,11.816,301.2391
2000-06,2000-06-01,11.816,301.58832
2000-07,2000-07-01,12.066,299.0904
2000-07,2000-07-01,12.066,299.40845
2000-07,2000-07-01,11.816,298.8369
2000-07,2000-07-01,11.816,299.08496
2000-08,2000-08-01,12.066,298.49054
2000-08,2000-08-01,12.066,298.8626
2000-08,2000-08-01,11.816,298.13428
2000-08,2000-08-01,11.816,298.4666
2000-09,2000-09-01,12.066,299.47345
2000-09,2000-09-01,12.066,299.84003
2000-09,2000-09-01,11.816,299.06897
2000-09,2000-09-01,11.816,299.40057
2000-10,2000-10-01,12.066,299.41925
2000-10,2000-10-01,12.066,299.7985
2000-10,2000-10-01,11.816,299.09802
2000-10,2000-10-01,11.816,299.33533
2000-11,2000-11-01,12.066,297.19537
2000-11,2000-11-01,12.066,297.66235
2000-11,2000-11-01,11.816,297.07788
2000-11,2000-11-01,11.816,297.34705
2000-12,2000-12-01,12.066,293.4745
2000-12,2000-12-01,12.066,293.83105
2000-12,2000-12-01,11.816,293.29883
2000-12,2000-12-01,11.816,293.45944
2001-01,2001-01-01,12.066,292.33557
2001-01,2001-01-01,12.066,292.7256
2001-01,2001-01-01,11.816,292.12915
2001-01,2001-01-01,11.816,292.3092
2001-02,2001-02-01,12.066,294.8036
2001-02,2001-02-01,12.066,295.15314
