valid_time,time,latitude,t2m
2000-01,2000-01-01,39.079,273.44156
2000-01,2000-01-01,39.079,273.44046
2000-01,2000-01-01,39.079,273.43842
2000-01,2000-01-01,38.829,273.7701
2000-01,2000-01-01,38.829,273.70715
2000-01,2000-01-01,38.829,273.71414
2000-02,2000-02-01,39.079,278.0497
2000-02,2000-02-01,39.079,278.08295
2000-02,2000-02-01,39.079,278.1167
2000-02,2000-02-01,38.829,278.33344
2000-02,2000-02-01,38.829,278.3383
2000-02,2000-02-01,38.829,278.3868
2000-03,2000-03-01,39.079,281.6655
2000-03,2000-03-01,39.079,281.70636
2000-03,2000-03-01,39.079,281.7276
2000-03,2000-03-01,38.829,281.8637
2000-03,2000-03-01,38.829,281.83447
2000-03,2000-03-01,38.829,281.86746
2000-04,2000-04-01,39.079,285.6781
2000-04,2000-04-01,39.079,285.67358
2000-04,2000-04-01,39.079,285.67288
2000-04,2000-04-01,38.829,285.7831
2000-04,2000-04-01,38.829,285.73737
2000-04,2000-04-01,38.829,285.74838
2000-05,2000-05-01,39.079,293.17096
2000-05,2000-05-01,39.079,293.20584
2000-05,2000-05-01,39.079,293.21536
2000-05,2000-05-01,38.829,293.2449
2000-05,2000-05-01,38.829,293.19092
2000-05,2000-05-01,38.829,293.19705
2000-06,2000-06-01,39.079,295.27966
2000-06,2000-06-01,39.079,295.2522
2000-06,2000-06-01,39.079,295.22437
2000-06,2000-06-01,38.829,295.28903
2000-06,2000-06-01,38.829,295.21475
2000-06,2000-06-01,38.829,295.18582
2000-07,2000-07-01,39.079,298.58472
2000-07,2000-07-01,39.079,298.52844
2000-07,2000-07-01,39.079,298.4279
2000-07,2000-07-01,38.829,298.69244
2000-07,2000-07-01,38.829,298.57227
2000-07,2000-07-01,38.829,298.48532
2000-08,2000-08-01,39.079,300.87177
2000-08,2000-08-01,39.079,300.7736
2000-08,2000-08-01,39.079,300.58405
2000-08,2000-08-01,38.829,301.20465
2000-08,2000-08-01,38.829,300.9959
2000-08,2000-08-01,38.829,300.82288
2000-09,2000-09-01,39.079,294.4449
2000-09,2000-09-01,39.079,294.3263
2000-09,2000-09-01,39.079,294.2107
2000-09,2000-09-01,38.829,294.58817
2000-09,2000-09-01,38.829,294.39716
2000-09,2000-09-01,38.829,294.27228
2000-10,2000-10-01,39.079,288.61588
2000-10,2000-10-01,39.079,288.53668
2000-10,2000-10-01,39.079,288.43106
2000-10,2000-10-01,38.829,288.80283
2000-10,2000-10-01,38.829,288.6433
2000-10,2000-10-01,38.829,288.54657
2000-11,2000-11-01,39.079,275.98245
2000-11,2000-11-01,39.079,275.97083
2000-11,2000-11-01,39.079,276.0305
2000-11,2000-11-01,38.829,276.19553
2000-11,2000-11-01,38.829,276.17413
2000-11,2000-11-01,38.829,276.2498
2000-12,2000-12-01,39.079,266.33777
2000-12,2000-12-01,39.079,266.31873
2000-12,2000-12-01,39.079,266.2808
2000-12,2000-12-01,38.829,266.73883
2000-12,2000-12-01,38.829,266.66516
2000-12,2000-12-01,38.829,266.6377
2001-01,2001-01-01,39.079,271.78452
2001-01,2001-01-01,39.079,271.77347
2001-01,2001-01-01,39.079,271.74707
2001-01,2001-01-01,38.829,271.9662
2001-01,2001-01-01,38.829,271.89767
2001-01,2001-01-01,38.829,271.87924
2001-02,2001-02-01,39.079,272.4988
2001-02,2001-02-01,39.079,272.6944
2001-02,2001-02-01,39.079,272.8472
2001-02,2001-02-01,38.829,273.0205
2001-02,2001-02-01,38.829,273.1634
2001-02,2001-02-01,38.829,273.32465
2001-03,2001-03-01,39.079,277.0584
2001-03,2001-03-01,39.079,277.02216
2001-03,2001-03-01,39.079,276.97614
2001-03,2001-03-01,38.829,277.4077
2001-03,2001-03-01,38.829,277.30826
2001-03,2001-03-01,38.829,277.2768
2001-04,2001-04-01,39.079,288.9965
2001-04,2001-04-01,39.079,289.06522
2001-04,2001-04-01,39.079,289.0876
2001-04,2001-04-01,38.829,289.20963
2001-04,2001-04-01,38.829,289.18146
2001-04,2001-04-01,38.829,289.22098
2001-05,2001-05-01,39.079,292.32492
2001-05,2001-05-01,39.079,292.2986
2001-05,2001-05-01,39.079,292.26068
2001-05,2001-05-01,38.829,292.43756
2001-05,2001-05-01,38.829,292.34576
2001-05,2001-05-01,38.829,292.3214
2001-06,2001-06-01,39.079,295.91528
2001-06,2001-06-01,39.079,295.89917
2001-06,2001-06-01,39.079,295.8075
2001-06,2001-06-01,38.829,296.11697
2001-06,2001-06-01,38.829,295.99457
2001-06,2001-06-01,38.829,295.91217
2001-07,2001-07-01,39.079,300.7583
2001-07,2001-07-01,39.079,300.588
2001-07,2001-07-01,39.079,300.34235
2001-07,2001-07-01,38.829,301.06274
2001-07,2001-07-01,38.829,300.73462
2001-07,2001-07-01,38.829,300.5011
2001-08,2001-08-01,39.079,298.73087
2001-08,2001-08-01,39.079,298.62842
2001-08,2001-08-01,39.079,298.47943
2001-08,2001-08-01,38.829,298.88992
2001-08,2001-08-01,38.829,298.67102
2001-08,2001-08-01,38.829,298.53378
2001-09,2001-09-01,39.079,292.0496
2001-09,2001-09-01,39.079,292.0464
2001-09,2001-09-01,39.079,292.03418
2001-09,2001-09-01,38.829,292.26172
2001-09,2001-09-01,38.829,292.18207
2001-09,2001-09-01,38.829,292.1765
2001-10,2001-10-01,39.079,286.49982
2001-10,2001-10-01,39.079,286.47717
2001-10,2001-10-01,39.079,286.43353
2001-10,2001-10-01,38.829,286.70505
2001-10,2001-10-01,38.829,286.60593
2001-10,2001-10-01,38.829,286.57245
2001-11,2001-11-01,39.079,283.85358
2001-11,2001-11-01,39.079,283.93704
2001-11,2001-11-01,39.079,283.9806
2001-11,2001-11-01,38.829,283.9751
2001-11,2001-11-01,38.829,283.97156
2001-11,2001-11-01,38.829,284.02368
2001-12,2001-12-01,39.079,276.29105
2001-12,2001-12-01,39.079,276.312
2001-12,2001-12-01,39.079,276.31314
2001-12,2001-12-01,38.829,276.52945
2001-12,2001-12-01,38.829,276.47937
2001-12,2001-12-01,38.829,276.48123
2002-01,2002-01-01,39.079,274.1017
2002-01,2002-01-01,39.079,274.15656
2002-01,2002-01-01,39.079,274.20596
2002-01,2002-01-01,38.829,274.26688
2002-01,2002-01-01,38.829,274.25854
2002-01,2002-01-01,38.829,274.31326
2002-02,2002-02-01,39.079,276.17712
2002-02,2002-02-01,39.079,276.31018
2002-02,2002-02-01,39.079,276.2962
2002-02,2002-02-01,38.829,276.45117
2002-02,2002-02-01,38.829,276.3915
2002-02,2002-02-01,38.829,276.38647
2002-03,2002-03-01,39.079,277.7066
2002-03,2002-03-01,39.079,277.75058
2002-03,2002-03-01,39.079,277.708
2002-03,2002-03-01,38.829,277.98352
2002-03,2002-03-01,38.829,277.888
2002-03,2002-03-01,38.829,277.85867
2002-04,2002-04-01,39.079,286.75516
2002-04,2002-04-01,39.079,286.75818
2002-04,2002-04-01,39.079,286.74673
2002-04,2002-04-01,38.829,286.98755
2002-04,2002-04-01,38.829,286.88602
2002-04,2002-04-01,38.829,286.88538
2002-05,2002-05-01,39.079,289.99838
2002-05,2002-05-01,39.079,289.9956
2002-05,2002-05-01,39.079,289.9613
2002-05,2002-05-01,38.829,290.16513
2002-05,2002-05-01,38.829,290.0771
2002-05,2002-05-01,38.829,290.05234
2002-06,2002-06-01,39.079,297.7158
2002-06,2002-06-01,39.079,297.74493
2002-06,2002-06-01,39.079,297.73087
2002-06,2002-06-01,38.829,297.71823
2002-06,2002-06-01,38.829,297.62784
2002-06,2002-06-01,38.829,297.6218
2002-07,2002-07-01,39.079,299.78986
2002-07,2002-07-01,39.079,299.73846
2002-07,2002-07-01,39.079,299.6506
2002-07,2002-07-01,38.829,299.80243
2002-07,2002-07-01,38.829,299.61853
2002-07,2002-07-01,38.829,299.53763
2002-08,2002-08-01,39.079,298.77655
2002-08,2002-08-01,39.079,298.6739
2002-08,2002-08-01,39.079,298.53128
2002-08,2002-08-01,38.829,298.8865
2002-08,2002-08-01,38.829,298.65082
2002-08,2002-08-01,38.829,298.5131
2002-09,2002-09-01,39.079,295.13187
2002-09,2002-09-01,39.079,295.0732
2002-09,2002-09-01,39.079,294.98895
2002-09,2002-09-01,38.829,295.32217
2002-09,2002-09-01,38.829,295.15875
2002-09,2002-09-01,38.829,295.0754
2002-10,2002-10-01,39.079,283.95068
2002-10,2002-10-01,39.079,283.98407
2002-10,2002-10-01,39.079,283.98682
2002-10,2002-10-01,38.829,284.17703
2002-10,2002-10-01,38.829,284.1506
2002-10,2002-10-01,38.829,284.15204
2002-11,2002-11-01,39.079,278.5163
2002-11,2002-11-01,39.079,278.47852
2002-11,2002-11-01,39.079,278.43805
2002-11,2002-11-01,38.829,278.76343
2002-11,2002-11-01,38.829,278.67627
2002-11,2002-11-01,38.829,278.6372
2002-12,2002-12-01,39.079,275.53015
2002-12,2002-12-01,39.079,275.55576
2002-12,2002-12-01,39.079,275.5479
2002-12,2002-12-01,38.829,275.7088
2002-12,2002-12-01,38.829,275.67285
2002-12,2002-12-01,38.829,275.66418
2003-01,2003-01-01,39.079,270.94644
2003-01,2003-01-01,39.079,270.90533
2003-01,2003-01-01,39.079,270.85992
2003-01,2003-01-01,38.829,271.25595
2003-01,2003-01-01,38.829,271.1241
2003-01,2003-01-01,38.829,271.04813
2003-02,2003-02-01,39.079,272.33188
2003-02,2003-02-01,39.079,272.3338
2003-02,2003-02-01,39.079,272.32712
2003-02,2003-02-01,38.829,272.6955
2003-02,2003-02-01,38.829,272.6273
2003-02,2003-02-01,38.829,272.62268
2003-03,2003-03-01,39.079,279.47507
2003-03,2003-03-01,39.079,279.49805
2003-03,2003-03-01,39.079,279.49817
2003-03,2003-03-01,38.829,279.73575
2003-03,2003-03-01,38.829,279.6905
2003-03,2003-03-01,38.829,279.70816
2003-04,2003-04-01,39.079,286.9095
2003-04,2003-04-01,39.079,286.93002
2003-04,2003-04-01,39.079,286.91534
2003-04,2003-04-01,38.829,287.08957
2003-04,2003-04-01,38.829,287.0188
2003-04,2003-04-01,38.829,287.02087
2003-05,2003-05-01,39.079,290.8923
2003-05,2003-05-01,39.079,290.92035
2003-05,2003-05-01,39.079,290.90866
2003-05,2003-05-01,38.829,291.09802
2003-05,2003-05-01,38.829,291.0421
2003-05,2003-05-01,38.829,291.0371
2003-06,2003-06-01,39.079,294.94345
2003-06,2003-06-01,39.079,294.8819
2003-06,2003-06-01,39.079,294.78006
2003-06,2003-06-01,38.829,295.08124
2003-06,2003-06-01,38.829,294.93344
2003-06,2003-06-01,38.829,294.83316
2003-07,2003-07-01,39.079,300.1497
2003-07,2003-07-01,39.079,300.1224
2003-07,2003-07-01,39.079,300.039
2003-07,2003-07-01,38.829,300.23956
2003-07,2003-07-01,38.829,300.12433
2003-07,2003-07-01,38.829,300.04492
2003-08,2003-08-01,39.079,300.0431
2003-08,2003-08-01,39.079,300.00647
2003-08,2003-08-01,39.079,299.94022
2003-08,2003-08-01,38.829,300.00775
2003-08,2003-08-01,38.829,299.9183
2003-08,2003-08-01,38.829,299.86685
2003-09,2003-09-01,39.079,291.35074
2003-09,2003-09-01,39.079,291.36078
2003-09,2003-09-01,39.079,291.35452
2003-09,2003-09-01,38.829,291.49335
2003-09,2003-09-01,38.829,291.43457
2003-09,2003-09-01,38.829,291.43323
2003-10,2003-10-01,39.079,287.1836
2003-10,2003-10-01,39.079,287.19296
2003-10,2003-10-01,39.079,287.191
2003-10,2003-10-01,38.829,287.34497
2003-10,2003-10-01,38.829,287.31067
2003-10,2003-10-01,38.829,287.3141
2003-11,2003-11-01,39.079,279.75623
2003-11,2003-11-01,39.079,279.86884
2003-11,2003-11-01,39.079,279.95203
2003-11,2003-11-01,38.829,280.1469
2003-11,2003-11-01,38.829,280.18176
2003-11,2003-11-01,38.829,280.2745
2003-12,2003-12-01,39.079,275.44894
2003-12,2003-12-01,39.079,275.4
2003-12,2003-12-01,39.079,275.3132
2003-12,2003-12-01,38.829,275.7767
2003-12,2003-12-01,38.829,275.6578
2003-12,2003-12-01,38.829,275.56857
2004-01,2004-01-01,39.079,271.0664
2004-01,2004-01-01,39.079,271.10962
2004-01,2004-01-01,39.079,271.10318
2004-01,2004-01-01,38.829,271.52557
2004-01,2004-01-01,38.829,271.4881
2004-01,2004-01-01,38.829,271.48846
2004-02,2004-02-01,39.079,273.36032
2004-02,2004-02-01,39.079,273.60614
2004-02,2004-02-01,39.079,273.69562
2004-02,2004-02-01,38.829,273.73834
2004-02,2004-02-01,38.829,273.85498
2004-02,2004-02-01,38.829,273.95865
2004-03,2004-03-01,39.079,281.93085
2004-03,2004-03-01,39.079,281.90503
2004-03,2004-03-01,39.079,281.86798
2004-03,2004-03-01,38.829,282.16867
2004-03,2004-03-01,38.829,282.07928
2004-03,2004-03-01,38.829,282.06177
2004-04,2004-04-01,39.079,286.98752
2004-04,2004-04-01,39.079,287.00238
2004-04,2004-04-01,39.079,286.9919
2004-04,2004-04-01,38.829,287.08286
2004-04,2004-04-01,38.829,287.02423
2004-04,2004-04-01,38.829,287.02563
2004-05,2004-05-01,39.079,292.8493
2004-05,2004-05-01,39.079,292.8899
2004-05,2004-05-01,39.079,292.8818
2004-05,2004-05-01,38.829,292.98398
2004-05,2004-05-01,38.829,292.9294
2004-05,2004-05-01,38.829,292.93573
2004-06,2004-06-01,39.079,295.0134
2004-06,2004-06-01,39.079,295.01593
2004-06,2004-06-01,39.079,294.98358
2004-06,2004-06-01,38.829,295.17157
2004-06,2004-06-01,38.829,295.07977
2004-06,2004-06-01,38.829,295.0533
2004-07,2004-07-01,39.079,297.32297
2004-07,2004-07-01,39.079,297.29108
2004-07,2004-07-01,39.079,297.20718
2004-07,2004-07-01,38.829,297.34848
2004-07,2004-07-01,38.829,297.24316
2004-07,2004-07-01,38.829,297.1772
2004-08,2004-08-01,39.079,295.62988
2004-08,2004-08-01,39.079,295.60864
2004-08,2004-08-01,39.079,295.53214
2004-08,2004-08-01,38.829,295.81747
2004-08,2004-08-01,38.829,295.6982
2004-08,2004-08-01,38.829,295.6303
2004-09,2004-09-01,39.079,294.42795
2004-09,2004-09-01,39.079,294.33743
2004-09,2004-09-01,39.079,294.20898
2004-09,2004-09-01,38.829,294.55136
2004-09,2004-09-01,38.829,294.39557
2004-09,2004-09-01,38.829,294.2802
2004-10,2004-10-01,39.079,287.85828
2004-10,2004-10-01,39.079,287.81143
2004-10,2004-10-01,39.079,287.77307
2004-10,2004-10-01,38.829,288.16162
2004-10,2004-10-01,38.829,288.06006
2004-10,2004-10-01,38.829,288.0332
2004-11,2004-11-01,39.079,281.29944
2004-11,2004-11-01,39.079,281.34387
2004-11,2004-11-01,39.079,281.38672
2004-11,2004-11-01,38.829,281.54877
2004-11,2004-11-01,38.829,281.5398
2004-11,2004-11-01,38.829,281.5854
2004-12,2004-12-01,39.079,274.7804
2004-12,2004-12-01,39.079,274.786
2004-12,2004-12-01,39.079,274.78455
2004-12,2004-12-01,38.829,275.06848
2004-12,2004-12-01,38.829,275.01935
2004-12,2004-12-01,38.829,275.02142
2005-01,2005-01-01,39.079,271.61832
2005-01,2005-01-01,39.079,271.7545
2005-01,2005-01-01,39.079,271.91003
2005-01,2005-01-01,38.829,272.04343
2005-01,2005-01-01,38.829,272.12646
2005-01,2005-01-01,38.829,272.2843
2005-02,2005-02-01,39.079,276.78162
2005-02,2005-02-01,39.079,276.79233
2005-02,2005-02-01,39.079,276.78394
