valid_time,time,latitude,t2m
2000-01,2000-01-01,25.021,292.6595
2000-01,2000-01-01,25.021,292.0005
2000-01,2000-01-01,24.771,293.53
2000-01,2000-01-01,24.771,292.91733
2000-02,2000-02-01,25.021,293.84827
2000-02,2000-02-01,25.021,293.44354
2000-02,2000-02-01,24.771,294.38626
2000-02,2000-02-01,24.771,294.08313
2000-03,2000-03-01,25.021,297.6928
2000-03,2000-03-01,25.021,298.11115
2000-03,2000-03-01,24.771,297.3902
2000-03,2000-03-01,24.771,297.94434
2000-04,2000-04-01,25.021,301.55273
2000-04,2000-04-01,25.021,302.23926
2000-04,2000-04-01,24.771,300.81323
2000-04,2000-04-01,24.771,301.60587
2000-05,2000-05-01,25.021,302.84305
2000-05,2000-05-01,25.021,303.27414
2000-05,2000-05-01,24.771,302.28058
2000-05,2000-05-01,24.771,302.8869
2000-06,2000-06-01,25.021,302.9698
2000-06,2000-06-01,25.021,303.47202
2000-06,2000-06-01,24.771,302.47714
2000-06,2000-06-01,24.771,303.1206
2000-07,2000-07-01,25.021,302.16168
2000-07,2000-07-01,25.021,302.6314
2000-07,2000-07-01,24.771,301.7697
2000-07,2000-07-01,24.771,302.35864
2000-08,2000-08-01,25.021,301.15112
2000-08,2000-08-01,25.021,301.5321
2000-08,2000-08-01,24.771,300.5572
2000-08,2000-08-01,24.771,301.11163
2000-09,2000-09-01,25.021,300.78537
2000-09,2000-09-01,25.021,301.15906
2000-09,2000-09-01,24.771,300.48907
2000-09,2000-09-01,24.771,300.98633
2000-10,2000-10-01,25.021,300.75687
2000-10,2000-10-01,25.021,301.1341
2000-10,2000-10-01,24.771,300.7245
2000-10,2000-10-01,24.771,301.15256
2000-11,2000-11-01,25.021,298.10614
2000-11,2000-11-01,25.021,297.8313
2000-11,2000-11-01,24.771,298.63257
2000-11,2000-11-01,24.771,298.45227
2000-12,2000-12-01,25.021,294.52908
2000-12,2000-12-01,25.021,293.9586
2000-12,2000-12-01,24.771,295.34445
2000-12,2000-12-01,24.771,294.78442
2001-01,2001-01-01,25.021,292.60486
2001-01,2001-01-01,25.021,291.90887
2001-01,2001-01-01,24.771,293.50302
2001-01,2001-01-01,24.771,292.85062
2001-02,2001-02-01,25.021,295.29556
2001-02,2001-02-01,25.021,295.19104
2001-02,2001-02-01,24.771,295.57242
