valid_time,time,latitude,t2m
2000-01,2000-01-01,15.623,295.16922
2000-01,2000-01-01,15.623,295.8702
2000-01,2000-01-01,15.373,295.52856
2000-01,2000-01-01,15.373,296.29028
2000-02,2000-02-01,15.623,296.81738
2000-02,2000-02-01,15.623,297.55606
2000-02,2000-02-01,15.373,297.158
2000-02,2000-02-01,15.373,297.946
2000-03,2000-03-01,15.623,298.94846
2000-03,2000-03-01,15.623,299.61975
2000-03,2000-03-01,15.373,299.2697
2000-03,2000-03-01,15.373,300.0036
2000-04,2000-04-01,15.623,304.92792
2000-04,2000-04-01,15.623,305.4987
2000-04,2000-04-01,15.373,305.1628
2000-04,2000-04-01,15.373,305.80923
2000-05,2000-05-01,15.623,307.50662
2000-05,2000-05-01,15.623,307.95117
2000-05,2000-05-01,15.373,307.5094
2000-05,2000-05-01,15.373,308.00778
2000-06,2000-06-01,15.623,307.25427
2000-06,2000-06-01,15.623,307.69537
2000-06,2000-06-01,15.373,307.2887
2000-06,2000-06-01,15.373,307.78165
2000-07,2000-07-01,15.623,305.6407
2000-07,2000-07-01,15.623,305.89606
2000-07,2000-07-01,15.373,305.43
2000-07,2000-07-01,15.373,305.73764
2000-08,2000-08-01,15.623,305.3371
2000-08,2000-08-01,15.623,305.4837
2000-08,2000-08-01,15.373,304.94043
2000-08,2000-08-01,15.373,305.11414
2000-09,2000-09-01,15.623,305.58878
2000-09,2000-09-01,15.623,305.7683
2000-09,2000-09-01,15.373,305.32617
2000-09,2000-09-01,15.373,305.50397
2000-10,2000-10-01,15.623,303.50537
2000-10,2000-10-01,15.623,303.96155
2000-10,2000-10-01,15.373,303.6051
2000-10,2000-10-01,15.373,304.1113
2000-11,2000-11-01,15.623,299.63138
2000-11,2000-11-01,15.623,300.2849
2000-11,2000-11-01,15.373,299.8968
2000-11,2000-11-01,15.373,300.6082
2000-12,2000-12-01,15.623,295.1969
2000-12,2000-12-01,15.623,295.90866
2000-12,2000-12-01,15.373,295.50153
2000-12,2000-12-01,15.373,296.277
2001-01,2001-01-01,15.623,294.11734
2001-01,2001-01-01,15.623,294.78653
2001-01,2001-01-01,15.373,294.46985
2001-01,2001-01-01,15.373,295.21262
2001-02,2001-02-01,15.623,296.1367
2001-02,2001-02-01,15.623,296.78952
2001-02,2001-02-01,15.373,296.503
2001-02,2001-02-01,15.373,297.22025
2001-03,2001-03-01,15.623,301.11865
2001-03,2001-03-01,15.623,301.66925
2001-03,2001-03-01,15.373,301.42685
2001-03,2001-03-01,15.373,302.0524
2001-04,2001-04-01,15.623,305.3458
2001-04,2001-04-01,15.623,305.92358
2001-04,2001-04-01,15.373,305.58484
2001-04,2001-04-01,15.373,306.24603
2001-05,2001-05-01,15.623,307.0329
2001-05,2001-05-01,15.623,307.48688
2001-05,2001-05-01,15.373,307.12946
2001-05,2001-05-01,15.373,307.65775
2001-06,2001-06-01,15.623,305.8703
2001-06,2001-06-01,15.623,306.31927
