valid_time,time,latitude,t2m
2000-01,2000-01-01,10.022,299.4885
2000-01,2000-01-01,10.022,299.62384
2000-01,2000-01-01,9.772,299.5213
2000-01,2000-01-01,9.772,299.5931
2000-02,2000-02-01,10.022,299.6348
2000-02,2000-02-01,10.022,300.4684
2000-02,2000-02-01,9.772,299.67038
2000-02,2000-02-01,9.772,300.70425
2000-03,2000-03-01,10.022,300.60065
2000-03,2000-03-01,10.022,302.15897
2000-03,2000-03-01,9.772,300.57727
2000-03,2000-03-01,9.772,302.18893
2000-04,2000-04-01,10.022,300.79453
2000-04,2000-04-01,10.022,300.90646
2000-04,2000-04-01,9.772,300.88254
2000-04,2000-04-01,9.772,300.82208
2000-05,2000-05-01,10.022,300.37262
2000-05,2000-05-01,10.022,300.68988
2000-05,2000-05-01,9.772,300.47702
2000-05,2000-05-01,9.772,300.6343
2000-06,2000-06-01,10.022,298.64963
2000-06,2000-06-01,10.022,298.6703
2000-06,2000-06-01,9.772,298.74222
2000-06,2000-06-01,9.772,298.6266
2000-07,2000-07-01,10.022,298.6185
2000-07,2000-07-01,10.022,298.9453
2000-07,2000-07-01,9.772,298.66425
2000-07,2000-07-01,9.772,298.8659
2000-08,2000-08-01,10.022,298.19135
2000-08,2000-08-01,10.022,298.3054
2000-08,2000-08-01,9.772,298.3115
2000-08,2000-08-01,9.772,298.32324
2000-09,2000-09-01,10.022,298.8899
2000-09,2000-09-01,10.022,299.09146
2000-09,2000-09-01,9.772,298.96997
2000-09,2000-09-01,9.772,299.0796
2000-10,2000-10-01,10.022,299.197
2000-10,2000-10-01,10.022,299.05084
2000-10,2000-10-01,9.772,299.30804
2000-10,2000-10-01,9.772,299.0971
2000-11,2000-11-01,10.022,300.01385
2000-11,2000-11-01,10.022,299.56757
2000-11,2000-11-01,9.772,300.0733
2000-11,2000-11-01,9.772,299.5448
2000-12,2000-12-01,10.022,298.96564
2000-12,2000-12-01,10.022,298.32706
2000-12,2000-12-01,9.772,299.19678
2000-12,2000-12-01,9.772,298.481
2001-01,2001-01-01,10.022,299.6371
2001-01,2001-01-01,10.022,299.6872
2001-01,2001-01-01,9.772,299.65472
2001-01,2001-01-01,9.772,299.68375
2001-02,2001-02-01,10.022,299.9959
2001-02,2001-02-01,10.022,300.9795
2001-02,2001-02-01,9.772,299.8984
2001-02,2001-02-01,9.772,300.80548
2001-03,2001-03-01,10.022,300.98425
2001-03,2001-03-01,10.022,302.04532
2001-03,2001-03-01,9.772,300.91647
2001-03,2001-03-01,9.772,301.8257
2001-04,2001-04-01,10.022,300.4826
2001-04,2001-04-01,10.022,300.7927
2001-04,2001-04-01,9.772,300.47522
2001-04,2001-04-01,9.772,300.6823
2001-05,2001-05-01,10.022,300.65802
2001-05,2001-05-01,10.022,300.58444
2001-05,2001-05-01,9.772,300.7757
2001-05,2001-05-01,9.772,300.47632
2001-06,2001-06-01,10.022,298.94418
2001-06,2001-06-01,10.022,298.8285
2001-06,2001-06-01,9.772,299.07986
2001-06,2001-06-01,9.772,298.85123
2001-07,2001-07-01,10.022,298.55527
2001-07,2001-07-01,10.022,298.62546
2001-07,2001-07-01,9.772,298.6512
2001-07,2001-07-01,9.772,298.5972
2001-08,2001-08-01,10.022,298.40314
2001-08,2001-08-01,10.022,298.865
