valid_time,time,latitude,t2m
2000-01,2000-01-01,22.905,291.69687
2000-01,2000-01-01,22.905,291.67294
2000-01,2000-01-01,22.905,291.79877
2000-01,2000-01-01,22.655,292.03116
2000-01,2000-01-01,22.655,292.05963
2000-01,2000-01-01,22.655,292.1639
2000-01,2000-01-01,22.405,292.5294
2000-01,2000-01-01,22.405,292.49808
2000-01,2000-01-01,22.405,292.3938
2000-01,2000-01-01,22.155,292.97165
2000-01,2000-01-01,22.155,292.8547
2000-01,2000-01-01,22.155,292.77255
2000-02,2000-02-01,22.905,293.68356
2000-02,2000-02-01,22.905,293.6258
2000-02,2000-02-01,22.905,293.75226
2000-02,2000-02-01,22.655,294.02838
2000-02,2000-02-01,22.655,293.98465
2000-02,2000-02-01,22.655,294.0836
2000-02,2000-02-01,22.405,294.48056
2000-02,2000-02-01,22.405,294.38983
2000-02,2000-02-01,22.405,294.3217
2000-02,2000-02-01,22.155,294.81885
2000-02,2000-02-01,22.155,294.74564
2000-02,2000-02-01,22.155,294.67767
2000-03,2000-03-01,22.905,299.53503
2000-03,2000-03-01,22.905,299.60175
2000-03,2000-03-01,22.905,299.75323
2000-03,2000-03-01,22.655,299.8415
2000-03,2000-03-01,22.655,299.84863
2000-03,2000-03-01,22.655,299.9445
2000-03,2000-03-01,22.405,300.1881
2000-03,2000-03-01,22.405,300.1588
2000-03,2000-03-01,22.405,300.04092
2000-03,2000-03-01,22.155,300.20035
2000-03,2000-03-01,22.155,300.23468
2000-03,2000-03-01,22.155,300.10828
2000-04,2000-04-01,22.905,302.73468
2000-04,2000-04-01,22.905,302.57373
2000-04,2000-04-01,22.905,302.4813
2000-04,2000-04-01,22.655,302.8953
2000-04,2000-04-01,22.655,302.69232
2000-04,2000-04-01,22.655,302.55743
2000-04,2000-04-01,22.405,302.81464
2000-04,2000-04-01,22.405,302.61804
2000-04,2000-04-01,22.405,302.41953
2000-04,2000-04-01,22.155,302.50513
2000-04,2000-04-01,22.155,302.34445
2000-04,2000-04-01,22.155,302.14612
2000-05,2000-05-01,22.905,303.00616
2000-05,2000-05-01,22.905,302.85272
2000-05,2000-05-01,22.905,302.74426
2000-05,2000-05-01,22.655,303.2157
2000-05,2000-05-01,22.655,303.10706
2000-05,2000-05-01,22.655,302.94986
2000-05,2000-05-01,22.405,303.29413
2000-05,2000-05-01,22.405,303.18594
2000-05,2000-05-01,22.405,302.90363
2000-05,2000-05-01,22.155,303.15494
2000-05,2000-05-01,22.155,302.99567
