valid_time,time,latitude,t2m
2000-01,2000-01-01,9.321,299.9075
2000-01,2000-01-01,9.321,299.5373
2000-01,2000-01-01,9.071,299.95712
2000-01,2000-01-01,9.071,300.2187
2000-01,2000-01-01,8.821,299.6537
2000-01,2000-01-01,8.821,299.93555
2000-02,2000-02-01,9.321,300.39294
2000-02,2000-02-01,9.321,300.30582
2000-02,2000-02-01,9.071,300.2068
2000-02,2000-02-01,9.071,300.9101
2000-02,2000-02-01,8.821,299.69897
2000-02,2000-02-01,8.821,300.37924
2000-03,2000-03-01,9.321,301.565
2000-03,2000-03-01,9.321,301.5612
2000-03,2000-03-01,9.071,301.24457
2000-03,2000-03-01,9.071,302.02713
2000-03,2000-03-01,8.821,300.5358
2000-03,2000-03-01,8.821,301.29315
2000-04,2000-04-01,9.321,301.21417
2000-04,2000-04-01,9.321,300.68533
2000-04,2000-04-01,9.071,301.22192
2000-04,2000-04-01,9.071,301.2944
2000-04,2000-04-01,8.821,301.06067
2000-04,2000-04-01,8.821,301.1859
2000-05,2000-05-01,9.321,301.024
2000-05,2000-05-01,9.321,300.7771
2000-05,2000-05-01,9.071,300.9666
2000-05,2000-05-01,9.071,301.40894
2000-05,2000-05-01,8.821,300.5918
2000-05,2000-05-01,8.821,301.0645
2000-06,2000-06-01,9.321,299.08707
2000-06,2000-06-01,9.321,298.65445
2000-06,2000-06-01,9.071,299.14807
2000-06,2000-06-01,9.071,299.10638
2000-06,2000-06-01,8.821,298.94763
2000-06,2000-06-01,8.821,298.96347
2000-07,2000-07-01,9.321,299.1369
2000-07,2000-07-01,9.321,298.96246
2000-07,2000-07-01,9.071,299.12158
2000-07,2000-07-01,9.071,299.30997
2000-07,2000-07-01,8.821,298.7978
2000-07,2000-07-01,8.821,299.03165
2000-08,2000-08-01,9.321,298.76855
2000-08,2000-08-01,9.321,298.39368
2000-08,2000-08-01,9.071,298.80765
2000-08,2000-08-01,9.071,298.78442
2000-08,2000-08-01,8.821,298.53348
2000-08,2000-08-01,8.821,298.56314
2000-09,2000-09-01,9.321,299.40652
2000-09,2000-09-01,9.321,299.10953
2000-09,2000-09-01,9.071,299.41443
2000-09,2000-09-01,9.071,299.42145
2000-09,2000-09-01,8.821,299.13556
2000-09,2000-09-01,8.821,299.18945
2000-10,2000-10-01,9.321,299.58066
2000-10,2000-10-01,9.321,298.99738
2000-10,2000-10-01,9.071,299.66852
2000-10,2000-10-01,9.071,299.40814
