valid_time,time,latitude,t2m
2000-01,2000-01-01,11.276,299.67212
2000-01,2000-01-01,11.276,299.69977
2000-01,2000-01-01,11.026,300.2708
2000-01,2000-01-01,11.026,300.59833
2000-02,2000-02-01,11.276,299.71362
2000-02,2000-02-01,11.276,300.14325
2000-02,2000-02-01,11.026,300.1365
2000-02,2000-02-01,11.026,300.83362
2000-03,2000-03-01,11.276,300.6054
2000-03,2000-03-01,11.276,301.28165
2000-03,2000-03-01,11.026,300.9418
2000-03,2000-03-01,11.026,301.86154
2000-04,2000-04-01,11.276,301.09552
2000-04,2000-04-01,11.276,301.00934
2000-04,2000-04-01,11.026,301.2529
2000-04,2000-04-01,11.026,301.2957
2000-05,2000-05-01,11.276,300.59497
2000-05,2000-05-01,11.276,300.73462
2000-05,2000-05-01,11.026,300.75153
2000-05,2000-05-01,11.026,301.01645
2000-06,2000-06-01,11.276,298.6175
2000-06,2000-06-01,11.276,298.33984
2000-06,2000-06-01,11.026,298.88837
2000-06,2000-06-01,11.026,298.77966
2000-07,2000-07-01,11.276,298.50156
2000-07,2000-07-01,11.276,298.35916
2000-07,2000-07-01,11.026,298.80652
2000-07,2000-07-01,11.026,298.83035
2000-08,2000-08-01,11.276,298.13293
2000-08,2000-08-01,11.276,298.0186
2000-08,2000-08-01,11.026,298.4047
2000-08,2000-08-01,11.026,298.45547
2000-09,2000-09-01,11.276,298.84824
2000-09,2000-09-01,11.276,298.83807
2000-09,2000-09-01,11.026,299.09476
2000-09,2000-09-01,11.026,299.27408
2000-10,2000-10-01,11.276,299.28766
2000-10,2000-10-01,11.276,298.8676
2000-10,2000-10-01,11.026,299.5679
2000-10,2000-10-01,11.026,299.32837
2000-11,2000-11-01,11.276,299.95258
2000-11,2000-11-01,11.276,299.2716
2000-11,2000-11-01,11.026,300.46152
2000-11,2000-11-01,11.026,300.0676
2000-12,2000-12-01,11.276,298.9059
2000-12,2000-12-01,11.276,297.99304
2000-12,2000-12-01,11.026,299.77048
2000-12,2000-12-01,11.026,299.31607
2001-01,2001-01-01,11.276,299.89435
2001-01,2001-01-01,11.276,300.31088
2001-01,2001-01-01,11.026,300.405
2001-01,2001-01-01,11.026,301.10995
2001-02,2001-02-01,11.276,300.14056
