valid_time,time,latitude,t2m
2000-01,2000-01-01,3.13,299.13733
2000-01,2000-01-01,3.13,298.83905
2000-01,2000-01-01,3.13,297.87024
2000-01,2000-01-01,2.88,299.19492
2000-01,2000-01-01,2.88,298.93323
2000-01,2000-01-01,2.88,298.41806
2000-02,2000-02-01,3.13,299.46387
2000-02,2000-02-01,3.13,299.18277
2000-02,2000-02-01,3.13,298.37308
2000-02,2000-02-01,2.88,299.5617
2000-02,2000-02-01,2.88,299.32202
2000-02,2000-02-01,2.88,298.81097
2000-03,2000-03-01,3.13,300.0444
2000-03,2000-03-01,3.13,299.69952
2000-03,2000-03-01,3.13,298.80685
2000-03,2000-03-01,2.88,300.15964
2000-03,2000-03-01,2.88,299.88004
2000-03,2000-03-01,2.88,299.3431
2000-04,2000-04-01,3.13,300.15253
2000-04,2000-04-01,3.13,299.89096
2000-04,2000-04-01,3.13,298.96835
2000-04,2000-04-01,2.88,300.2901
2000-04,2000-04-01,2.88,300.07922
2000-04,2000-04-01,2.88,299.53183
2000-05,2000-05-01,3.13,300.92245
2000-05,2000-05-01,3.13,300.52234
2000-05,2000-05-01,3.13,299.5152
2000-05,2000-05-01,2.88,301.09296
2000-05,2000-05-01,2.88,300.77875
2000-05,2000-05-01,2.88,300.07138
2000-06,2000-06-01,3.13,300.5489
2000-06,2000-06-01,3.13,300.00488
2000-06,2000-06-01,3.13,298.81067
2000-06,2000-06-01,2.88,300.80084
2000-06,2000-06-01,2.88,300.36755
2000-06,2000-06-01,2.88,299.39362
2000-07,2000-07-01,3.13,300.8353
2000-07,2000-07-01,3.13,300.61404
2000-07,2000-07-01,3.13,298.9921
2000-07,2000-07-01,2.88,300.63913
2000-07,2000-07-01,2.88,300.43994
2000-07,2000-07-01,2.88,299.48474
2000-08,2000-08-01,3.13,300.20392
2000-08,2000-08-01,3.13,299.74295
2000-08,2000-08-01,3.13,298.40546
2000-08,2000-08-01,2.88,300.2378
2000-08,2000-08-01,2.88,299.82474
2000-08,2000-08-01,2.88,298.9739
2000-09,2000-09-01,3.13,300.21286
2000-09,2000-09-01,3.13,299.8946
2000-09,2000-09-01,3.13,298.63132
2000-09,2000-09-01,2.88,300.1859
2000-09,2000-09-01,2.88,299.91428
2000-09,2000-09-01,2.88,299.0357
2000-10,2000-10-01,3.13,300.26962
2000-10,2000-10-01,3.13,299.85602
2000-10,2000-10-01,3.13,298.91983
2000-10,2000-10-01,2.88,300.3862
2000-10,2000-10-01,2.88,300.042
2000-10,2000-10-01,2.88,299.3795
2000-11,2000-11-01,3.13,299.6661
2000-11,2000-11-01,3.13,299.42953
2000-11,2000-11-01,3.13,298.53946
2000-11,2000-11-01,2.88,299.74948
2000-11,2000-11-01,2.88,299.56824
2000-11,2000-11-01,2.88,299.0071
2000-12,2000-12-01,3.13,299.61243
2000-12,2000-12-01,3.13,299.35303
2000-12,2000-12-01,3.13,298.43393
2000-12,2000-12-01,2.88,299.69327
2000-12,2000-12-01,2.88,299.47955
2000-12,2000-12-01,2.88,298.952
2001-01,2001-01-01,3.13,299.3302
2001-01,2001-01-01,3.13,298.98013
2001-01,2001-01-01,3.13,298.00854
2001-01,2001-01-01,2.88,299.50558
2001-01,2001-01-01,2.88,299.20618
2001-01,2001-01-01,2.88,298.58502
2001-02,2001-02-01,3.13,299.46097
2001-02,2001-02-01,3.13,299.27182
2001-02,2001-02-01,3.13,298.41147
2001-02,2001-02-01,2.88,299.49667
2001-02,2001-02-01,2.88,299.34265
2001-02,2001-02-01,2.88,298.91165
2001-03,2001-03-01,3.13,300.12057
2001-03,2001-03-01,3.13,300.0243
2001-03,2001-03-01,3.13,299.0892
2001-03,2001-03-01,2.88,300.16083
2001-03,2001-03-01,2.88,300.09753
2001-03,2001-03-01,2.88,299.72385
2001-04,2001-04-01,3.13,299.9838
2001-04,2001-04-01,3.13,299.7842
2001-04,2001-04-01,3.13,298.98282
2001-04,2001-04-01,2.88,300.0526
2001-04,2001-04-01,2.88,299.88556
2001-04,2001-04-01,2.88,299.47595
2001-05,2001-05-01,3.13,300.87253
2001-05,2001-05-01,3.13,300.54083
2001-05,2001-05-01,3.13,299.53925
2001-05,2001-05-01,2.88,300.99902
2001-05,2001-05-01,2.88,300.71082
2001-05,2001-05-01,2.88,300.12506
2001-06,2001-06-01,3.13,300.57758
2001-06,2001-06-01,3.13,300.0392
2001-06,2001-06-01,3.13,299.02023
2001-06,2001-06-01,2.88,300.8218
2001-06,2001-06-01,2.88,300.32748
2001-06,2001-06-01,2.88,299.59277
2001-07,2001-07-01,3.13,300.83557
2001-07,2001-07-01,3.13,300.54984
2001-07,2001-07-01,3.13,299.0197
2001-07,2001-07-01,2.88,300.77985
2001-07,2001-07-01,2.88,300.52402
2001-07,2001-07-01,2.88,299.6598
2001-08,2001-08-01,3.13,300.83832
2001-08,2001-08-01,3.13,300.5278
2001-08,2001-08-01,3.13,299.02444
2001-08,2001-08-01,2.88,300.70132
2001-08,2001-08-01,2.88,300.41592
2001-08,2001-08-01,2.88,299.56064
2001-09,2001-09-01,3.13,299.95767
2001-09,2001-09-01,3.13,299.75314
2001-09,2001-09-01,3.13,298.70453
2001-09,2001-09-01,2.88,300.01477
2001-09,2001-09-01,2.88,299.8593
2001-09,2001-09-01,2.88,299.23303
2001-10,2001-10-01,3.13,300.28363
2001-10,2001-10-01,3.13,299.95938
2001-10,2001-10-01,3.13,298.89795
2001-10,2001-10-01,2.88,300.3429
2001-10,2001-10-01,2.88,300.076
