valid_time,time,latitude,t2m
2000-01,2000-01-01,6.839,299.0205
2000-01,2000-01-01,6.839,298.98196
2000-01,2000-01-01,6.589,299.17496
2000-01,2000-01-01,6.589,299.01392
2000-02,2000-02-01,6.839,300.64172
2000-02,2000-02-01,6.839,300.43817
2000-02,2000-02-01,6.589,300.77826
2000-02,2000-02-01,6.589,300.62415
2000-03,2000-03-01,6.839,302.35852
2000-03,2000-03-01,6.839,302.14047
2000-03,2000-03-01,6.589,302.24518
2000-03,2000-03-01,6.589,302.07455
2000-04,2000-04-01,6.839,300.82996
2000-04,2000-04-01,6.839,300.59662
2000-04,2000-04-01,6.589,300.7744
2000-04,2000-04-01,6.589,300.5004
2000-05,2000-05-01,6.839,299.79373
2000-05,2000-05-01,6.839,299.63342
2000-05,2000-05-01,6.589,299.70483
2000-05,2000-05-01,6.589,299.5063
2000-06,2000-06-01,6.839,298.3558
2000-06,2000-06-01,6.839,298.28693
2000-06,2000-06-01,6.589,298.35684
2000-06,2000-06-01,6.589,298.25638
2000-07,2000-07-01,6.839,297.66098
2000-07,2000-07-01,6.839,297.6482
2000-07,2000-07-01,6.589,297.71313
2000-07,2000-07-01,6.589,297.63348
2000-08,2000-08-01,6.839,297.4797
2000-08,2000-08-01,6.839,297.4073
2000-08,2000-08-01,6.589,297.52225
2000-08,2000-08-01,6.589,297.39764
2000-09,2000-09-01,6.839,297.82227
2000-09,2000-09-01,6.839,297.77118
2000-09,2000-09-01,6.589,297.87128
2000-09,2000-09-01,6.589,297.75665
2000-10,2000-10-01,6.839,298.186
2000-10,2000-10-01,6.839,298.15222
2000-10,2000-10-01,6.589,298.2255
2000-10,2000-10-01,6.589,298.11554
2000-11,2000-11-01,6.839,299.00775
2000-11,2000-11-01,6.839,298.99823
2000-11,2000-11-01,6.589,299.05365
2000-11,2000-11-01,6.589,298.96478
2000-12,2000-12-01,6.839,299.56165
2000-12,2000-12-01,6.839,299.51004
2000-12,2000-12-01,6.589,299.46655
2000-12,2000-12-01,6.589,299.31235
2001-01,2001-01-01,6.839,300.29
2001-01,2001-01-01,6.839,300.3116
2001-01,2001-01-01,6.589,300.12277
2001-01,2001-01-01,6.589,300.10913
2001-02,2001-02-01,6.839,302.3115
2001-02,2001-02-01,6.839,302.18857
2001-02,2001-02-01,6.589,302.0947
2001-02,2001-02-01,6.589,301.9816
2001-03,2001-03-01,6.839,300.80652
2001-03,2001-03-01,6.839,300.77737
2001-03,2001-03-01,6.589,300.71225
2001-03,2001-03-01,6.589,300.57544
2001-04,2001-04-01,6.839,299.91812
2001-04,2001-04-01,6.839,299.7912
2001-04,2001-04-01,6.589,299.8774
2001-04,2001-04-01,6.589,299.6866
2001-05,2001-05-01,6.839,299.50552
2001-05,2001-05-01,6.839,299.39587
2001-05,2001-05-01,6.589,299.39474
2001-05,2001-05-01,6.589,299.23074
2001-06,2001-06-01,6.839,298.03952
2001-06,2001-06-01,6.839,297.96106
2001-06,2001-06-01,6.589,297.9268
2001-06,2001-06-01,6.589,297.81485
2001-07,2001-07-01,6.839,297.54828
2001-07,2001-07-01,6.839,297.42
2001-07,2001-07-01,6.589,297.49832
2001-07,2001-07-01,6.589,297.3327
2001-08,2001-08-01,6.839,297.41116
2001-08,2001-08-01,6.839,297.30432
2001-08,2001-08-01,6.589,297.37048
2001-08,2001-08-01,6.589,297.20718
