valid_time,time,latitude,t2m
2000-01,2000-01-01,29.254,285.74445
2000-01,2000-01-01,29.254,286.67065
2000-01,2000-01-01,29.004,285.575
2000-01,2000-01-01,29.004,286.29425
2000-02,2000-02-01,29.254,287.36533
2000-02,2000-02-01,29.254,287.74133
2000-02,2000-02-01,29.004,287.2335
2000-02,2000-02-01,29.004,287.6916
2000-03,2000-03-01,29.254,292.48486
2000-03,2000-03-01,29.254,292.01526
2000-03,2000-03-01,29.004,292.55994
2000-03,2000-03-01,29.004,292.6854
2000-04,2000-04-01,29.254,301.70007
2000-04,2000-04-01,29.254,299.59332
2000-04,2000-04-01,29.004,302.20703
2000-04,2000-04-01,29.004,301.63007
2000-05,2000-05-01,29.254,306.26105
2000-05,2000-05-01,29.254,304.38043
2000-05,2000-05-01,29.004,306.51416
2000-05,2000-05-01,29.004,306.27716
2000-06,2000-06-01,29.254,309.24097
2000-06,2000-06-01,29.254,307.46277
2000-06,2000-06-01,29.004,309.4737
2000-06,2000-06-01,29.004,309.4922
2000-07,2000-07-01,29.254,312.18695
2000-07,2000-07-01,29.254,309.4848
2000-07,2000-07-01,29.004,312.7727
2000-07,2000-07-01,29.004,312.03394
2000-08,2000-08-01,29.254,311.91748
2000-08,2000-08-01,29.254,310.23212
2000-08,2000-08-01,29.004,312.1075
2000-08,2000-08-01,29.004,311.6217
2000-09,2000-09-01,29.254,306.3131
2000-09,2000-09-01,29.254,305.6121
2000-09,2000-09-01,29.004,306.29254
2000-09,2000-09-01,29.004,306.41895
2000-10,2000-10-01,29.254,300.62402
2000-10,2000-10-01,29.254,300.97482
2000-10,2000-10-01,29.004,300.40628
2000-10,2000-10-01,29.004,300.8405
2000-11,2000-11-01,29.254,291.44537
2000-11,2000-11-01,29.254,292.56015
2000-11,2000-11-01,29.004,290.8838
2000-11,2000-11-01,29.004,291.71884
2000-12,2000-12-01,29.254,287.63397
2000-12,2000-12-01,29.254,288.77707
2000-12,2000-12-01,29.004,287.0883
2000-12,2000-12-01,29.004,287.98386
2001-01,2001-01-01,29.254,285.57968
2001-01,2001-01-01,29.254,286.43796
2001-01,2001-01-01,29.004,285.07278
2001-01,2001-01-01,29.004,285.83835
2001-02,2001-02-01,29.254,288.39087
2001-02,2001-02-01,29.254,288.69543
2001-02,2001-02-01,29.004,288.05756
2001-02,2001-02-01,29.004,288.4763
2001-03,2001-03-01,29.254,294.8922
2001-03,2001-03-01,29.254,294.07846
2001-03,2001-03-01,29.004,294.91376
2001-03,2001-03-01,29.004,294.79858
2001-04,2001-04-01,29.254,300.63446
2001-04,2001-04-01,29.254,299.24347
2001-04,2001-04-01,29.004,300.85242
2001-04,2001-04-01,29.004,300.518
2001-05,2001-05-01,29.254,306.0318
2001-05,2001-05-01,29.254,304.17798
2001-05,2001-05-01,29.004,306.41882
2001-05,2001-05-01,29.004,306.18622
2001-06,2001-06-01,29.254,309.5334
2001-06,2001-06-01,29.254,307.62134
2001-06,2001-06-01,29.004,309.80933
2001-06,2001-06-01,29.004,309.7918
2001-07,2001-07-01,29.254,310.81287
2001-07,2001-07-01,29.254,308.94733
2001-07,2001-07-01,29.004,311.14062
2001-07,2001-07-01,29.004,310.97064
2001-08,2001-08-01,29.254,311.362
2001-08,2001-08-01,29.254,309.51337
2001-08,2001-08-01,29.004,311.7254
2001-08,2001-08-01,29.004,311.16888
2001-09,2001-09-01,29.254,307.4406
2001-09,2001-09-01,29.254,306.44702
2001-09,2001-09-01,29.004,307.5614
2001-09,2001-09-01,29.004,307.43045
2001-10,2001-10-01,29.254,301.67902
2001-10,2001-10-01,29.254,302.01147
2001-10,2001-10-01,29.004,301.42117
2001-10,2001-10-01,29.004,301.8482
2001-11,2001-11-01,29.254,292.96896
2001-11,2001-11-01,29.254,294.07822
2001-11,2001-11-01,29.004,292.55194
2001-11,2001-11-01,29.004,293.3627
2001-12,2001-12-01,29.254,289.94446
2001-12,2001-12-01,29.254,290.67902
2001-12,2001-12-01,29.004,289.92807
2001-12,2001-12-01,29.004,290.497
2002-01,2002-01-01,29.254,285.7567
2002-01,2002-01-01,29.254,286.5444
2002-01,2002-01-01,29.004,285.51306
2002-01,2002-01-01,29.004,286.19644
2002-02,2002-02-01,29.254,288.5046
2002-02,2002-02-01,29.254,288.73468
2002-02,2002-02-01,29.004,288.38416
2002-02,2002-02-01,29.004,288.7731
2002-03,2002-03-01,29.254,294.35117
2002-03,2002-03-01,29.254,293.81332
2002-03,2002-03-01,29.004,294.4394
2002-03,2002-03-01,29.004,294.43927
2002-04,2002-04-01,29.254,298.92023
2002-04,2002-04-01,29.254,297.77435
2002-04,2002-04-01,29.004,299.15982
2002-04,2002-04-01,29.004,298.96408
2002-05,2002-05-01,29.254,305.81433
2002-05,2002-05-01,29.254,304.04053
2002-05,2002-05-01,29.004,306.06946
2002-05,2002-05-01,29.004,305.72607
2002-06,2002-06-01,29.254,309.19543
2002-06,2002-06-01,29.254,307.3855
2002-06,2002-06-01,29.004,309.48676
2002-06,2002-06-01,29.004,309.20825
2002-07,2002-07-01,29.254,311.97302
2002-07,2002-07-01,29.254,310.05444
2002-07,2002-07-01,29.004,312.22992
2002-07,2002-07-01,29.004,312.10736
2002-08,2002-08-01,29.254,310.85406
2002-08,2002-08-01,29.254,309.45135
2002-08,2002-08-01,29.004,311.01163
2002-08,2002-08-01,29.004,311.05084
2002-09,2002-09-01,29.254,307.55533
2002-09,2002-09-01,29.254,306.4391
2002-09,2002-09-01,29.004,307.5975
2002-09,2002-09-01,29.004,307.54446
2002-10,2002-10-01,29.254,302.31778
2002-10,2002-10-01,29.254,302.19232
2002-10,2002-10-01,29.004,302.2438
2002-10,2002-10-01,29.004,302.35086
2002-11,2002-11-01,29.254,293.34604
2002-11,2002-11-01,29.254,294.33395
2002-11,2002-11-01,29.004,292.65878
2002-11,2002-11-01,29.004,293.39084
2002-12,2002-12-01,29.254,287.83823
2002-12,2002-12-01,29.254,288.66318
2002-12,2002-12-01,29.004,287.3521
