valid_time,time,latitude,t2m
2000-01,2000-01-01,50.571,268.70062
2000-01,2000-01-01,50.571,268.70377
2000-01,2000-01-01,50.321,268.73856
2000-01,2000-01-01,50.321,268.75522
2000-02,2000-02-01,50.571,272.69913
2000-02,2000-02-01,50.571,272.7763
2000-02,2000-02-01,50.321,272.76382
2000-02,2000-02-01,50.321,272.90485
2000-03,2000-03-01,50.571,274.60016
2000-03,2000-03-01,50.571,274.69363
2000-03,2000-03-01,50.321,274.81366
2000-03,2000-03-01,50.321,274.94635
2000-04,2000-04-01,50.571,285.50174
2000-04,2000-04-01,50.571,285.5986
2000-04,2000-04-01,50.321,285.54404
2000-04,2000-04-01,50.321,285.66418
2000-05,2000-05-01,50.571,287.97656
2000-05,2000-05-01,50.571,288.01035
2000-05,2000-05-01,50.321,287.85822
2000-05,2000-05-01,50.321,287.92117
2000-06,2000-06-01,50.571,290.70953
2000-06,2000-06-01,50.571,290.7683
2000-06,2000-06-01,50.321,290.57483
2000-06,2000-06-01,50.321,290.68533
2000-07,2000-07-01,50.571,292.0172
2000-07,2000-07-01,50.571,292.15448
2000-07,2000-07-01,50.321,291.96252
2000-07,2000-07-01,50.321,292.13467
2000-08,2000-08-01,50.571,293.1057
2000-08,2000-08-01,50.571,293.18692
2000-08,2000-08-01,50.321,292.99884
2000-08,2000-08-01,50.321,293.1349
2000-09,2000-09-01,50.571,285.22403
2000-09,2000-09-01,50.571,285.34305
2000-09,2000-09-01,50.321,285.18738
2000-09,2000-09-01,50.321,285.33215
2000-10,2000-10-01,50.571,282.29926
2000-10,2000-10-01,50.571,282.31293
2000-10,2000-10-01,50.321,282.2203
2000-10,2000-10-01,50.321,282.26038
2000-11,2000-11-01,50.571,277.6057
2000-11,2000-11-01,50.571,277.53366
2000-11,2000-11-01,50.321,277.62073
2000-11,2000-11-01,50.321,277.5671
2000-12,2000-12-01,50.571,274.02582
2000-12,2000-12-01,50.571,274.07166
2000-12,2000-12-01,50.321,274.1005
2000-12,2000-12-01,50.321,274.16232
2001-01,2001-01-01,50.571,272.07126
2001-01,2001-01-01,50.571,272.0957
2001-01,2001-01-01,50.321,272.11505
2001-01,2001-01-01,50.321,272.17172
2001-02,2001-02-01,50.571,270.03906
2001-02,2001-02-01,50.571,270.05795
2001-02,2001-02-01,50.321,270.3478
2001-02,2001-02-01,50.321,270.39548
2001-03,2001-03-01,50.571,275.3438
2001-03,2001-03-01,50.571,275.4156
2001-03,2001-03-01,50.321,275.69418
2001-03,2001-03-01,50.321,275.7992
2001-04,2001-04-01,50.571,284.03827
2001-04,2001-04-01,50.571,284.1833
2001-04,2001-04-01,50.321,284.01343
2001-04,2001-04-01,50.321,284.1686
2001-05,2001-05-01,50.571,286.93387
2001-05,2001-05-01,50.571,287.02277
2001-05,2001-05-01,50.321,286.85464
2001-05,2001-05-01,50.321,286.96808
2001-06,2001-06-01,50.571,289.80582
2001-06,2001-06-01,50.571,289.92276
2001-06,2001-06-01,50.321,289.78693
2001-06,2001-06-01,50.321,289.92523
2001-07,2001-07-01,50.571,297.12878
2001-07,2001-07-01,50.571,297.25943
2001-07,2001-07-01,50.321,296.89957
2001-07,2001-07-01,50.321,297.0769
2001-08,2001-08-01,50.571,293.66302
2001-08,2001-08-01,50.571,293.81036
2001-08,2001-08-01,50.321,293.55728
2001-08,2001-08-01,50.321,293.7468
2001-09,2001-09-01,50.571,286.8746
2001-09,2001-09-01,50.571,286.9992
2001-09,2001-09-01,50.321,286.80667
2001-09,2001-09-01,50.321,286.94507
2001-10,2001-10-01,50.571,282.1814
2001-10,2001-10-01,50.571,282.18738
2001-10,2001-10-01,50.321,282.17035
2001-10,2001-10-01,50.321,282.20535
2001-11,2001-11-01,50.571,275.1136
2001-11,2001-11-01,50.571,275.20013
2001-11,2001-11-01,50.321,275.1239
2001-11,2001-11-01,50.321,275.23706
2001-12,2001-12-01,50.571,265.63916
