valid_time,time,latitude,t2m
2000-01,2000-01-01,6.645,300.09354
2000-01,2000-01-01,6.645,300.15366
2000-01,2000-01-01,6.645,300.20627
2000-01,2000-01-01,6.395,300.18115
2000-01,2000-01-01,6.395,300.23853
2000-01,2000-01-01,6.395,300.2685
2000-02,2000-02-01,6.645,300.41608
2000-02,2000-02-01,6.645,300.47452
2000-02,2000-02-01,6.645,300.4962
2000-02,2000-02-01,6.395,300.18298
2000-02,2000-02-01,6.395,300.24667
2000-02,2000-02-01,6.395,300.26068
2000-03,2000-03-01,6.645,301.3275
2000-03,2000-03-01,6.645,301.35532
2000-03,2000-03-01,6.645,301.35834
2000-03,2000-03-01,6.395,301.18414
2000-03,2000-03-01,6.395,301.23227
2000-03,2000-03-01,6.395,301.22552
2000-04,2000-04-01,6.645,300.67807
2000-04,2000-04-01,6.645,300.6419
2000-04,2000-04-01,6.645,300.65707
2000-04,2000-04-01,6.395,301.0297
2000-04,2000-04-01,6.395,301.07187
2000-04,2000-04-01,6.395,301.0771
2000-05,2000-05-01,6.645,300.21448
2000-05,2000-05-01,6.645,300.22345
2000-05,2000-05-01,6.645,300.33752
2000-05,2000-05-01,6.395,300.598
2000-05,2000-05-01,6.395,300.65747
2000-05,2000-05-01,6.395,300.7259
2000-06,2000-06-01,6.645,298.85587
2000-06,2000-06-01,6.645,298.85678
2000-06,2000-06-01,6.645,298.96793
2000-06,2000-06-01,6.395,299.10168
2000-06,2000-06-01,6.395,299.13696
2000-06,2000-06-01,6.395,299.19397
2000-07,2000-07-01,6.645,298.08395
2000-07,2000-07-01,6.645,298.057
2000-07,2000-07-01,6.645,298.12228
2000-07,2000-07-01,6.395,298.1932
2000-07,2000-07-01,6.395,298.24408
2000-07,2000-07-01,6.395,298.29535
2000-08,2000-08-01,6.645,297.518
2000-08,2000-08-01,6.645,297.50122
2000-08,2000-08-01,6.645,297.5474
2000-08,2000-08-01,6.395,297.61945
2000-08,2000-08-01,6.395,297.69214
2000-08,2000-08-01,6.395,297.7429
2000-09,2000-09-01,6.645,298.10553
2000-09,2000-09-01,6.645,298.09073
2000-09,2000-09-01,6.645,298.15164
2000-09,2000-09-01,6.395,298.19348
2000-09,2000-09-01,6.395,298.2301
2000-09,2000-09-01,6.395,298.27145
2000-10,2000-10-01,6.645,298.8823
2000-10,2000-10-01,6.645,298.85944
