valid_time,time,latitude,t2m
2000-01,2000-01-01,31.709,285.36993
2000-01,2000-01-01,31.709,285.39154
2000-01,2000-01-01,31.709,285.37302
2000-01,2000-01-01,31.709,285.262
2000-01,2000-01-01,31.459,285.65588
2000-01,2000-01-01,31.459,285.6693
2000-01,2000-01-01,31.459,285.49872
2000-01,2000-01-01,31.459,285.16766
2000-01,2000-01-01,31.209,285.8537
2000-01,2000-01-01,31.209,285.80627
2000-01,2000-01-01,31.209,285.6135
2000-01,2000-01-01,31.209,285.2741
2000-02,2000-02-01,31.709,286.43323
2000-02,2000-02-01,31.709,286.4198
2000-02,2000-02-01,31.709,286.39603
2000-02,2000-02-01,31.709,286.36194
2000-02,2000-02-01,31.459,286.5946
2000-02,2000-02-01,31.459,286.568
2000-02,2000-02-01,31.459,286.4034
2000-02,2000-02-01,31.459,286.2481
2000-02,2000-02-01,31.209,286.77383
2000-02,2000-02-01,31.209,286.63284
2000-02,2000-02-01,31.209,286.43286
2000-02,2000-02-01,31.209,286.3111
2000-03,2000-03-01,31.709,293.20804
2000-03,2000-03-01,31.709,293.12134
2000-03,2000-03-01,31.709,293.00638
2000-03,2000-03-01,31.709,292.73676
2000-03,2000-03-01,31.459,293.63455
2000-03,2000-03-01,31.459,293.5302
2000-03,2000-03-01,31.459,293.25845
2000-03,2000-03-01,31.459,292.76178
2000-03,2000-03-01,31.209,294.0884
2000-03,2000-03-01,31.209,293.85608
2000-03,2000-03-01,31.209,293.52884
2000-03,2000-03-01,31.209,293.05356
2000-04,2000-04-01,31.709,302.24548
2000-04,2000-04-01,31.709,302.2474
2000-04,2000-04-01,31.709,302.20004
2000-04,2000-04-01,31.709,301.96384
2000-04,2000-04-01,31.459,302.56805
2000-04,2000-04-01,31.459,302.5528
2000-04,2000-04-01,31.459,302.41025
2000-04,2000-04-01,31.459,302.04993
2000-04,2000-04-01,31.209,302.9333
2000-04,2000-04-01,31.209,302.77682
2000-04,2000-04-01,31.209,302.55
2000-04,2000-04-01,31.209,302.2435
2000-05,2000-05-01,31.709,307.5031
2000-05,2000-05-01,31.709,307.40628
2000-05,2000-05-01,31.709,307.30447
2000-05,2000-05-01,31.709,307.06647
2000-05,2000-05-01,31.459,307.72906
2000-05,2000-05-01,31.459,307.61594
2000-05,2000-05-01,31.459,307.4401
2000-05,2000-05-01,31.459,307.10083
2000-05,2000-05-01,31.209,308.02966
2000-05,2000-05-01,31.209,307.79758
2000-05,2000-05-01,31.209,307.56943
2000-05,2000-05-01,31.209,307.25092
2000-06,2000-06-01,31.709,307.23242
2000-06,2000-06-01,31.709,307.10968
2000-06,2000-06-01,31.709,306.88257
2000-06,2000-06-01,31.709,306.62158
2000-06,2000-06-01,31.459,307.19922
2000-06,2000-06-01,31.459,307.07272
2000-06,2000-06-01,31.459,306.9192
2000-06,2000-06-01,31.459,306.60046
2000-06,2000-06-01,31.209,307.28705
2000-06,2000-06-01,31.209,307.14813
2000-06,2000-06-01,31.209,306.97928
2000-06,2000-06-01,31.209,306.7792
2000-07,2000-07-01,31.709,304.7015
2000-07,2000-07-01,31.709,304.66528
2000-07,2000-07-01,31.709,304.41888
2000-07,2000-07-01,31.709,303.95627
2000-07,2000-07-01,31.459,304.86502
2000-07,2000-07-01,31.459,304.81207
2000-07,2000-07-01,31.459,304.6265
2000-07,2000-07-01,31.459,304.14294
2000-07,2000-07-01,31.209,305.16812
2000-07,2000-07-01,31.209,304.96393
2000-07,2000-07-01,31.209,304.70395
2000-07,2000-07-01,31.209,304.37277
2000-08,2000-08-01,31.709,304.37134
2000-08,2000-08-01,31.709,304.3309
2000-08,2000-08-01,31.709,304.12958
2000-08,2000-08-01,31.709,303.73248
2000-08,2000-08-01,31.459,304.973
2000-08,2000-08-01,31.459,304.91257
2000-08,2000-08-01,31.459,304.7779
2000-08,2000-08-01,31.459,304.22382
2000-08,2000-08-01,31.209,305.71545
2000-08,2000-08-01,31.209,305.47382
2000-08,2000-08-01,31.209,305.2214
2000-08,2000-08-01,31.209,304.76932
2000-09,2000-09-01,31.709,303.05774
2000-09,2000-09-01,31.709,302.9873
2000-09,2000-09-01,31.709,302.61243
2000-09,2000-09-01,31.709,302.08063
2000-09,2000-09-01,31.459,303.79187
2000-09,2000-09-01,31.459,303.71674
2000-09,2000-09-01,31.459,303.46893
2000-09,2000-09-01,31.459,302.81293
2000-09,2000-09-01,31.209,304.4735
2000-09,2000-09-01,31.209,304.36346
2000-09,2000-09-01,31.209,304.03217
2000-09,2000-09-01,31.209,303.5735
2000-10,2000-10-01,31.709,299.64465
2000-10,2000-10-01,31.709,299.77954
2000-10,2000-10-01,31.709,299.3691
2000-10,2000-10-01,31.709,298.9588
2000-10,2000-10-01,31.459,299.81735
2000-10,2000-10-01,31.459,299.918
2000-10,2000-10-01,31.459,299.95892
2000-10,2000-10-01,31.459,299.69525
2000-10,2000-10-01,31.209,300.10522
2000-10,2000-10-01,31.209,299.9556
2000-10,2000-10-01,31.209,300.02005
2000-10,2000-10-01,31.209,300.01547
2000-11,2000-11-01,31.709,292.63995
2000-11,2000-11-01,31.709,292.82117
2000-11,2000-11-01,31.709,292.62857
2000-11,2000-11-01,31.709,292.48776
2000-11,2000-11-01,31.459,292.74274
2000-11,2000-11-01,31.459,292.89716
2000-11,2000-11-01,31.459,292.81873
2000-11,2000-11-01,31.459,292.6695
2000-11,2000-11-01,31.209,292.94095
2000-11,2000-11-01,31.209,292.87094
2000-11,2000-11-01,31.209,292.81638
2000-11,2000-11-01,31.209,292.78958
2000-12,2000-12-01,31.709,287.0374
2000-12,2000-12-01,31.709,286.98038
2000-12,2000-12-01,31.709,286.5264
2000-12,2000-12-01,31.709,286.29202
2000-12,2000-12-01,31.459,287.26126
2000-12,2000-12-01,31.459,287.19336
2000-12,2000-12-01,31.459,286.8343
2000-12,2000-12-01,31.459,286.39978
2000-12,2000-12-01,31.209,287.46063
2000-12,2000-12-01,31.209,287.29172
2000-12,2000-12-01,31.209,286.95398
2000-12,2000-12-01,31.209,286.52502
2001-01,2001-01-01,31.709,284.61768
2001-01,2001-01-01,31.709,284.5813
2001-01,2001-01-01,31.709,284.34637
2001-01,2001-01-01,31.709,284.17096
2001-01,2001-01-01,31.459,284.89078
2001-01,2001-01-01,31.459,284.8438
2001-01,2001-01-01,31.459,284.56183
2001-01,2001-01-01,31.459,284.20563
2001-01,2001-01-01,31.209,285.09967
2001-01,2001-01-01,31.209,284.96783
2001-01,2001-01-01,31.209,284.6809
