valid_time,time,latitude,t2m
2000-01,2000-01-01,36.175,281.08118
2000-01,2000-01-01,36.175,282.88654
2000-01,2000-01-01,35.925,282.02072
2000-01,2000-01-01,35.925,282.9287
2000-02,2000-02-01,36.175,281.81342
2000-02,2000-02-01,36.175,284.17725
2000-02,2000-02-01,35.925,282.8883
2000-02,2000-02-01,35.925,284.19012
2000-03,2000-03-01,36.175,284.2751
2000-03,2000-03-01,36.175,286.7378
2000-03,2000-03-01,35.925,285.52032
2000-03,2000-03-01,35.925,286.80707
2000-04,2000-04-01,36.175,291.21332
2000-04,2000-04-01,36.175,293.6341
2000-04,2000-04-01,35.925,292.22565
2000-04,2000-04-01,35.925,293.6477
2000-05,2000-05-01,36.175,296.24298
2000-05,2000-05-01,36.175,298.64197
2000-05,2000-05-01,35.925,297.13684
2000-05,2000-05-01,35.925,298.72003
2000-06,2000-06-01,36.175,300.81085
2000-06,2000-06-01,36.175,303.1798
2000-06,2000-06-01,35.925,301.80432
2000-06,2000-06-01,35.925,303.2542
2000-07,2000-07-01,36.175,302.7107
2000-07,2000-07-01,36.175,305.17572
2000-07,2000-07-01,35.925,303.67218
2000-07,2000-07-01,35.925,305.2787
2000-08,2000-08-01,36.175,301.55225
2000-08,2000-08-01,36.175,304.00183
2000-08,2000-08-01,35.925,302.5905
2000-08,2000-08-01,35.925,304.0246
2000-09,2000-09-01,36.175,297.18036
2000-09,2000-09-01,36.175,299.6609
2000-09,2000-09-01,35.925,298.32495
2000-09,2000-09-01,35.925,299.66943
2000-10,2000-10-01,36.175,289.42303
2000-10,2000-10-01,36.175,291.61658
2000-10,2000-10-01,35.925,290.61615
2000-10,2000-10-01,35.925,291.77686
2000-11,2000-11-01,36.175,280.69232
2000-11,2000-11-01,36.175,282.72333
2000-11,2000-11-01,35.925,281.75946
2000-11,2000-11-01,35.925,282.831
2000-12,2000-12-01,36.175,280.73395
2000-12,2000-12-01,36.175,282.2107
2000-12,2000-12-01,35.925,281.50098
2000-12,2000-12-01,35.925,282.16608
2001-01,2001-01-01,36.175,277.92474
2001-01,2001-01-01,36.175,280.11493
2001-01,2001-01-01,35.925,279.07275
2001-01,2001-01-01,35.925,280.18738
2001-02,2001-02-01,36.175,279.76147
2001-02,2001-02-01,36.175,282.45422
2001-02,2001-02-01,35.925,281.14862
2001-02,2001-02-01,35.925,282.56378
2001-03,2001-03-01,36.175,285.37488
2001-03,2001-03-01,36.175,287.42743
2001-03,2001-03-01,35.925,286.57007
2001-03,2001-03-01,35.925,287.44324
2001-04,2001-04-01,36.175,287.67798
2001-04,2001-04-01,36.175,290.4093
2001-04,2001-04-01,35.925,288.77368
2001-04,2001-04-01,35.925,290.44006
2001-05,2001-05-01,36.175,297.46094
2001-05,2001-05-01,36.175,299.7791
2001-05,2001-05-01,35.925,298.56757
2001-05,2001-05-01,35.925,299.88745
2001-06,2001-06-01,36.175,300.39655
2001-06,2001-06-01,36.175,302.77283
2001-06,2001-06-01,35.925,301.28986
2001-06,2001-06-01,35.925,302.82037
2001-07,2001-07-01,36.175,301.16522
2001-07,2001-07-01,36.175,303.93964
2001-07,2001-07-01,35.925,302.29492
2001-07,2001-07-01,35.925,303.8332
2001-08,2001-08-01,36.175,302.73346
2001-08,2001-08-01,36.175,305.07007
2001-08,2001-08-01,35.925,303.92236
2001-08,2001-08-01,35.925,305.13745
2001-09,2001-09-01,36.175,299.1347
2001-09,2001-09-01,36.175,301.43542
2001-09,2001-09-01,35.925,300.2223
2001-09,2001-09-01,35.925,301.51312
2001-10,2001-10-01,36.175,292.6102
2001-10,2001-10-01,36.175,294.53915
2001-10,2001-10-01,35.925,293.63382
2001-10,2001-10-01,35.925,294.58612
2001-11,2001-11-01,36.175,284.78088
2001-11,2001-11-01,36.175,286.867
2001-11,2001-11-01,35.925,285.72504
2001-11,2001-11-01,35.925,286.89948
