valid_time,time,latitude,t2m
2000-01,2000-01-01,-12.006,293.30157
2000-01,2000-01-01,-12.006,293.1258
2000-01,2000-01-01,-12.256,293.0869
2000-01,2000-01-01,-12.256,293.00403
2000-02,2000-02-01,-12.006,294.52365
2000-02,2000-02-01,-12.006,294.07162
2000-02,2000-02-01,-12.256,294.22293
2000-02,2000-02-01,-12.256,294.0929
2000-03,2000-03-01,-12.006,293.64862
2000-03,2000-03-01,-12.006,293.72375
2000-03,2000-03-01,-12.256,293.2293
2000-03,2000-03-01,-12.256,293.41348
2000-04,2000-04-01,-12.006,292.91473
2000-04,2000-04-01,-12.006,293.10617
2000-04,2000-04-01,-12.256,292.4633
2000-04,2000-04-01,-12.256,292.58197
2000-05,2000-05-01,-12.006,290.87875
2000-05,2000-05-01,-12.006,291.89444
2000-05,2000-05-01,-12.256,290.48077
2000-05,2000-05-01,-12.256,290.55606
2000-06,2000-06-01,-12.006,289.82257
2000-06,2000-06-01,-12.006,290.9696
2000-06,2000-06-01,-12.256,289.46973
2000-06,2000-06-01,-12.256,289.38135
2000-07,2000-07-01,-12.006,289.30194
2000-07,2000-07-01,-12.006,290.6106
2000-07,2000-07-01,-12.256,288.81522
2000-07,2000-07-01,-12.256,288.766
2000-08,2000-08-01,-12.006,289.19318
2000-08,2000-08-01,-12.006,290.79205
2000-08,2000-08-01,-12.256,288.63977
2000-08,2000-08-01,-12.256,288.721
2000-09,2000-09-01,-12.006,289.0005
2000-09,2000-09-01,-12.006,290.54663
2000-09,2000-09-01,-12.256,288.53174
2000-09,2000-09-01,-12.256,288.70032
2000-10,2000-10-01,-12.006,289.6842
2000-10,2000-10-01,-12.006,291.39276
2000-10,2000-10-01,-12.256,289.0932
2000-10,2000-10-01,-12.256,289.40118
2000-11,2000-11-01,-12.006,290.12677
2000-11,2000-11-01,-12.006,291.50592
2000-11,2000-11-01,-12.256,289.7015
2000-11,2000-11-01,-12.256,289.8833
2000-12,2000-12-01,-12.006,292.1892
2000-12,2000-12-01,-12.006,292.87427
2000-12,2000-12-01,-12.256,291.867
2000-12,2000-12-01,-12.256,291.92114
2001-01,2001-01-01,-12.006,293.436
2001-01,2001-01-01,-12.006,293.5792
2001-01,2001-01-01,-12.256,293.20422
2001-01,2001-01-01,-12.256,293.1739
2001-02,2001-02-01,-12.006,295.02383
2001-02,2001-02-01,-12.006,294.72064
2001-02,2001-02-01,-12.256,294.76102
2001-02,2001-02-01,-12.256,294.61188
2001-03,2001-03-01,-12.006,294.97433
2001-03,2001-03-01,-12.006,294.57605
2001-03,2001-03-01,-12.256,294.6737
2001-03,2001-03-01,-12.256,294.59314
2001-04,2001-04-01,-12.006,292.6824
2001-04,2001-04-01,-12.006,293.19083
2001-04,2001-04-01,-12.256,292.132
2001-04,2001-04-01,-12.256,292.34088
2001-05,2001-05-01,-12.006,290.781
2001-05,2001-05-01,-12.006,291.6802
2001-05,2001-05-01,-12.256,290.50452
2001-05,2001-05-01,-12.256,290.43622
2001-06,2001-06-01,-12.006,289.60504
2001-06,2001-06-01,-12.006,290.68073
2001-06,2001-06-01,-12.256,289.20856
2001-06,2001-06-01,-12.256,289.06268
2001-07,2001-07-01,-12.006,288.81058
2001-07,2001-07-01,-12.006,290.18484
2001-07,2001-07-01,-12.256,288.40024
2001-07,2001-07-01,-12.256,288.3378
2001-08,2001-08-01,-12.006,288.68768
2001-08,2001-08-01,-12.006,290.36835
2001-08,2001-08-01,-12.256,288.1637
2001-08,2001-08-01,-12.256,288.18817
2001-09,2001-09-01,-12.006,288.23566
2001-09,2001-09-01,-12.006,290.1927
2001-09,2001-09-01,-12.256,287.7307
2001-09,2001-09-01,-12.256,288.01288
2001-10,2001-10-01,-12.006,288.88898
2001-10,2001-10-01,-12.006,290.78235
2001-10,2001-10-01,-12.256,288.41235
2001-10,2001-10-01,-12.256,288.73712
2001-11,2001-11-01,-12.006,289.96848
2001-11,2001-11-01,-12.006,291.45093
2001-11,2001-11-01,-12.256,289.66034
2001-11,2001-11-01,-12.256,289.88577
2001-12,2001-12-01,-12.006,291.47656
2001-12,2001-12-01,-12.006,292.84042
2001-12,2001-12-01,-12.256,291.20694
2001-12,2001-12-01,-12.256,291.3994
2002-01,2002-01-01,-12.006,292.89688
2002-01,2002-01-01,-12.006,293.7397
2002-01,2002-01-01,-12.256,292.74915
2002-01,2002-01-01,-12.256,292.8656
2002-02,2002-02-01,-12.006,294.28323
2002-02,2002-02-01,-12.006,294.45273
2002-02,2002-02-01,-12.256,294.0944
2002-02,2002-02-01,-12.256,294.13562
2002-03,2002-03-01,-12.006,295.44504
2002-03,2002-03-01,-12.006,295.245
2002-03,2002-03-01,-12.256,295.0575
2002-03,2002-03-01,-12.256,294.98322
2002-04,2002-04-01,-12.006,293.60995
2002-04,2002-04-01,-12.006,293.62793
2002-04,2002-04-01,-12.256,293.21094
2002-04,2002-04-01,-12.256,293.06012
2002-05,2002-05-01,-12.006,291.76984
2002-05,2002-05-01,-12.006,292.75034
2002-05,2002-05-01,-12.256,291.30713
2002-05,2002-05-01,-12.256,291.32477
2002-06,2002-06-01,-12.006,290.1177
2002-06,2002-06-01,-12.006,291.05273
2002-06,2002-06-01,-12.256,289.83484
2002-06,2002-06-01,-12.256,289.52902
2002-07,2002-07-01,-12.006,288.80804
2002-07,2002-07-01,-12.006,290.44403
2002-07,2002-07-01,-12.256,288.34393
2002-07,2002-07-01,-12.256,288.2669
2002-08,2002-08-01,-12.006,288.6349
2002-08,2002-08-01,-12.006,290.51428
2002-08,2002-08-01,-12.256,288.26105
2002-08,2002-08-01,-12.256,288.31525
2002-09,2002-09-01,-12.006,288.75885
2002-09,2002-09-01,-12.006,290.55872
2002-09,2002-09-01,-12.256,288.28107
2002-09,2002-09-01,-12.256,288.388
2002-10,2002-10-01,-12.006,289.84772
2002-10,2002-10-01,-12.006,291.4123
2002-10,2002-10-01,-12.256,289.28345
2002-10,2002-10-01,-12.256,289.41583
2002-11,2002-11-01,-12.006,290.91364
2002-11,2002-11-01,-12.006,291.94104
2002-11,2002-11-01,-12.256,290.5617
2002-11,2002-11-01,-12.256,290.53836
2002-12,2002-12-01,-12.006,292.76343
2002-12,2002-12-01,-12.006,293.32645
2002-12,2002-12-01,-12.256,292.57443
2002-12,2002-12-01,-12.256,292.37823
2003-01,2003-01-01,-12.006,294.1115
2003-01,2003-01-01,-12.006,294.29767
2003-01,2003-01-01,-12.256,293.94943
2003-01,2003-01-01,-12.256,293.75867
2003-02,2003-02-01,-12.006,295.28552
2003-02,2003-02-01,-12.006,294.79395
2003-02,2003-02-01,-12.256,295.2473
2003-02,2003-02-01,-12.256,294.90265
2003-03,2003-03-01,-12.006,294.20062
2003-03,2003-03-01,-12.006,294.26694
2003-03,2003-03-01,-12.256,294.05176
2003-03,2003-03-01,-12.256,293.96738
2003-04,2003-04-01,-12.006,291.8221
2003-04,2003-04-01,-12.006,292.93478
2003-04,2003-04-01,-12.256,291.46185
2003-04,2003-04-01,-12.256,291.70856
2003-05,2003-05-01,-12.006,290.1977
2003-05,2003-05-01,-12.006,291.84308
2003-05,2003-05-01,-12.256,289.84064
2003-05,2003-05-01,-12.256,290.11835
2003-06,2003-06-01,-12.006,289.4222
2003-06,2003-06-01,-12.006,290.8764
2003-06,2003-06-01,-12.256,289.10684
2003-06,2003-06-01,-12.256,289.10443
2003-07,2003-07-01,-12.006,289.36157
2003-07,2003-07-01,-12.006,290.80707
2003-07,2003-07-01,-12.256,288.98172
2003-07,2003-07-01,-12.256,288.93442
2003-08,2003-08-01,-12.006,288.5852
2003-08,2003-08-01,-12.006,290.3864
2003-08,2003-08-01,-12.256,288.16235
2003-08,2003-08-01,-12.256,288.27673
2003-09,2003-09-01,-12.006,288.4834
2003-09,2003-09-01,-12.006,290.61383
2003-09,2003-09-01,-12.256,287.96045
2003-09,2003-09-01,-12.256,288.261
2003-10,2003-10-01,-12.006,289.58655
2003-10,2003-10-01,-12.006,291.51
2003-10,2003-10-01,-12.256,289.11304
2003-10,2003-10-01,-12.256,289.45312
2003-11,2003-11-01,-12.006,290.88086
2003-11,2003-11-01,-12.006,292.25458
2003-11,2003-11-01,-12.256,290.48004
2003-11,2003-11-01,-12.256,290.57214
2003-12,2003-12-01,-12.006,292.10797
2003-12,2003-12-01,-12.006,293.0176
2003-12,2003-12-01,-12.256,291.85678
2003-12,2003-12-01,-12.256,291.9499
2004-01,2004-01-01,-12.006,293.64526
2004-01,2004-01-01,-12.006,293.98175
2004-01,2004-01-01,-12.256,293.63345
2004-01,2004-01-01,-12.256,293.54584
2004-02,2004-02-01,-12.006,294.961
2004-02,2004-02-01,-12.006,294.47388
2004-02,2004-02-01,-12.256,295.0395
2004-02,2004-02-01,-12.256,294.58624
2004-03,2004-03-01,-12.006,294.22556
2004-03,2004-03-01,-12.006,294.1533
2004-03,2004-03-01,-12.256,294.04144
2004-03,2004-03-01,-12.256,293.94846
2004-04,2004-04-01,-12.006,292.7447
2004-04,2004-04-01,-12.006,293.18384
2004-04,2004-04-01,-12.256,292.51337
2004-04,2004-04-01,-12.256,292.50964
2004-05,2004-05-01,-12.006,289.92288
2004-05,2004-05-01,-12.006,291.17828
2004-05,2004-05-01,-12.256,289.71368
2004-05,2004-05-01,-12.256,289.71066
2004-06,2004-06-01,-12.006,289.10483
2004-06,2004-06-01,-12.006,290.60284
2004-06,2004-06-01,-12.256,288.72397
2004-06,2004-06-01,-12.256,288.61087
2004-07,2004-07-01,-12.006,289.13538
2004-07,2004-07-01,-12.006,290.37296
2004-07,2004-07-01,-12.256,288.76144
2004-07,2004-07-01,-12.256,288.62762
2004-08,2004-08-01,-12.006,289.14648
2004-08,2004-08-01,-12.006,290.365
2004-08,2004-08-01,-12.256,288.77032
2004-08,2004-08-01,-12.256,288.56216
2004-09,2004-09-01,-12.006,289.8874
2004-09,2004-09-01,-12.006,290.9013
2004-09,2004-09-01,-12.256,289.51263
2004-09,2004-09-01,-12.256,289.4643
2004-10,2004-10-01,-12.006,290.19315
