valid_time,time,latitude,t2m
2000-01,2000-01-01,35.161,271.49683
2000-01,2000-01-01,35.161,271.73636
2000-01,2000-01-01,34.911,272.03485
2000-01,2000-01-01,34.911,272.08746
2000-02,2000-02-01,35.161,273.9978
2000-02,2000-02-01,35.161,274.03506
2000-02,2000-02-01,34.911,274.43835
2000-02,2000-02-01,34.911,274.34497
2000-03,2000-03-01,35.161,282.05487
2000-03,2000-03-01,35.161,282.18457
2000-03,2000-03-01,34.911,282.62634
2000-03,2000-03-01,34.911,282.44937
2000-04,2000-04-01,35.161,288.0884
2000-04,2000-04-01,35.161,288.2664
2000-04,2000-04-01,34.911,288.77908
2000-04,2000-04-01,34.911,288.65094
2000-05,2000-05-01,35.161,292.78302
2000-05,2000-05-01,35.161,292.89514
2000-05,2000-05-01,34.911,293.29385
2000-05,2000-05-01,34.911,293.24707
2000-06,2000-06-01,35.161,297.43716
2000-06,2000-06-01,35.161,297.52158
2000-06,2000-06-01,34.911,297.70728
2000-06,2000-06-01,34.911,297.59357
2000-07,2000-07-01,35.161,300.04547
2000-07,2000-07-01,35.161,300.20203
2000-07,2000-07-01,34.911,300.41455
2000-07,2000-07-01,34.911,300.41492
2000-08,2000-08-01,35.161,299.00345
2000-08,2000-08-01,35.161,299.24063
2000-08,2000-08-01,34.911,299.3993
2000-08,2000-08-01,34.911,299.44427
2000-09,2000-09-01,35.161,294.68814
2000-09,2000-09-01,35.161,294.89877
2000-09,2000-09-01,34.911,295.04333
2000-09,2000-09-01,34.911,295.11465
2000-10,2000-10-01,35.161,287.93054
2000-10,2000-10-01,35.161,288.23007
2000-10,2000-10-01,34.911,288.3733
2000-10,2000-10-01,34.911,288.51843
2000-11,2000-11-01,35.161,279.42496
2000-11,2000-11-01,35.161,279.60013
2000-11,2000-11-01,34.911,279.83307
2000-11,2000-11-01,34.911,279.94525
2000-12,2000-12-01,35.161,276.0595
2000-12,2000-12-01,35.161,276.3277
2000-12,2000-12-01,34.911,276.6761
2000-12,2000-12-01,34.911,276.7453
2001-01,2001-01-01,35.161,272.258
2001-01,2001-01-01,35.161,272.46277
2001-01,2001-01-01,34.911,272.80975
2001-01,2001-01-01,34.911,272.88654
2001-02,2001-02-01,35.161,275.28687
2001-02,2001-02-01,35.161,275.44623
2001-02,2001-02-01,34.911,275.7864
2001-02,2001-02-01,34.911,275.79138
2001-03,2001-03-01,35.161,280.81317
2001-03,2001-03-01,35.161,280.96918
2001-03,2001-03-01,34.911,281.32605
2001-03,2001-03-01,34.911,281.2519
2001-04,2001-04-01,35.161,287.09143
2001-04,2001-04-01,35.161,287.165
2001-04,2001-04-01,34.911,287.44363
2001-04,2001-04-01,34.911,287.2622
2001-05,2001-05-01,35.161,295.13007
2001-05,2001-05-01,35.161,295.31924
2001-05,2001-05-01,34.911,295.7829
2001-05,2001-05-01,34.911,295.6302
2001-06,2001-06-01,35.161,297.80573
2001-06,2001-06-01,35.161,297.98428
2001-06,2001-06-01,34.911,298.2555
2001-06,2001-06-01,34.911,298.11963
2001-07,2001-07-01,35.161,299.5959
2001-07,2001-07-01,35.161,299.84827
2001-07,2001-07-01,34.911,300.2148
2001-07,2001-07-01,34.911,300.22485
2001-08,2001-08-01,35.161,298.08667
2001-08,2001-08-01,35.161,298.26
2001-08,2001-08-01,34.911,298.421
2001-08,2001-08-01,34.911,298.4481
2001-09,2001-09-01,35.161,293.9595
2001-09,2001-09-01,35.161,294.28995
2001-09,2001-09-01,34.911,294.40002
2001-09,2001-09-01,34.911,294.5119
2001-10,2001-10-01,35.161,288.88495
2001-10,2001-10-01,35.161,289.2014
2001-10,2001-10-01,34.911,289.4001
2001-10,2001-10-01,34.911,289.47308
2001-11,2001-11-01,35.161,280.84
2001-11,2001-11-01,35.161,281.09448
2001-11,2001-11-01,34.911,281.3399
2001-11,2001-11-01,34.911,281.4748
2001-12,2001-12-01,35.161,273.29196
2001-12,2001-12-01,35.161,273.4709
2001-12,2001-12-01,34.911,273.76117
2001-12,2001-12-01,34.911,273.8191
2002-01,2002-01-01,35.161,275.23547
2002-01,2002-01-01,35.161,275.3002
2002-01,2002-01-01,34.911,275.62054
2002-01,2002-01-01,34.911,275.63202
2002-02,2002-02-01,35.161,278.2975
2002-02,2002-02-01,35.161,278.3833
2002-02,2002-02-01,34.911,278.69235
2002-02,2002-02-01,34.911,278.57068
2002-03,2002-03-01,35.161,283.30872
2002-03,2002-03-01,35.161,283.43433
2002-03,2002-03-01,34.911,283.72064
2002-03,2002-03-01,34.911,283.63995
2002-04,2002-04-01,35.161,287.48438
2002-04,2002-04-01,35.161,287.6623
2002-04,2002-04-01,34.911,287.91052
2002-04,2002-04-01,34.911,287.87665
2002-05,2002-05-01,35.161,291.8112
2002-05,2002-05-01,35.161,291.87494
2002-05,2002-05-01,34.911,292.04056
2002-05,2002-05-01,34.911,291.95844
2002-06,2002-06-01,35.161,297.26984
2002-06,2002-06-01,35.161,297.38214
2002-06,2002-06-01,34.911,297.94507
2002-06,2002-06-01,34.911,297.82446
2002-07,2002-07-01,35.161,300.12622
2002-07,2002-07-01,35.161,300.3604
2002-07,2002-07-01,34.911,300.5058
2002-07,2002-07-01,34.911,300.57
2002-08,2002-08-01,35.161,298.96844
2002-08,2002-08-01,35.161,299.1112
2002-08,2002-08-01,34.911,299.30154
2002-08,2002-08-01,34.911,299.28452
2002-09,2002-09-01,35.161,294.13205
2002-09,2002-09-01,35.161,294.34003
2002-09,2002-09-01,34.911,294.50012
2002-09,2002-09-01,34.911,294.5608
2002-10,2002-10-01,35.161,287.18887
2002-10,2002-10-01,35.161,287.51703
2002-10,2002-10-01,34.911,287.9295
2002-10,2002-10-01,34.911,288.03662
2002-11,2002-11-01,35.161,279.62793
2002-11,2002-11-01,35.161,279.89093
2002-11,2002-11-01,34.911,280.3598
2002-11,2002-11-01,34.911,280.4737
2002-12,2002-12-01,35.161,273.9588
2002-12,2002-12-01,35.161,274.2212
2002-12,2002-12-01,34.911,274.58167
2002-12,2002-12-01,34.911,274.6774
2003-01,2003-01-01,35.161,272.14612
2003-01,2003-01-01,35.161,272.23578
2003-01,2003-01-01,34.911,272.62915
2003-01,2003-01-01,34.911,272.62024
2003-02,2003-02-01,35.161,275.82162
2003-02,2003-02-01,35.161,275.98886
2003-02,2003-02-01,34.911,276.2776
2003-02,2003-02-01,34.911,276.2583
2003-03,2003-03-01,35.161,280.10974
2003-03,2003-03-01,35.161,280.26395
2003-03,2003-03-01,34.911,280.65848
2003-03,2003-03-01,34.911,280.56586
2003-04,2003-04-01,35.161,287.25226
2003-04,2003-04-01,35.161,287.4695
2003-04,2003-04-01,34.911,287.66235
2003-04,2003-04-01,34.911,287.64496
2003-05,2003-05-01,35.161,291.9577
2003-05,2003-05-01,35.161,292.0171
2003-05,2003-05-01,34.911,292.305
2003-05,2003-05-01,34.911,292.15607
2003-06,2003-06-01,35.161,296.42834
2003-06,2003-06-01,35.161,296.5815
2003-06,2003-06-01,34.911,297.08173
2003-06,2003-06-01,34.911,296.97693
2003-07,2003-07-01,35.161,297.63315
2003-07,2003-07-01,35.161,297.67538
2003-07,2003-07-01,34.911,298.0266
2003-07,2003-07-01,34.911,297.91992
2003-08,2003-08-01,35.161,297.5133
2003-08,2003-08-01,35.161,297.70044
2003-08,2003-08-01,34.911,297.8843
2003-08,2003-08-01,34.911,297.91733
2003-09,2003-09-01,35.161,294.41962
2003-09,2003-09-01,35.161,294.67514
2003-09,2003-09-01,34.911,294.86084
2003-09,2003-09-01,34.911,294.97833
2003-10,2003-10-01,35.161,287.79248
2003-10,2003-10-01,35.161,288.03284
2003-10,2003-10-01,34.911,288.19055
2003-10,2003-10-01,34.911,288.3074
2003-11,2003-11-01,35.161,280.31668
2003-11,2003-11-01,35.161,280.66043
2003-11,2003-11-01,34.911,280.97556
2003-11,2003-11-01,34.911,281.12415
2003-12,2003-12-01,35.161,274.55594
2003-12,2003-12-01,35.161,274.67737
2003-12,2003-12-01,34.911,274.89893
2003-12,2003-12-01,34.911,274.95862
2004-01,2004-01-01,35.161,272.7542
2004-01,2004-01-01,35.161,272.68588
2004-01,2004-01-01,34.911,273.0723
2004-01,2004-01-01,34.911,273.01904
2004-02,2004-02-01,35.161,277.89832
2004-02,2004-02-01,35.161,277.96744
2004-02,2004-02-01,34.911,278.44263
2004-02,2004-02-01,34.911,278.3731
2004-03,2004-03-01,35.161,282.16113
2004-03,2004-03-01,35.161,282.3238
2004-03,2004-03-01,34.911,282.66293
2004-03,2004-03-01,34.911,282.53198
2004-04,2004-04-01,35.161,288.69098
2004-04,2004-04-01,35.161,288.87268
2004-04,2004-04-01,34.911,289.26154
2004-04,2004-04-01,34.911,289.13586
2004-05,2004-05-01,35.161,292.8258
2004-05,2004-05-01,35.161,292.83054
2004-05,2004-05-01,34.911,293.037
2004-05,2004-05-01,34.911,292.87317
2004-06,2004-06-01,35.161,297.15994
2004-06,2004-06-01,35.161,297.2666
2004-06,2004-06-01,34.911,297.5313
2004-06,2004-06-01,34.911,297.4425
2004-07,2004-07-01,35.161,299.71786
2004-07,2004-07-01,35.161,299.95874
2004-07,2004-07-01,34.911,300.22046
2004-07,2004-07-01,34.911,300.27136
2004-08,2004-08-01,35.161,297.85986
2004-08,2004-08-01,35.161,298.03455
2004-08,2004-08-01,34.911,298.26285
2004-08,2004-08-01,34.911,298.34793
2004-09,2004-09-01,35.161,294.30295
2004-09,2004-09-01,35.161,294.4641
2004-09,2004-09-01,34.911,294.63617
2004-09,2004-09-01,34.911,294.74237
2004-10,2004-10-01,35.161,287.82632
2004-10,2004-10-01,35.161,287.99203
2004-10,2004-10-01,34.911,288.1325
2004-10,2004-10-01,34.911,288.2886
2004-11,2004-11-01,35.161,281.58557
2004-11,2004-11-01,35.161,281.84827
2004-11,2004-11-01,34.911,282.13116
2004-11,2004-11-01,34.911,282.34668
2004-12,2004-12-01,35.161,275.00876
2004-12,2004-12-01,35.161,275.31232
2004-12,2004-12-01,34.911,275.62878
2004-12,2004-12-01,34.911,275.78217
2005-01,2005-01-01,35.161,272.00793
2005-01,2005-01-01,35.161,272.12433
2005-01,2005-01-01,34.911,272.45514
2005-01,2005-01-01,34.911,272.4309
2005-02,2005-02-01,35.161,272.70264
2005-02,2005-02-01,35.161,272.79327
2005-02,2005-02-01,34.911,273.13693
2005-02,2005-02-01,34.911,273.11737
2005-03,2005-03-01,35.161,279.36908
2005-03,2005-03-01,35.161,279.4366
2005-03,2005-03-01,34.911,279.77707
2005-03,2005-03-01,34.911,279.73944
2005-04,2005-04-01,35.161,288.88617
2005-04,2005-04-01,35.161,289.03256
2005-04,2005-04-01,34.911,289.39606
2005-04,2005-04-01,34.911,289.28516
2005-05,2005-05-01,35.161,292.29517
2005-05,2005-05-01,35.161,292.62305
2005-05,2005-05-01,34.911,292.9759
2005-05,2005-05-01,34.911,292.92258
2005-06,2005-06-01,35.161,298.927
2005-06,2005-06-01,35.161,299.2639
2005-06,2005-06-01,34.911,299.4765
2005-06,2005-06-01,34.911,299.424
2005-07,2005-07-01,35.161,299.33643
2005-07,2005-07-01,35.161,299.59497
2005-07,2005-07-01,34.911,299.75668
2005-07,2005-07-01,34.911,299.7895
2005-08,2005-08-01,35.161,297.84958
2005-08,2005-08-01,35.161,298.0503
2005-08,2005-08-01,34.911,298.21262
2005-08,2005-08-01,34.911,298.27295
2005-09,2005-09-01,35.161,293.74908
2005-09,2005-09-01,35.161,294.01074
2005-09,2005-09-01,34.911,294.21356
2005-09,2005-09-01,34.911,294.32397
2005-10,2005-10-01,35.161,287.93085
2005-10,2005-10-01,35.161,288.16327
2005-10,2005-10-01,34.911,288.28473
2005-10,2005-10-01,34.911,288.39566
2005-11,2005-11-01,35.161,282.65005
2005-11,2005-11-01,35.161,282.81192
2005-11,2005-11-01,34.911,283.1409
2005-11,2005-11-01,34.911,283.29736
2005-12,2005-12-01,35.161,272.95575
2005-12,2005-12-01,35.161,273.08478
2005-12,2005-12-01,34.911,273.52655
2005-12,2005-12-01,34.911,273.5868
2006-01,2006-01-01,35.161,273.7112
2006-01,2006-01-01,35.161,273.86322
