valid_time,time,latitude,t2m
2000-01,2000-01-01,38.839,284.45764
2000-01,2000-01-01,38.839,282.6637
2000-01,2000-01-01,38.589,285.19543
2000-01,2000-01-01,38.589,284.10083
2000-02,2000-02-01,38.839,286.62967
2000-02,2000-02-01,38.839,286.18515
2000-02,2000-02-01,38.589,286.97565
2000-02,2000-02-01,38.589,286.64935
2000-03,2000-03-01,38.839,287.4928
2000-03,2000-03-01,38.839,287.496
2000-03,2000-03-01,38.589,287.78186
2000-03,2000-03-01,38.589,287.77103
2000-04,2000-04-01,38.839,286.6862
2000-04,2000-04-01,38.839,286.24988
2000-04,2000-04-01,38.589,287.11588
2000-04,2000-04-01,38.589,286.85583
2000-05,2000-05-01,38.839,289.06335
2000-05,2000-05-01,38.839,289.60764
2000-05,2000-05-01,38.589,289.30066
2000-05,2000-05-01,38.589,289.7296
2000-06,2000-06-01,38.839,291.20157
2000-06,2000-06-01,38.839,293.08682
2000-06,2000-06-01,38.589,291.1624
2000-06,2000-06-01,38.589,292.39938
2000-07,2000-07-01,38.839,292.03723
2000-07,2000-07-01,38.839,293.8072
2000-07,2000-07-01,38.589,292.07706
2000-07,2000-07-01,38.589,293.31967
2000-08,2000-08-01,38.839,292.57062
2000-08,2000-08-01,38.839,294.35516
2000-08,2000-08-01,38.589,292.63757
2000-08,2000-08-01,38.589,293.85294
2000-09,2000-09-01,38.839,291.73438
2000-09,2000-09-01,38.839,292.90927
2000-09,2000-09-01,38.589,291.90173
2000-09,2000-09-01,38.589,292.72864
2000-10,2000-10-01,38.839,290.09793
2000-10,2000-10-01,38.839,290.118
2000-10,2000-10-01,38.589,290.4474
2000-10,2000-10-01,38.589,290.50705
2000-11,2000-11-01,38.839,287.90448
2000-11,2000-11-01,38.839,287.0637
2000-11,2000-11-01,38.589,288.3919
2000-11,2000-11-01,38.589,287.86215
2000-12,2000-12-01,38.839,287.79123
2000-12,2000-12-01,38.839,286.84875
2000-12,2000-12-01,38.589,288.25485
2000-12,2000-12-01,38.589,287.6559
2001-01,2001-01-01,38.839,286.50897
2001-01,2001-01-01,38.839,285.6312
2001-01,2001-01-01,38.589,286.9733
2001-01,2001-01-01,38.589,286.42862
2001-02,2001-02-01,38.839,286.2725
2001-02,2001-02-01,38.839,285.65436
2001-02,2001-02-01,38.589,286.68454
2001-02,2001-02-01,38.589,286.28506
2001-03,2001-03-01,38.839,287.44458
2001-03,2001-03-01,38.839,287.3209
2001-03,2001-03-01,38.589,287.73486
2001-03,2001-03-01,38.589,287.62857
2001-04,2001-04-01,38.839,287.58746
2001-04,2001-04-01,38.839,287.8943
2001-04,2001-04-01,38.589,287.85553
2001-04,2001-04-01,38.589,288.1236
2001-05,2001-05-01,38.839,288.4319
2001-05,2001-05-01,38.839,289.5297
2001-05,2001-05-01,38.589,288.53152
2001-05,2001-05-01,38.589,289.2011
2001-06,2001-06-01,38.839,290.72055
2001-06,2001-06-01,38.839,292.5825
2001-06,2001-06-01,38.589,290.70047
2001-06,2001-06-01,38.589,291.90625
2001-07,2001-07-01,38.839,291.61087
2001-07,2001-07-01,38.839,293.0658
2001-07,2001-07-01,38.589,291.63034
2001-07,2001-07-01,38.589,292.62
2001-08,2001-08-01,38.839,292.24213
2001-08,2001-08-01,38.839,293.95398
2001-08,2001-08-01,38.589,292.2509
2001-08,2001-08-01,38.589,293.36066
2001-09,2001-09-01,38.839,292.12653
2001-09,2001-09-01,38.839,293.24722
2001-09,2001-09-01,38.589,292.28177
2001-09,2001-09-01,38.589,292.9978
2001-10,2001-10-01,38.839,291.42114
2001-10,2001-10-01,38.839,291.25507
2001-10,2001-10-01,38.589,291.76385
2001-10,2001-10-01,38.589,291.65298
2001-11,2001-11-01,38.839,287.3592
2001-11,2001-11-01,38.839,286.11203
2001-11,2001-11-01,38.589,287.87405
2001-11,2001-11-01,38.589,287.04047
2001-12,2001-12-01,38.839,285.52563
2001-12,2001-12-01,38.839,283.7437
2001-12,2001-12-01,38.589,286.35724
2001-12,2001-12-01,38.589,285.20325
2002-01,2002-01-01,38.839,286.82047
2002-01,2002-01-01,38.839,285.4366
2002-01,2002-01-01,38.589,287.42813
2002-01,2002-01-01,38.589,286.5197
2002-02,2002-02-01,38.839,286.6424
2002-02,2002-02-01,38.839,285.768
2002-02,2002-02-01,38.589,287.06934
2002-02,2002-02-01,38.589,286.47147
2002-03,2002-03-01,38.839,287.26355
2002-03,2002-03-01,38.839,286.99524
2002-03,2002-03-01,38.589,287.61868
2002-03,2002-03-01,38.589,287.46436
2002-04,2002-04-01,38.839,287.10278
2002-04,2002-04-01,38.839,287.33698
2002-04,2002-04-01,38.589,287.44165
2002-04,2002-04-01,38.589,287.6662
2002-05,2002-05-01,38.839,288.0698
2002-05,2002-05-01,38.839,288.61658
2002-05,2002-05-01,38.589,288.28232
2002-05,2002-05-01,38.589,288.7093
2002-06,2002-06-01,38.839,289.71252
2002-06,2002-06-01,38.839,291.0738
2002-06,2002-06-01,38.589,289.76495
2002-06,2002-06-01,38.589,290.78793
2002-07,2002-07-01,38.839,290.42957
2002-07,2002-07-01,38.839,292.64166
2002-07,2002-07-01,38.589,290.44482
2002-07,2002-07-01,38.589,292.13812
2002-08,2002-08-01,38.839,291.02057
2002-08,2002-08-01,38.839,292.98572
2002-08,2002-08-01,38.589,291.03534
2002-08,2002-08-01,38.589,292.44373
2002-09,2002-09-01,38.839,291.65833
2002-09,2002-09-01,38.839,292.28943
2002-09,2002-09-01,38.589,291.8991
2002-09,2002-09-01,38.589,292.2979
2002-10,2002-10-01,38.839,291.5867
2002-10,2002-10-01,38.839,291.51794
2002-10,2002-10-01,38.589,291.94864
