valid_time,time,latitude,t2m
2000-01,2000-01-01,51.772,278.06598
2000-01,2000-01-01,51.772,278.11816
2000-01,2000-01-01,51.772,278.14758
2000-01,2000-01-01,51.772,278.19147
2000-01,2000-01-01,51.772,278.28412
2000-01,2000-01-01,51.522,278.15918
2000-01,2000-01-01,51.522,278.22696
2000-01,2000-01-01,51.522,278.23795
2000-01,2000-01-01,51.522,278.3361
2000-01,2000-01-01,51.522,278.47192
2000-01,2000-01-01,51.272,278.09042
2000-01,2000-01-01,51.272,278.10538
2000-01,2000-01-01,51.272,278.04193
2000-01,2000-01-01,51.272,278.0409
2000-01,2000-01-01,51.272,278.11072
2000-02,2000-02-01,51.772,279.5653
2000-02,2000-02-01,51.772,279.5783
2000-02,2000-02-01,51.772,279.586
2000-02,2000-02-01,51.772,279.60196
2000-02,2000-02-01,51.772,279.64764
2000-02,2000-02-01,51.522,279.7927
2000-02,2000-02-01,51.522,279.80518
2000-02,2000-02-01,51.522,279.79425
2000-02,2000-02-01,51.522,279.8449
2000-02,2000-02-01,51.522,279.90607
2000-02,2000-02-01,51.272,279.87082
2000-02,2000-02-01,51.272,279.84518
2000-02,2000-02-01,51.272,279.7329
2000-02,2000-02-01,51.272,279.67838
2000-02,2000-02-01,51.272,279.68387
2000-03,2000-03-01,51.772,280.5205
2000-03,2000-03-01,51.772,280.5725
2000-03,2000-03-01,51.772,280.6308
2000-03,2000-03-01,51.772,280.68848
2000-03,2000-03-01,51.772,280.75653
2000-03,2000-03-01,51.522,280.65698
2000-03,2000-03-01,51.522,280.72516
2000-03,2000-03-01,51.522,280.76672
2000-03,2000-03-01,51.522,280.83505
2000-03,2000-03-01,51.522,280.9112
2000-03,2000-03-01,51.272,280.63263
2000-03,2000-03-01,51.272,280.6643
2000-03,2000-03-01,51.272,280.6077
2000-03,2000-03-01,51.272,280.6005
2000-03,2000-03-01,51.272,280.66437
2000-04,2000-04-01,51.772,281.15262
2000-04,2000-04-01,51.772,281.24692
2000-04,2000-04-01,51.772,281.38367
2000-04,2000-04-01,51.772,281.52927
2000-04,2000-04-01,51.772,281.67535
2000-04,2000-04-01,51.522,281.304
2000-04,2000-04-01,51.522,281.4383
2000-04,2000-04-01,51.522,281.58545
2000-04,2000-04-01,51.522,281.74536
2000-04,2000-04-01,51.522,281.8822
2000-04,2000-04-01,51.272,281.3249
2000-04,2000-04-01,51.272,281.45483
2000-04,2000-04-01,51.272,281.50153
2000-04,2000-04-01,51.272,281.57098
2000-04,2000-04-01,51.272,281.67477
2000-05,2000-05-01,51.772,285.44717
2000-05,2000-05-01,51.772,285.49777
2000-05,2000-05-01,51.772,285.59647
2000-05,2000-05-01,51.772,285.6596
2000-05,2000-05-01,51.772,285.67715
2000-05,2000-05-01,51.522,285.71005
2000-05,2000-05-01,51.522,285.7685
2000-05,2000-05-01,51.522,285.85666
2000-05,2000-05-01,51.522,285.88394
2000-05,2000-05-01,51.522,285.84604
2000-05,2000-05-01,51.272,285.78787
2000-05,2000-05-01,51.272,285.82733
2000-05,2000-05-01,51.272,285.77347
2000-05,2000-05-01,51.272,285.73465
2000-05,2000-05-01,51.272,285.7321
2000-06,2000-06-01,51.772,288.66925
2000-06,2000-06-01,51.772,288.6903
2000-06,2000-06-01,51.772,288.7727
2000-06,2000-06-01,51.772,288.8409
2000-06,2000-06-01,51.772,288.867
2000-06,2000-06-01,51.522,288.78308
2000-06,2000-06-01,51.522,288.84164
2000-06,2000-06-01,51.522,288.95514
2000-06,2000-06-01,51.522,289.04514
2000-06,2000-06-01,51.522,289.07343
2000-06,2000-06-01,51.272,288.69583
2000-06,2000-06-01,51.272,288.74374
2000-06,2000-06-01,51.272,288.72012
2000-06,2000-06-01,51.272,288.7267
2000-06,2000-06-01,51.272,288.78253
2000-07,2000-07-01,51.772,288.67545
2000-07,2000-07-01,51.772,288.65936
2000-07,2000-07-01,51.772,288.70892
2000-07,2000-07-01,51.772,288.76242
2000-07,2000-07-01,51.772,288.80853
2000-07,2000-07-01,51.522,288.8838
2000-07,2000-07-01,51.522,288.87726
2000-07,2000-07-01,51.522,288.92593
2000-07,2000-07-01,51.522,288.97125
2000-07,2000-07-01,51.522,288.9792
2000-07,2000-07-01,51.272,288.89294
2000-07,2000-07-01,51.272,288.86212
2000-07,2000-07-01,51.272,288.77106
2000-07,2000-07-01,51.272,288.7276
2000-07,2000-07-01,51.272,288.74252
2000-08,2000-08-01,51.772,290.20258
2000-08,2000-08-01,51.772,290.27448
2000-08,2000-08-01,51.772,290.40826
2000-08,2000-08-01,51.772,290.5522
2000-08,2000-08-01,51.772,290.6991
2000-08,2000-08-01,51.522,290.366
2000-08,2000-08-01,51.522,290.41797
2000-08,2000-08-01,51.522,290.53284
2000-08,2000-08-01,51.522,290.67566
2000-08,2000-08-01,51.522,290.80078
2000-08,2000-08-01,51.272,290.3771
2000-08,2000-08-01,51.272,290.40735
2000-08,2000-08-01,51.272,290.37585
2000-08,2000-08-01,51.272,290.4112
2000-08,2000-08-01,51.272,290.5207
2000-09,2000-09-01,51.772,288.2572
2000-09,2000-09-01,51.772,288.3774
2000-09,2000-09-01,51.772,288.5243
2000-09,2000-09-01,51.772,288.6819
2000-09,2000-09-01,51.772,288.85632
2000-09,2000-09-01,51.522,288.40173
2000-09,2000-09-01,51.522,288.5091
2000-09,2000-09-01,51.522,288.63574
2000-09,2000-09-01,51.522,288.81128
2000-09,2000-09-01,51.522,288.98944
2000-09,2000-09-01,51.272,288.4431
2000-09,2000-09-01,51.272,288.5202
2000-09,2000-09-01,51.272,288.5221
2000-09,2000-09-01,51.272,288.58984
2000-09,2000-09-01,51.272,288.73172
2000-10,2000-10-01,51.772,283.70776
2000-10,2000-10-01,51.772,283.77988
2000-10,2000-10-01,51.772,283.8588
2000-10,2000-10-01,51.772,283.96954
2000-10,2000-10-01,51.772,284.1496
2000-10,2000-10-01,51.522,283.94797
2000-10,2000-10-01,51.522,284.01562
2000-10,2000-10-01,51.522,284.07523
2000-10,2000-10-01,51.522,284.23584
2000-10,2000-10-01,51.522,284.43317
2000-10,2000-10-01,51.272,284.06628
2000-10,2000-10-01,51.272,284.09985
2000-10,2000-10-01,51.272,284.0675
2000-10,2000-10-01,51.272,284.11185
2000-10,2000-10-01,51.272,284.2257
2000-11,2000-11-01,51.772,280.23608
2000-11,2000-11-01,51.772,280.28992
2000-11,2000-11-01,51.772,280.33942
2000-11,2000-11-01,51.772,280.41394
2000-11,2000-11-01,51.772,280.55585
2000-11,2000-11-01,51.522,280.43085
2000-11,2000-11-01,51.522,280.49475
2000-11,2000-11-01,51.522,280.53888
2000-11,2000-11-01,51.522,280.68097
2000-11,2000-11-01,51.522,280.84933
2000-11,2000-11-01,51.272,280.5605
2000-11,2000-11-01,51.272,280.58844
2000-11,2000-11-01,51.272,280.55127
2000-11,2000-11-01,51.272,280.5766
2000-11,2000-11-01,51.272,280.6564
2000-12,2000-12-01,51.772,279.08203
2000-12,2000-12-01,51.772,279.13733
2000-12,2000-12-01,51.772,279.19067
2000-12,2000-12-01,51.772,279.2744
2000-12,2000-12-01,51.772,279.41278
2000-12,2000-12-01,51.522,279.2901
2000-12,2000-12-01,51.522,279.35925
2000-12,2000-12-01,51.522,279.40228
2000-12,2000-12-01,51.522,279.5417
2000-12,2000-12-01,51.522,279.6974
2000-12,2000-12-01,51.272,279.29803
2000-12,2000-12-01,51.272,279.3196
2000-12,2000-12-01,51.272,279.27267
2000-12,2000-12-01,51.272,279.2809
2000-12,2000-12-01,51.272,279.3323
2001-01,2001-01-01,51.772,276.67102
2001-01,2001-01-01,51.772,276.70685
2001-01,2001-01-01,51.772,276.74374
2001-01,2001-01-01,51.772,276.82678
2001-01,2001-01-01,51.772,276.99878
2001-01,2001-01-01,51.522,276.97418
2001-01,2001-01-01,51.522,277.02863
2001-01,2001-01-01,51.522,277.05133
2001-01,2001-01-01,51.522,277.18408
2001-01,2001-01-01,51.522,277.3549
2001-01,2001-01-01,51.272,277.06317
2001-01,2001-01-01,51.272,277.07648
2001-01,2001-01-01,51.272,277.02277
2001-01,2001-01-01,51.272,277.0235
2001-01,2001-01-01,51.272,277.06995
2001-02,2001-02-01,51.772,277.93555
2001-02,2001-02-01,51.772,277.96307
2001-02,2001-02-01,51.772,277.99023
2001-02,2001-02-01,51.772,278.0614
2001-02,2001-02-01,51.772,278.19788
2001-02,2001-02-01,51.522,278.16913
2001-02,2001-02-01,51.522,278.22144
2001-02,2001-02-01,51.522,278.24255
2001-02,2001-02-01,51.522,278.34778
2001-02,2001-02-01,51.522,278.49976
2001-02,2001-02-01,51.272,278.23245
2001-02,2001-02-01,51.272,278.25623
2001-02,2001-02-01,51.272,278.21014
2001-02,2001-02-01,51.272,278.22656
2001-02,2001-02-01,51.272,278.3158
2001-03,2001-03-01,51.772,278.6901
2001-03,2001-03-01,51.772,278.75516
2001-03,2001-03-01,51.772,278.8446
2001-03,2001-03-01,51.772,278.9447
2001-03,2001-03-01,51.772,279.05594
2001-03,2001-03-01,51.522,279.0036
2001-03,2001-03-01,51.522,279.07422
2001-03,2001-03-01,51.522,279.14194
2001-03,2001-03-01,51.522,279.25385
2001-03,2001-03-01,51.522,279.36792
2001-03,2001-03-01,51.272,279.1372
2001-03,2001-03-01,51.272,279.17816
2001-03,2001-03-01,51.272,279.13806
2001-03,2001-03-01,51.272,279.14532
2001-03,2001-03-01,51.272,279.20905
2001-04,2001-04-01,51.772,281.03876
2001-04,2001-04-01,51.772,281.05698
2001-04,2001-04-01,51.772,281.10422
2001-04,2001-04-01,51.772,281.17212
2001-04,2001-04-01,51.772,281.26746
2001-04,2001-04-01,51.522,281.27344
2001-04,2001-04-01,51.522,281.3038
2001-04,2001-04-01,51.522,281.34302
2001-04,2001-04-01,51.522,281.4326
2001-04,2001-04-01,51.522,281.52917
2001-04,2001-04-01,51.272,281.34653
2001-04,2001-04-01,51.272,281.35666
2001-04,2001-04-01,51.272,281.2737
2001-04,2001-04-01,51.272,281.25153
2001-04,2001-04-01,51.272,281.30444
2001-05,2001-05-01,51.772,285.84253
2001-05,2001-05-01,51.772,285.84183
2001-05,2001-05-01,51.772,285.87527
2001-05,2001-05-01,51.772,285.89
2001-05,2001-05-01,51.772,285.89172
2001-05,2001-05-01,51.522,285.97125
2001-05,2001-05-01,51.522,285.99152
2001-05,2001-05-01,51.522,286.02374
2001-05,2001-05-01,51.522,286.0099
2001-05,2001-05-01,51.522,285.97607
2001-05,2001-05-01,51.272,285.96576
2001-05,2001-05-01,51.272,285.96732
2001-05,2001-05-01,51.272,285.9006
2001-05,2001-05-01,51.272,285.85922
2001-05,2001-05-01,51.272,285.88184
2001-06,2001-06-01,51.772,287.8791
2001-06,2001-06-01,51.772,287.87634
2001-06,2001-06-01,51.772,287.9215
2001-06,2001-06-01,51.772,287.94864
2001-06,2001-06-01,51.772,287.96533
2001-06,2001-06-01,51.522,288.18066
2001-06,2001-06-01,51.522,288.16296
2001-06,2001-06-01,51.522,288.19922
2001-06,2001-06-01,51.522,288.21707
2001-06,2001-06-01,51.522,288.22305
2001-06,2001-06-01,51.272,288.25684
2001-06,2001-06-01,51.272,288.23978
2001-06,2001-06-01,51.272,288.16223
2001-06,2001-06-01,51.272,288.14407
2001-06,2001-06-01,51.272,288.21375
2001-07,2001-07-01,51.772,290.87473
2001-07,2001-07-01,51.772,290.9138
2001-07,2001-07-01,51.772,291.0198
2001-07,2001-07-01,51.772,291.08594
2001-07,2001-07-01,51.772,291.0987
2001-07,2001-07-01,51.522,290.9439
2001-07,2001-07-01,51.522,291.02567
2001-07,2001-07-01,51.522,291.1582
2001-07,2001-07-01,51.522,291.2105
2001-07,2001-07-01,51.522,291.20294
2001-07,2001-07-01,51.272,290.90033
2001-07,2001-07-01,51.272,290.9938
2001-07,2001-07-01,51.272,291.00543
2001-07,2001-07-01,51.272,291.0458
2001-07,2001-07-01,51.272,291.15576
2001-08,2001-08-01,51.772,290.37045
2001-08,2001-08-01,51.772,290.4474
2001-08,2001-08-01,51.772,290.6031
2001-08,2001-08-01,51.772,290.7556
2001-08,2001-08-01,51.772,290.8794
2001-08,2001-08-01,51.522,290.40674
2001-08,2001-08-01,51.522,290.50928
2001-08,2001-08-01,51.522,290.6906
2001-08,2001-08-01,51.522,290.86472
2001-08,2001-08-01,51.522,291.00122
2001-08,2001-08-01,51.272,290.37384
2001-08,2001-08-01,51.272,290.48462
2001-08,2001-08-01,51.272,290.5592
2001-08,2001-08-01,51.272,290.6803
2001-08,2001-08-01,51.272,290.86035
2001-09,2001-09-01,51.772,286.5578
2001-09,2001-09-01,51.772,286.58112
