valid_time,time,latitude,t2m
2000-01,2000-01-01,34.14,285.4037
2000-01,2000-01-01,34.14,285.54382
2000-01,2000-01-01,34.14,285.04895
2000-01,2000-01-01,34.14,284.29443
2000-01,2000-01-01,34.14,283.9121
2000-01,2000-01-01,34.14,283.5088
2000-01,2000-01-01,34.14,282.45862
2000-01,2000-01-01,33.89,286.28406
2000-01,2000-01-01,33.89,286.3905
2000-01,2000-01-01,33.89,286.44617
2000-01,2000-01-01,33.89,285.8828
2000-01,2000-01-01,33.89,285.0537
2000-01,2000-01-01,33.89,284.46814
2000-01,2000-01-01,33.89,283.71387
2000-01,2000-01-01,33.64,286.79724
2000-01,2000-01-01,33.64,286.66248
2000-01,2000-01-01,33.64,286.7173
2000-01,2000-01-01,33.64,286.55334
2000-01,2000-01-01,33.64,285.80872
2000-01,2000-01-01,33.64,285.2079
2000-01,2000-01-01,33.64,284.70178
2000-01,2000-01-01,33.39,286.97412
2000-01,2000-01-01,33.39,286.8092
2000-01,2000-01-01,33.39,286.96582
2000-01,2000-01-01,33.39,286.84888
2000-01,2000-01-01,33.39,286.6394
2000-01,2000-01-01,33.39,286.00525
2000-01,2000-01-01,33.39,285.04138
2000-02,2000-02-01,34.14,284.8601
2000-02,2000-02-01,34.14,284.87512
2000-02,2000-02-01,34.14,284.21106
2000-02,2000-02-01,34.14,283.29492
2000-02,2000-02-01,34.14,282.9408
2000-02,2000-02-01,34.14,282.60962
2000-02,2000-02-01,34.14,281.4619
2000-02,2000-02-01,33.89,286.03003
2000-02,2000-02-01,33.89,286.06018
2000-02,2000-02-01,33.89,286.24475
2000-02,2000-02-01,33.89,285.5752
2000-02,2000-02-01,33.89,284.61243
2000-02,2000-02-01,33.89,284.03333
2000-02,2000-02-01,33.89,282.9651
2000-02,2000-02-01,33.64,286.63904
2000-02,2000-02-01,33.64,286.59094
2000-02,2000-02-01,33.64,286.75586
2000-02,2000-02-01,33.64,286.52917
2000-02,2000-02-01,33.64,285.63745
2000-02,2000-02-01,33.64,284.90442
2000-02,2000-02-01,33.64,284.06616
2000-02,2000-02-01,33.39,286.8546
2000-02,2000-02-01,33.39,286.761
2000-02,2000-02-01,33.39,286.97253
2000-02,2000-02-01,33.39,286.79724
2000-02,2000-02-01,33.39,286.44568
2000-02,2000-02-01,33.39,285.656
2000-02,2000-02-01,33.39,284.53577
2000-03,2000-03-01,34.14,285.94147
2000-03,2000-03-01,34.14,286.13892
2000-03,2000-03-01,34.14,285.45496
2000-03,2000-03-01,34.14,284.6115
2000-03,2000-03-01,34.14,284.3766
2000-03,2000-03-01,34.14,284.1148
2000-03,2000-03-01,34.14,282.9879
2000-03,2000-03-01,33.89,286.35345
2000-03,2000-03-01,33.89,286.56702
2000-03,2000-03-01,33.89,286.87244
2000-03,2000-03-01,33.89,286.30554
2000-03,2000-03-01,33.89,285.69055
2000-03,2000-03-01,33.89,285.23682
2000-03,2000-03-01,33.89,284.3152
2000-03,2000-03-01,33.64,286.51703
2000-03,2000-03-01,33.64,286.47485
2000-03,2000-03-01,33.64,286.72906
2000-03,2000-03-01,33.64,286.7027
2000-03,2000-03-01,33.64,286.1861
2000-03,2000-03-01,33.64,285.9251
2000-03,2000-03-01,33.64,285.3319
2000-03,2000-03-01,33.39,286.54883
2000-03,2000-03-01,33.39,286.4273
2000-03,2000-03-01,33.39,286.52435
2000-03,2000-03-01,33.39,286.51642
2000-03,2000-03-01,33.39,286.55432
2000-03,2000-03-01,33.39,286.30463
2000-03,2000-03-01,33.39,285.50616
2000-04,2000-04-01,34.14,288.60406
2000-04,2000-04-01,34.14,289.28723
2000-04,2000-04-01,34.14,288.94012
2000-04,2000-04-01,34.14,288.27582
2000-04,2000-04-01,34.14,288.20258
2000-04,2000-04-01,34.14,288.27783
2000-04,2000-04-01,34.14,287.2984
2000-04,2000-04-01,33.89,288.33417
2000-04,2000-04-01,33.89,289.0249
2000-04,2000-04-01,33.89,289.66144
2000-04,2000-04-01,33.89,289.22644
2000-04,2000-04-01,33.89,288.8553
2000-04,2000-04-01,33.89,288.75458
2000-04,2000-04-01,33.89,288.1405
2000-04,2000-04-01,33.64,288.11652
2000-04,2000-04-01,33.64,288.2627
2000-04,2000-04-01,33.64,288.79803
2000-04,2000-04-01,33.64,289.03455
2000-04,2000-04-01,33.64,288.82068
2000-04,2000-04-01,33.64,289.0113
2000-04,2000-04-01,33.64,288.7243
2000-04,2000-04-01,33.39,287.98682
2000-04,2000-04-01,33.39,287.99426
2000-04,2000-04-01,33.39,288.11267
2000-04,2000-04-01,33.39,288.3415
2000-04,2000-04-01,33.39,288.70068
2000-04,2000-04-01,33.39,288.90656
2000-04,2000-04-01,33.39,288.58276
2000-05,2000-05-01,34.14,291.03217
2000-05,2000-05-01,34.14,292.1029
2000-05,2000-05-01,34.14,291.9461
2000-05,2000-05-01,34.14,291.48218
2000-05,2000-05-01,34.14,291.53003
2000-05,2000-05-01,34.14,291.96063
2000-05,2000-05-01,34.14,291.20746
