valid_time,time,latitude,t2m
2000-01,2000-01-01,-8.838,298.85742
2000-01,2000-01-01,-8.838,299.64908
2000-01,2000-01-01,-9.088,299.0396
2000-01,2000-01-01,-9.088,299.7566
2000-02,2000-02-01,-8.838,299.63373
2000-02,2000-02-01,-8.838,299.90848
2000-02,2000-02-01,-9.088,299.69806
2000-02,2000-02-01,-9.088,299.87558
2000-03,2000-03-01,-8.838,300.40604
2000-03,2000-03-01,-8.838,300.6167
2000-03,2000-03-01,-9.088,300.46198
2000-03,2000-03-01,-9.088,300.55896
2000-04,2000-04-01,-8.838,299.8922
2000-04,2000-04-01,-8.838,299.78494
2000-04,2000-04-01,-9.088,299.92664
2000-04,2000-04-01,-9.088,299.68887
2000-05,2000-05-01,-8.838,298.9202
2000-05,2000-05-01,-8.838,299.3501
2000-05,2000-05-01,-9.088,298.9969
2000-05,2000-05-01,-9.088,299.3584
2000-06,2000-06-01,-8.838,296.22852
2000-06,2000-06-01,-8.838,296.63824
2000-06,2000-06-01,-9.088,296.34747
2000-06,2000-06-01,-9.088,296.7345
2000-07,2000-07-01,-8.838,294.2517
2000-07,2000-07-01,-8.838,295.0893
2000-07,2000-07-01,-9.088,294.4807
2000-07,2000-07-01,-9.088,295.27597
2000-08,2000-08-01,-8.838,294.05515
2000-08,2000-08-01,-8.838,295.05524
2000-08,2000-08-01,-9.088,294.31305
2000-08,2000-08-01,-9.088,295.27267
2000-09,2000-09-01,-8.838,294.83737
2000-09,2000-09-01,-8.838,296.1452
2000-09,2000-09-01,-9.088,295.1097
2000-09,2000-09-01,-9.088,296.39236
2000-10,2000-10-01,-8.838,297.398
2000-10,2000-10-01,-8.838,298.24783
2000-10,2000-10-01,-9.088,297.51868
2000-10,2000-10-01,-9.088,298.25345
2000-11,2000-11-01,-8.838,298.34467
2000-11,2000-11-01,-8.838,299.20264
2000-11,2000-11-01,-9.088,298.49612
2000-11,2000-11-01,-9.088,299.2149
2000-12,2000-12-01,-8.838,298.98364
2000-12,2000-12-01,-8.838,299.79224
2000-12,2000-12-01,-9.088,299.1184
2000-12,2000-12-01,-9.088,299.75897
2001-01,2001-01-01,-8.838,299.2599
2001-01,2001-01-01,-8.838,299.91327
2001-01,2001-01-01,-9.088,299.3675
2001-01,2001-01-01,-9.088,299.89636
2001-02,2001-02-01,-8.838,300.3353
2001-02,2001-02-01,-8.838,300.63586
2001-02,2001-02-01,-9.088,300.4231
2001-02,2001-02-01,-9.088,300.64905
2001-03,2001-03-01,-8.838,300.33258
2001-03,2001-03-01,-8.838,300.22705
2001-03,2001-03-01,-9.088,300.28607
2001-03,2001-03-01,-9.088,300.0275
2001-04,2001-04-01,-8.838,300.23892
2001-04,2001-04-01,-8.838,300.07828
2001-04,2001-04-01,-9.088,300.1964
2001-04,2001-04-01,-9.088,299.87082
2001-05,2001-05-01,-8.838,298.66882
2001-05,2001-05-01,-8.838,299.28638
2001-05,2001-05-01,-9.088,298.78537
2001-05,2001-05-01,-9.088,299.23627
2001-06,2001-06-01,-8.838,296.76163
2001-06,2001-06-01,-8.838,297.28018
2001-06,2001-06-01,-9.088,296.89914
2001-06,2001-06-01,-9.088,297.3288
2001-07,2001-07-01,-8.838,293.70587
2001-07,2001-07-01,-8.838,294.5491
2001-07,2001-07-01,-9.088,293.91882
2001-07,2001-07-01,-9.088,294.67017
2001-08,2001-08-01,-8.838,293.40683
2001-08,2001-08-01,-8.838,294.3903
2001-08,2001-08-01,-9.088,293.62646
2001-08,2001-08-01,-9.088,294.59973
2001-09,2001-09-01,-8.838,294.70847
2001-09,2001-09-01,-8.838,295.76572
2001-09,2001-09-01,-9.088,294.86368
2001-09,2001-09-01,-9.088,295.92563
2001-10,2001-10-01,-8.838,296.8117
2001-10,2001-10-01,-8.838,297.78647
2001-10,2001-10-01,-9.088,296.8914
2001-10,2001-10-01,-9.088,297.82294
2001-11,2001-11-01,-8.838,298.2623
2001-11,2001-11-01,-8.838,299.09866
2001-11,2001-11-01,-9.088,298.3606
2001-11,2001-11-01,-9.088,299.0791
2001-12,2001-12-01,-8.838,298.43854
2001-12,2001-12-01,-8.838,299.61758
2001-12,2001-12-01,-9.088,298.63278
2001-12,2001-12-01,-9.088,299.71848
2002-01,2002-01-01,-8.838,298.53143
2002-01,2002-01-01,-8.838,299.43872
2002-01,2002-01-01,-9.088,298.6692
2002-01,2002-01-01,-9.088,299.5282
2002-02,2002-02-01,-8.838,299.64813
2002-02,2002-02-01,-8.838,300.4021
2002-02,2002-02-01,-9.088,299.74298
2002-02,2002-02-01,-9.088,300.50677
2002-03,2002-03-01,-8.838,300.54266
2002-03,2002-03-01,-8.838,300.49023
2002-03,2002-03-01,-9.088,300.46863
2002-03,2002-03-01,-9.088,300.2436
2002-04,2002-04-01,-8.838,300.24545
2002-04,2002-04-01,-8.838,300.2415
2002-04,2002-04-01,-9.088,300.22574
2002-04,2002-04-01,-9.088,300.08905
2002-05,2002-05-01,-8.838,299.46112
2002-05,2002-05-01,-8.838,299.6437
2002-05,2002-05-01,-9.088,299.53143
2002-05,2002-05-01,-9.088,299.55948
2002-06,2002-06-01,-8.838,296.33972
2002-06,2002-06-01,-8.838,296.75092
2002-06,2002-06-01,-9.088,296.41977
2002-06,2002-06-01,-9.088,296.77557
2002-07,2002-07-01,-8.838,294.6054
2002-07,2002-07-01,-8.838,294.98978
2002-07,2002-07-01,-9.088,294.72754
2002-07,2002-07-01,-9.088,295.0749
2002-08,2002-08-01,-8.838,294.37274
2002-08,2002-08-01,-8.838,295.2831
2002-08,2002-08-01,-9.088,294.53537
2002-08,2002-08-01,-9.088,295.45163
2002-09,2002-09-01,-8.838,295.40842
2002-09,2002-09-01,-8.838,296.3837
2002-09,2002-09-01,-9.088,295.55524
2002-09,2002-09-01,-9.088,296.55026
2002-10,2002-10-01,-8.838,296.36606
2002-10,2002-10-01,-8.838,297.12842
2002-10,2002-10-01,-9.088,296.44653
2002-10,2002-10-01,-9.088,297.13715
2002-11,2002-11-01,-8.838,297.96906
2002-11,2002-11-01,-8.838,298.71417
2002-11,2002-11-01,-9.088,298.10028
2002-11,2002-11-01,-9.088,298.74243
2002-12,2002-12-01,-8.838,299.13226
2002-12,2002-12-01,-8.838,299.8107
2002-12,2002-12-01,-9.088,299.2387
2002-12,2002-12-01,-9.088,299.84067
2003-01,2003-01-01,-8.838,299.9403
2003-01,2003-01-01,-8.838,300.1336
2003-01,2003-01-01,-9.088,299.95688
2003-01,2003-01-01,-9.088,300.16257
2003-02,2003-02-01,-8.838,301.04028
2003-02,2003-02-01,-8.838,300.82446
2003-02,2003-02-01,-9.088,301.0521
2003-02,2003-02-01,-9.088,300.86584
2003-03,2003-03-01,-8.838,301.03043
2003-03,2003-03-01,-8.838,300.7721
2003-03,2003-03-01,-9.088,300.96832
2003-03,2003-03-01,-9.088,300.66986
2003-04,2003-04-01,-8.838,300.12833
2003-04,2003-04-01,-8.838,300.37625
2003-04,2003-04-01,-9.088,300.09485
2003-04,2003-04-01,-9.088,300.26288
2003-05,2003-05-01,-8.838,298.43655
2003-05,2003-05-01,-8.838,298.99243
2003-05,2003-05-01,-9.088,298.5761
2003-05,2003-05-01,-9.088,299.20062
2003-06,2003-06-01,-8.838,295.7151
2003-06,2003-06-01,-8.838,296.47827
2003-06,2003-06-01,-9.088,295.838
2003-06,2003-06-01,-9.088,296.57208
2003-07,2003-07-01,-8.838,295.25293
2003-07,2003-07-01,-8.838,295.70978
2003-07,2003-07-01,-9.088,295.3457
2003-07,2003-07-01,-9.088,295.75134
2003-08,2003-08-01,-8.838,294.45563
2003-08,2003-08-01,-8.838,295.25436
2003-08,2003-08-01,-9.088,294.65552
2003-08,2003-08-01,-9.088,295.4486
2003-09,2003-09-01,-8.838,295.91064
2003-09,2003-09-01,-8.838,296.6298
2003-09,2003-09-01,-9.088,295.96075
2003-09,2003-09-01,-9.088,296.73145
2003-10,2003-10-01,-8.838,297.71997
2003-10,2003-10-01,-8.838,298.22284
2003-10,2003-10-01,-9.088,297.7118
2003-10,2003-10-01,-9.088,298.19177
2003-11,2003-11-01,-8.838,299.19144
2003-11,2003-11-01,-8.838,299.44977
2003-11,2003-11-01,-9.088,299.19748
2003-11,2003-11-01,-9.088,299.4186
2003-12,2003-12-01,-8.838,299.97983
2003-12,2003-12-01,-8.838,300.30127
