valid_time,time,latitude,t2m
2000-01,2000-01-01,40.462,275.47565
2000-01,2000-01-01,40.462,276.1071
2000-01,2000-01-01,40.462,276.1186
2000-01,2000-01-01,40.212,276.3429
2000-01,2000-01-01,40.212,276.46045
2000-01,2000-01-01,40.212,276.43045
2000-02,2000-02-01,40.462,282.1052
2000-02,2000-02-01,40.462,282.53934
2000-02,2000-02-01,40.462,282.47052
2000-02,2000-02-01,40.212,282.88974
2000-02,2000-02-01,40.212,283.1575
2000-02,2000-02-01,40.212,283.05377
2000-03,2000-03-01,40.462,283.90518
2000-03,2000-03-01,40.462,284.603
2000-03,2000-03-01,40.462,284.4
2000-03,2000-03-01,40.212,285.00754
2000-03,2000-03-01,40.212,285.22083
2000-03,2000-03-01,40.212,284.97156
2000-04,2000-04-01,40.462,282.7772
2000-04,2000-04-01,40.462,283.72314
2000-04,2000-04-01,40.462,283.55457
2000-04,2000-04-01,40.212,284.12637
2000-04,2000-04-01,40.212,284.1312
2000-04,2000-04-01,40.212,283.90518
2000-05,2000-05-01,40.462,290.05283
2000-05,2000-05-01,40.462,290.959
2000-05,2000-05-01,40.462,290.79562
2000-05,2000-05-01,40.212,291.2961
2000-05,2000-05-01,40.212,291.44977
2000-05,2000-05-01,40.212,291.2796
2000-06,2000-06-01,40.462,295.88657
2000-06,2000-06-01,40.462,296.75848
2000-06,2000-06-01,40.462,296.59195
2000-06,2000-06-01,40.212,297.28586
2000-06,2000-06-01,40.212,297.73764
2000-06,2000-06-01,40.212,297.49115
2000-07,2000-07-01,40.462,296.95898
2000-07,2000-07-01,40.462,297.79663
2000-07,2000-07-01,40.462,297.72095
2000-07,2000-07-01,40.212,298.23572
2000-07,2000-07-01,40.212,298.6379
2000-07,2000-07-01,40.212,298.50327
2000-08,2000-08-01,40.462,297.38416
2000-08,2000-08-01,40.462,298.2355
2000-08,2000-08-01,40.462,298.1795
2000-08,2000-08-01,40.212,298.6656
2000-08,2000-08-01,40.212,299.04947
2000-08,2000-08-01,40.212,298.94034
2000-09,2000-09-01,40.462,293.86237
2000-09,2000-09-01,40.462,294.6898
2000-09,2000-09-01,40.462,294.5493
2000-09,2000-09-01,40.212,295.1059
2000-09,2000-09-01,40.212,295.3002
2000-09,2000-09-01,40.212,295.12766
2000-10,2000-10-01,40.462,287.29807
2000-10,2000-10-01,40.462,288.0544
2000-10,2000-10-01,40.462,287.85757
2000-10,2000-10-01,40.212,288.6
2000-10,2000-10-01,40.212,288.5665
2000-10,2000-10-01,40.212,288.339
2000-11,2000-11-01,40.462,281.17584
2000-11,2000-11-01,40.462,282.02002
2000-11,2000-11-01,40.462,281.86594
2000-11,2000-11-01,40.212,282.43323
2000-11,2000-11-01,40.212,282.3927
2000-11,2000-11-01,40.212,282.1951
2000-12,2000-12-01,40.462,279.8847
2000-12,2000-12-01,40.462,280.73087
2000-12,2000-12-01,40.462,280.56442
2000-12,2000-12-01,40.212,281.0915
2000-12,2000-12-01,40.212,281.03104
2000-12,2000-12-01,40.212,280.81717
2001-01,2001-01-01,40.462,279.74786
2001-01,2001-01-01,40.462,280.68222
2001-01,2001-01-01,40.462,280.56238
2001-01,2001-01-01,40.212,281.07043
2001-01,2001-01-01,40.212,281.08295
2001-01,2001-01-01,40.212,280.89883
2001-02,2001-02-01,40.462,280.2139
2001-02,2001-02-01,40.462,280.83258
2001-02,2001-02-01,40.462,280.65564
2001-02,2001-02-01,40.212,281.28613
2001-02,2001-02-01,40.212,281.2753
2001-02,2001-02-01,40.212,281.06888
2001-03,2001-03-01,40.462,284.23743
2001-03,2001-03-01,40.462,285.0654
2001-03,2001-03-01,40.462,284.96136
2001-03,2001-03-01,40.212,285.5255
2001-03,2001-03-01,40.212,285.5817
2001-03,2001-03-01,40.212,285.39975
2001-04,2001-04-01,40.462,285.61813
2001-04,2001-04-01,40.462,286.51654
2001-04,2001-04-01,40.462,286.34433
2001-04,2001-04-01,40.212,287.0417
2001-04,2001-04-01,40.212,287.29294
2001-04,2001-04-01,40.212,287.0484
2001-05,2001-05-01,40.462,289.30322
2001-05,2001-05-01,40.462,290.27924
2001-05,2001-05-01,40.462,289.97177
2001-05,2001-05-01,40.212,290.78345
2001-05,2001-05-01,40.212,290.8798
2001-05,2001-05-01,40.212,290.49353
2001-06,2001-06-01,40.462,296.5722
2001-06,2001-06-01,40.462,297.59314
2001-06,2001-06-01,40.462,297.45935
2001-06,2001-06-01,40.212,298.0296
2001-06,2001-06-01,40.212,298.37906
2001-06,2001-06-01,40.212,298.17178
2001-07,2001-07-01,40.462,297.2857
2001-07,2001-07-01,40.462,298.2913
2001-07,2001-07-01,40.462,298.15363
2001-07,2001-07-01,40.212,298.86017
2001-07,2001-07-01,40.212,299.10052
2001-07,2001-07-01,40.212,298.89212
2001-08,2001-08-01,40.462,298.5567
2001-08,2001-08-01,40.462,299.47665
2001-08,2001-08-01,40.462,299.3788
2001-08,2001-08-01,40.212,299.88406
2001-08,2001-08-01,40.212,300.18503
2001-08,2001-08-01,40.212,300.05212
2001-09,2001-09-01,40.462,293.15747
2001-09,2001-09-01,40.462,293.91284
2001-09,2001-09-01,40.462,293.6998
2001-09,2001-09-01,40.212,294.6466
2001-09,2001-09-01,40.212,294.6826
2001-09,2001-09-01,40.212,294.44232
2001-10,2001-10-01,40.462,288.43582
2001-10,2001-10-01,40.462,289.21762
2001-10,2001-10-01,40.462,289.0772
2001-10,2001-10-01,40.212,289.69116
2001-10,2001-10-01,40.212,289.69086
2001-10,2001-10-01,40.212,289.52863
2001-11,2001-11-01,40.462,279.96783
2001-11,2001-11-01,40.462,280.6709
2001-11,2001-11-01,40.462,280.53452
2001-11,2001-11-01,40.212,281.15628
2001-11,2001-11-01,40.212,281.10806
2001-11,2001-11-01,40.212,280.9621
2001-12,2001-12-01,40.462,275.60535
2001-12,2001-12-01,40.462,275.85706
2001-12,2001-12-01,40.462,275.6375
2001-12,2001-12-01,40.212,276.2349
2001-12,2001-12-01,40.212,276.2235
2001-12,2001-12-01,40.212,276.08383
2002-01,2002-01-01,40.462,278.89587
2002-01,2002-01-01,40.462,279.4052
2002-01,2002-01-01,40.462,279.27768
2002-01,2002-01-01,40.212,279.6936
2002-01,2002-01-01,40.212,279.72607
2002-01,2002-01-01,40.212,279.5943
2002-02,2002-02-01,40.462,280.49847
2002-02,2002-02-01,40.462,281.06708
2002-02,2002-02-01,40.462,280.95337
2002-02,2002-02-01,40.212,281.41592
2002-02,2002-02-01,40.212,281.4923
2002-02,2002-02-01,40.212,281.37387
2002-03,2002-03-01,40.462,282.89502
2002-03,2002-03-01,40.462,283.67856
2002-03,2002-03-01,40.462,283.65298
2002-03,2002-03-01,40.212,284.12646
2002-03,2002-03-01,40.212,284.27814
2002-03,2002-03-01,40.212,284.2013
2002-04,2002-04-01,40.462,285.43384
2002-04,2002-04-01,40.462,286.20895
2002-04,2002-04-01,40.462,286.0728
2002-04,2002-04-01,40.212,286.56262
2002-04,2002-04-01,40.212,286.7071
2002-04,2002-04-01,40.212,286.55334
2002-05,2002-05-01,40.462,287.74274
2002-05,2002-05-01,40.462,288.52783
2002-05,2002-05-01,40.462,288.3394
2002-05,2002-05-01,40.212,289.11758
2002-05,2002-05-01,40.212,289.17572
2002-05,2002-05-01,40.212,288.94373
2002-06,2002-06-01,40.462,295.94864
2002-06,2002-06-01,40.462,296.77206
2002-06,2002-06-01,40.462,296.623
2002-06,2002-06-01,40.212,297.31015
2002-06,2002-06-01,40.212,297.64798
2002-06,2002-06-01,40.212,297.46652
2002-07,2002-07-01,40.462,297.63583
2002-07,2002-07-01,40.462,298.3409
2002-07,2002-07-01,40.462,298.05637
2002-07,2002-07-01,40.212,299.0191
2002-07,2002-07-01,40.212,299.11642
2002-07,2002-07-01,40.212,298.85416
2002-08,2002-08-01,40.462,296.36404
2002-08,2002-08-01,40.462,297.20187
2002-08,2002-08-01,40.462,297.0927
2002-08,2002-08-01,40.212,297.78867
2002-08,2002-08-01,40.212,298.0871
2002-08,2002-08-01,40.212,297.94748
2002-09,2002-09-01,40.462,291.99597
2002-09,2002-09-01,40.462,292.8254
2002-09,2002-09-01,40.462,292.72244
2002-09,2002-09-01,40.212,293.3945
2002-09,2002-09-01,40.212,293.52408
2002-09,2002-09-01,40.212,293.42487
2002-10,2002-10-01,40.462,287.08517
2002-10,2002-10-01,40.462,287.81693
2002-10,2002-10-01,40.462,287.60733
2002-10,2002-10-01,40.212,288.33145
2002-10,2002-10-01,40.212,288.27075
2002-10,2002-10-01,40.212,288.02454
2002-11,2002-11-01,40.462,282.4757
2002-11,2002-11-01,40.462,283.1781
2002-11,2002-11-01,40.462,283.02505
2002-11,2002-11-01,40.212,283.75287
2002-11,2002-11-01,40.212,283.71167
2002-11,2002-11-01,40.212,283.48285
2002-12,2002-12-01,40.462,280.7766
2002-12,2002-12-01,40.462,281.64273
2002-12,2002-12-01,40.462,281.54663
2002-12,2002-12-01,40.212,281.9629
2002-12,2002-12-01,40.212,282.00717
2002-12,2002-12-01,40.212,281.8731
2003-01,2003-01-01,40.462,277.93015
2003-01,2003-01-01,40.462,278.68817
2003-01,2003-01-01,40.462,278.5851
2003-01,2003-01-01,40.212,279.10275
2003-01,2003-01-01,40.212,279.0416
2003-01,2003-01-01,40.212,278.88766
2003-02,2003-02-01,40.462,278.28177
2003-02,2003-02-01,40.462,279.10434
2003-02,2003-02-01,40.462,279.0137
2003-02,2003-02-01,40.212,279.47992
2003-02,2003-02-01,40.212,279.53983
2003-02,2003-02-01,40.212,279.39343
2003-03,2003-03-01,40.462,283.7517
2003-03,2003-03-01,40.462,284.34045
2003-03,2003-03-01,40.462,284.09354
2003-03,2003-03-01,40.212,284.8892
2003-03,2003-03-01,40.212,284.89072
2003-03,2003-03-01,40.212,284.6173
2003-04,2003-04-01,40.462,285.07602
2003-04,2003-04-01,40.462,285.91193
2003-04,2003-04-01,40.462,285.72604
2003-04,2003-04-01,40.212,286.46442
2003-04,2003-04-01,40.212,286.46692
2003-04,2003-04-01,40.212,286.24274
2003-05,2003-05-01,40.462,290.29324
2003-05,2003-05-01,40.462,291.12003
2003-05,2003-05-01,40.462,290.96625
2003-05,2003-05-01,40.212,291.88065
2003-05,2003-05-01,40.212,292.03577
2003-05,2003-05-01,40.212,291.81732
2003-06,2003-06-01,40.462,297.58142
2003-06,2003-06-01,40.462,298.45587
2003-06,2003-06-01,40.462,298.39853
2003-06,2003-06-01,40.212,298.91367
2003-06,2003-06-01,40.212,299.28598
2003-06,2003-06-01,40.212,299.20947
2003-07,2003-07-01,40.462,298.38898
2003-07,2003-07-01,40.462,299.227
2003-07,2003-07-01,40.462,299.29724
2003-07,2003-07-01,40.212,299.60587
2003-07,2003-07-01,40.212,300.07404
2003-07,2003-07-01,40.212,300.10703
2003-08,2003-08-01,40.462,299.24173
2003-08,2003-08-01,40.462,299.88797
2003-08,2003-08-01,40.462,299.77106
2003-08,2003-08-01,40.212,300.50836
2003-08,2003-08-01,40.212,300.71393
2003-08,2003-08-01,40.212,300.56418
2003-09,2003-09-01,40.462,294.03284
2003-09,2003-09-01,40.462,294.71786
2003-09,2003-09-01,40.462,294.48886
2003-09,2003-09-01,40.212,295.47336
2003-09,2003-09-01,40.212,295.56345
2003-09,2003-09-01,40.212,295.293
2003-10,2003-10-01,40.462,286.14267
2003-10,2003-10-01,40.462,286.99988
2003-10,2003-10-01,40.462,286.88992
2003-10,2003-10-01,40.212,287.60632
2003-10,2003-10-01,40.212,287.56866
2003-10,2003-10-01,40.212,287.42386
2003-11,2003-11-01,40.462,282.49414
2003-11,2003-11-01,40.462,283.21414
2003-11,2003-11-01,40.462,283.0453
2003-11,2003-11-01,40.212,283.51315
2003-11,2003-11-01,40.212,283.49722
2003-11,2003-11-01,40.212,283.32413
2003-12,2003-12-01,40.462,278.6909
2003-12,2003-12-01,40.462,279.34302
2003-12,2003-12-01,40.462,279.25073
2003-12,2003-12-01,40.212,279.62067
2003-12,2003-12-01,40.212,279.65353
2003-12,2003-12-01,40.212,279.5575
2004-01,2004-01-01,40.462,279.32037
2004-01,2004-01-01,40.462,279.81665
2004-01,2004-01-01,40.462,279.67484
2004-01,2004-01-01,40.212,280.0543
2004-01,2004-01-01,40.212,280.04163
2004-01,2004-01-01,40.212,279.9079
2004-02,2004-02-01,40.462,279.427
2004-02,2004-02-01,40.462,279.9676
2004-02,2004-02-01,40.462,279.8108
2004-02,2004-02-01,40.212,280.45615
2004-02,2004-02-01,40.212,280.49933
2004-02,2004-02-01,40.212,280.33163
2004-03,2004-03-01,40.462,281.28165
2004-03,2004-03-01,40.462,281.99374
2004-03,2004-03-01,40.462,281.7938
2004-03,2004-03-01,40.212,282.45428
2004-03,2004-03-01,40.212,282.3972
2004-03,2004-03-01,40.212,282.16724
2004-04,2004-04-01,40.462,284.01956
2004-04,2004-04-01,40.462,284.74155
2004-04,2004-04-01,40.462,284.51205
2004-04,2004-04-01,40.212,285.2337
2004-04,2004-04-01,40.212,285.1581
2004-04,2004-04-01,40.212,284.89832
2004-05,2004-05-01,40.462,287.13428
2004-05,2004-05-01,40.462,288.08383
2004-05,2004-05-01,40.462,287.84528
2004-05,2004-05-01,40.212,288.25708
2004-05,2004-05-01,40.212,288.18475
2004-05,2004-05-01,40.212,287.92383
2004-06,2004-06-01,40.462,296.23547
2004-06,2004-06-01,40.462,297.24918
