valid_time,time,latitude,t2m
2000-01,2000-01-01,53.565,278.17188
2000-01,2000-01-01,53.565,277.46722
2000-01,2000-01-01,53.315,278.3459
2000-01,2000-01-01,53.315,277.73975
2000-02,2000-02-01,53.565,279.30807
2000-02,2000-02-01,53.565,278.59247
2000-02,2000-02-01,53.315,279.43158
2000-02,2000-02-01,53.315,278.8267
2000-03,2000-03-01,53.565,280.19867
2000-03,2000-03-01,53.565,279.6468
2000-03,2000-03-01,53.315,280.3978
2000-03,2000-03-01,53.315,279.88388
2000-04,2000-04-01,53.565,280.58566
2000-04,2000-04-01,53.565,280.07437
2000-04,2000-04-01,53.315,280.69315
2000-04,2000-04-01,53.315,280.29166
2000-05,2000-05-01,53.565,284.739
2000-05,2000-05-01,53.565,284.22034
2000-05,2000-05-01,53.315,284.96637
2000-05,2000-05-01,53.315,284.53568
2000-06,2000-06-01,53.565,287.33807
2000-06,2000-06-01,53.565,286.94073
2000-06,2000-06-01,53.315,287.7944
2000-06,2000-06-01,53.315,287.41663
2000-07,2000-07-01,53.565,287.766
2000-07,2000-07-01,53.565,287.24002
2000-07,2000-07-01,53.315,287.98322
2000-07,2000-07-01,53.315,287.52783
2000-08,2000-08-01,53.565,288.72504
2000-08,2000-08-01,53.565,288.26038
2000-08,2000-08-01,53.315,288.9789
2000-08,2000-08-01,53.315,288.56183
2000-09,2000-09-01,53.565,287.18298
2000-09,2000-09-01,53.565,286.62384
2000-09,2000-09-01,53.315,287.3753
2000-09,2000-09-01,53.315,286.9183
2000-10,2000-10-01,53.565,283.04376
2000-10,2000-10-01,53.565,282.36426
2000-10,2000-10-01,53.315,283.12982
2000-10,2000-10-01,53.315,282.59167
2000-11,2000-11-01,53.565,280.1914
2000-11,2000-11-01,53.565,279.53696
2000-11,2000-11-01,53.315,280.18045
2000-11,2000-11-01,53.315,279.69702
2000-12,2000-12-01,53.565,278.4338
2000-12,2000-12-01,53.565,277.7378
2000-12,2000-12-01,53.315,278.59967
2000-12,2000-12-01,53.315,278.06366
2001-01,2001-01-01,53.565,276.5036
2001-01,2001-01-01,53.565,275.9369
2001-01,2001-01-01,53.315,276.41266
2001-01,2001-01-01,53.315,276.05048
2001-02,2001-02-01,53.565,276.92548
2001-02,2001-02-01,53.565,276.40027
2001-02,2001-02-01,53.315,277.14258
2001-02,2001-02-01,53.315,276.71332
2001-03,2001-03-01,53.565,277.84195
2001-03,2001-03-01,53.565,277.3555
2001-03,2001-03-01,53.315,278.02142
2001-03,2001-03-01,53.315,277.63055
2001-04,2001-04-01,53.565,280.2365
2001-04,2001-04-01,53.565,279.68268
2001-04,2001-04-01,53.315,280.44336
2001-04,2001-04-01,53.315,279.95154
2001-05,2001-05-01,53.565,285.45786
2001-05,2001-05-01,53.565,285.01276
2001-05,2001-05-01,53.315,285.7801
2001-05,2001-05-01,53.315,285.3961
2001-06,2001-06-01,53.565,286.6493
2001-06,2001-06-01,53.565,286.18756
2001-06,2001-06-01,53.315,286.97144
2001-06,2001-06-01,53.315,286.5401
2001-07,2001-07-01,53.565,289.30075
2001-07,2001-07-01,53.565,288.93713
2001-07,2001-07-01,53.315,289.6032
2001-07,2001-07-01,53.315,289.27823
2001-08,2001-08-01,53.565,288.93347
2001-08,2001-08-01,53.565,288.5206
2001-08,2001-08-01,53.315,289.16833
2001-08,2001-08-01,53.315,288.8178
2001-09,2001-09-01,53.565,286.08582
2001-09,2001-09-01,53.565,285.4337
2001-09,2001-09-01,53.315,286.1668
2001-09,2001-09-01,53.315,285.63293
2001-10,2001-10-01,53.565,286.1219
2001-10,2001-10-01,53.565,285.54776
2001-10,2001-10-01,53.315,286.2147
2001-10,2001-10-01,53.315,285.76373
2001-11,2001-11-01,53.565,281.1066
2001-11,2001-11-01,53.565,280.26898
2001-11,2001-11-01,53.315,280.92987
2001-11,2001-11-01,53.315,280.25827
2001-12,2001-12-01,53.565,276.8675
2001-12,2001-12-01,53.565,276.19623
2001-12,2001-12-01,53.315,276.74536
2001-12,2001-12-01,53.315,276.30524
2002-01,2002-01-01,53.565,279.00046
2002-01,2002-01-01,53.565,278.40036
2002-01,2002-01-01,53.315,279.04773
2002-01,2002-01-01,53.315,278.5656
2002-02,2002-02-01,53.565,279.9359
2002-02,2002-02-01,53.565,279.22763
2002-02,2002-02-01,53.315,280.06265
2002-02,2002-02-01,53.315,279.47418
2002-03,2002-03-01,53.565,280.48553
2002-03,2002-03-01,53.565,279.9093
2002-03,2002-03-01,53.315,280.64386
2002-03,2002-03-01,53.315,280.16455
2002-04,2002-04-01,53.565,281.85977
2002-04,2002-04-01,53.565,281.3976
2002-04,2002-04-01,53.315,282.042
2002-04,2002-04-01,53.315,281.65326
2002-05,2002-05-01,53.565,284.70032
2002-05,2002-05-01,53.565,284.185
2002-05,2002-05-01,53.315,284.86795
2002-05,2002-05-01,53.315,284.41702
2002-06,2002-06-01,53.565,287.02097
2002-06,2002-06-01,53.565,286.5378
2002-06,2002-06-01,53.315,287.33688
2002-06,2002-06-01,53.315,286.88315
2002-07,2002-07-01,53.565,288.03232
2002-07,2002-07-01,53.565,287.6529
2002-07,2002-07-01,53.315,288.35986
2002-07,2002-07-01,53.315,287.97107
2002-08,2002-08-01,53.565,289.20404
2002-08,2002-08-01,53.565,288.77887
2002-08,2002-08-01,53.315,289.35388
2002-08,2002-08-01,53.315,288.9571
2002-09,2002-09-01,53.565,286.9141
2002-09,2002-09-01,53.565,286.3736
2002-09,2002-09-01,53.315,287.0216
2002-09,2002-09-01,53.315,286.60516
2002-10,2002-10-01,53.565,282.62064
2002-10,2002-10-01,53.565,281.9729
2002-10,2002-10-01,53.315,282.71042
2002-10,2002-10-01,53.315,282.2198
2002-11,2002-11-01,53.565,281.27878
2002-11,2002-11-01,53.565,280.72882
2002-11,2002-11-01,53.315,281.39853
2002-11,2002-11-01,53.315,280.95703
2002-12,2002-12-01,53.565,278.40698
2002-12,2002-12-01,53.565,277.83575
2002-12,2002-12-01,53.315,278.56134
2002-12,2002-12-01,53.315,278.13095
2003-01,2003-01-01,53.565,277.74536
2003-01,2003-01-01,53.565,277.05075
2003-01,2003-01-01,53.315,277.783
2003-01,2003-01-01,53.315,277.2119
2003-02,2003-02-01,53.565,277.22015
2003-02,2003-02-01,53.565,276.64905
2003-02,2003-02-01,53.315,277.29425
2003-02,2003-02-01,53.315,276.8786
2003-03,2003-03-01,53.565,280.2187
2003-03,2003-03-01,53.565,279.78613
2003-03,2003-03-01,53.315,280.3905
2003-03,2003-03-01,53.315,280.06482
2003-04,2003-04-01,53.565,282.82983
2003-04,2003-04-01,53.565,282.2752
2003-04,2003-04-01,53.315,283.08618
2003-04,2003-04-01,53.315,282.65295
2003-05,2003-05-01,53.565,284.77762
2003-05,2003-05-01,53.565,284.31494
2003-05,2003-05-01,53.315,285.05353
2003-05,2003-05-01,53.315,284.61548
2003-06,2003-06-01,53.565,288.40845
2003-06,2003-06-01,53.565,288.02612
2003-06,2003-06-01,53.315,288.81943
2003-06,2003-06-01,53.315,288.44077
2003-07,2003-07-01,53.565,289.75708
2003-07,2003-07-01,53.565,289.289
2003-07,2003-07-01,53.315,290.0628
2003-07,2003-07-01,53.315,289.63135
2003-08,2003-08-01,53.565,289.71655
2003-08,2003-08-01,53.565,289.34406
2003-08,2003-08-01,53.315,290.00958
2003-08,2003-08-01,53.315,289.69342
2003-09,2003-09-01,53.565,286.6372
2003-09,2003-09-01,53.565,286.09265
2003-09,2003-09-01,53.315,286.75467
2003-09,2003-09-01,53.315,286.34622
2003-10,2003-10-01,53.565,281.818
2003-10,2003-10-01,53.565,281.09045
2003-10,2003-10-01,53.315,281.81546
2003-10,2003-10-01,53.315,281.31146
2003-11,2003-11-01,53.565,281.0495
2003-11,2003-11-01,53.565,280.44055
