valid_time,time,latitude,t2m
2000-01,2000-01-01,3.689,298.47473
2000-01,2000-01-01,3.689,299.0716
2000-01,2000-01-01,3.439,296.47302
2000-01,2000-01-01,3.439,297.31262
2000-02,2000-02-01,3.689,298.88593
2000-02,2000-02-01,3.689,299.39996
2000-02,2000-02-01,3.439,296.9041
2000-02,2000-02-01,3.439,297.59705
2000-03,2000-03-01,3.689,299.52808
2000-03,2000-03-01,3.689,299.8886
2000-03,2000-03-01,3.439,297.59772
2000-03,2000-03-01,3.439,298.0556
2000-04,2000-04-01,3.689,299.9325
2000-04,2000-04-01,3.689,300.2616
2000-04,2000-04-01,3.439,298.06616
2000-04,2000-04-01,3.439,298.42883
2000-05,2000-05-01,3.689,300.61597
2000-05,2000-05-01,3.689,300.84894
2000-05,2000-05-01,3.439,298.71918
2000-05,2000-05-01,3.439,298.92987
2000-06,2000-06-01,3.689,299.76697
2000-06,2000-06-01,3.689,300.05383
2000-06,2000-06-01,3.439,297.9068
2000-06,2000-06-01,3.439,298.17548
2000-07,2000-07-01,3.689,300.33893
2000-07,2000-07-01,3.689,300.46722
2000-07,2000-07-01,3.439,298.20142
2000-07,2000-07-01,3.439,298.34583
2000-08,2000-08-01,3.689,300.0362
2000-08,2000-08-01,3.689,300.17523
2000-08,2000-08-01,3.439,297.94214
2000-08,2000-08-01,3.439,298.10193
2000-09,2000-09-01,3.689,299.52307
2000-09,2000-09-01,3.689,299.7376
2000-09,2000-09-01,3.439,297.44165
2000-09,2000-09-01,3.439,297.79712
2000-10,2000-10-01,3.689,299.74622
2000-10,2000-10-01,3.689,300.13464
2000-10,2000-10-01,3.439,297.8094
2000-10,2000-10-01,3.439,298.2705
2000-11,2000-11-01,3.689,299.22546
2000-11,2000-11-01,3.689,299.6261
2000-11,2000-11-01,3.439,297.37067
2000-11,2000-11-01,3.439,297.92456
2000-12,2000-12-01,3.689,299.30237
2000-12,2000-12-01,3.689,299.8105
2000-12,2000-12-01,3.439,297.38818
2000-12,2000-12-01,3.439,298.0921
2001-01,2001-01-01,3.689,298.90747
2001-01,2001-01-01,3.689,299.40607
2001-01,2001-01-01,3.439,297.0271
2001-01,2001-01-01,3.439,297.73553
2001-02,2001-02-01,3.689,299.3891
2001-02,2001-02-01,3.689,299.92615
2001-02,2001-02-01,3.439,297.31427
2001-02,2001-02-01,3.439,298.06067
2001-03,2001-03-01,3.689,299.9157
2001-03,2001-03-01,3.689,300.43427
2001-03,2001-03-01,3.439,297.87854
2001-03,2001-03-01,3.439,298.54913
2001-04,2001-04-01,3.689,300.00525
2001-04,2001-04-01,3.689,300.5495
2001-04,2001-04-01,3.439,298.06787
2001-04,2001-04-01,3.439,298.77124
2001-05,2001-05-01,3.689,300.69684
2001-05,2001-05-01,3.689,300.90826
2001-05,2001-05-01,3.439,298.87354
2001-05,2001-05-01,3.439,299.06543
2001-06,2001-06-01,3.689,300.76398
2001-06,2001-06-01,3.689,300.80133
2001-06,2001-06-01,3.439,298.65247
2001-06,2001-06-01,3.439,298.69122
2001-07,2001-07-01,3.689,301.07568
2001-07,2001-07-01,3.689,300.95203
2001-07,2001-07-01,3.439,298.73688
2001-07,2001-07-01,3.439,298.71863
2001-08,2001-08-01,3.689,301.1167
2001-08,2001-08-01,3.689,301.0824
2001-08,2001-08-01,3.439,298.851
2001-08,2001-08-01,3.439,298.92456
2001-09,2001-09-01,3.689,299.5318
2001-09,2001-09-01,3.689,299.88385
2001-09,2001-09-01,3.439,297.47546
2001-09,2001-09-01,3.439,298.00305
2001-10,2001-10-01,3.689,299.65973
2001-10,2001-10-01,3.689,299.98456
2001-10,2001-10-01,3.439,297.64526
2001-10,2001-10-01,3.439,298.0871
2001-11,2001-11-01,3.689,298.98035
2001-11,2001-11-01,3.689,299.47583
2001-11,2001-11-01,3.439,297.11414
2001-11,2001-11-01,3.439,297.78888
2001-12,2001-12-01,3.689,299.05084
2001-12,2001-12-01,3.689,299.60345
2001-12,2001-12-01,3.439,297.13306
2001-12,2001-12-01,3.439,297.89862
2002-01,2002-01-01,3.689,299.03815
2002-01,2002-01-01,3.689,299.5995
2002-01,2002-01-01,3.439,297.101
2002-01,2002-01-01,3.439,297.90833
