valid_time,time,latitude,t2m
2000-01,2000-01-01,19.668,284.22058
2000-01,2000-01-01,19.668,285.6688
2000-01,2000-01-01,19.668,285.24414
2000-01,2000-01-01,19.418,283.70093
2000-01,2000-01-01,19.418,284.83575
2000-01,2000-01-01,19.418,284.4147
2000-01,2000-01-01,19.168,284.11804
2000-01,2000-01-01,19.168,284.993
2000-01,2000-01-01,19.168,284.4991
2000-02,2000-02-01,19.668,285.92633
2000-02,2000-02-01,19.668,287.38434
2000-02,2000-02-01,19.668,286.87244
2000-02,2000-02-01,19.418,285.1634
2000-02,2000-02-01,19.418,286.37946
2000-02,2000-02-01,19.418,285.86823
2000-02,2000-02-01,19.168,285.43396
2000-02,2000-02-01,19.168,286.41547
2000-02,2000-02-01,19.168,285.888
2000-03,2000-03-01,19.668,288.448
2000-03,2000-03-01,19.668,290.19336
2000-03,2000-03-01,19.668,289.57495
2000-03,2000-03-01,19.418,287.38013
2000-03,2000-03-01,19.418,288.68756
2000-03,2000-03-01,19.418,288.036
2000-03,2000-03-01,19.168,287.52216
2000-03,2000-03-01,19.168,288.47992
2000-03,2000-03-01,19.168,287.6383
2000-04,2000-04-01,19.668,289.5011
2000-04,2000-04-01,19.668,291.2279
2000-04,2000-04-01,19.668,290.66235
2000-04,2000-04-01,19.418,288.82812
2000-04,2000-04-01,19.418,290.08405
2000-04,2000-04-01,19.418,289.56726
2000-04,2000-04-01,19.168,289.5421
2000-04,2000-04-01,19.168,290.48022
2000-04,2000-04-01,19.168,289.34503
2000-05,2000-05-01,19.668,289.53125
2000-05,2000-05-01,19.668,291.247
2000-05,2000-05-01,19.668,290.70325
2000-05,2000-05-01,19.418,288.7234
2000-05,2000-05-01,19.418,289.79425
2000-05,2000-05-01,19.418,289.3734
2000-05,2000-05-01,19.168,289.27844
2000-05,2000-05-01,19.168,289.99182
2000-05,2000-05-01,19.168,288.72302
2000-06,2000-06-01,19.668,288.93225
2000-06,2000-06-01,19.668,290.50256
2000-06,2000-06-01,19.668,289.93
2000-06,2000-06-01,19.418,288.09082
2000-06,2000-06-01,19.418,289.10956
2000-06,2000-06-01,19.418,288.5822
2000-06,2000-06-01,19.168,288.30847
2000-06,2000-06-01,19.168,289.0705
2000-06,2000-06-01,19.168,288.21808
2000-07,2000-07-01,19.668,288.6878
2000-07,2000-07-01,19.668,290.29077
2000-07,2000-07-01,19.668,289.60297
2000-07,2000-07-01,19.418,287.76636
2000-07,2000-07-01,19.418,288.82886
2000-07,2000-07-01,19.418,288.21948
2000-07,2000-07-01,19.168,288.07574
2000-07,2000-07-01,19.168,288.79724
2000-07,2000-07-01,19.168,287.953
2000-08,2000-08-01,19.668,287.85413
2000-08,2000-08-01,19.668,289.36206
2000-08,2000-08-01,19.668,288.75952
2000-08,2000-08-01,19.418,287.06848
2000-08,2000-08-01,19.418,288.02716
2000-08,2000-08-01,19.418,287.45886
2000-08,2000-08-01,19.168,287.64093
2000-08,2000-08-01,19.168,288.331
2000-08,2000-08-01,19.168,287.38135
2000-09,2000-09-01,19.668,288.32446
2000-09,2000-09-01,19.668,289.98212
2000-09,2000-09-01,19.668,289.338
2000-09,2000-09-01,19.418,287.52344
2000-09,2000-09-01,19.418,288.5409
2000-09,2000-09-01,19.418,287.96838
2000-09,2000-09-01,19.168,287.86694
2000-09,2000-09-01,19.168,288.58643
2000-09,2000-09-01,19.168,287.77838
2000-10,2000-10-01,19.668,287.3069
2000-10,2000-10-01,19.668,289.10022
2000-10,2000-10-01,19.668,288.5686
2000-10,2000-10-01,19.418,286.61932
2000-10,2000-10-01,19.418,287.74506
2000-10,2000-10-01,19.418,287.26685
2000-10,2000-10-01,19.168,287.06226
