valid_time,time,latitude,t2m
2000-01,2000-01-01,26.786,291.85986
2000-01,2000-01-01,26.786,292.09244
2000-01,2000-01-01,26.536,291.732
2000-01,2000-01-01,26.536,292.19632
2000-01,2000-01-01,26.286,291.91873
2000-01,2000-01-01,26.286,292.5942
2000-01,2000-01-01,26.036,292.37952
2000-01,2000-01-01,26.036,293.16568
2000-01,2000-01-01,25.786,292.50943
2000-01,2000-01-01,25.786,293.4464
2000-01,2000-01-01,25.536,292.83267
2000-01,2000-01-01,25.536,293.7107
2000-02,2000-02-01,26.786,292.4727
2000-02,2000-02-01,26.786,292.58884
2000-02,2000-02-01,26.536,292.50235
2000-02,2000-02-01,26.536,292.7541
2000-02,2000-02-01,26.286,292.61432
2000-02,2000-02-01,26.286,293.06152
2000-02,2000-02-01,26.036,292.86444
2000-02,2000-02-01,26.036,293.4363
2000-02,2000-02-01,25.786,292.90875
2000-02,2000-02-01,25.786,293.6335
2000-02,2000-02-01,25.536,293.18655
2000-02,2000-02-01,25.536,293.8593
2000-03,2000-03-01,26.786,295.28964
2000-03,2000-03-01,26.786,295.22375
2000-03,2000-03-01,26.536,295.39413
2000-03,2000-03-01,26.536,295.40387
2000-03,2000-03-01,26.286,295.52142
2000-03,2000-03-01,26.286,295.67426
2000-03,2000-03-01,26.036,295.7165
2000-03,2000-03-01,26.036,295.76675
2000-03,2000-03-01,25.786,295.80936
2000-03,2000-03-01,25.786,295.88498
2000-03,2000-03-01,25.536,295.98157
2000-03,2000-03-01,25.536,296.0396
2000-04,2000-04-01,26.786,295.72443
2000-04,2000-04-01,26.786,295.7528
2000-04,2000-04-01,26.536,295.74344
2000-04,2000-04-01,26.536,295.86047
2000-04,2000-04-01,26.286,295.8694
2000-04,2000-04-01,26.286,296.10138
2000-04,2000-04-01,26.036,296.03644
2000-04,2000-04-01,26.036,296.13684
2000-04,2000-04-01,25.786,296.14594
2000-04,2000-04-01,25.786,296.2334
2000-04,2000-04-01,25.536,296.31647
2000-04,2000-04-01,25.536,296.38864
2000-05,2000-05-01,26.786,298.96838
2000-05,2000-05-01,26.786,298.74634
2000-05,2000-05-01,26.536,299.09265
2000-05,2000-05-01,26.536,298.8978
2000-05,2000-05-01,26.286,299.06955
2000-05,2000-05-01,26.286,298.98358
2000-05,2000-05-01,26.036,298.85092
2000-05,2000-05-01,26.036,298.57993
2000-05,2000-05-01,25.786,298.81116
2000-05,2000-05-01,25.786,298.54813
2000-05,2000-05-01,25.536,298.88495
2000-05,2000-05-01,25.536,298.64252
2000-06,2000-06-01,26.786,299.9925
2000-06,2000-06-01,26.786,299.83865
2000-06,2000-06-01,26.536,299.82623
2000-06,2000-06-01,26.536,299.89453
2000-06,2000-06-01,26.286,299.8943
2000-06,2000-06-01,26.286,300.12134
2000-06,2000-06-01,26.036,299.85526
2000-06,2000-06-01,26.036,299.8935
2000-06,2000-06-01,25.786,299.8509
2000-06,2000-06-01,25.786,299.88324
2000-06,2000-06-01,25.536,299.9264
2000-06,2000-06-01,25.536,299.95947
2000-07,2000-07-01,26.786,300.24664
2000-07,2000-07-01,26.786,300.28162
2000-07,2000-07-01,26.536,299.8674
2000-07,2000-07-01,26.536,300.20224
2000-07,2000-07-01,26.286,299.98575
2000-07,2000-07-01,26.286,300.4214
2000-07,2000-07-01,26.036,300.15802
2000-07,2000-07-01,26.036,300.46832
2000-07,2000-07-01,25.786,300.3067
2000-07,2000-07-01,25.786,300.5927
2000-07,2000-07-01,25.536,300.50333
2000-07,2000-07-01,25.536,300.7554
2000-08,2000-08-01,26.786,300.41803
2000-08,2000-08-01,26.786,300.4217
2000-08,2000-08-01,26.536,300.12817
2000-08,2000-08-01,26.536,300.4259
2000-08,2000-08-01,26.286,300.29382
2000-08,2000-08-01,26.286,300.76086
2000-08,2000-08-01,26.036,300.3934
2000-08,2000-08-01,26.036,300.56146
2000-08,2000-08-01,25.786,300.46027
2000-08,2000-08-01,25.786,300.58075
2000-08,2000-08-01,25.536,300.56592
2000-08,2000-08-01,25.536,300.6756
2000-09,2000-09-01,26.786,300.23724
2000-09,2000-09-01,26.786,300.33032
2000-09,2000-09-01,26.536,299.93152
2000-09,2000-09-01,26.536,300.24133
2000-09,2000-09-01,26.286,300.03085
2000-09,2000-09-01,26.286,300.43066
2000-09,2000-09-01,26.036,300.18848
2000-09,2000-09-01,26.036,300.4245
2000-09,2000-09-01,25.786,300.2826
2000-09,2000-09-01,25.786,300.49216
2000-09,2000-09-01,25.536,300.43793
2000-09,2000-09-01,25.536,300.62366
2000-10,2000-10-01,26.786,297.05713
2000-10,2000-10-01,26.786,297.1944
2000-10,2000-10-01,26.536,296.71317
2000-10,2000-10-01,26.536,297.05652
2000-10,2000-10-01,26.286,296.715
2000-10,2000-10-01,26.286,297.23
2000-10,2000-10-01,26.036,296.9895
2000-10,2000-10-01,26.036,297.60873
2000-10,2000-10-01,25.786,297.05215
2000-10,2000-10-01,25.786,297.84442
2000-10,2000-10-01,25.536,297.292
2000-10,2000-10-01,25.536,298.03708
2000-11,2000-11-01,26.786,294.64624
2000-11,2000-11-01,26.786,294.80188
2000-11,2000-11-01,26.536,294.35876
2000-11,2000-11-01,26.536,294.75592
2000-11,2000-11-01,26.286,294.53055
2000-11,2000-11-01,26.286,295.2125
2000-11,2000-11-01,26.036,294.9362
2000-11,2000-11-01,26.036,295.78876
2000-11,2000-11-01,25.786,295.0535
2000-11,2000-11-01,25.786,296.06705
2000-11,2000-11-01,25.536,295.30194
