valid_time,time,latitude,t2m
2000-01,2000-01-01,45.608,275.5777
2000-01,2000-01-01,45.608,275.50745
2000-01,2000-01-01,45.358,275.56693
2000-01,2000-01-01,45.358,275.81964
2000-02,2000-02-01,45.608,279.27258
2000-02,2000-02-01,45.608,279.11606
2000-02,2000-02-01,45.358,279.80084
2000-02,2000-02-01,45.358,279.86664
2000-03,2000-03-01,45.608,282.9734
2000-03,2000-03-01,45.608,282.89215
2000-03,2000-03-01,45.358,283.8442
2000-03,2000-03-01,45.358,284.03195
2000-04,2000-04-01,45.608,286.04807
2000-04,2000-04-01,45.608,286.14703
2000-04,2000-04-01,45.358,286.8619
2000-04,2000-04-01,45.358,287.2473
2000-05,2000-05-01,45.608,291.6559
2000-05,2000-05-01,45.608,291.70068
2000-05,2000-05-01,45.358,292.67676
2000-05,2000-05-01,45.358,292.97952
2000-06,2000-06-01,45.608,295.19006
2000-06,2000-06-01,45.608,295.37833
2000-06,2000-06-01,45.358,296.16873
2000-06,2000-06-01,45.358,296.67145
2000-07,2000-07-01,45.608,294.57047
2000-07,2000-07-01,45.608,294.79938
2000-07,2000-07-01,45.358,295.91946
2000-07,2000-07-01,45.358,296.54813
2000-08,2000-08-01,45.608,295.84714
2000-08,2000-08-01,45.608,296.19727
2000-08,2000-08-01,45.358,296.98242
2000-08,2000-08-01,45.358,297.71854
2000-09,2000-09-01,45.608,292.0663
2000-09,2000-09-01,45.608,292.16376
2000-09,2000-09-01,45.358,293.24753
2000-09,2000-09-01,45.358,293.66125
2000-10,2000-10-01,45.608,287.0622
2000-10,2000-10-01,45.608,287.0469
2000-10,2000-10-01,45.358,287.86118
2000-10,2000-10-01,45.358,288.0592
2000-11,2000-11-01,45.608,281.1269
2000-11,2000-11-01,45.608,281.10925
2000-11,2000-11-01,45.358,281.64145
2000-11,2000-11-01,45.358,281.99167
2000-12,2000-12-01,45.608,278.46014
2000-12,2000-12-01,45.608,278.28494
2000-12,2000-12-01,45.358,278.56897
2000-12,2000-12-01,45.358,278.7
2001-01,2001-01-01,45.608,276.47858
2001-01,2001-01-01,45.608,276.40274
2001-01,2001-01-01,45.358,276.70535
2001-01,2001-01-01,45.358,276.9557
2001-02,2001-02-01,45.608,279.24203
2001-02,2001-02-01,45.608,278.96735
2001-02,2001-02-01,45.358,279.75836
2001-02,2001-02-01,45.358,279.77563
2001-03,2001-03-01,45.608,283.0349
2001-03,2001-03-01,45.608,282.96005
2001-03,2001-03-01,45.358,283.80435
2001-03,2001-03-01,45.358,283.9892
2001-04,2001-04-01,45.608,284.69574
2001-04,2001-04-01,45.608,284.5771
2001-04,2001-04-01,45.358,285.51776
2001-04,2001-04-01,45.358,285.66632
2001-05,2001-05-01,45.608,291.6264
