valid_time,time,latitude,t2m
2000-01,2000-01-01,43.097,267.2831
2000-01,2000-01-01,43.097,268.15353
2000-01,2000-01-01,42.847,267.77896
2000-01,2000-01-01,42.847,268.5129
2000-02,2000-02-01,43.097,272.682
2000-02,2000-02-01,43.097,272.41882
2000-02,2000-02-01,42.847,273.02576
2000-02,2000-02-01,42.847,272.63602
2000-03,2000-03-01,43.097,278.39514
2000-03,2000-03-01,43.097,277.63873
2000-03,2000-03-01,42.847,278.6234
2000-03,2000-03-01,42.847,277.83914
2000-04,2000-04-01,43.097,280.39703
2000-04,2000-04-01,43.097,279.67648
2000-04,2000-04-01,42.847,280.5725
2000-04,2000-04-01,42.847,279.83823
2000-05,2000-05-01,43.097,288.4343
2000-05,2000-05-01,43.097,287.54068
2000-05,2000-05-01,42.847,288.71405
2000-05,2000-05-01,42.847,288.05887
2000-06,2000-06-01,43.097,292.0996
2000-06,2000-06-01,43.097,292.0882
2000-06,2000-06-01,42.847,292.3173
2000-06,2000-06-01,42.847,292.6135
2000-07,2000-07-01,43.097,293.9074
2000-07,2000-07-01,43.097,294.20572
2000-07,2000-07-01,42.847,294.08722
2000-07,2000-07-01,42.847,294.5091
2000-08,2000-08-01,43.097,294.31238
2000-08,2000-08-01,43.097,294.7788
2000-08,2000-08-01,42.847,294.48965
2000-08,2000-08-01,42.847,294.97882
2000-09,2000-09-01,43.097,289.89374
2000-09,2000-09-01,43.097,290.4891
2000-09,2000-09-01,42.847,290.17917
2000-09,2000-09-01,42.847,290.78424
2000-10,2000-10-01,43.097,285.2741
2000-10,2000-10-01,43.097,285.78897
2000-10,2000-10-01,42.847,285.5079
2000-10,2000-10-01,42.847,285.96143
2000-11,2000-11-01,43.097,275.43695
2000-11,2000-11-01,43.097,276.25812
2000-11,2000-11-01,42.847,275.5753
2000-11,2000-11-01,42.847,276.37863
2000-12,2000-12-01,43.097,263.4682
2000-12,2000-12-01,43.097,264.9505
2000-12,2000-12-01,42.847,263.83527
2000-12,2000-12-01,42.847,265.20413
2001-01,2001-01-01,43.097,268.32672
2001-01,2001-01-01,43.097,268.84738
2001-01,2001-01-01,42.847,268.4715
2001-01,2001-01-01,42.847,268.7872
2001-02,2001-02-01,43.097,267.6449
2001-02,2001-02-01,43.097,267.8886
2001-02,2001-02-01,42.847,268.24335
2001-02,2001-02-01,42.847,268.37357
2001-03,2001-03-01,43.097,273.38116
2001-03,2001-03-01,43.097,272.6995
2001-03,2001-03-01,42.847,273.6206
2001-03,2001-03-01,42.847,272.8094
2001-04,2001-04-01,43.097,283.11
2001-04,2001-04-01,43.097,281.49905
2001-04,2001-04-01,42.847,283.3329
2001-04,2001-04-01,42.847,281.68768
2001-05,2001-05-01,43.097,288.09537
2001-05,2001-05-01,43.097,286.77014
2001-05,2001-05-01,42.847,288.2353
2001-05,2001-05-01,42.847,287.11087
2001-06,2001-06-01,43.097,292.4623
2001-06,2001-06-01,43.097,291.8903
2001-06,2001-06-01,42.847,292.59546
2001-06,2001-06-01,42.847,292.43646
2001-07,2001-07-01,43.097,296.15155
2001-07,2001-07-01,43.097,296.07578
2001-07,2001-07-01,42.847,296.37622
2001-07,2001-07-01,42.847,296.5141
2001-08,2001-08-01,43.097,295.3214
2001-08,2001-08-01,43.097,295.80746
2001-08,2001-08-01,42.847,295.43576
2001-08,2001-08-01,42.847,296.03705
2001-09,2001-09-01,43.097,288.72876
2001-09,2001-09-01,43.097,289.5504
2001-09,2001-09-01,42.847,288.93103
2001-09,2001-09-01,42.847,289.74872
2001-10,2001-10-01,43.097,283.1361
2001-10,2001-10-01,43.097,283.74152
2001-10,2001-10-01,42.847,283.3485
2001-10,2001-10-01,42.847,283.88275
2001-11,2001-11-01,43.097,281.35303
2001-11,2001-11-01,43.097,281.7434
2001-11,2001-11-01,42.847,281.59158
2001-11,2001-11-01,42.847,281.89166
2001-12,2001-12-01,43.097,273.15033
2001-12,2001-12-01,43.097,273.9558
2001-12,2001-12-01,42.847,273.3507
2001-12,2001-12-01,42.847,274.11685
2002-01,2002-01-01,43.097,271.34265
2002-01,2002-01-01,43.097,272.05756
2002-01,2002-01-01,42.847,271.59286
2002-01,2002-01-01,42.847,272.22894
2002-02,2002-02-01,43.097,272.58878
2002-02,2002-02-01,43.097,272.82968
2002-02,2002-02-01,42.847,272.80795
2002-02,2002-02-01,42.847,272.97418
2002-03,2002-03-01,43.097,272.52588
2002-03,2002-03-01,43.097,272.45624
2002-03,2002-03-01,42.847,272.9266
2002-03,2002-03-01,42.847,272.8018
2002-04,2002-04-01,43.097,281.47427
2002-04,2002-04-01,43.097,280.37604
2002-04,2002-04-01,42.847,281.76602
2002-04,2002-04-01,42.847,280.61426
2002-05,2002-05-01,43.097,284.9489
2002-05,2002-05-01,43.097,284.0909
2002-05,2002-05-01,42.847,285.14322
2002-05,2002-05-01,42.847,284.45038
2002-06,2002-06-01,43.097,293.76166
2002-06,2002-06-01,43.097,293.25
2002-06,2002-06-01,42.847,293.9945
2002-06,2002-06-01,42.847,293.91742
2002-07,2002-07-01,43.097,297.32156
2002-07,2002-07-01,43.097,297.5396
2002-07,2002-07-01,42.847,297.39484
2002-07,2002-07-01,42.847,297.83124
2002-08,2002-08-01,43.097,294.87903
2002-08,2002-08-01,43.097,295.49832
2002-08,2002-08-01,42.847,294.99826
2002-08,2002-08-01,42.847,295.65146
2002-09,2002-09-01,43.097,291.80585
2002-09,2002-09-01,43.097,292.5436
2002-09,2002-09-01,42.847,291.92618
2002-09,2002-09-01,42.847,292.67682
2002-10,2002-10-01,43.097,281.4395
2002-10,2002-10-01,43.097,282.22623
2002-10,2002-10-01,42.847,281.72882
2002-10,2002-10-01,42.847,282.48447
2002-11,2002-11-01,43.097,275.19046
2002-11,2002-11-01,43.097,275.89307
2002-11,2002-11-01,42.847,275.3369
2002-11,2002-11-01,42.847,276.00763
2002-12,2002-12-01,43.097,270.9416
2002-12,2002-12-01,43.097,271.7016
2002-12,2002-12-01,42.847,271.11053
2002-12,2002-12-01,42.847,271.87573
2003-01,2003-01-01,43.097,265.85895
2003-01,2003-01-01,43.097,266.29675
2003-01,2003-01-01,42.847,266.07986
2003-01,2003-01-01,42.847,266.4552
2003-02,2003-02-01,43.097,266.5084
2003-02,2003-02-01,43.097,265.99655
2003-02,2003-02-01,42.847,267.03238
