valid_time,time,latitude,t2m
2000-01,2000-01-01,45.046,263.22778
2000-01,2000-01-01,45.046,263.27917
2000-01,2000-01-01,45.046,263.31195
2000-01,2000-01-01,44.796,263.44977
2000-01,2000-01-01,44.796,263.49426
2000-01,2000-01-01,44.796,263.45197
2000-02,2000-02-01,45.046,269.69458
2000-02,2000-02-01,45.046,269.80957
2000-02,2000-02-01,45.046,269.87878
2000-02,2000-02-01,44.796,270.0749
2000-02,2000-02-01,44.796,270.19415
2000-02,2000-02-01,44.796,270.2046
2000-03,2000-03-01,45.046,276.7205
2000-03,2000-03-01,45.046,276.6654
2000-03,2000-03-01,45.046,276.64575
2000-03,2000-03-01,44.796,276.87216
2000-03,2000-03-01,44.796,276.85846
2000-03,2000-03-01,44.796,276.877
2000-04,2000-04-01,45.046,280.27905
2000-04,2000-04-01,45.046,280.32913
2000-04,2000-04-01,45.046,280.36285
2000-04,2000-04-01,44.796,280.5838
2000-04,2000-04-01,44.796,280.56897
2000-04,2000-04-01,44.796,280.53442
2000-05,2000-05-01,45.046,288.4611
2000-05,2000-05-01,45.046,288.496
2000-05,2000-05-01,45.046,288.50748
2000-05,2000-05-01,44.796,288.68723
2000-05,2000-05-01,44.796,288.66
2000-05,2000-05-01,44.796,288.64886
2000-06,2000-06-01,45.046,291.55533
2000-06,2000-06-01,45.046,291.60205
2000-06,2000-06-01,45.046,291.6073
2000-06,2000-06-01,44.796,291.722
2000-06,2000-06-01,44.796,291.7549
2000-06,2000-06-01,44.796,291.73532
2000-07,2000-07-01,45.046,294.91394
2000-07,2000-07-01,45.046,294.89432
2000-07,2000-07-01,45.046,294.81107
2000-07,2000-07-01,44.796,295.04202
2000-07,2000-07-01,44.796,294.99338
2000-07,2000-07-01,44.796,294.87582
2000-08,2000-08-01,45.046,294.56848
2000-08,2000-08-01,45.046,294.51907
2000-08,2000-08-01,45.046,294.44183
2000-08,2000-08-01,44.796,294.6409
2000-08,2000-08-01,44.796,294.56796
2000-08,2000-08-01,44.796,294.477
2000-09,2000-09-01,45.046,288.82147
2000-09,2000-09-01,45.046,288.8397
2000-09,2000-09-01,45.046,288.8431
2000-09,2000-09-01,44.796,289.15173
2000-09,2000-09-01,44.796,289.13544
2000-09,2000-09-01,44.796,289.08374
2000-10,2000-10-01,45.046,284.21066
2000-10,2000-10-01,45.046,284.2344
2000-10,2000-10-01,45.046,284.2553
2000-10,2000-10-01,44.796,284.4881
2000-10,2000-10-01,44.796,284.47858
2000-10,2000-10-01,44.796,284.50253
2000-11,2000-11-01,45.046,272.4176
2000-11,2000-11-01,45.046,272.55853
2000-11,2000-11-01,45.046,272.70557
2000-11,2000-11-01,44.796,272.34607
2000-11,2000-11-01,44.796,272.49268
2000-11,2000-11-01,44.796,272.59653
2000-12,2000-12-01,45.046,259.2356
2000-12,2000-12-01,45.046,259.45294
2000-12,2000-12-01,45.046,259.68372
2000-12,2000-12-01,44.796,259.27972
2000-12,2000-12-01,44.796,259.5318
2000-12,2000-12-01,44.796,259.75952
2001-01,2001-01-01,45.046,266.2326
2001-01,2001-01-01,45.046,266.34967
2001-01,2001-01-01,45.046,266.41135
2001-01,2001-01-01,44.796,266.30557
2001-01,2001-01-01,44.796,266.46576
2001-01,2001-01-01,44.796,266.49796
2001-02,2001-02-01,45.046,261.87814
2001-02,2001-02-01,45.046,262.1121
2001-02,2001-02-01,45.046,262.2807
2001-02,2001-02-01,44.796,261.994
2001-02,2001-02-01,44.796,262.3042
2001-02,2001-02-01,44.796,262.42136
2001-03,2001-03-01,45.046,270.07175
2001-03,2001-03-01,45.046,270.20023
2001-03,2001-03-01,45.046,270.2716
2001-03,2001-03-01,44.796,270.05322
2001-03,2001-03-01,44.796,270.22192
2001-03,2001-03-01,44.796,270.2338
2001-04,2001-04-01,45.046,281.27582
2001-04,2001-04-01,45.046,281.43106
2001-04,2001-04-01,45.046,281.53012
2001-04,2001-04-01,44.796,281.5647
2001-04,2001-04-01,44.796,281.7519
2001-04,2001-04-01,44.796,281.89417
2001-05,2001-05-01,45.046,288.00385
2001-05,2001-05-01,45.046,288.08063
2001-05,2001-05-01,45.046,288.12363
2001-05,2001-05-01,44.796,288.11343
2001-05,2001-05-01,44.796,288.0991
2001-05,2001-05-01,44.796,288.03238
2001-06,2001-06-01,45.046,293.03464
2001-06,2001-06-01,45.046,293.0414
2001-06,2001-06-01,45.046,292.9954
