valid_time,time,latitude,t2m
2000-01,2000-01-01,25.819,288.05664
2000-01,2000-01-01,25.819,288.96777
2000-01,2000-01-01,25.569,285.5368
2000-01,2000-01-01,25.569,287.16858
2000-02,2000-02-01,25.819,290.94287
2000-02,2000-02-01,25.819,291.96545
2000-02,2000-02-01,25.569,287.78748
2000-02,2000-02-01,25.569,289.56323
2000-03,2000-03-01,25.819,293.7953
2000-03,2000-03-01,25.819,294.9624
2000-03,2000-03-01,25.569,290.21594
2000-03,2000-03-01,25.569,292.02832
2000-04,2000-04-01,25.819,295.11182
2000-04,2000-04-01,25.819,296.266
2000-04,2000-04-01,25.569,291.5199
2000-04,2000-04-01,25.569,293.42615
2000-05,2000-05-01,25.819,298.59778
2000-05,2000-05-01,25.819,300.0039
2000-05,2000-05-01,25.569,294.04443
2000-05,2000-05-01,25.569,296.86438
2000-06,2000-06-01,25.819,297.28345
2000-06,2000-06-01,25.819,299.13025
2000-06,2000-06-01,25.569,293.0863
2000-06,2000-06-01,25.569,296.1172
2000-07,2000-07-01,25.819,299.8086
2000-07,2000-07-01,25.819,301.83008
2000-07,2000-07-01,25.569,294.38733
2000-07,2000-07-01,25.569,298.02893
2000-08,2000-08-01,25.819,297.9469
2000-08,2000-08-01,25.819,300.1349
2000-08,2000-08-01,25.569,292.97827
2000-08,2000-08-01,25.569,296.62183
2000-09,2000-09-01,25.819,297.4934
2000-09,2000-09-01,25.819,299.4579
2000-09,2000-09-01,25.569,292.47363
2000-09,2000-09-01,25.569,296.0614
2000-10,2000-10-01,25.819,291.68665
2000-10,2000-10-01,25.819,293.3723
2000-10,2000-10-01,25.569,288.6886
2000-10,2000-10-01,25.569,291.0099
2000-11,2000-11-01,25.819,288.25043
2000-11,2000-11-01,25.819,289.60516
2000-11,2000-11-01,25.569,285.9771
2000-11,2000-11-01,25.569,287.6612
2000-12,2000-12-01,25.819,284.1479
2000-12,2000-12-01,25.819,284.7895
2000-12,2000-12-01,25.569,282.54785
2000-12,2000-12-01,25.569,283.53693
2001-01,2001-01-01,25.819,284.8203
2001-01,2001-01-01,25.819,285.93512
2001-01,2001-01-01,25.569,282.93463
2001-01,2001-01-01,25.569,284.2787
2001-02,2001-02-01,25.819,288.58716
2001-02,2001-02-01,25.819,289.84216
2001-02,2001-02-01,25.569,285.79895
2001-02,2001-02-01,25.569,287.72192
2001-03,2001-03-01,25.819,289.68274
2001-03,2001-03-01,25.819,290.7749
2001-03,2001-03-01,25.569,286.48096
2001-03,2001-03-01,25.569,288.3291
2001-04,2001-04-01,25.819,294.99902
2001-04,2001-04-01,25.819,296.2533
2001-04,2001-04-01,25.569,291.66858
2001-04,2001-04-01,25.569,293.56458
2001-05,2001-05-01,25.819,297.1256
2001-05,2001-05-01,25.819,298.32336
2001-05,2001-05-01,25.569,292.70618
2001-05,2001-05-01,25.569,295.22693
2001-06,2001-06-01,25.819,298.95215
2001-06,2001-06-01,25.819,300.74573
2001-06,2001-06-01,25.569,293.94238
2001-06,2001-06-01,25.569,297.18262
2001-07,2001-07-01,25.819,299.4497
2001-07,2001-07-01,25.819,301.43408
2001-07,2001-07-01,25.569,294.2273
2001-07,2001-07-01,25.569,297.7118
2001-08,2001-08-01,25.819,299.1411
2001-08,2001-08-01,25.819,301.3501
2001-08,2001-08-01,25.569,293.96484
2001-08,2001-08-01,25.569,297.81067
2001-09,2001-09-01,25.819,295.72302
2001-09,2001-09-01,25.819,297.48364
2001-09,2001-09-01,25.569,291.6234
2001-09,2001-09-01,25.569,294.81177
2001-10,2001-10-01,25.819,293.06348
2001-10,2001-10-01,25.819,294.76172
2001-10,2001-10-01,25.569,289.2013
2001-10,2001-10-01,25.569,291.8794
2001-11,2001-11-01,25.819,289.5204
2001-11,2001-11-01,25.819,290.8529
2001-11,2001-11-01,25.569,286.20386
2001-11,2001-11-01,25.569,288.4386
2001-12,2001-12-01,25.819,286.41003
2001-12,2001-12-01,25.819,287.4242
2001-12,2001-12-01,25.569,284.0783
2001-12,2001-12-01,25.569,285.6706
2002-01,2002-01-01,25.819,287.10986
2002-01,2002-01-01,25.819,288.21075
2002-01,2002-01-01,25.569,284.37854
2002-01,2002-01-01,25.569,285.9569
2002-02,2002-02-01,25.819,286.00708
2002-02,2002-02-01,25.819,287.22992
2002-02,2002-02-01,25.569,283.26312
2002-02,2002-02-01,25.569,284.95972
2002-03,2002-03-01,25.819,291.55884
2002-03,2002-03-01,25.819,292.39813
2002-03,2002-03-01,25.569,288.4765
2002-03,2002-03-01,25.569,289.73053
2002-04,2002-04-01,25.819,296.2981
2002-04,2002-04-01,25.819,297.53943
2002-04,2002-04-01,25.569,292.54163
2002-04,2002-04-01,25.569,294.62634
2002-05,2002-05-01,25.819,298.44885
2002-05,2002-05-01,25.819,300.0276
2002-05,2002-05-01,25.569,294.07104
2002-05,2002-05-01,25.569,296.80627
2002-06,2002-06-01,25.819,299.2257
2002-06,2002-06-01,25.819,301.3147
2002-06,2002-06-01,25.569,294.24255
2002-06,2002-06-01,25.569,297.70886
2002-07,2002-07-01,25.819,297.9259
2002-07,2002-07-01,25.819,300.05627
2002-07,2002-07-01,25.569,293.24097
2002-07,2002-07-01,25.569,296.69275
2002-08,2002-08-01,25.819,299.55713
2002-08,2002-08-01,25.819,301.8235
2002-08,2002-08-01,25.569,294.01965
2002-08,2002-08-01,25.569,297.91223
2002-09,2002-09-01,25.819,296.1095
2002-09,2002-09-01,25.819,297.91772
2002-09,2002-09-01,25.569,291.6277
2002-09,2002-09-01,25.569,295.02588
2002-10,2002-10-01,25.819,293.86975
2002-10,2002-10-01,25.819,295.411
2002-10,2002-10-01,25.569,290.4297
2002-10,2002-10-01,25.569,293.0072
2002-11,2002-11-01,25.819,287.95142
2002-11,2002-11-01,25.819,288.922
2002-11,2002-11-01,25.569,285.3376
2002-11,2002-11-01,25.569,287.34564
2002-12,2002-12-01,25.819,286.17377
2002-12,2002-12-01,25.819,287.22357
2002-12,2002-12-01,25.569,283.58173
2002-12,2002-12-01,25.569,285.38977
2003-01,2003-01-01,25.819,284.7978
2003-01,2003-01-01,25.819,285.6206
2003-01,2003-01-01,25.569,282.56696
2003-01,2003-01-01,25.569,284.06024
2003-02,2003-02-01,25.819,287.42352
2003-02,2003-02-01,25.819,288.22968
2003-02,2003-02-01,25.569,285.25854
2003-02,2003-02-01,25.569,286.48535
2003-03,2003-03-01,25.819,291.29797
2003-03,2003-03-01,25.819,292.3131
2003-03,2003-03-01,25.569,287.9696
2003-03,2003-03-01,25.569,289.7561
2003-04,2003-04-01,25.819,295.42517
2003-04,2003-04-01,25.819,296.0946
2003-04,2003-04-01,25.569,291.67627
2003-04,2003-04-01,25.569,293.17798
2003-05,2003-05-01,25.819,299.94653
2003-05,2003-05-01,25.819,301.0868
2003-05,2003-05-01,25.569,295.39905
2003-05,2003-05-01,25.569,297.75256
2003-06,2003-06-01,25.819,298.96423
2003-06,2003-06-01,25.819,300.67834
2003-06,2003-06-01,25.569,294.2119
2003-06,2003-06-01,25.569,297.38782
2003-07,2003-07-01,25.819,297.74915
2003-07,2003-07-01,25.819,299.8081
2003-07,2003-07-01,25.569,292.88147
2003-07,2003-07-01,25.569,296.37903
2003-08,2003-08-01,25.819,298.16675
2003-08,2003-08-01,25.819,300.05652
2003-08,2003-08-01,25.569,293.2953
2003-08,2003-08-01,25.569,296.70093
2003-09,2003-09-01,25.819,295.13184
2003-09,2003-09-01,25.819,296.73047
2003-09,2003-09-01,25.569,291.43176
2003-09,2003-09-01,25.569,294.3827
2003-10,2003-10-01,25.819,292.80615
2003-10,2003-10-01,25.819,294.16626
2003-10,2003-10-01,25.569,289.5298
2003-10,2003-10-01,25.569,292.1731
2003-11,2003-11-01,25.819,290.09875
2003-11,2003-11-01,25.819,291.07477
2003-11,2003-11-01,25.569,287.51
2003-11,2003-11-01,25.569,289.48602
2003-12,2003-12-01,25.819,285.64227
2003-12,2003-12-01,25.819,286.48035
2003-12,2003-12-01,25.569,283.24548
2003-12,2003-12-01,25.569,284.935
2004-01,2004-01-01,25.819,285.80933
2004-01,2004-01-01,25.819,286.79767
2004-01,2004-01-01,25.569,283.3755
2004-01,2004-01-01,25.569,285.17743
2004-02,2004-02-01,25.819,286.58997
2004-02,2004-02-01,25.819,287.72955
2004-02,2004-02-01,25.569,284.12628
2004-02,2004-02-01,25.569,285.7121
2004-03,2004-03-01,25.819,291.29907
2004-03,2004-03-01,25.819,292.7008
2004-03,2004-03-01,25.569,288.2025
2004-03,2004-03-01,25.569,290.33496
2004-04,2004-04-01,25.819,292.432
2004-04,2004-04-01,25.819,293.65332
2004-04,2004-04-01,25.569,289.15552
2004-04,2004-04-01,25.569,291.20654
2004-05,2004-05-01,25.819,295.8817
2004-05,2004-05-01,25.819,297.1211
2004-05,2004-05-01,25.569,292.12708
2004-05,2004-05-01,25.569,294.42578
2004-06,2004-06-01,25.819,297.66968
2004-06,2004-06-01,25.819,299.43274
2004-06,2004-06-01,25.569,293.26562
2004-06,2004-06-01,25.569,296.3109
2004-07,2004-07-01,25.819,298.224
2004-07,2004-07-01,25.819,300.35815
2004-07,2004-07-01,25.569,293.2788
2004-07,2004-07-01,25.569,296.86975
2004-08,2004-08-01,25.819,298.1797
2004-08,2004-08-01,25.819,300.1819
2004-08,2004-08-01,25.569,293.2882
2004-08,2004-08-01,25.569,296.89905
2004-09,2004-09-01,25.819,295.2528
2004-09,2004-09-01,25.819,296.89856
2004-09,2004-09-01,25.569,291.31946
2004-09,2004-09-01,25.569,294.42603
2004-10,2004-10-01,25.819,295.14832
2004-10,2004-10-01,25.819,296.78625
2004-10,2004-10-01,25.569,291.16064
2004-10,2004-10-01,25.569,294.01
2004-11,2004-11-01,25.819,289.59985
2004-11,2004-11-01,25.819,290.73987
2004-11,2004-11-01,25.569,286.58276
2004-11,2004-11-01,25.569,288.48596
2004-12,2004-12-01,25.819,285.36853
2004-12,2004-12-01,25.819,286.3733
2004-12,2004-12-01,25.569,282.70026
2004-12,2004-12-01,25.569,284.45245
2005-01,2005-01-01,25.819,287.56055
2005-01,2005-01-01,25.819,288.74725
2005-01,2005-01-01,25.569,284.88068
2005-01,2005-01-01,25.569,286.72406
2005-02,2005-02-01,25.819,286.63525
2005-02,2005-02-01,25.819,287.9134
2005-02,2005-02-01,25.569,284.3874
2005-02,2005-02-01,25.569,286.09845
2005-03,2005-03-01,25.819,291.3291
2005-03,2005-03-01,25.819,292.3993
2005-03,2005-03-01,25.569,287.4934
2005-03,2005-03-01,25.569,289.80933
2005-04,2005-04-01,25.819,294.54468
2005-04,2005-04-01,25.819,295.46106
2005-04,2005-04-01,25.569,290.7268
2005-04,2005-04-01,25.569,292.4696
2005-05,2005-05-01,25.819,296.02966
2005-05,2005-05-01,25.819,297.1754
2005-05,2005-05-01,25.569,292.05798
2005-05,2005-05-01,25.569,294.36682
2005-06,2005-06-01,25.819,299.7124
2005-06,2005-06-01,25.819,301.43884
2005-06,2005-06-01,25.569,295.02612
2005-06,2005-06-01,25.569,297.901
2005-07,2005-07-01,25.819,298.89282
2005-07,2005-07-01,25.819,300.91394
2005-07,2005-07-01,25.569,294.02747
2005-07,2005-07-01,25.569,297.54517
2005-08,2005-08-01,25.819,298.0453
2005-08,2005-08-01,25.819,300.09375
2005-08,2005-08-01,25.569,293.12488
2005-08,2005-08-01,25.569,296.67163
2005-09,2005-09-01,25.819,298.11023
2005-09,2005-09-01,25.819,299.9912
2005-09,2005-09-01,25.569,293.0946
2005-09,2005-09-01,25.569,296.5078
2005-10,2005-10-01,25.819,293.3335
2005-10,2005-10-01,25.819,294.8817
2005-10,2005-10-01,25.569,289.83472
2005-10,2005-10-01,25.569,292.3817
2005-11,2005-11-01,25.819,290.18652
2005-11,2005-11-01,25.819,291.52136
2005-11,2005-11-01,25.569,286.67297
2005-11,2005-11-01,25.569,289.01074
2005-12,2005-12-01,25.819,286.56177
2005-12,2005-12-01,25.819,287.47186
2005-12,2005-12-01,25.569,284.17377
2005-12,2005-12-01,25.569,285.60864
2006-01,2006-01-01,25.819,288.3401
2006-01,2006-01-01,25.819,289.43884
2006-01,2006-01-01,25.569,285.03467
2006-01,2006-01-01,25.569,286.9502
2006-02,2006-02-01,25.819,288.64038
2006-02,2006-02-01,25.819,289.44714
2006-02,2006-02-01,25.569,285.89417
2006-02,2006-02-01,25.569,287.25714
2006-03,2006-03-01,25.819,293.29822
2006-03,2006-03-01,25.819,294.40637
2006-03,2006-03-01,25.569,289.75098
2006-03,2006-03-01,25.569,291.53333
2006-04,2006-04-01,25.819,297.53638
2006-04,2006-04-01,25.819,298.59155
2006-04,2006-04-01,25.569,293.5348
2006-04,2006-04-01,25.569,295.49817
2006-05,2006-05-01,25.819,298.16895
2006-05,2006-05-01,25.819,299.35205
2006-05,2006-05-01,25.569,293.53015
2006-05,2006-05-01,25.569,296.07324
2006-06,2006-06-01,25.819,298.99756
2006-06,2006-06-01,25.819,300.9054
2006-06,2006-06-01,25.569,293.9995
2006-06,2006-06-01,25.569,297.34875
2006-07,2006-07-01,25.819,299.10706
2006-07,2006-07-01,25.819,301.182
2006-07,2006-07-01,25.569,294.09753
2006-07,2006-07-01,25.569,297.59424
2006-08,2006-08-01,25.819,299.70117
2006-08,2006-08-01,25.819,301.83826
2006-08,2006-08-01,25.569,294.31433
2006-08,2006-08-01,25.569,298.0481
2006-09,2006-09-01,25.819,296.90637
2006-09,2006-09-01,25.819,298.60022
2006-09,2006-09-01,25.569,292.60303
2006-09,2006-09-01,25.569,295.7727
2006-10,2006-10-01,25.819,294.44263
2006-10,2006-10-01,25.819,295.86304
2006-10,2006-10-01,25.569,290.69983
2006-10,2006-10-01,25.569,293.30786
2006-11,2006-11-01,25.819,290.2744
2006-11,2006-11-01,25.819,291.37073
2006-11,2006-11-01,25.569,286.9115
2006-11,2006-11-01,25.569,289.1023
2006-12,2006-12-01,25.819,285.3601
2006-12,2006-12-01,25.819,286.42297
2006-12,2006-12-01,25.569,282.85303
2006-12,2006-12-01,25.569,284.8155
2007-01,2007-01-01,25.819,283.26685
2007-01,2007-01-01,25.819,284.2104
2007-01,2007-01-01,25.569,282.08557
2007-01,2007-01-01,25.569,283.09845
2007-02,2007-02-01,25.819,287.82733
2007-02,2007-02-01,25.819,288.84485
2007-02,2007-02-01,25.569,285.21478
2007-02,2007-02-01,25.569,286.83984
2007-03,2007-03-01,25.819,291.93005
2007-03,2007-03-01,25.819,293.2611
2007-03,2007-03-01,25.569,288.64185
2007-03,2007-03-01,25.569,290.5371
2007-04,2007-04-01,25.819,293.4746
2007-04,2007-04-01,25.819,294.4922
2007-04,2007-04-01,25.569,290.29517
2007-04,2007-04-01,25.569,292.03345
2007-05,2007-05-01,25.819,296.609
2007-05,2007-05-01,25.819,297.9386
2007-05,2007-05-01,25.569,292.5747
2007-05,2007-05-01,25.569,295.03687
2007-06,2007-06-01,25.819,298.46375
2007-06,2007-06-01,25.819,300.0901
2007-06,2007-06-01,25.569,294.03845
2007-06,2007-06-01,25.569,297.03516
2007-07,2007-07-01,25.819,297.66235
2007-07,2007-07-01,25.819,299.54883
2007-07,2007-07-01,25.569,293.42395
2007-07,2007-07-01,25.569,296.57068
2007-08,2007-08-01,25.819,298.4878
2007-08,2007-08-01,25.819,300.48486
2007-08,2007-08-01,25.569,293.70117
2007-08,2007-08-01,25.569,297.0708
2007-09,2007-09-01,25.819,297.37598
2007-09,2007-09-01,25.819,299.0177
2007-09,2007-09-01,25.569,292.99133
2007-09,2007-09-01,25.569,296.0454
2007-10,2007-10-01,25.819,295.22705
2007-10,2007-10-01,25.819,296.7356
2007-10,2007-10-01,25.569,290.52197
2007-10,2007-10-01,25.569,293.6682
2007-11,2007-11-01,25.819,290.25806
2007-11,2007-11-01,25.819,291.50403
2007-11,2007-11-01,25.569,286.8949
2007-11,2007-11-01,25.569,288.97546
2007-12,2007-12-01,25.819,289.2088
2007-12,2007-12-01,25.819,290.10437
2007-12,2007-12-01,25.569,286.28424
2007-12,2007-12-01,25.569,287.85345
2008-01,2008-01-01,25.819,285.40765
2008-01,2008-01-01,25.819,286.3083
2008-01,2008-01-01,25.569,283.30298
2008-01,2008-01-01,25.569,284.60535
2008-02,2008-02-01,25.819,291.21924
2008-02,2008-02-01,25.819,292.12
2008-02,2008-02-01,25.569,287.86865
2008-02,2008-02-01,25.569,289.46692
2008-03,2008-03-01,25.819,292.24756
2008-03,2008-03-01,25.819,293.5885
2008-03,2008-03-01,25.569,288.34912
2008-03,2008-03-01,25.569,290.43787
2008-04,2008-04-01,25.819,295.9541
2008-04,2008-04-01,25.819,297.18884
2008-04,2008-04-01,25.569,291.8379
2008-04,2008-04-01,25.569,293.82825
2008-05,2008-05-01,25.819,299.1654
2008-05,2008-05-01,25.819,300.57568
2008-05,2008-05-01,25.569,294.28784
2008-05,2008-05-01,25.569,296.94824
2008-06,2008-06-01,25.819,299.89612
