valid_time,time,latitude,t2m
2000-01,2000-01-01,45.608,262.20166
2000-01,2000-01-01,45.608,262.47028
2000-01,2000-01-01,45.608,262.55862
2000-01,2000-01-01,45.358,263.20154
2000-01,2000-01-01,45.358,263.26862
2000-01,2000-01-01,45.358,263.26913
2000-02,2000-02-01,45.608,265.9614
2000-02,2000-02-01,45.608,265.99158
2000-02,2000-02-01,45.608,265.88538
2000-02,2000-02-01,45.358,266.53204
2000-02,2000-02-01,45.358,266.49133
2000-02,2000-02-01,45.358,266.33716
2000-03,2000-03-01,45.608,274.31952
2000-03,2000-03-01,45.608,274.6737
2000-03,2000-03-01,45.608,275.14716
2000-03,2000-03-01,45.358,274.81366
2000-03,2000-03-01,45.358,274.94382
2000-03,2000-03-01,45.358,275.38702
2000-04,2000-04-01,45.608,277.96356
2000-04,2000-04-01,45.608,278.1219
2000-04,2000-04-01,45.608,278.29727
2000-04,2000-04-01,45.358,278.12433
2000-04,2000-04-01,45.358,278.17862
2000-04,2000-04-01,45.358,278.34036
2000-05,2000-05-01,45.608,285.8119
2000-05,2000-05-01,45.608,286.05228
2000-05,2000-05-01,45.608,286.33817
2000-05,2000-05-01,45.358,286.17352
2000-05,2000-05-01,45.358,286.21204
2000-05,2000-05-01,45.358,286.4837
2000-06,2000-06-01,45.608,290.0636
2000-06,2000-06-01,45.608,290.42313
2000-06,2000-06-01,45.608,290.5041
2000-06,2000-06-01,45.358,290.5888
2000-06,2000-06-01,45.358,290.6543
2000-06,2000-06-01,45.358,290.56967
2000-07,2000-07-01,45.608,292.40503
2000-07,2000-07-01,45.608,292.81927
2000-07,2000-07-01,45.608,292.8355
2000-07,2000-07-01,45.358,292.903
2000-07,2000-07-01,45.358,293.01447
2000-07,2000-07-01,45.358,292.82703
2000-08,2000-08-01,45.608,292.1021
2000-08,2000-08-01,45.608,292.513
2000-08,2000-08-01,45.608,292.52457
2000-08,2000-08-01,45.358,292.62878
2000-08,2000-08-01,45.358,292.74557
2000-08,2000-08-01,45.358,292.55457
2000-09,2000-09-01,45.608,286.81732
2000-09,2000-09-01,45.608,287.15878
2000-09,2000-09-01,45.608,287.01926
2000-09,2000-09-01,45.358,287.51126
2000-09,2000-09-01,45.358,287.528
2000-09,2000-09-01,45.358,287.1634
2000-10,2000-10-01,45.608,281.68707
2000-10,2000-10-01,45.608,281.99194
2000-10,2000-10-01,45.608,281.88174
2000-10,2000-10-01,45.358,282.33728
