valid_time,time,latitude,t2m
2000-01,2000-01-01,55.844,265.99957
2000-01,2000-01-01,55.844,266.01633
2000-01,2000-01-01,55.844,265.99893
2000-01,2000-01-01,55.844,266.00684
2000-01,2000-01-01,55.594,265.99594
2000-01,2000-01-01,55.594,266.0309
2000-01,2000-01-01,55.594,266.07855
2000-01,2000-01-01,55.594,266.11694
2000-01,2000-01-01,55.344,265.9255
2000-01,2000-01-01,55.344,265.96365
2000-01,2000-01-01,55.344,266.0243
2000-01,2000-01-01,55.344,266.08014
2000-02,2000-02-01,55.844,269.60693
2000-02,2000-02-01,55.844,269.61234
2000-02,2000-02-01,55.844,269.6143
2000-02,2000-02-01,55.844,269.64368
2000-02,2000-02-01,55.594,269.64172
2000-02,2000-02-01,55.594,269.66003
2000-02,2000-02-01,55.594,269.70587
2000-02,2000-02-01,55.594,269.75104
2000-02,2000-02-01,55.344,269.64386
2000-02,2000-02-01,55.344,269.6739
2000-02,2000-02-01,55.344,269.71658
2000-02,2000-02-01,55.344,269.75616
2000-03,2000-03-01,55.844,271.4559
2000-03,2000-03-01,55.844,271.41684
2000-03,2000-03-01,55.844,271.41068
2000-03,2000-03-01,55.844,271.43512
2000-03,2000-03-01,55.594,271.5301
2000-03,2000-03-01,55.594,271.50226
2000-03,2000-03-01,55.594,271.5134
2000-03,2000-03-01,55.594,271.5434
2000-03,2000-03-01,55.344,271.60034
2000-03,2000-03-01,55.344,271.62012
2000-03,2000-03-01,55.344,271.64035
2000-03,2000-03-01,55.344,271.67566
2000-04,2000-04-01,55.844,283.3342
2000-04,2000-04-01,55.844,283.38196
2000-04,2000-04-01,55.844,283.39758
2000-04,2000-04-01,55.844,283.44098
2000-04,2000-04-01,55.594,283.53638
2000-04,2000-04-01,55.594,283.6103
2000-04,2000-04-01,55.594,283.70422
2000-04,2000-04-01,55.594,283.78143
2000-04,2000-04-01,55.344,283.6823
2000-04,2000-04-01,55.344,283.7796
2000-04,2000-04-01,55.344,283.87863
2000-04,2000-04-01,55.344,283.96677
2000-05,2000-05-01,55.844,283.69272
2000-05,2000-05-01,55.844,283.7917
2000-05,2000-05-01,55.844,283.82547
2000-05,2000-05-01,55.844,283.85394
2000-05,2000-05-01,55.594,283.70203
2000-05,2000-05-01,55.594,283.80408
2000-05,2000-05-01,55.594,283.8828
2000-05,2000-05-01,55.594,283.94336
2000-05,2000-05-01,55.344,283.66632
2000-05,2000-05-01,55.344,283.70328
2000-05,2000-05-01,55.344,283.7728
2000-05,2000-05-01,55.344,283.83072
2000-06,2000-06-01,55.844,288.77628
2000-06,2000-06-01,55.844,288.9555
2000-06,2000-06-01,55.844,289.0332
2000-06,2000-06-01,55.844,289.1131
2000-06,2000-06-01,55.594,288.72684
2000-06,2000-06-01,55.594,288.9109
2000-06,2000-06-01,55.594,289.04956
2000-06,2000-06-01,55.594,289.15646
2000-06,2000-06-01,55.344,288.60687
2000-06,2000-06-01,55.344,288.73828
2000-06,2000-06-01,55.344,288.8535
2000-06,2000-06-01,55.344,288.94
2000-07,2000-07-01,55.844,291.91824
2000-07,2000-07-01,55.844,292.08545
2000-07,2000-07-01,55.844,292.21072
2000-07,2000-07-01,55.844,292.35153
2000-07,2000-07-01,55.594,291.87106
2000-07,2000-07-01,55.594,292.04285
2000-07,2000-07-01,55.594,292.2196
2000-07,2000-07-01,55.594,292.3879
2000-07,2000-07-01,55.344,291.80316
2000-07,2000-07-01,55.344,291.93445
2000-07,2000-07-01,55.344,292.10684
2000-07,2000-07-01,55.344,292.27484
2000-08,2000-08-01,55.844,289.38934
2000-08,2000-08-01,55.844,289.47675
2000-08,2000-08-01,55.844,289.51688
2000-08,2000-08-01,55.844,289.56372
2000-08,2000-08-01,55.594,289.52856
2000-08,2000-08-01,55.594,289.62057
2000-08,2000-08-01,55.594,289.7022
2000-08,2000-08-01,55.594,289.77374
2000-08,2000-08-01,55.344,289.63306
2000-08,2000-08-01,55.344,289.71756
2000-08,2000-08-01,55.344,289.7931
2000-08,2000-08-01,55.344,289.86212
2000-09,2000-09-01,55.844,282.695
2000-09,2000-09-01,55.844,282.7956
2000-09,2000-09-01,55.844,282.82715
2000-09,2000-09-01,55.844,282.8619
2000-09,2000-09-01,55.594,282.74924
2000-09,2000-09-01,55.594,282.85916
2000-09,2000-09-01,55.594,282.94293
2000-09,2000-09-01,55.594,283.00818
2000-09,2000-09-01,55.344,282.7721
2000-09,2000-09-01,55.344,282.86282
2000-09,2000-09-01,55.344,282.9387
2000-09,2000-09-01,55.344,283.00052
2000-10,2000-10-01,55.844,279.88782
2000-10,2000-10-01,55.844,279.94943
2000-10,2000-10-01,55.844,279.94916
2000-10,2000-10-01,55.844,279.9603
2000-10,2000-10-01,55.594,279.92276
