valid_time,time,latitude,t2m
2000-01,2000-01-01,19.137,297.36093
2000-01,2000-01-01,19.137,296.81686
2000-01,2000-01-01,19.137,296.50146
2000-01,2000-01-01,18.887,297.7219
2000-01,2000-01-01,18.887,296.94574
2000-01,2000-01-01,18.887,295.977
2000-02,2000-02-01,19.137,296.88455
2000-02,2000-02-01,19.137,296.74127
2000-02,2000-02-01,19.137,296.50797
2000-02,2000-02-01,18.887,296.90625
2000-02,2000-02-01,18.887,296.4808
2000-02,2000-02-01,18.887,295.8413
2000-03,2000-03-01,19.137,298.60028
2000-03,2000-03-01,19.137,299.0741
2000-03,2000-03-01,19.137,299.3088
2000-03,2000-03-01,18.887,298.29294
2000-03,2000-03-01,18.887,298.52676
2000-03,2000-03-01,18.887,298.54285
2000-04,2000-04-01,19.137,300.89572
2000-04,2000-04-01,19.137,301.7122
2000-04,2000-04-01,19.137,302.09702
2000-04,2000-04-01,18.887,300.4768
2000-04,2000-04-01,18.887,301.00635
2000-04,2000-04-01,18.887,301.16965
2000-05,2000-05-01,19.137,301.3946
2000-05,2000-05-01,19.137,301.8578
2000-05,2000-05-01,19.137,301.71814
2000-05,2000-05-01,18.887,301.11774
2000-05,2000-05-01,18.887,301.309
2000-05,2000-05-01,18.887,300.89163
2000-06,2000-06-01,19.137,301.027
2000-06,2000-06-01,19.137,300.96558
2000-06,2000-06-01,19.137,300.31165
2000-06,2000-06-01,18.887,300.7105
2000-06,2000-06-01,18.887,300.44116
2000-06,2000-06-01,18.887,299.6
2000-07,2000-07-01,19.137,300.0299
2000-07,2000-07-01,19.137,299.9427
2000-07,2000-07-01,19.137,299.2271
2000-07,2000-07-01,18.887,299.78253
2000-07,2000-07-01,18.887,299.4606
2000-07,2000-07-01,18.887,298.54535
2000-08,2000-08-01,19.137,300.00732
2000-08,2000-08-01,19.137,299.94702
2000-08,2000-08-01,19.137,299.29337
2000-08,2000-08-01,18.887,299.7335
2000-08,2000-08-01,18.887,299.4466
2000-08,2000-08-01,18.887,298.59198
2000-09,2000-09-01,19.137,300.4673
2000-09,2000-09-01,19.137,300.32675
2000-09,2000-09-01,19.137,299.72333
2000-09,2000-09-01,18.887,300.26794
2000-09,2000-09-01,18.887,299.93228
2000-09,2000-09-01,18.887,299.05292
2000-10,2000-10-01,19.137,301.22723
2000-10,2000-10-01,19.137,300.67093
2000-10,2000-10-01,19.137,299.95776
2000-10,2000-10-01,18.887,301.16342
2000-10,2000-10-01,18.887,300.4035
2000-10,2000-10-01,18.887,299.392
2000-11,2000-11-01,19.137,300.41052
2000-11,2000-11-01,19.137,299.28198
2000-11,2000-11-01,19.137,298.37354
2000-11,2000-11-01,18.887,300.92566
2000-11,2000-11-01,18.887,299.43585
2000-11,2000-11-01,18.887,297.88
2000-12,2000-12-01,19.137,297.8515
2000-12,2000-12-01,19.137,296.60876
2000-12,2000-12-01,19.137,295.80695
2000-12,2000-12-01,18.887,298.62854
2000-12,2000-12-01,18.887,297.01825
2000-12,2000-12-01,18.887,295.3589
2001-01,2001-01-01,19.137,296.80466
2001-01,2001-01-01,19.137,296.2769
2001-01,2001-01-01,19.137,296.03378
2001-01,2001-01-01,18.887,297.24637
2001-01,2001-01-01,18.887,296.39603
2001-01,2001-01-01,18.887,295.54355
2001-02,2001-02-01,19.137,296.91473
2001-02,2001-02-01,19.137,296.75992
