valid_time,time,latitude,t2m
2000-01,2000-01-01,48.043,272.2459
2000-01,2000-01-01,48.043,272.2792
2000-02,2000-02-01,48.043,276.63263
2000-02,2000-02-01,48.043,276.707
2000-03,2000-03-01,48.043,278.28906
2000-03,2000-03-01,48.043,278.32867
2000-04,2000-04-01,48.043,283.21252
2000-04,2000-04-01,48.043,283.24554
2000-05,2000-05-01,48.043,287.83948
2000-05,2000-05-01,48.043,287.81116
2000-06,2000-06-01,48.043,290.75244
2000-06,2000-06-01,48.043,290.7389
2000-07,2000-07-01,48.043,288.8345
2000-07,2000-07-01,48.043,288.83664
2000-08,2000-08-01,48.043,291.78268
2000-08,2000-08-01,48.043,291.70538
2000-09,2000-09-01,48.043,287.05176
2000-09,2000-09-01,48.043,286.93005
2000-10,2000-10-01,48.043,283.34064
2000-10,2000-10-01,48.043,283.33594
2000-11,2000-11-01,48.043,278.1673
2000-11,2000-11-01,48.043,278.06625
2000-12,2000-12-01,48.043,275.96158
2000-12,2000-12-01,48.043,275.75687
2001-01,2001-01-01,48.043,272.41782
2001-01,2001-01-01,48.043,272.35336
2001-02,2001-02-01,48.043,275.3632
2001-02,2001-02-01,48.043,275.39767
2001-03,2001-03-01,48.043,279.51575
2001-03,2001-03-01,48.043,279.56326
2001-04,2001-04-01,48.043,280.05612
2001-04,2001-04-01,48.043,280.06357
2001-05,2001-05-01,48.043,288.48456
2001-05,2001-05-01,48.043,288.56296
2001-06,2001-06-01,48.043,287.70114
2001-06,2001-06-01,48.043,287.58658
2001-07,2001-07-01,48.043,291.29263
2001-07,2001-07-01,48.043,291.23517
2001-08,2001-08-01,48.043,291.94617
2001-08,2001-08-01,48.043,291.94443
2001-09,2001-09-01,48.043,284.26068
2001-09,2001-09-01,48.043,284.24332
2001-10,2001-10-01,48.043,285.62894
2001-10,2001-10-01,48.043,285.51196
2001-11,2001-11-01,48.043,275.4395
2001-11,2001-11-01,48.043,275.39365
2001-12,2001-12-01,48.043,271.51993
2001-12,2001-12-01,48.043,271.484
2002-01,2002-01-01,48.043,273.08762
2002-01,2002-01-01,48.043,273.4645
2002-02,2002-02-01,48.043,278.2779
2002-02,2002-02-01,48.043,278.33014
2002-03,2002-03-01,48.043,279.17813
2002-03,2002-03-01,48.043,279.17633
2002-04,2002-04-01,48.043,281.1499
2002-04,2002-04-01,48.043,281.19455
2002-05,2002-05-01,48.043,286.85254
2002-05,2002-05-01,48.043,287.01447
2002-06,2002-06-01,48.043,291.7492
2002-06,2002-06-01,48.043,291.77643
2002-07,2002-07-01,48.043,290.89404
2002-07,2002-07-01,48.043,290.94
2002-08,2002-08-01,48.043,290.8814
2002-08,2002-08-01,48.043,290.89124
2002-09,2002-09-01,48.043,285.2165
2002-09,2002-09-01,48.043,285.1616
2002-10,2002-10-01,48.043,282.30106
2002-10,2002-10-01,48.043,282.27213
2002-11,2002-11-01,48.043,279.29425
2002-11,2002-11-01,48.043,279.27625
2002-12,2002-12-01,48.043,275.27246
2002-12,2002-12-01,48.043,275.1455
2003-01,2003-01-01,48.043,272.84045
2003-01,2003-01-01,48.043,272.91675
2003-02,2003-02-01,48.043,269.0781
2003-02,2003-02-01,48.043,269.35712
2003-03,2003-03-01,48.043,279.0615
2003-03,2003-03-01,48.043,279.10855
2003-04,2003-04-01,48.043,281.62857
2003-04,2003-04-01,48.043,281.66174
2003-05,2003-05-01,48.043,288.1492
2003-05,2003-05-01,48.043,288.16672
2003-06,2003-06-01,48.043,294.6121
2003-06,2003-06-01,48.043,294.4959
2003-07,2003-07-01,48.043,292.74008
2003-07,2003-07-01,48.043,292.65164
2003-08,2003-08-01,48.043,295.62308
2003-08,2003-08-01,48.043,295.58392
2003-09,2003-09-01,48.043,286.94302
2003-09,2003-09-01,48.043,286.86316
2003-10,2003-10-01,48.043,279.4085
2003-10,2003-10-01,48.043,279.34454
2003-11,2003-11-01,48.043,278.19412
2003-11,2003-11-01,48.043,278.21594
2003-12,2003-12-01,48.043,273.86942
2003-12,2003-12-01,48.043,273.72986
2004-01,2004-01-01,48.043,272.5526
2004-01,2004-01-01,48.043,272.4753
2004-02,2004-02-01,48.043,274.91263
2004-02,2004-02-01,48.043,275.0227
2004-03,2004-03-01,48.043,276.34164
2004-03,2004-03-01,48.043,276.37613
2004-04,2004-04-01,48.043,282.38116
2004-04,2004-04-01,48.043,282.44492
2004-05,2004-05-01,48.043,284.50125
