valid_time,time,latitude,t2m
2000-01,2000-01-01,35.391,277.22205
2000-01,2000-01-01,35.391,277.74963
2000-01,2000-01-01,35.391,278.14636
2000-01,2000-01-01,35.391,277.07642
2000-01,2000-01-01,35.141,277.93018
2000-01,2000-01-01,35.141,278.839
2000-01,2000-01-01,35.141,278.99182
2000-01,2000-01-01,35.141,278.14294
2000-01,2000-01-01,34.891,278.5426
2000-01,2000-01-01,34.891,279.69714
2000-01,2000-01-01,34.891,280.42163
2000-01,2000-01-01,34.891,279.5619
2000-01,2000-01-01,34.641,278.68005
2000-01,2000-01-01,34.641,280.5193
2000-01,2000-01-01,34.641,281.4972
2000-01,2000-01-01,34.641,281.69922
2000-02,2000-02-01,35.391,274.287
2000-02,2000-02-01,35.391,275.0515
2000-02,2000-02-01,35.391,275.83435
2000-02,2000-02-01,35.391,273.8755
2000-02,2000-02-01,35.141,275.41028
2000-02,2000-02-01,35.141,276.44934
2000-02,2000-02-01,35.141,276.89233
2000-02,2000-02-01,35.141,275.7622
2000-02,2000-02-01,34.891,276.2954
2000-02,2000-02-01,34.891,277.4519
2000-02,2000-02-01,34.891,278.16235
2000-02,2000-02-01,34.891,277.16895
2000-02,2000-02-01,34.641,276.32825
2000-02,2000-02-01,34.641,278.2871
2000-02,2000-02-01,34.641,279.2229
2000-02,2000-02-01,34.641,279.29907
2000-03,2000-03-01,35.391,278.31775
2000-03,2000-03-01,35.391,279.15198
2000-03,2000-03-01,35.391,279.73096
2000-03,2000-03-01,35.391,278.3009
2000-03,2000-03-01,35.141,279.40637
2000-03,2000-03-01,35.141,280.38184
2000-03,2000-03-01,35.141,280.7677
2000-03,2000-03-01,35.141,279.6853
2000-03,2000-03-01,34.891,280.18433
2000-03,2000-03-01,34.891,281.27588
2000-03,2000-03-01,34.891,281.90332
2000-03,2000-03-01,34.891,280.97656
2000-03,2000-03-01,34.641,280.37512
2000-03,2000-03-01,34.641,282.0161
2000-03,2000-03-01,34.641,282.7815
2000-03,2000-03-01,34.641,282.886
2000-04,2000-04-01,35.391,284.53326
2000-04,2000-04-01,35.391,285.1643
2000-04,2000-04-01,35.391,285.73798
2000-04,2000-04-01,35.391,284.5796
2000-04,2000-04-01,35.141,285.38916
2000-04,2000-04-01,35.141,286.25983
2000-04,2000-04-01,35.141,286.64996
2000-04,2000-04-01,35.141,285.67883
2000-04,2000-04-01,34.891,285.82104
2000-04,2000-04-01,34.891,286.69965
2000-04,2000-04-01,34.891,287.11755
2000-04,2000-04-01,34.891,286.42096
2000-04,2000-04-01,34.641,285.85413
2000-04,2000-04-01,34.641,286.93658
2000-04,2000-04-01,34.641,287.35083
2000-04,2000-04-01,34.641,287.4464
2000-05,2000-05-01,35.391,290.5478
2000-05,2000-05-01,35.391,291.19763
2000-05,2000-05-01,35.391,291.80292
2000-05,2000-05-01,35.391,290.7702
2000-05,2000-05-01,35.141,291.42657
2000-05,2000-05-01,35.141,292.29346
2000-05,2000-05-01,35.141,292.77625
2000-05,2000-05-01,35.141,291.67407
2000-05,2000-05-01,34.891,291.63287
2000-05,2000-05-01,34.891,292.40417
2000-05,2000-05-01,34.891,292.72162
2000-05,2000-05-01,34.891,291.97046
2000-05,2000-05-01,34.641,291.48322
2000-05,2000-05-01,34.641,292.1905
2000-05,2000-05-01,34.641,292.3277
2000-05,2000-05-01,34.641,292.22614
2000-06,2000-06-01,35.391,294.08188
2000-06,2000-06-01,35.391,294.56128
2000-06,2000-06-01,35.391,294.95233
2000-06,2000-06-01,35.391,294.04144
2000-06,2000-06-01,35.141,294.76654
2000-06,2000-06-01,35.141,295.3963
2000-06,2000-06-01,35.141,295.62628
2000-06,2000-06-01,35.141,294.6965
2000-06,2000-06-01,34.891,294.8413
2000-06,2000-06-01,34.891,295.44562
2000-06,2000-06-01,34.891,295.64667
2000-06,2000-06-01,34.891,294.9475
2000-06,2000-06-01,34.641,294.56607
2000-06,2000-06-01,34.641,295.30353
2000-06,2000-06-01,34.641,295.46875
2000-06,2000-06-01,34.641,295.298
2000-07,2000-07-01,35.391,298.9928
2000-07,2000-07-01,35.391,299.43384
2000-07,2000-07-01,35.391,299.88263
2000-07,2000-07-01,35.391,298.721
2000-07,2000-07-01,35.141,299.7693
2000-07,2000-07-01,35.141,300.4549
2000-07,2000-07-01,35.141,300.76624
2000-07,2000-07-01,35.141,299.57324
2000-07,2000-07-01,34.891,299.73926
2000-07,2000-07-01,34.891,300.29138
2000-07,2000-07-01,34.891,300.27246
2000-07,2000-07-01,34.891,299.544
2000-07,2000-07-01,34.641,299.37115
2000-07,2000-07-01,34.641,299.79785
2000-07,2000-07-01,34.641,299.5968
2000-07,2000-07-01,34.641,299.3672
2000-08,2000-08-01,35.391,299.36102
2000-08,2000-08-01,35.391,299.83453
2000-08,2000-08-01,35.391,300.51984
2000-08,2000-08-01,35.391,299.30292
2000-08,2000-08-01,35.141,300.0437
2000-08,2000-08-01,35.141,300.90857
2000-08,2000-08-01,35.141,301.47412
2000-08,2000-08-01,35.141,300.0108
2000-08,2000-08-01,34.891,300.0279
2000-08,2000-08-01,34.891,300.82758
2000-08,2000-08-01,34.891,301.0722
2000-08,2000-08-01,34.891,300.00452
2000-08,2000-08-01,34.641,299.53503
2000-08,2000-08-01,34.641,300.30896
2000-08,2000-08-01,34.641,300.44977
2000-08,2000-08-01,34.641,300.22217
2000-09,2000-09-01,35.391,295.70374
2000-09,2000-09-01,35.391,296.05194
2000-09,2000-09-01,35.391,296.3338
2000-09,2000-09-01,35.391,295.25165
2000-09,2000-09-01,35.141,296.3349
2000-09,2000-09-01,35.141,297.01074
2000-09,2000-09-01,35.141,297.13208
2000-09,2000-09-01,35.141,296.03754
2000-09,2000-09-01,34.891,296.47028
2000-09,2000-09-01,34.891,297.2229
2000-09,2000-09-01,34.891,297.52368
2000-09,2000-09-01,34.891,296.63727
2000-09,2000-09-01,34.641,296.21954
2000-09,2000-09-01,34.641,297.2979
2000-09,2000-09-01,34.641,297.6433
2000-09,2000-09-01,34.641,297.57147
2000-10,2000-10-01,35.391,289.81482
2000-10,2000-10-01,35.391,290.378
2000-10,2000-10-01,35.391,290.77692
2000-10,2000-10-01,35.391,289.9773
2000-10,2000-10-01,35.141,290.4267
2000-10,2000-10-01,35.141,291.28894
2000-10,2000-10-01,35.141,291.52014
2000-10,2000-10-01,35.141,290.75433
2000-10,2000-10-01,34.891,290.89612
2000-10,2000-10-01,34.891,291.90546
2000-10,2000-10-01,34.891,292.41345
2000-10,2000-10-01,34.891,291.69244
2000-10,2000-10-01,34.641,291.00513
2000-10,2000-10-01,34.641,292.45105
2000-10,2000-10-01,34.641,293.12158
2000-10,2000-10-01,34.641,293.24274
2000-11,2000-11-01,35.391,284.84875
2000-11,2000-11-01,35.391,285.50098
2000-11,2000-11-01,35.391,285.9463
2000-11,2000-11-01,35.391,285.04907
2000-11,2000-11-01,35.141,285.49255
2000-11,2000-11-01,35.141,286.49377
2000-11,2000-11-01,35.141,286.73853
2000-11,2000-11-01,35.141,285.90906
2000-11,2000-11-01,34.891,286.0404
2000-11,2000-11-01,34.891,287.23743
