valid_time,time,latitude,t2m
2000-01,2000-01-01,32.052,275.09094
2000-01,2000-01-01,32.052,275.20947
2000-01,2000-01-01,31.802,275.40955
2000-01,2000-01-01,31.802,275.46906
2000-02,2000-02-01,32.052,277.0253
2000-02,2000-02-01,32.052,276.96063
2000-02,2000-02-01,31.802,277.28714
2000-02,2000-02-01,31.802,277.2009
2000-03,2000-03-01,32.052,284.25412
2000-03,2000-03-01,32.052,284.18018
2000-03,2000-03-01,31.802,284.40622
2000-03,2000-03-01,31.802,284.2629
2000-04,2000-04-01,32.052,289.9911
2000-04,2000-04-01,32.052,289.89737
2000-04,2000-04-01,31.802,290.2061
2000-04,2000-04-01,31.802,290.0352
2000-05,2000-05-01,32.052,295.64258
2000-05,2000-05-01,32.052,295.57822
2000-05,2000-05-01,31.802,295.8273
2000-05,2000-05-01,31.802,295.68692
2000-06,2000-06-01,32.052,298.57953
2000-06,2000-06-01,32.052,298.52216
2000-06,2000-06-01,31.802,298.7788
2000-06,2000-06-01,31.802,298.6379
2000-07,2000-07-01,32.052,302.1764
2000-07,2000-07-01,32.052,302.1201
2000-07,2000-07-01,31.802,302.37555
2000-07,2000-07-01,31.802,302.17474
2000-08,2000-08-01,32.052,301.05237
2000-08,2000-08-01,32.052,301.0573
2000-08,2000-08-01,31.802,301.20148
2000-08,2000-08-01,31.802,301.06726
2000-09,2000-09-01,32.052,296.72528
2000-09,2000-09-01,32.052,296.70425
2000-09,2000-09-01,31.802,296.9442
2000-09,2000-09-01,31.802,296.8244
2000-10,2000-10-01,32.052,290.95264
2000-10,2000-10-01,32.052,291.02588
2000-10,2000-10-01,31.802,291.22113
2000-10,2000-10-01,31.802,291.2162
2000-11,2000-11-01,32.052,283.06982
2000-11,2000-11-01,32.052,283.2168
2000-11,2000-11-01,31.802,283.36133
2000-11,2000-11-01,31.802,283.41702
2000-12,2000-12-01,32.052,280.13553
2000-12,2000-12-01,32.052,280.17416
2000-12,2000-12-01,31.802,280.42538
2000-12,2000-12-01,31.802,280.38876
2001-01,2001-01-01,32.052,277.01617
2001-01,2001-01-01,32.052,277.07785
2001-01,2001-01-01,31.802,277.34045
2001-01,2001-01-01,31.802,277.34564
2001-02,2001-02-01,32.052,278.90402
2001-02,2001-02-01,32.052,278.92505
2001-02,2001-02-01,31.802,279.20303
2001-02,2001-02-01,31.802,279.1781
2001-03,2001-03-01,32.052,284.1458
2001-03,2001-03-01,32.052,284.07538
2001-03,2001-03-01,31.802,284.4525
2001-03,2001-03-01,31.802,284.30746
2001-04,2001-04-01,32.052,288.6601
2001-04,2001-04-01,32.052,288.61792
2001-04,2001-04-01,31.802,288.9156
2001-04,2001-04-01,31.802,288.8052
2001-05,2001-05-01,32.052,295.6867
2001-05,2001-05-01,32.052,295.598
2001-05,2001-05-01,31.802,295.76917
2001-05,2001-05-01,31.802,295.59818
2001-06,2001-06-01,32.052,297.7366
2001-06,2001-06-01,32.052,297.69135
2001-06,2001-06-01,31.802,297.83792
2001-06,2001-06-01,31.802,297.72595
2001-07,2001-07-01,32.052,303.05405
2001-07,2001-07-01,32.052,302.95847
2001-07,2001-07-01,31.802,303.1695
2001-07,2001-07-01,31.802,303.00723
2001-08,2001-08-01,32.052,299.50763
2001-08,2001-08-01,32.052,299.42096
2001-08,2001-08-01,31.802,299.4991
2001-08,2001-08-01,31.802,299.3449
2001-09,2001-09-01,32.052,297.12515
2001-09,2001-09-01,32.052,296.92767
2001-09,2001-09-01,31.802,297.00195
2001-09,2001-09-01,31.802,296.7737
2001-10,2001-10-01,32.052,291.52628
2001-10,2001-10-01,32.052,291.56226
2001-10,2001-10-01,31.802,291.6656
2001-10,2001-10-01,31.802,291.64044
2001-11,2001-11-01,32.052,284.32703
2001-11,2001-11-01,32.052,284.39673
2001-11,2001-11-01,31.802,284.5589
2001-11,2001-11-01,31.802,284.51376
2001-12,2001-12-01,32.052,277.7622
2001-12,2001-12-01,32.052,277.81793
2001-12,2001-12-01,31.802,278.05017
2001-12,2001-12-01,31.802,278.0302
2002-01,2002-01-01,32.052,278.62793
2002-01,2002-01-01,32.052,278.67395
2002-01,2002-01-01,31.802,278.9574
2002-01,2002-01-01,31.802,278.9148
2002-02,2002-02-01,32.052,281.21985
2002-02,2002-02-01,32.052,281.18835
2002-02,2002-02-01,31.802,281.45908
2002-02,2002-02-01,31.802,281.37845
2002-03,2002-03-01,32.052,285.65756
2002-03,2002-03-01,32.052,285.65952
2002-03,2002-03-01,31.802,285.83487
2002-03,2002-03-01,31.802,285.75644
2002-04,2002-04-01,32.052,289.8698
2002-04,2002-04-01,32.052,289.8455
2002-04,2002-04-01,31.802,290.05814
2002-04,2002-04-01,31.802,289.97855
2002-05,2002-05-01,32.052,292.60208
2002-05,2002-05-01,32.052,292.5841
2002-05,2002-05-01,31.802,292.782
2002-05,2002-05-01,31.802,292.71518
2002-06,2002-06-01,32.052,299.18597
2002-06,2002-06-01,32.052,299.1356
2002-06,2002-06-01,31.802,299.4388
2002-06,2002-06-01,31.802,299.28174
2002-07,2002-07-01,32.052,301.8071
2002-07,2002-07-01,32.052,301.7726
2002-07,2002-07-01,31.802,301.96152
2002-07,2002-07-01,31.802,301.77585
2002-08,2002-08-01,32.052,300.11215
2002-08,2002-08-01,32.052,300.04428
2002-08,2002-08-01,31.802,300.25385
2002-08,2002-08-01,31.802,300.0799
2002-09,2002-09-01,32.052,296.8456
2002-09,2002-09-01,32.052,296.81937
2002-09,2002-09-01,31.802,296.99664
2002-09,2002-09-01,31.802,296.89227
2002-10,2002-10-01,32.052,291.00763
2002-10,2002-10-01,32.052,290.99832
2002-10,2002-10-01,31.802,291.28528
2002-10,2002-10-01,31.802,291.20285
2002-11,2002-11-01,32.052,284.05432
2002-11,2002-11-01,32.052,284.05948
2002-11,2002-11-01,31.802,284.34088
2002-11,2002-11-01,31.802,284.28967
2002-12,2002-12-01,32.052,277.9129
2002-12,2002-12-01,32.052,278.0296
2002-12,2002-12-01,31.802,278.18512
2002-12,2002-12-01,31.802,278.21283
2003-01,2003-01-01,32.052,275.7144
2003-01,2003-01-01,32.052,275.69406
2003-01,2003-01-01,31.802,276.0297
2003-01,2003-01-01,31.802,275.93713
2003-02,2003-02-01,32.052,279.1337
2003-02,2003-02-01,32.052,279.12134
2003-02,2003-02-01,31.802,279.3728
2003-02,2003-02-01,31.802,279.32184
2003-03,2003-03-01,32.052,282.86734
2003-03,2003-03-01,32.052,282.84747
2003-03,2003-03-01,31.802,283.10043
2003-03,2003-03-01,31.802,283.0221
2003-04,2003-04-01,32.052,288.59882
2003-04,2003-04-01,32.052,288.54453
2003-04,2003-04-01,31.802,288.78726
2003-04,2003-04-01,31.802,288.6706
2003-05,2003-05-01,32.052,293.72388
2003-05,2003-05-01,32.052,293.63135
2003-05,2003-05-01,31.802,294.00452
2003-05,2003-05-01,31.802,293.8455
2003-06,2003-06-01,32.052,298.32507
2003-06,2003-06-01,32.052,298.27936
2003-06,2003-06-01,31.802,298.50882
2003-06,2003-06-01,31.802,298.36652
2003-07,2003-07-01,32.052,301.56216
2003-07,2003-07-01,32.052,301.58508
2003-07,2003-07-01,31.802,302.00436
2003-07,2003-07-01,31.802,301.97714
2003-08,2003-08-01,32.052,300.68887
2003-08,2003-08-01,32.052,300.74576
2003-08,2003-08-01,31.802,301.10657
2003-08,2003-08-01,31.802,301.07224
2003-09,2003-09-01,32.052,297.57913
2003-09,2003-09-01,32.052,297.62894
2003-09,2003-09-01,31.802,297.9523
2003-09,2003-09-01,31.802,297.90134
2003-10,2003-10-01,32.052,289.94052
2003-10,2003-10-01,32.052,290.03076
2003-10,2003-10-01,31.802,290.17474
2003-10,2003-10-01,31.802,290.16925
2003-11,2003-11-01,32.052,284.09326
2003-11,2003-11-01,32.052,284.26453
2003-11,2003-11-01,31.802,284.41287
2003-11,2003-11-01,31.802,284.4945
2003-12,2003-12-01,32.052,277.71127
2003-12,2003-12-01,32.052,277.78973
2003-12,2003-12-01,31.802,278.0049
2003-12,2003-12-01,31.802,277.9985
2004-01,2004-01-01,32.052,276.3
2004-01,2004-01-01,32.052,276.2828
2004-01,2004-01-01,31.802,276.5712
2004-01,2004-01-01,31.802,276.50217
2004-02,2004-02-01,32.052,281.41754
2004-02,2004-02-01,32.052,281.36533
2004-02,2004-02-01,31.802,281.66467
2004-02,2004-02-01,31.802,281.56348
2004-03,2004-03-01,32.052,283.34955
2004-03,2004-03-01,32.052,283.28925
2004-03,2004-03-01,31.802,283.45038
2004-03,2004-03-01,31.802,283.34128
2004-04,2004-04-01,32.052,290.2804
2004-04,2004-04-01,32.052,290.14017
2004-04,2004-04-01,31.802,290.3846
2004-04,2004-04-01,31.802,290.24014
2004-05,2004-05-01,32.052,294.27356
2004-05,2004-05-01,32.052,294.22836
2004-05,2004-05-01,31.802,294.45114
2004-05,2004-05-01,31.802,294.365
2004-06,2004-06-01,32.052,297.85812
2004-06,2004-06-01,32.052,297.80914
2004-06,2004-06-01,31.802,297.85828
2004-06,2004-06-01,31.802,297.77158
2004-07,2004-07-01,32.052,302.34467
