valid_time,time,latitude,t2m
2000-01,2000-01-01,40.928,282.13635
2000-01,2000-01-01,40.928,280.86328
2000-01,2000-01-01,40.928,279.3285
2000-01,2000-01-01,40.678,283.54736
2000-01,2000-01-01,40.678,282.9751
2000-01,2000-01-01,40.678,281.86816
2000-02,2000-02-01,40.928,283.48138
2000-02,2000-02-01,40.928,282.47015
2000-02,2000-02-01,40.928,281.17535
2000-02,2000-02-01,40.678,284.5011
2000-02,2000-02-01,40.678,284.01965
2000-02,2000-02-01,40.678,283.09576
2000-03,2000-03-01,40.928,284.89777
2000-03,2000-03-01,40.928,284.29193
2000-03,2000-03-01,40.928,283.4994
2000-03,2000-03-01,40.678,285.41965
2000-03,2000-03-01,40.678,285.0893
2000-03,2000-03-01,40.678,284.53534
2000-04,2000-04-01,40.928,287.71378
2000-04,2000-04-01,40.928,287.4358
2000-04,2000-04-01,40.928,287.06107
2000-04,2000-04-01,40.678,287.92645
2000-04,2000-04-01,40.678,287.73227
2000-04,2000-04-01,40.678,287.4715
2000-05,2000-05-01,40.928,292.54108
2000-05,2000-05-01,40.928,292.29303
2000-05,2000-05-01,40.928,291.87866
2000-05,2000-05-01,40.678,292.68787
2000-05,2000-05-01,40.678,292.49823
2000-05,2000-05-01,40.678,292.18036
2000-06,2000-06-01,40.928,295.84796
2000-06,2000-06-01,40.928,295.46606
2000-06,2000-06-01,40.928,294.91254
2000-06,2000-06-01,40.678,296.05243
2000-06,2000-06-01,40.678,295.83704
2000-06,2000-06-01,40.678,295.43246
2000-07,2000-07-01,40.928,296.3872
2000-07,2000-07-01,40.928,296.19986
2000-07,2000-07-01,40.928,295.9871
2000-07,2000-07-01,40.678,296.63177
2000-07,2000-07-01,40.678,296.51483
2000-07,2000-07-01,40.678,296.34485
2000-08,2000-08-01,40.928,297.93042
2000-08,2000-08-01,40.928,297.91306
2000-08,2000-08-01,40.928,297.81708
2000-08,2000-08-01,40.678,298.14316
2000-08,2000-08-01,40.678,298.01367
2000-08,2000-08-01,40.678,297.90958
2000-09,2000-09-01,40.928,295.05487
2000-09,2000-09-01,40.928,294.39038
2000-09,2000-09-01,40.928,293.4735
2000-09,2000-09-01,40.678,295.61218
2000-09,2000-09-01,40.678,295.32098
2000-09,2000-09-01,40.678,294.6875
2000-10,2000-10-01,40.928,291.9784
2000-10,2000-10-01,40.928,291.14355
2000-10,2000-10-01,40.928,290.03723
2000-10,2000-10-01,40.678,292.88855
2000-10,2000-10-01,40.678,292.51013
2000-10,2000-10-01,40.678,291.73438
2000-11,2000-11-01,40.928,289.18402
2000-11,2000-11-01,40.928,288.04944
2000-11,2000-11-01,40.928,286.6029
2000-11,2000-11-01,40.678,290.37207
2000-11,2000-11-01,40.678,289.95923
2000-11,2000-11-01,40.678,288.9524
2000-12,2000-12-01,40.928,286.40894
2000-12,2000-12-01,40.928,285.1859
2000-12,2000-12-01,40.928,283.6803
2000-12,2000-12-01,40.678,287.76465
2000-12,2000-12-01,40.678,287.26428
2000-12,2000-12-01,40.678,286.19055
2001-01,2001-01-01,40.928,285.2129
2001-01,2001-01-01,40.928,284.21777
2001-01,2001-01-01,40.928,282.91223
2001-01,2001-01-01,40.678,286.20978
2001-01,2001-01-01,40.678,285.76257
2001-01,2001-01-01,40.678,284.84613
2001-02,2001-02-01,40.928,284.17358
2001-02,2001-02-01,40.928,283.11273
2001-02,2001-02-01,40.928,281.7107
2001-02,2001-02-01,40.678,285.2426
2001-02,2001-02-01,40.678,284.7495
2001-02,2001-02-01,40.678,283.74054
2001-03,2001-03-01,40.928,287.4564
2001-03,2001-03-01,40.928,286.85645
2001-03,2001-03-01,40.928,286.0695
2001-03,2001-03-01,40.678,287.9862
2001-03,2001-03-01,40.678,287.60513
2001-03,2001-03-01,40.678,287.0215
2001-04,2001-04-01,40.928,286.74237
2001-04,2001-04-01,40.928,286.0324
2001-04,2001-04-01,40.928,284.95703
2001-04,2001-04-01,40.678,287.4096
2001-04,2001-04-01,40.678,287.08044
2001-04,2001-04-01,40.678,286.3294
2001-05,2001-05-01,40.928,292.03763
2001-05,2001-05-01,40.928,291.6962
2001-05,2001-05-01,40.928,291.17035
2001-05,2001-05-01,40.678,292.1186
2001-05,2001-05-01,40.678,292.01257
2001-05,2001-05-01,40.678,291.66962
2001-06,2001-06-01,40.928,294.614
2001-06,2001-06-01,40.928,294.4432
2001-06,2001-06-01,40.928,294.1286
2001-06,2001-06-01,40.678,294.65997
2001-06,2001-06-01,40.678,294.57468
2001-06,2001-06-01,40.678,294.37183
2001-07,2001-07-01,40.928,297.23425
2001-07,2001-07-01,40.928,297.09433
2001-07,2001-07-01,40.928,296.82416
2001-07,2001-07-01,40.678,297.33994
2001-07,2001-07-01,40.678,297.29706
2001-07,2001-07-01,40.678,297.12354
2001-08,2001-08-01,40.928,298.09918
2001-08,2001-08-01,40.928,297.91846
2001-08,2001-08-01,40.928,297.5854
2001-08,2001-08-01,40.678,298.30005
2001-08,2001-08-01,40.678,298.19916
2001-08,2001-08-01,40.678,297.94672
2001-09,2001-09-01,40.928,293.93097
2001-09,2001-09-01,40.928,293.16364
2001-09,2001-09-01,40.928,292.0874
2001-09,2001-09-01,40.678,294.81586
2001-09,2001-09-01,40.678,294.55096
2001-09,2001-09-01,40.678,293.81403
2001-10,2001-10-01,40.928,293.3955
2001-10,2001-10-01,40.928,292.5177
2001-10,2001-10-01,40.928,291.3864
2001-10,2001-10-01,40.678,294.41962
2001-10,2001-10-01,40.678,294.08374
2001-10,2001-10-01,40.678,293.27747
2001-11,2001-11-01,40.928,287.45862
2001-11,2001-11-01,40.928,286.2423
2001-11,2001-11-01,40.928,284.71948
2001-11,2001-11-01,40.678,288.7677
2001-11,2001-11-01,40.678,288.22717
2001-11,2001-11-01,40.678,287.11926
2001-12,2001-12-01,40.928,282.22607
2001-12,2001-12-01,40.928,280.8534
2001-12,2001-12-01,40.928,279.15247
2001-12,2001-12-01,40.678,283.70056
2001-12,2001-12-01,40.678,283.07397
2001-12,2001-12-01,40.678,281.83362
2002-01,2002-01-01,40.928,281.83398
2002-01,2002-01-01,40.928,280.51868
2002-01,2002-01-01,40.928,278.89612
2002-01,2002-01-01,40.678,283.35693
2002-01,2002-01-01,40.678,282.78967
2002-01,2002-01-01,40.678,281.63452
2002-02,2002-02-01,40.928,285.12903
2002-02,2002-02-01,40.928,284.31836
2002-02,2002-02-01,40.928,283.32062
2002-02,2002-02-01,40.678,285.9574
2002-02,2002-02-01,40.678,285.56476
2002-02,2002-02-01,40.678,284.8656
2002-03,2002-03-01,40.928,286.26862
2002-03,2002-03-01,40.928,285.61627
2002-03,2002-03-01,40.928,284.80426
2002-03,2002-03-01,40.678,286.8802
2002-03,2002-03-01,40.678,286.65265
2002-03,2002-03-01,40.678,286.11023
2002-04,2002-04-01,40.928,287.6038
2002-04,2002-04-01,40.928,287.01114
2002-04,2002-04-01,40.928,286.18973
