valid_time,time,latitude,t2m
2000-01,2000-01-01,25.071,289.19788
2000-01,2000-01-01,25.071,289.0434
2000-01,2000-01-01,25.071,288.61218
2000-01,2000-01-01,24.821,288.91498
2000-01,2000-01-01,24.821,286.64264
2000-01,2000-01-01,24.821,286.11743
2000-02,2000-02-01,25.071,288.10516
2000-02,2000-02-01,25.071,288.08905
2000-02,2000-02-01,25.071,287.73022
2000-02,2000-02-01,24.821,288.12323
2000-02,2000-02-01,24.821,286.0191
2000-02,2000-02-01,24.821,285.5064
2000-03,2000-03-01,25.071,291.12604
2000-03,2000-03-01,25.071,291.1093
2000-03,2000-03-01,25.071,290.6515
2000-03,2000-03-01,24.821,291.25073
2000-03,2000-03-01,24.821,289.33044
2000-03,2000-03-01,24.821,288.75482
2000-04,2000-04-01,25.071,294.41724
2000-04,2000-04-01,25.071,294.15442
2000-04,2000-04-01,25.071,293.4312
2000-04,2000-04-01,24.821,294.4964
2000-04,2000-04-01,24.821,292.4458
2000-04,2000-04-01,24.821,291.65894
2000-05,2000-05-01,25.071,297.82355
2000-05,2000-05-01,25.071,297.69482
2000-05,2000-05-01,25.071,296.99353
2000-05,2000-05-01,24.821,297.73114
2000-05,2000-05-01,24.821,295.49103
2000-05,2000-05-01,24.821,294.69586
2000-06,2000-06-01,25.071,299.98645
2000-06,2000-06-01,25.071,300.10577
2000-06,2000-06-01,25.071,299.68097
2000-06,2000-06-01,24.821,299.99347
2000-06,2000-06-01,24.821,297.8684
2000-06,2000-06-01,24.821,297.40027
2000-07,2000-07-01,25.071,300.90826
2000-07,2000-07-01,25.071,301.13196
2000-07,2000-07-01,25.071,300.7188
2000-07,2000-07-01,24.821,300.85626
2000-07,2000-07-01,24.821,298.9264
2000-07,2000-07-01,24.821,298.43994
2000-08,2000-08-01,25.071,300.63098
2000-08,2000-08-01,25.071,300.50787
2000-08,2000-08-01,25.071,300.1775
2000-08,2000-08-01,24.821,300.14624
2000-08,2000-08-01,24.821,297.95453
2000-08,2000-08-01,24.821,297.62946
2000-09,2000-09-01,25.071,299.15814
2000-09,2000-09-01,25.071,298.85712
2000-09,2000-09-01,25.071,298.49518
2000-09,2000-09-01,24.821,298.6266
2000-09,2000-09-01,24.821,296.39465
2000-09,2000-09-01,24.821,296.0531
