valid_time,time,latitude,t2m
2000-01,2000-01-01,29.987,278.73514
2000-01,2000-01-01,29.987,279.39053
2000-01,2000-01-01,29.737,278.38715
2000-01,2000-01-01,29.737,279.34714
2000-02,2000-02-01,29.987,278.18393
2000-02,2000-02-01,29.987,278.52594
2000-02,2000-02-01,29.737,277.85364
2000-02,2000-02-01,29.737,278.54034
2000-03,2000-03-01,29.987,283.94446
2000-03,2000-03-01,29.987,283.84082
2000-03,2000-03-01,29.737,283.7406
2000-03,2000-03-01,29.737,284.09918
2000-04,2000-04-01,29.987,289.05798
2000-04,2000-04-01,29.987,288.59274
2000-04,2000-04-01,29.737,288.88004
2000-04,2000-04-01,29.737,288.84433
2000-05,2000-05-01,29.987,294.49762
2000-05,2000-05-01,29.987,293.9972
2000-05,2000-05-01,29.737,294.37122
2000-05,2000-05-01,29.737,294.2486
2000-06,2000-06-01,29.987,298.00204
2000-06,2000-06-01,29.987,297.79102
2000-06,2000-06-01,29.737,297.68677
2000-06,2000-06-01,29.737,297.80945
2000-07,2000-07-01,29.987,301.57663
2000-07,2000-07-01,29.987,301.37247
2000-07,2000-07-01,29.737,301.09534
2000-07,2000-07-01,29.737,301.22598
2000-08,2000-08-01,29.987,300.4029
2000-08,2000-08-01,29.987,300.6315
2000-08,2000-08-01,29.737,299.8188
2000-08,2000-08-01,29.737,300.3071
2000-09,2000-09-01,29.987,297.17474
2000-09,2000-09-01,29.987,297.69513
2000-09,2000-09-01,29.737,296.6483
2000-09,2000-09-01,29.737,297.40482
2000-10,2000-10-01,29.987,292.84747
2000-10,2000-10-01,29.987,293.52667
2000-10,2000-10-01,29.737,292.31952
2000-10,2000-10-01,29.737,293.235
2000-11,2000-11-01,29.987,286.39365
2000-11,2000-11-01,29.987,287.55008
2000-11,2000-11-01,29.737,285.88693
2000-11,2000-11-01,29.737,287.19266
2000-12,2000-12-01,29.987,282.72705
2000-12,2000-12-01,29.987,283.71292
2000-12,2000-12-01,29.737,282.2861
2000-12,2000-12-01,29.737,283.47592
2001-01,2001-01-01,29.987,279.88596
2001-01,2001-01-01,29.987,280.67316
2001-01,2001-01-01,29.737,279.63678
2001-01,2001-01-01,29.737,280.64053
2001-02,2001-02-01,29.987,281.02756
2001-02,2001-02-01,29.987,281.30493
2001-02,2001-02-01,29.737,280.88928
2001-02,2001-02-01,29.737,281.54004
2001-03,2001-03-01,29.987,284.68665
2001-03,2001-03-01,29.987,284.43796
2001-03,2001-03-01,29.737,284.596
2001-03,2001-03-01,29.737,284.7511
2001-04,2001-04-01,29.987,288.8587
2001-04,2001-04-01,29.987,288.60336
2001-04,2001-04-01,29.737,288.62555
2001-04,2001-04-01,29.737,288.76413
2001-05,2001-05-01,29.987,293.89636
2001-05,2001-05-01,29.987,293.66785
2001-05,2001-05-01,29.737,293.667
2001-05,2001-05-01,29.737,293.79303
2001-06,2001-06-01,29.987,297.79398
2001-06,2001-06-01,29.987,297.73416
2001-06,2001-06-01,29.737,297.56503
2001-06,2001-06-01,29.737,297.811
2001-07,2001-07-01,29.987,302.4403
2001-07,2001-07-01,29.987,302.0445
2001-07,2001-07-01,29.737,301.88132
2001-07,2001-07-01,29.737,301.95023
2001-08,2001-08-01,29.987,299.98438
2001-08,2001-08-01,29.987,300.3818
2001-08,2001-08-01,29.737,299.49338
2001-08,2001-08-01,29.737,300.10672
2001-09,2001-09-01,29.987,297.1375
2001-09,2001-09-01,29.987,297.73767
2001-09,2001-09-01,29.737,296.50287
2001-09,2001-09-01,29.737,297.37997
2001-10,2001-10-01,29.987,292.7159
2001-10,2001-10-01,29.987,293.4921
2001-10,2001-10-01,29.737,292.13553
2001-10,2001-10-01,29.737,293.13022
2001-11,2001-11-01,29.987,286.25525
2001-11,2001-11-01,29.987,287.41324
2001-11,2001-11-01,29.737,285.74268
2001-11,2001-11-01,29.737,286.98462
2001-12,2001-12-01,29.987,280.82935
2001-12,2001-12-01,29.987,281.92868
2001-12,2001-12-01,29.737,280.38657
2001-12,2001-12-01,29.737,281.58694
2002-01,2002-01-01,29.987,280.74863
2002-01,2002-01-01,29.987,281.10297
2002-01,2002-01-01,29.737,280.53214
2002-01,2002-01-01,29.737,281.14038
2002-02,2002-02-01,29.987,281.8563
2002-02,2002-02-01,29.987,282.0647
2002-02,2002-02-01,29.737,281.77576
2002-02,2002-02-01,29.737,282.25592
2002-03,2002-03-01,29.987,286.56628
2002-03,2002-03-01,29.987,286.35278
2002-03,2002-03-01,29.737,286.54053
2002-03,2002-03-01,29.737,286.70953
2002-04,2002-04-01,29.987,290.35156
2002-04,2002-04-01,29.987,290.0215
2002-04,2002-04-01,29.737,290.19635
2002-04,2002-04-01,29.737,290.23666
2002-05,2002-05-01,29.987,293.46204
2002-05,2002-05-01,29.987,293.4804
2002-05,2002-05-01,29.737,293.33426
2002-05,2002-05-01,29.737,293.61487
2002-06,2002-06-01,29.987,299.0171
2002-06,2002-06-01,29.987,298.73633
2002-06,2002-06-01,29.737,298.82834
2002-06,2002-06-01,29.737,298.83456
2002-07,2002-07-01,29.987,300.82797
2002-07,2002-07-01,29.987,300.67755
2002-07,2002-07-01,29.737,300.53723
2002-07,2002-07-01,29.737,300.66785
2002-08,2002-08-01,29.987,300.4461
2002-08,2002-08-01,29.987,300.65564
2002-08,2002-08-01,29.737,299.95483
2002-08,2002-08-01,29.737,300.41248
2002-09,2002-09-01,29.987,297.42685
2002-09,2002-09-01,29.987,297.9879
2002-09,2002-09-01,29.737,296.94415
2002-09,2002-09-01,29.737,297.6745
2002-10,2002-10-01,29.987,292.646
2002-10,2002-10-01,29.987,293.32266
2002-10,2002-10-01,29.737,292.0999
2002-10,2002-10-01,29.737,293.02057
2002-11,2002-11-01,29.987,286.27548
2002-11,2002-11-01,29.987,287.19583
2002-11,2002-11-01,29.737,285.83737
2002-11,2002-11-01,29.737,286.92468
2002-12,2002-12-01,29.987,281.56454
2002-12,2002-12-01,29.987,282.48135
2002-12,2002-12-01,29.737,281.2224
2002-12,2002-12-01,29.737,282.31216
2003-01,2003-01-01,29.987,277.9679
2003-01,2003-01-01,29.987,278.5469
2003-01,2003-01-01,29.737,277.8058
2003-01,2003-01-01,29.737,278.5928
2003-02,2003-02-01,29.987,280.83923
2003-02,2003-02-01,29.987,280.87823
2003-02,2003-02-01,29.737,280.8374
2003-02,2003-02-01,29.737,281.2044
2003-03,2003-03-01,29.987,283.5839
2003-03,2003-03-01,29.987,283.47406
2003-03,2003-03-01,29.737,283.4131
2003-03,2003-03-01,29.737,283.68396
2003-04,2003-04-01,29.987,289.08572
2003-04,2003-04-01,29.987,288.57773
2003-04,2003-04-01,29.737,289.0998
2003-04,2003-04-01,29.737,288.95233
2003-05,2003-05-01,29.987,293.47687
2003-05,2003-05-01,29.987,293.20294
2003-05,2003-05-01,29.737,293.3053
2003-05,2003-05-01,29.737,293.35858
2003-06,2003-06-01,29.987,297.737
2003-06,2003-06-01,29.987,297.37927
2003-06,2003-06-01,29.737,297.45184
2003-06,2003-06-01,29.737,297.40555
2003-07,2003-07-01,29.987,304.1579
2003-07,2003-07-01,29.987,303.38184
2003-07,2003-07-01,29.737,303.96585
2003-07,2003-07-01,29.737,303.6025
2003-08,2003-08-01,29.987,302.5302
2003-08,2003-08-01,29.987,302.24936
2003-08,2003-08-01,29.737,301.92883
2003-08,2003-08-01,29.737,302.10733
2003-09,2003-09-01,29.987,298.9763
2003-09,2003-09-01,29.987,299.22513
2003-09,2003-09-01,29.737,298.34955
2003-09,2003-09-01,29.737,298.90802
2003-10,2003-10-01,29.987,291.9181
2003-10,2003-10-01,29.987,292.7781
2003-10,2003-10-01,29.737,291.36993
2003-10,2003-10-01,29.737,292.36743
2003-11,2003-11-01,29.987,287.42188
