valid_time,time,latitude,t2m
2000-01,2000-01-01,23.055,291.6888
2000-01,2000-01-01,23.055,291.4126
2000-01,2000-01-01,22.805,292.11774
2000-01,2000-01-01,22.805,292.1808
2000-02,2000-02-01,23.055,293.86783
2000-02,2000-02-01,23.055,293.6596
2000-02,2000-02-01,22.805,294.2205
2000-02,2000-02-01,22.805,294.40454
2000-03,2000-03-01,23.055,298.56287
2000-03,2000-03-01,23.055,298.32166
2000-03,2000-03-01,22.805,299.01233
2000-03,2000-03-01,22.805,299.0235
2000-04,2000-04-01,23.055,301.55194
2000-04,2000-04-01,23.055,301.4348
2000-04,2000-04-01,22.805,301.53882
2000-04,2000-04-01,22.805,301.58035
2000-05,2000-05-01,23.055,301.227
2000-05,2000-05-01,23.055,300.97568
2000-05,2000-05-01,22.805,301.3006
2000-05,2000-05-01,22.805,301.10254
2000-06,2000-06-01,23.055,301.34174
2000-06,2000-06-01,23.055,301.1488
2000-06,2000-06-01,22.805,301.36264
2000-06,2000-06-01,22.805,301.20267
2000-07,2000-07-01,23.055,301.24506
2000-07,2000-07-01,23.055,301.04166
2000-07,2000-07-01,22.805,301.22208
2000-07,2000-07-01,22.805,301.0481
2000-08,2000-08-01,23.055,301.2709
2000-08,2000-08-01,23.055,301.08554
2000-08,2000-08-01,22.805,301.2896
2000-08,2000-08-01,22.805,301.12836
2000-09,2000-09-01,23.055,300.88525
2000-09,2000-09-01,23.055,300.71725
2000-09,2000-09-01,22.805,300.99832
2000-09,2000-09-01,22.805,300.85352
2000-10,2000-10-01,23.055,300.16852
2000-10,2000-10-01,23.055,299.96417
2000-10,2000-10-01,22.805,300.45715
2000-10,2000-10-01,22.805,300.28714
2000-11,2000-11-01,23.055,296.71307
2000-11,2000-11-01,23.055,296.33636
2000-11,2000-11-01,22.805,297.04736
2000-11,2000-11-01,22.805,296.93713
2000-12,2000-12-01,23.055,292.24768
2000-12,2000-12-01,23.055,291.91632
2000-12,2000-12-01,22.805,292.541
2000-12,2000-12-01,22.805,292.58286
2001-01,2001-01-01,23.055,290.81937
2001-01,2001-01-01,23.055,290.41345
2001-01,2001-01-01,22.805,291.10757
2001-01,2001-01-01,22.805,291.15588
2001-02,2001-02-01,23.055,295.0542
2001-02,2001-02-01,23.055,294.62134
2001-02,2001-02-01,22.805,295.4981
2001-02,2001-02-01,22.805,295.42673
2001-03,2001-03-01,23.055,298.5067
2001-03,2001-03-01,23.055,298.102
2001-03,2001-03-01,22.805,298.95328
2001-03,2001-03-01,22.805,298.8722
2001-04,2001-04-01,23.055,302.062
2001-04,2001-04-01,23.055,301.9186
2001-04,2001-04-01,22.805,302.37024
2001-04,2001-04-01,22.805,302.41345
2001-05,2001-05-01,23.055,300.95825
2001-05,2001-05-01,23.055,300.77625
2001-05,2001-05-01,22.805,301.21506
2001-05,2001-05-01,22.805,301.04285
2001-06,2001-06-01,23.055,300.75446
2001-06,2001-06-01,23.055,300.573
2001-06,2001-06-01,22.805,300.78766
2001-06,2001-06-01,22.805,300.67502
2001-07,2001-07-01,23.055,301.1603
2001-07,2001-07-01,23.055,301.00443
2001-07,2001-07-01,22.805,301.11145
2001-07,2001-07-01,22.805,300.99768
2001-08,2001-08-01,23.055,301.84814
2001-08,2001-08-01,23.055,301.7171
2001-08,2001-08-01,22.805,301.77832
2001-08,2001-08-01,22.805,301.66226
2001-09,2001-09-01,23.055,301.32422
2001-09,2001-09-01,23.055,301.11075
2001-09,2001-09-01,22.805,301.40796
2001-09,2001-09-01,22.805,301.24094
2001-10,2001-10-01,23.055,300.3456
2001-10,2001-10-01,23.055,300.18057
2001-10,2001-10-01,22.805,300.60614
2001-10,2001-10-01,22.805,300.50745
2001-11,2001-11-01,23.055,297.00977
2001-11,2001-11-01,23.055,296.69592
2001-11,2001-11-01,22.805,297.3469
2001-11,2001-11-01,22.805,297.11572
2001-12,2001-12-01,23.055,292.13242
2001-12,2001-12-01,23.055,291.79752
2001-12,2001-12-01,22.805,292.51508
2001-12,2001-12-01,22.805,292.4262
2002-01,2002-01-01,23.055,292.49243
2002-01,2002-01-01,23.055,292.28717
2002-01,2002-01-01,22.805,292.818
2002-01,2002-01-01,22.805,292.90887
2002-02,2002-02-01,23.055,294.88834
2002-02,2002-02-01,23.055,294.81787
2002-02,2002-02-01,22.805,295.24597
2002-02,2002-02-01,22.805,295.59518
2002-03,2002-03-01,23.055,298.9566
2002-03,2002-03-01,23.055,298.76947
2002-03,2002-03-01,22.805,299.4486
2002-03,2002-03-01,22.805,299.51663
2002-04,2002-04-01,23.055,300.58722
2002-04,2002-04-01,23.055,300.5504
2002-04,2002-04-01,22.805,300.71768
2002-04,2002-04-01,22.805,300.81744
2002-05,2002-05-01,23.055,300.9643
2002-05,2002-05-01,23.055,300.80203
2002-05,2002-05-01,22.805,301.0891
2002-05,2002-05-01,22.805,300.98013
2002-06,2002-06-01,23.055,301.14197
2002-06,2002-06-01,23.055,300.99246
2002-06,2002-06-01,22.805,301.24677
2002-06,2002-06-01,22.805,301.1324
2002-07,2002-07-01,23.055,301.37286
2002-07,2002-07-01,23.055,301.08868
2002-07,2002-07-01,22.805,301.46484
2002-07,2002-07-01,22.805,301.2392
2002-08,2002-08-01,23.055,301.21512
2002-08,2002-08-01,23.055,301.0527
2002-08,2002-08-01,22.805,301.23676
2002-08,2002-08-01,22.805,301.12094
2002-09,2002-09-01,23.055,301.37524
2002-09,2002-09-01,23.055,301.23297
2002-09,2002-09-01,22.805,301.46432
2002-09,2002-09-01,22.805,301.35556
2002-10,2002-10-01,23.055,299.92575
2002-10,2002-10-01,23.055,299.61423
2002-10,2002-10-01,22.805,300.2107
2002-10,2002-10-01,22.805,299.98444
2002-11,2002-11-01,23.055,297.15778
2002-11,2002-11-01,23.055,296.98724
2002-11,2002-11-01,22.805,297.37073
2002-11,2002-11-01,22.805,297.35007
2002-12,2002-12-01,23.055,293.5981
2002-12,2002-12-01,23.055,293.36914
2002-12,2002-12-01,22.805,293.91632
2002-12,2002-12-01,22.805,293.99396
2003-01,2003-01-01,23.055,290.5978
2003-01,2003-01-01,23.055,290.54288
2003-01,2003-01-01,22.805,290.9584
2003-01,2003-01-01,22.805,291.23846
2003-02,2003-02-01,23.055,295.8141
2003-02,2003-02-01,23.055,295.78516
2003-02,2003-02-01,22.805,296.1671
2003-02,2003-02-01,22.805,296.46124
2003-03,2003-03-01,23.055,297.7959
2003-03,2003-03-01,23.055,297.7125
2003-03,2003-03-01,22.805,298.12854
2003-03,2003-03-01,22.805,298.2431
2003-04,2003-04-01,23.055,301.71622
2003-04,2003-04-01,23.055,301.78616
2003-04,2003-04-01,22.805,301.98975
2003-04,2003-04-01,22.805,302.133
2003-05,2003-05-01,23.055,302.1289
2003-05,2003-05-01,23.055,302.03415
2003-05,2003-05-01,22.805,302.18073
2003-05,2003-05-01,22.805,302.1482
2003-06,2003-06-01,23.055,300.802
2003-06,2003-06-01,23.055,300.52478
2003-06,2003-06-01,22.805,300.83154
2003-06,2003-06-01,22.805,300.64523
2003-07,2003-07-01,23.055,301.73846
2003-07,2003-07-01,23.055,301.61182
2003-07,2003-07-01,22.805,301.65424
2003-07,2003-07-01,22.805,301.5504
2003-08,2003-08-01,23.055,301.82565
2003-08,2003-08-01,23.055,301.67883
2003-08,2003-08-01,22.805,301.74405
2003-08,2003-08-01,22.805,301.61917
2003-09,2003-09-01,23.055,301.33008
2003-09,2003-09-01,23.055,301.15515
2003-09,2003-09-01,22.805,301.4053
2003-09,2003-09-01,22.805,301.25308
2003-10,2003-10-01,23.055,300.74573
2003-10,2003-10-01,23.055,300.55902
2003-10,2003-10-01,22.805,301.04388
2003-10,2003-10-01,22.805,300.91495
2003-11,2003-11-01,23.055,296.45154
2003-11,2003-11-01,23.055,296.14282
2003-11,2003-11-01,22.805,296.80148
2003-11,2003-11-01,22.805,296.90927
2003-12,2003-12-01,23.055,293.20728
2003-12,2003-12-01,23.055,293.06
2003-12,2003-12-01,22.805,293.54266
2003-12,2003-12-01,22.805,293.6565
2004-01,2004-01-01,23.055,291.67682
2004-01,2004-01-01,23.055,291.57166
2004-01,2004-01-01,22.805,292.06927
2004-01,2004-01-01,22.805,292.2443
2004-02,2004-02-01,23.055,294.88058
2004-02,2004-02-01,23.055,294.6253
2004-02,2004-02-01,22.805,295.1549
2004-02,2004-02-01,22.805,295.2811
2004-03,2004-03-01,23.055,299.52454
2004-03,2004-03-01,23.055,299.33167
2004-03,2004-03-01,22.805,299.68332
2004-03,2004-03-01,22.805,299.66144
2004-04,2004-04-01,23.055,300.23404
2004-04,2004-04-01,23.055,300.0122
2004-04,2004-04-01,22.805,300.53754
2004-04,2004-04-01,22.805,300.30658
2004-05,2004-05-01,23.055,302.65097
2004-05,2004-05-01,23.055,302.4297
2004-05,2004-05-01,22.805,302.7254
2004-05,2004-05-01,22.805,302.61472
2004-06,2004-06-01,23.055,301.53052
2004-06,2004-06-01,23.055,301.31564
2004-06,2004-06-01,22.805,301.6351
2004-06,2004-06-01,22.805,301.46692
2004-07,2004-07-01,23.055,301.10236
2004-07,2004-07-01,23.055,300.87854
2004-07,2004-07-01,22.805,301.13995
2004-07,2004-07-01,22.805,300.98438
2004-08,2004-08-01,23.055,301.47308
2004-08,2004-08-01,23.055,301.3315
2004-08,2004-08-01,22.805,301.42133
2004-08,2004-08-01,22.805,301.31635
2004-09,2004-09-01,23.055,300.6398
2004-09,2004-09-01,23.055,300.42078
2004-09,2004-09-01,22.805,300.7813
2004-09,2004-09-01,22.805,300.61905
2004-10,2004-10-01,23.055,299.62457
2004-10,2004-10-01,23.055,299.41193
2004-10,2004-10-01,22.805,299.8753
2004-10,2004-10-01,22.805,299.7715
2004-11,2004-11-01,23.055,296.13162
2004-11,2004-11-01,23.055,295.78156
2004-11,2004-11-01,22.805,296.42065
2004-11,2004-11-01,22.805,296.50827
2004-12,2004-12-01,23.055,294.06396
2004-12,2004-12-01,23.055,293.79425
2004-12,2004-12-01,22.805,294.44788
2004-12,2004-12-01,22.805,294.5271
2005-01,2005-01-01,23.055,292.06192
2005-01,2005-01-01,23.055,291.92804
2005-01,2005-01-01,22.805,292.36816
2005-01,2005-01-01,22.805,292.5716
2005-02,2005-02-01,23.055,296.4649
2005-02,2005-02-01,23.055,296.24603
2005-02,2005-02-01,22.805,296.70184
2005-02,2005-02-01,22.805,296.76535
2005-03,2005-03-01,23.055,299.72336
2005-03,2005-03-01,23.055,299.4442
2005-03,2005-03-01,22.805,299.89716
2005-03,2005-03-01,22.805,299.80502
2005-04,2005-04-01,23.055,301.5528
2005-04,2005-04-01,23.055,301.3086
2005-04,2005-04-01,22.805,301.58752
2005-04,2005-04-01,22.805,301.56927
2005-05,2005-05-01,23.055,301.73837
2005-05,2005-05-01,23.055,301.4737
2005-05,2005-05-01,22.805,301.87823
2005-05,2005-05-01,22.805,301.67676
2005-06,2005-06-01,23.055,302.5481
2005-06,2005-06-01,23.055,302.33496
2005-06,2005-06-01,22.805,302.48242
2005-06,2005-06-01,22.805,302.37494
2005-07,2005-07-01,23.055,301.256
2005-07,2005-07-01,23.055,301.12317
2005-07,2005-07-01,22.805,301.24402
2005-07,2005-07-01,22.805,301.1552
2005-08,2005-08-01,23.055,301.33627
2005-08,2005-08-01,23.055,301.0886
2005-08,2005-08-01,22.805,301.31415
2005-08,2005-08-01,22.805,301.1082
2005-09,2005-09-01,23.055,301.479
2005-09,2005-09-01,23.055,301.29523
2005-09,2005-09-01,22.805,301.55527
2005-09,2005-09-01,22.805,301.41116
2005-10,2005-10-01,23.055,300.3358
2005-10,2005-10-01,23.055,300.22366
2005-10,2005-10-01,22.805,300.60623
2005-10,2005-10-01,22.805,300.53522
2005-11,2005-11-01,23.055,296.50934
2005-11,2005-11-01,23.055,296.08948
2005-11,2005-11-01,22.805,296.8209
2005-11,2005-11-01,22.805,296.61664
2005-12,2005-12-01,23.055,293.70947
2005-12,2005-12-01,23.055,293.71027
2005-12,2005-12-01,22.805,293.9686
2005-12,2005-12-01,22.805,294.34146
2006-01,2006-01-01,23.055,292.14185
2006-01,2006-01-01,23.055,291.96783
2006-01,2006-01-01,22.805,292.4928
2006-01,2006-01-01,22.805,292.70728
2006-02,2006-02-01,23.055,297.66028
2006-02,2006-02-01,23.055,297.33618
2006-02,2006-02-01,22.805,297.73987
2006-02,2006-02-01,22.805,297.71683
2006-03,2006-03-01,23.055,300.25357
2006-03,2006-03-01,23.055,300.07538
2006-03,2006-03-01,22.805,300.45438
2006-03,2006-03-01,22.805,300.64697
2006-04,2006-04-01,23.055,302.14325
2006-04,2006-04-01,23.055,302.17865
2006-04,2006-04-01,22.805,302.19022
2006-04,2006-04-01,22.805,302.388
2006-05,2006-05-01,23.055,301.94388
2006-05,2006-05-01,23.055,301.7942
2006-05,2006-05-01,22.805,301.90692
2006-05,2006-05-01,22.805,301.8328
2006-06,2006-06-01,23.055,301.6922
2006-06,2006-06-01,23.055,301.44788
2006-06,2006-06-01,22.805,301.72324
2006-06,2006-06-01,22.805,301.5219
2006-07,2006-07-01,23.055,301.4378
2006-07,2006-07-01,23.055,301.2365
2006-07,2006-07-01,22.805,301.45215
2006-07,2006-07-01,22.805,301.29797
2006-08,2006-08-01,23.055,301.39914
2006-08,2006-08-01,23.055,301.29828
2006-08,2006-08-01,22.805,301.33127
2006-08,2006-08-01,22.805,301.25894
2006-09,2006-09-01,23.055,301.2894
2006-09,2006-09-01,23.055,301.09714
2006-09,2006-09-01,22.805,301.3268
2006-09,2006-09-01,22.805,301.19647
2006-10,2006-10-01,23.055,300.65955
2006-10,2006-10-01,23.055,300.4613
2006-10,2006-10-01,22.805,300.8855
2006-10,2006-10-01,22.805,300.7802
2006-11,2006-11-01,23.055,297.08044
2006-11,2006-11-01,23.055,296.84833
2006-11,2006-11-01,22.805,297.34805
2006-11,2006-11-01,22.805,297.52856
2006-12,2006-12-01,23.055,293.0428
2006-12,2006-12-01,23.055,292.694
2006-12,2006-12-01,22.805,293.4041
2006-12,2006-12-01,22.805,293.4413
2007-01,2007-01-01,23.055,291.0658
2007-01,2007-01-01,23.055,290.6433
2007-01,2007-01-01,22.805,291.51953
2007-01,2007-01-01,22.805,291.47333
2007-02,2007-02-01,23.055,294.22354
2007-02,2007-02-01,23.055,293.86823
2007-02,2007-02-01,22.805,294.6377
