valid_time,time,latitude,t2m
2000-01,2000-01-01,41.137,270.9048
2000-01,2000-01-01,41.137,270.87247
2000-02,2000-02-01,41.137,275.47424
2000-02,2000-02-01,41.137,275.46838
2000-03,2000-03-01,41.137,280.30664
2000-03,2000-03-01,41.137,280.3273
2000-04,2000-04-01,41.137,284.47714
2000-04,2000-04-01,41.137,284.4439
2000-05,2000-05-01,41.137,292.49417
2000-05,2000-05-01,41.137,292.42355
2000-06,2000-06-01,41.137,295.0667
2000-06,2000-06-01,41.137,294.863
2000-07,2000-07-01,41.137,297.86108
2000-07,2000-07-01,41.137,297.66235
2000-08,2000-08-01,41.137,298.72714
2000-08,2000-08-01,41.137,298.64725
2000-09,2000-09-01,41.137,293.65207
2000-09,2000-09-01,41.137,293.61646
2000-10,2000-10-01,41.137,287.16513
2000-10,2000-10-01,41.137,287.1558
2000-11,2000-11-01,41.137,273.83972
2000-11,2000-11-01,41.137,273.8263
2000-12,2000-12-01,41.137,263.68958
2000-12,2000-12-01,41.137,263.56247
2001-01,2001-01-01,41.137,269.59552
2001-01,2001-01-01,41.137,269.54922
2001-02,2001-02-01,41.137,266.2167
2001-02,2001-02-01,41.137,266.14398
2001-03,2001-03-01,41.137,275.34732
2001-03,2001-03-01,41.137,275.12155
2001-04,2001-04-01,41.137,286.19174
2001-04,2001-04-01,41.137,286.271
2001-05,2001-05-01,41.137,290.77942
2001-05,2001-05-01,41.137,290.7291
2001-06,2001-06-01,41.137,294.92615
2001-06,2001-06-01,41.137,294.7974
2001-07,2001-07-01,41.137,298.9856
2001-07,2001-07-01,41.137,298.78867
2001-08,2001-08-01,41.137,297.56998
2001-08,2001-08-01,41.137,297.36444
2001-09,2001-09-01,41.137,291.37848
2001-09,2001-09-01,41.137,291.18527
2001-10,2001-10-01,41.137,285.24622
2001-10,2001-10-01,41.137,285.09042
2001-11,2001-11-01,41.137,282.6954
2001-11,2001-11-01,41.137,282.66382
2001-12,2001-12-01,41.137,273.55963
2001-12,2001-12-01,41.137,273.58832
2002-01,2002-01-01,41.137,272.22534
2002-01,2002-01-01,41.137,272.22144
2002-02,2002-02-01,41.137,272.72955
2002-02,2002-02-01,41.137,272.62427
2002-03,2002-03-01,41.137,273.4539
2002-03,2002-03-01,41.137,273.63727
2002-04,2002-04-01,41.137,284.9209
2002-04,2002-04-01,41.137,284.79047
2002-05,2002-05-01,41.137,288.5821
2002-05,2002-05-01,41.137,288.54272
2002-06,2002-06-01,41.137,297.68585
2002-06,2002-06-01,41.137,297.39203
2002-07,2002-07-01,41.137,299.78076
2002-07,2002-07-01,41.137,299.48877
2002-08,2002-08-01,41.137,296.9404
2002-08,2002-08-01,41.137,296.77814
2002-09,2002-09-01,41.137,293.14987
2002-09,2002-09-01,41.137,293.0733
2002-10,2002-10-01,41.137,281.91653
2002-10,2002-10-01,41.137,281.93948
2002-11,2002-11-01,41.137,276.70212
2002-11,2002-11-01,41.137,276.58298
2002-12,2002-12-01,41.137,272.90555
2002-12,2002-12-01,41.137,272.8417
2003-01,2003-01-01,41.137,268.62244
2003-01,2003-01-01,41.137,268.50693
2003-02,2003-02-01,41.137,268.92188
2003-02,2003-02-01,41.137,268.77707
2003-03,2003-03-01,41.137,277.24948
2003-03,2003-03-01,41.137,277.08392
2003-04,2003-04-01,41.137,285.22775
2003-04,2003-04-01,41.137,285.1837
2003-05,2003-05-01,41.137,288.74493
2003-05,2003-05-01,41.137,288.7318
2003-06,2003-06-01,41.137,293.9702
2003-06,2003-06-01,41.137,293.84702
2003-07,2003-07-01,41.137,299.38696
2003-07,2003-07-01,41.137,298.99042
2003-08,2003-08-01,41.137,298.50638
2003-08,2003-08-01,41.137,298.36078
2003-09,2003-09-01,41.137,290.68915
2003-09,2003-09-01,41.137,290.59857
2003-10,2003-10-01,41.137,286.70483
2003-10,2003-10-01,41.137,286.6306
2003-11,2003-11-01,41.137,276.5879
2003-11,2003-11-01,41.137,276.57883
2003-12,2003-12-01,41.137,272.61035
2003-12,2003-12-01,41.137,272.47305
2004-01,2004-01-01,41.137,267.0047
2004-01,2004-01-01,41.137,266.8772
2004-02,2004-02-01,41.137,268.8225
2004-02,2004-02-01,41.137,268.90695
2004-03,2004-03-01,41.137,280.23453
2004-03,2004-03-01,41.137,280.11432
2004-04,2004-04-01,41.137,285.79056
2004-04,2004-04-01,41.137,285.70898
2004-05,2004-05-01,41.137,291.314
2004-05,2004-05-01,41.137,291.2112
2004-06,2004-06-01,41.137,293.84644
2004-06,2004-06-01,41.137,293.78976
2004-07,2004-07-01,41.137,296.17322
2004-07,2004-07-01,41.137,296.07303
2004-08,2004-08-01,41.137,294.8826
2004-08,2004-08-01,41.137,294.60876
2004-09,2004-09-01,41.137,294.5509
2004-09,2004-09-01,41.137,294.316
2004-10,2004-10-01,41.137,286.42175
2004-10,2004-10-01,41.137,286.4138
2004-11,2004-11-01,41.137,279.2908
2004-11,2004-11-01,41.137,279.3267
2004-12,2004-12-01,41.137,272.62878
2004-12,2004-12-01,41.137,272.5908
2005-01,2005-01-01,41.137,267.09036
2005-01,2005-01-01,41.137,267.0487
2005-02,2005-02-01,41.137,274.39246
2005-02,2005-02-01,41.137,274.34885
2005-03,2005-03-01,41.137,278.41162
2005-03,2005-03-01,41.137,278.30902
2005-04,2005-04-01,41.137,286.33957
2005-04,2005-04-01,41.137,286.36942
2005-05,2005-05-01,41.137,290.23596
2005-05,2005-05-01,41.137,290.11472
2005-06,2005-06-01,41.137,297.55826
2005-06,2005-06-01,41.137,297.51364
2005-07,2005-07-01,41.137,299.6726
2005-07,2005-07-01,41.137,299.526
2005-08,2005-08-01,41.137,297.25266
2005-08,2005-08-01,41.137,297.1828
2005-09,2005-09-01,41.137,294.97662
2005-09,2005-09-01,41.137,294.82837
2005-10,2005-10-01,41.137,286.39664
2005-10,2005-10-01,41.137,286.3209
2005-11,2005-11-01,41.137,279.48187
2005-11,2005-11-01,41.137,279.47977
2005-12,2005-12-01,41.137,269.5804
2005-12,2005-12-01,41.137,269.5598
2006-01,2006-01-01,41.137,275.74658
2006-01,2006-01-01,41.137,275.69656
2006-02,2006-02-01,41.137,271.82645
2006-02,2006-02-01,41.137,271.788
2006-03,2006-03-01,41.137,277.48114
2006-03,2006-03-01,41.137,277.6582
2006-04,2006-04-01,41.137,287.13956
2006-04,2006-04-01,41.137,287.16568
2006-05,2006-05-01,41.137,291.45285
2006-05,2006-05-01,41.137,291.27426
2006-06,2006-06-01,41.137,297.4063
2006-06,2006-06-01,41.137,296.96045
2006-07,2006-07-01,41.137,300.06308
2006-07,2006-07-01,41.137,299.71597
2006-08,2006-08-01,41.137,297.3553
2006-08,2006-08-01,41.137,297.20084
2006-09,2006-09-01,41.137,290.11353
2006-09,2006-09-01,41.137,290.0178
2006-10,2006-10-01,41.137,283.5698
2006-10,2006-10-01,41.137,283.5202
2006-11,2006-11-01,41.137,277.90747
2006-11,2006-11-01,41.137,277.9564
2006-12,2006-12-01,41.137,274.22192
2006-12,2006-12-01,41.137,274.2539
2007-01,2007-01-01,41.137,269.11655
2007-01,2007-01-01,41.137,269.01822
2007-02,2007-02-01,41.137,267.74124
2007-02,2007-02-01,41.137,267.5538
2007-03,2007-03-01,41.137,281.06018
2007-03,2007-03-01,41.137,280.9356
2007-04,2007-04-01,41.137,283.22174
2007-04,2007-04-01,41.137,283.16553
2007-05,2007-05-01,41.137,292.59308
2007-05,2007-05-01,41.137,292.59348
2007-06,2007-06-01,41.137,296.08386
2007-06,2007-06-01,41.137,296.00662
2007-07,2007-07-01,41.137,299.0803
2007-07,2007-07-01,41.137,298.82083
2007-08,2007-08-01,41.137,298.85464
2007-08,2007-08-01,41.137,298.79904
2007-09,2007-09-01,41.137,292.84753
2007-09,2007-09-01,41.137,292.75992
2007-10,2007-10-01,41.137,287.2944
2007-10,2007-10-01,41.137,287.34048
2007-11,2007-11-01,41.137,277.55307
2007-11,2007-11-01,41.137,277.49686
2007-12,2007-12-01,41.137,268.30313
2007-12,2007-12-01,41.137,268.352
2008-01,2008-01-01,41.137,267.4944
2008-01,2008-01-01,41.137,267.46365
2008-02,2008-02-01,41.137,268.85452
2008-02,2008-02-01,41.137,268.63123
2008-03,2008-03-01,41.137,276.43915
2008-03,2008-03-01,41.137,276.42322
2008-04,2008-04-01,41.137,281.80142
2008-04,2008-04-01,41.137,281.80963
2008-05,2008-05-01,41.137,289.2893
2008-05,2008-05-01,41.137,289.29846
2008-06,2008-06-01,41.137,295.46808
2008-06,2008-06-01,41.137,295.47723
2008-07,2008-07-01,41.137,298.27325
2008-07,2008-07-01,41.137,298.0564
2008-08,2008-08-01,41.137,297.24973
2008-08,2008-08-01,41.137,297.09818
2008-09,2008-09-01,41.137,291.84515
2008-09,2008-09-01,41.137,291.78595
2008-10,2008-10-01,41.137,285.5318
2008-10,2008-10-01,41.137,285.50864
2008-11,2008-11-01,41.137,277.61255
2008-11,2008-11-01,41.137,277.5194
2008-12,2008-12-01,41.137,268.0041
2008-12,2008-12-01,41.137,268.0116
2009-01,2009-01-01,41.137,268.3778
2009-01,2009-01-01,41.137,268.0497
2009-02,2009-02-01,41.137,272.8681
2009-02,2009-02-01,41.137,272.8008
2009-03,2009-03-01,41.137,277.21283
2009-03,2009-03-01,41.137,277.27438
2009-04,2009-04-01,41.137,283.33353
2009-04,2009-04-01,41.137,283.31607
2009-05,2009-05-01,41.137,291.013
2009-05,2009-05-01,41.137,290.8249
2009-06,2009-06-01,41.137,295.67828
2009-06,2009-06-01,41.137,295.6164
2009-07,2009-07-01,41.137,295.80435
2009-07,2009-07-01,41.137,295.6423
2009-08,2009-08-01,41.137,295.6631
2009-08,2009-08-01,41.137,295.53076
2009-09,2009-09-01,41.137,291.17325
2009-09,2009-09-01,41.137,291.19272
2009-10,2009-10-01,41.137,281.46744
2009-10,2009-10-01,41.137,281.5054
