valid_time,time,latitude,t2m
2000-01,2000-01-01,6.159,301.77353
2000-01,2000-01-01,6.159,301.56702
2000-01,2000-01-01,5.909,301.29538
2000-01,2000-01-01,5.909,300.86526
2000-02,2000-02-01,6.159,302.2582
2000-02,2000-02-01,6.159,302.2457
2000-02,2000-02-01,5.909,301.77875
2000-02,2000-02-01,5.909,301.5066
2000-03,2000-03-01,6.159,302.5376
2000-03,2000-03-01,6.159,302.4843
2000-03,2000-03-01,5.909,302.19797
2000-03,2000-03-01,5.909,301.82166
2000-04,2000-04-01,6.159,300.55975
2000-04,2000-04-01,6.159,300.32672
2000-04,2000-04-01,5.909,300.14905
2000-04,2000-04-01,5.909,299.6782
2000-05,2000-05-01,6.159,300.01544
2000-05,2000-05-01,6.159,299.7541
2000-05,2000-05-01,5.909,299.65424
2000-05,2000-05-01,5.909,299.1792
2000-06,2000-06-01,6.159,298.3078
2000-06,2000-06-01,6.159,298.04245
2000-06,2000-06-01,5.909,298.03668
2000-06,2000-06-01,5.909,297.56
2000-07,2000-07-01,6.159,298.13443
2000-07,2000-07-01,6.159,297.8567
2000-07,2000-07-01,5.909,297.87244
2000-07,2000-07-01,5.909,297.37213
2000-08,2000-08-01,6.159,297.7669
2000-08,2000-08-01,6.159,297.50525
2000-08,2000-08-01,5.909,297.5085
2000-08,2000-08-01,5.909,297.00903
2000-09,2000-09-01,6.159,298.20648
2000-09,2000-09-01,6.159,297.9342
2000-09,2000-09-01,5.909,297.89865
2000-09,2000-09-01,5.909,297.38788
2000-10,2000-10-01,6.159,298.77594
2000-10,2000-10-01,6.159,298.49597
2000-10,2000-10-01,5.909,298.4409
2000-10,2000-10-01,5.909,297.96008
2000-11,2000-11-01,6.159,299.98016
2000-11,2000-11-01,6.159,299.65747
2000-11,2000-11-01,5.909,299.52344
2000-11,2000-11-01,5.909,299.0191
2000-12,2000-12-01,6.159,300.39655
2000-12,2000-12-01,6.159,300.24097
2000-12,2000-12-01,5.909,299.94968
2000-12,2000-12-01,5.909,299.62988
2001-01,2001-01-01,6.159,300.9914
2001-01,2001-01-01,6.159,301.0475
2001-01,2001-01-01,5.909,300.64468
2001-01,2001-01-01,5.909,300.38095
2001-02,2001-02-01,6.159,302.22815
2001-02,2001-02-01,6.159,302.2378
2001-02,2001-02-01,5.909,301.7672
2001-02,2001-02-01,5.909,301.50012
2001-03,2001-03-01,6.159,300.8692
2001-03,2001-03-01,6.159,300.58704
2001-03,2001-03-01,5.909,300.36667
2001-03,2001-03-01,5.909,299.79294
2001-04,2001-04-01,6.159,300.36136
2001-04,2001-04-01,6.159,300.11462
2001-04,2001-04-01,5.909,299.91205
2001-04,2001-04-01,5.909,299.42004
2001-05,2001-05-01,6.159,299.8421
2001-05,2001-05-01,6.159,299.55746
2001-05,2001-05-01,5.909,299.4792
2001-05,2001-05-01,5.909,298.99554
2001-06,2001-06-01,6.159,298.71387
2001-06,2001-06-01,6.159,298.49146
2001-06,2001-06-01,5.909,298.40573
2001-06,2001-06-01,5.909,297.9726
2001-07,2001-07-01,6.159,298.28705
2001-07,2001-07-01,6.159,298.04282
2001-07,2001-07-01,5.909,298.04413
2001-07,2001-07-01,5.909,297.55994
2001-08,2001-08-01,6.159,298.02332
2001-08,2001-08-01,6.159,297.72778
2001-08,2001-08-01,5.909,297.7885
2001-08,2001-08-01,5.909,297.24036
2001-09,2001-09-01,6.159,298.2346
2001-09,2001-09-01,6.159,297.97977
2001-09,2001-09-01,5.909,297.96497
2001-09,2001-09-01,5.909,297.4782
2001-10,2001-10-01,6.159,299.36676
2001-10,2001-10-01,6.159,299.0395
2001-10,2001-10-01,5.909,299.03903
2001-10,2001-10-01,5.909,298.49823
2001-11,2001-11-01,6.159,300.2558
2001-11,2001-11-01,6.159,299.89392
2001-11,2001-11-01,5.909,299.79703
2001-11,2001-11-01,5.909,299.28925
2001-12,2001-12-01,6.159,301.68048
2001-12,2001-12-01,6.159,301.3196
2001-12,2001-12-01,5.909,301.09506
2001-12,2001-12-01,5.909,300.62253
2002-01,2002-01-01,6.159,301.43387
2002-01,2002-01-01,6.159,301.42355
2002-01,2002-01-01,5.909,300.81146
2002-01,2002-01-01,5.909,300.6222
2002-02,2002-02-01,6.159,301.71344
2002-02,2002-02-01,6.159,301.5315
2002-02,2002-02-01,5.909,301.22797
2002-02,2002-02-01,5.909,300.7743
2002-03,2002-03-01,6.159,301.04004
2002-03,2002-03-01,6.159,300.87177
2002-03,2002-03-01,5.909,300.5311
2002-03,2002-03-01,5.909,300.09656
2002-04,2002-04-01,6.159,300.4566
2002-04,2002-04-01,6.159,300.23636
2002-04,2002-04-01,5.909,299.99432
2002-04,2002-04-01,5.909,299.54865
2002-05,2002-05-01,6.159,300.06024
2002-05,2002-05-01,6.159,299.8046
2002-05,2002-05-01,5.909,299.7154
2002-05,2002-05-01,5.909,299.24387
2002-06,2002-06-01,6.159,298.8996
2002-06,2002-06-01,6.159,298.65335
