valid_time,time,latitude,t2m
2000-01,2000-01-01,28.532,288.0403
2000-01,2000-01-01,28.532,288.2308
2000-01,2000-01-01,28.282,288.4016
2000-01,2000-01-01,28.282,288.58197
2000-02,2000-02-01,28.532,289.12347
2000-02,2000-02-01,28.532,289.14926
2000-02,2000-02-01,28.282,289.47534
2000-02,2000-02-01,28.282,289.45514
2000-03,2000-03-01,28.532,293.5761
2000-03,2000-03-01,28.532,293.5751
2000-03,2000-03-01,28.282,293.90564
2000-03,2000-03-01,28.282,293.83145
2000-04,2000-04-01,28.532,293.90533
2000-04,2000-04-01,28.532,293.85327
2000-04,2000-04-01,28.282,294.2918
2000-04,2000-04-01,28.282,294.17853
2000-05,2000-05-01,28.532,298.392
2000-05,2000-05-01,28.532,298.19855
2000-05,2000-05-01,28.282,298.61514
2000-05,2000-05-01,28.282,298.37946
2000-06,2000-06-01,28.532,299.86386
2000-06,2000-06-01,28.532,299.69858
2000-06,2000-06-01,28.282,299.91742
2000-06,2000-06-01,28.282,299.7396
2000-07,2000-07-01,28.532,299.92703
2000-07,2000-07-01,28.532,299.91617
2000-07,2000-07-01,28.282,299.98334
2000-07,2000-07-01,28.282,300.0154
2000-08,2000-08-01,28.532,299.88776
2000-08,2000-08-01,28.532,299.84274
2000-08,2000-08-01,28.282,300.0499
2000-08,2000-08-01,28.282,299.99628
2000-09,2000-09-01,28.532,299.39606
2000-09,2000-09-01,28.532,299.3907
2000-09,2000-09-01,28.282,299.67615
2000-09,2000-09-01,28.282,299.6212
2000-10,2000-10-01,28.532,294.8368
2000-10,2000-10-01,28.532,294.99747
2000-10,2000-10-01,28.282,295.3287
2000-10,2000-10-01,28.282,295.25238
2000-11,2000-11-01,28.532,291.15063
2000-11,2000-11-01,28.532,291.30353
2000-11,2000-11-01,28.282,291.64124
2000-11,2000-11-01,28.282,291.58807
2000-12,2000-12-01,28.532,287.58777
2000-12,2000-12-01,28.532,287.98145
2000-12,2000-12-01,28.282,288.139
2000-12,2000-12-01,28.282,288.37778
2001-01,2001-01-01,28.532,285.18506
2001-01,2001-01-01,28.532,285.43695
2001-01,2001-01-01,28.282,285.64124
2001-01,2001-01-01,28.282,285.67676
2001-02,2001-02-01,28.532,292.0777
2001-02,2001-02-01,28.532,292.37177
2001-02,2001-02-01,28.282,292.72598
2001-02,2001-02-01,28.282,292.7735
2001-03,2001-03-01,28.532,291.4877
2001-03,2001-03-01,28.532,291.78815
2001-03,2001-03-01,28.282,291.99353
2001-03,2001-03-01,28.282,292.1264
2001-04,2001-04-01,28.532,294.41837
2001-04,2001-04-01,28.532,294.43976
2001-04,2001-04-01,28.282,294.7842
2001-04,2001-04-01,28.282,294.59323
2001-05,2001-05-01,28.532,297.22192
2001-05,2001-05-01,28.532,297.1732
2001-05,2001-05-01,28.282,297.4327
2001-05,2001-05-01,28.282,297.1929
2001-06,2001-06-01,28.532,299.7356
2001-06,2001-06-01,28.532,299.71072
2001-06,2001-06-01,28.282,299.63672
2001-06,2001-06-01,28.282,299.61353
2001-07,2001-07-01,28.532,299.704
2001-07,2001-07-01,28.532,299.73602
2001-07,2001-07-01,28.282,299.63403
2001-07,2001-07-01,28.282,299.7199
2001-08,2001-08-01,28.532,299.92007
2001-08,2001-08-01,28.532,299.83163
2001-08,2001-08-01,28.282,299.8663
2001-08,2001-08-01,28.282,299.9303
2001-09,2001-09-01,28.532,297.97134
2001-09,2001-09-01,28.532,297.93033
2001-09,2001-09-01,28.282,298.04236
2001-09,2001-09-01,28.282,298.11435
2001-10,2001-10-01,28.532,295.19144
2001-10,2001-10-01,28.532,295.34116
2001-10,2001-10-01,28.282,295.4801
2001-10,2001-10-01,28.282,295.63794
2001-11,2001-11-01,28.532,293.05548
2001-11,2001-11-01,28.532,293.15692
2001-11,2001-11-01,28.282,293.28302
2001-11,2001-11-01,28.282,293.38937
2001-12,2001-12-01,28.532,291.60522
2001-12,2001-12-01,28.532,291.63065
2001-12,2001-12-01,28.282,291.9
2001-12,2001-12-01,28.282,291.91397
2002-01,2002-01-01,28.532,288.81506
2002-01,2002-01-01,28.532,288.97717
2002-01,2002-01-01,28.282,289.34363
2002-01,2002-01-01,28.282,289.44427
2002-02,2002-02-01,28.532,288.86926
