valid_time,time,latitude,t2m
2000-01,2000-01-01,35.06,277.09436
2000-01,2000-01-01,35.06,277.45032
2000-01,2000-01-01,35.06,277.74402
2000-01,2000-01-01,35.06,277.63074
2000-01,2000-01-01,35.06,277.5067
2000-01,2000-01-01,35.06,277.48218
2000-01,2000-01-01,34.81,279.7472
2000-01,2000-01-01,34.81,279.64954
2000-01,2000-01-01,34.81,279.36
2000-01,2000-01-01,34.81,278.91785
2000-01,2000-01-01,34.81,278.87598
2000-01,2000-01-01,34.81,278.78003
2000-01,2000-01-01,34.56,281.44885
2000-01,2000-01-01,34.56,281.38733
2000-01,2000-01-01,34.56,280.63098
2000-01,2000-01-01,34.56,279.63855
2000-01,2000-01-01,34.56,279.17566
2000-01,2000-01-01,34.56,278.09363
2000-01,2000-01-01,34.31,280.8291
2000-01,2000-01-01,34.31,282.10645
2000-01,2000-01-01,34.31,281.53906
2000-01,2000-01-01,34.31,279.9474
2000-01,2000-01-01,34.31,278.32837
2000-01,2000-01-01,34.31,276.33826
2000-02,2000-02-01,35.06,275.13525
2000-02,2000-02-01,35.06,275.42847
2000-02,2000-02-01,35.06,275.7318
2000-02,2000-02-01,35.06,275.47986
2000-02,2000-02-01,35.06,275.18982
2000-02,2000-02-01,35.06,275.047
2000-02,2000-02-01,34.81,277.9961
2000-02,2000-02-01,34.81,277.91516
2000-02,2000-02-01,34.81,277.5924
2000-02,2000-02-01,34.81,276.96497
2000-02,2000-02-01,34.81,276.8158
2000-02,2000-02-01,34.81,276.65088
2000-02,2000-02-01,34.56,279.68835
2000-02,2000-02-01,34.56,279.67908
2000-02,2000-02-01,34.56,278.94824
2000-02,2000-02-01,34.56,277.86475
2000-02,2000-02-01,34.56,277.17444
2000-02,2000-02-01,34.56,275.66296
2000-02,2000-02-01,34.31,279.20996
2000-02,2000-02-01,34.31,280.32263
2000-02,2000-02-01,34.31,279.74878
2000-02,2000-02-01,34.31,277.96558
2000-02,2000-02-01,34.31,275.87378
2000-02,2000-02-01,34.31,273.04138
2000-03,2000-03-01,35.06,279.4447
2000-03,2000-03-01,35.06,279.76086
2000-03,2000-03-01,35.06,279.9668
2000-03,2000-03-01,35.06,279.66028
2000-03,2000-03-01,35.06,279.28088
2000-03,2000-03-01,35.06,279.0918
2000-03,2000-03-01,34.81,281.89172
2000-03,2000-03-01,34.81,281.7666
2000-03,2000-03-01,34.81,281.36877
2000-03,2000-03-01,34.81,280.86194
2000-03,2000-03-01,34.81,280.80725
2000-03,2000-03-01,34.81,280.6892
2000-03,2000-03-01,34.56,283.36694
2000-03,2000-03-01,34.56,283.30505
2000-03,2000-03-01,34.56,282.67517
2000-03,2000-03-01,34.56,281.8169
2000-03,2000-03-01,34.56,281.32532
2000-03,2000-03-01,34.56,280.04346
2000-03,2000-03-01,34.31,282.97034
2000-03,2000-03-01,34.31,283.9884
2000-03,2000-03-01,34.31,283.55017
2000-03,2000-03-01,34.31,282.13086
2000-03,2000-03-01,34.31,280.42773
2000-03,2000-03-01,34.31,278.0598
2000-04,2000-04-01,35.06,285.25964
2000-04,2000-04-01,35.06,285.50256
2000-04,2000-04-01,35.06,285.74225
2000-04,2000-04-01,35.06,285.47174
2000-04,2000-04-01,35.06,285.22968
2000-04,2000-04-01,35.06,285.1621
2000-04,2000-04-01,34.81,286.43085
2000-04,2000-04-01,34.81,286.5103
2000-04,2000-04-01,34.81,286.73853
2000-04,2000-04-01,34.81,286.5692
2000-04,2000-04-01,34.81,286.656
2000-04,2000-04-01,34.81,286.5888
2000-04,2000-04-01,34.56,287.12616
2000-04,2000-04-01,34.56,287.28467
2000-04,2000-04-01,34.56,287.06952
2000-04,2000-04-01,34.56,287.31195
2000-04,2000-04-01,34.56,287.0899
2000-04,2000-04-01,34.56,286.07416
2000-04,2000-04-01,34.31,287.2527
2000-04,2000-04-01,34.31,287.55115
2000-04,2000-04-01,34.31,287.30768
2000-04,2000-04-01,34.31,287.1881
2000-04,2000-04-01,34.31,286.21136
2000-04,2000-04-01,34.31,284.2953
2000-05,2000-05-01,35.06,291.0224
2000-05,2000-05-01,35.06,291.31146
2000-05,2000-05-01,35.06,291.6623
2000-05,2000-05-01,35.06,291.30994
2000-05,2000-05-01,35.06,291.1313
2000-05,2000-05-01,35.06,291.1892
2000-05,2000-05-01,34.81,290.7779
2000-05,2000-05-01,34.81,291.28552
2000-05,2000-05-01,34.81,292.45477
2000-05,2000-05-01,34.81,292.54773
2000-05,2000-05-01,34.81,292.92224
2000-05,2000-05-01,34.81,293.0396
2000-05,2000-05-01,34.56,290.5539
2000-05,2000-05-01,34.56,291.1084
2000-05,2000-05-01,34.56,291.65173
2000-05,2000-05-01,34.56,293.29352
2000-05,2000-05-01,34.56,293.45526
2000-05,2000-05-01,34.56,292.5927
2000-05,2000-05-01,34.31,291.43488
2000-05,2000-05-01,34.31,290.8676
2000-05,2000-05-01,34.31,290.95
2000-05,2000-05-01,34.31,292.47034
2000-05,2000-05-01,34.31,292.30017
2000-05,2000-05-01,34.31,290.5291
2000-06,2000-06-01,35.06,294.16107
2000-06,2000-06-01,35.06,294.42902
2000-06,2000-06-01,35.06,294.9411
2000-06,2000-06-01,35.06,294.54907
2000-06,2000-06-01,35.06,294.32446
2000-06,2000-06-01,35.06,294.35602
2000-06,2000-06-01,34.81,293.66797
